Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.088,15.513,14.969,15.454,278412,0
20050228,15.283,15.461,15.029,15.461,282305,0
20050301,15.428,15.513,15.224,15.334,212820,0
20050302,15.173,15.428,15.088,15.249,136728,0
20050303,15.258,15.352,15.063,15.216,196776,0
20050304,15.258,15.469,15.258,15.428,106643,0
20050307,15.343,15.571,15.343,15.461,144160,0
20050308,15.376,15.513,15.249,15.385,114195,0
20050309,15.301,15.301,15.021,15.147,185331,0
20050310,15.046,15.19,14.935,15.147,227919,0
20050311,15.088,15.181,14.809,14.961,259537,0
20050314,14.894,15.181,14.894,15.14,96738,0
20050315,15.224,15.461,15.08,15.088,216005,0
20050316,15.106,15.199,14.961,15.004,101455,0
20050317,15.046,15.156,14.944,15.08,103344,0
20050318,15.233,15.233,14.842,15.088,481560,0
20050321,15.088,15.156,14.902,14.935,168112,0
20050322,14.978,15.08,14.842,14.885,137199,0
20050323,14.885,14.885,14.648,14.681,254344,0
20050324,14.681,14.818,14.597,14.605,146051,0
20050328,14.63,14.86,14.605,14.801,130120,0
20050329,14.801,14.902,14.572,14.622,181322,0
20050330,14.767,14.969,14.767,14.927,184741,0
20050331,14.986,15.021,14.74,14.833,204094,0
20050401,14.597,14.605,14.088,14.41,781443,0
20050404,14.241,14.749,14.241,14.732,173890,0
20050405,14.665,14.665,14.333,14.512,263312,0
20050406,14.572,14.674,14.419,14.503,173418,0
20050407,14.495,14.674,14.419,14.597,98034,0
20050408,14.58,14.58,14.401,14.495,276996,0
20050411,14.495,14.563,14.326,14.444,160677,0
20050412,14.426,14.783,14.333,14.715,175184,0
20050413,14.792,14.792,14.554,14.665,167401,0
20050414,14.648,14.699,14.453,14.528,181440,0
20050415,14.537,14.58,14.275,14.3,142981,0
20050418,14.241,14.521,14.165,14.267,232520,0
20050419,14.333,14.479,14.3,14.351,195007,0
20050420,14.342,14.342,14.012,14.114,262722,0
20050421,14.241,14.41,14.096,14.3,257413,0
20050422,14.284,14.385,14.174,14.207,216125,0
20050425,14.249,14.326,14.198,14.317,116674,0
20050426,14.326,14.41,14.105,14.174,131302,0
20050427,14.088,14.342,13.826,14.071,216359,0
