Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.7335,3.8276,3.7335,3.823,28924,0
20050228,3.7948,3.865,3.7948,3.8087,65501,0
20050301,3.8135,3.8463,3.7805,3.7805,56144,0
20050302,3.7759,3.7759,3.7383,3.7383,6380,0
20050303,3.7477,3.7477,3.743,3.7477,5100,0
20050304,3.7618,3.7618,3.6441,3.6441,121648,0
20050307,3.6066,3.6676,3.6066,3.6441,78689,0
20050308,3.6629,3.6629,3.6441,3.6629,1702,0
20050309,3.6817,3.6817,3.6066,3.6254,9784,0
20050310,3.6254,3.6866,3.6254,3.6866,13610,0
20050311,3.6676,3.6912,3.6676,3.6912,10633,0
20050314,3.6817,3.7148,3.6489,3.6676,19141,0
20050315,3.6584,3.6723,3.6441,3.6676,15311,0
20050316,3.6817,3.6817,3.6584,3.6629,9356,0
20050317,3.6912,3.8323,3.6912,3.8135,42532,0
20050318,3.8323,3.8558,3.8323,3.8558,6804,0
20050321,3.865,3.8744,3.8181,3.8369,10209,0
20050322,3.8135,3.8181,3.8087,3.8181,2975,0
20050323,3.8323,3.8699,3.7618,3.8323,390885,0
20050324,3.8558,3.9357,3.7948,3.9265,82515,0
20050328,3.9403,3.9733,3.9027,3.9403,19564,0
20050329,3.9498,3.964,3.9498,3.9498,13610,0
20050330,3.9733,3.9828,3.964,3.9733,45082,0
20050331,3.9828,4.3495,3.9828,4.2649,69756,0
20050401,4.2885,4.2885,4.1381,4.1567,65927,0
20050404,4.1753,4.1753,4.1472,4.1472,57847,0
20050405,4.1567,4.1567,4.1005,4.1142,37007,0
20050406,4.0674,4.0908,4.0674,4.0908,12762,0
20050407,4.0908,4.0908,4.0532,4.0578,7658,0
20050408,4.0578,4.0578,3.8699,3.8839,53590,0
20050411,3.9027,3.9498,3.8793,3.8889,62949,0
20050412,3.8793,3.8793,3.8463,3.8463,7232,0
20050413,3.8181,3.8181,3.7618,3.7618,50191,0
20050414,3.7665,3.7665,3.7383,3.7383,4255,0
20050415,3.7148,3.7194,3.6301,3.6301,34026,0
20050418,3.6301,3.6441,3.536,3.5503,54019,0
20050419,3.5503,3.5503,3.5503,3.5503,5532,0
20050420,3.5314,3.5453,3.5079,3.5079,46785,0
20050421,3.5265,3.5642,3.5265,3.5642,5100,0
20050422,3.5594,3.5971,3.5503,3.5878,36153,0
20050425,3.6066,3.6207,3.5878,3.6207,32753,0
20050426,3.5971,3.6584,3.5971,3.6159,42106,0
20050427,3.6066,3.6254,3.6066,3.6159,4678,0
20050428,3.6301,3.6301,3.6207,3.6254,12335,0
20050429,3.6301,3.6441,3.6301,3.6441,2551,0
20050502,3.6254,3.6346,3.6066,3.6254,33177,0
20050503,3.6207,3.6441,3.6207,3.6394,33177,0
20050504,3.6301,3.6301,3.6207,3.6207,1702,0
20050505,3.6066,3.6066,3.5642,3.5642,32324,0
20050506,3.5503,3.5503,3.536,3.536,7232,0
20050509,3.536,3.5407,3.5314,3.5407,6804,0
20050510,3.5407,3.5453,3.5265,3.5265,17013,0
20050511,3.5503,3.5503,3.5126,3.5265,45082,0
20050512,3.5265,3.5503,3.5265,3.5265,43809,0
20050513,3.5407,3.5407,3.5265,3.5265,15311,0
20050516,3.5549,3.6066,3.5549,3.6066,22969,0
20050517,3.583,3.6254,3.583,3.6254,23393,0
20050518,3.6207,3.6441,3.6207,3.6441,2127,0
20050519,3.6301,3.6441,3.6207,3.6441,10209,0
20050520,3.6441,3.6817,3.6441,3.6817,4678,0
20050523,3.6912,3.7383,3.6912,3.7383,3402,0
20050524,3.743,3.865,3.743,3.7759,24246,0
20050525,3.7618,3.7851,3.7618,3.7851,5100,0
20050526,3.8087,3.8087,3.8087,3.8087,1702,0
20050527,3.7851,3.7851,3.7851,3.7851,1702,0
20050531,3.7618,3.7665,3.7618,3.7665,7232,0
20050601,3.79,3.8041,3.7665,3.7994,8509,0
20050602,3.7759,3.7759,3.7759,3.7759,850,0
20050606,3.7477,3.7477,3.743,3.743,45509,0
20050607,3.743,3.7618,3.743,3.7618,6804,0
20050608,3.743,3.743,3.743,3.743,38281,0
20050610,3.7383,3.7383,3.7054,3.7054,6380,0
20050613,3.7194,3.7194,3.7148,3.7194,6804,0
20050616,3.743,3.743,3.7287,3.7287,2127,0
20050617,3.7241,3.7241,3.7241,3.7241,2551,0
20050620,3.7241,3.7241,3.7241,3.7241,4255,0
20050621,3.7477,3.7618,3.7383,3.7618,11059,0
20050622,3.7618,3.7618,3.7618,3.7618,4678,0
20050623,3.7618,3.8087,3.7618,3.8087,47637,0
20050624,4.1142,4.2885,4.1142,4.1615,589519,0
20050627,4.2035,4.2084,3.8463,4.1753,317303,0
20050628,4.199,4.2084,4.1142,4.1615,105911,0
20050629,4.1333,4.1333,3.9969,4.0345,58272,0
20050630,4.0345,4.1005,4.0204,4.0674,60822,0
20050701,4.0674,4.1142,4.0486,4.1005,16590,0
20050705,4.1238,4.1238,4.1051,4.1191,4678,0
20050706,4.1191,4.1333,4.0956,4.1191,26372,0
20050707,4.1005,4.1664,4.0815,4.1664,9784,0
20050708,4.1708,4.1945,4.1708,4.1945,22969,0
20050711,4.1945,4.199,4.1285,4.1708,15738,0
20050712,4.199,4.199,4.1191,4.1472,13186,0
20050713,4.1664,4.1849,4.1381,4.1849,14884,0
20050714,4.1615,4.1753,4.1472,4.1753,29349,0
20050715,4.1753,4.199,4.1615,4.1945,7658,0
20050718,4.199,4.2556,4.1615,4.2461,30624,0
20050719,4.2649,4.3353,4.2508,4.2649,28500,0
20050720,4.2789,4.2789,4.1849,4.1849,23393,0
20050721,4.1753,4.2272,4.1753,4.1897,16165,0
20050722,4.1897,4.2556,4.1753,4.2366,22116,0
20050725,4.199,4.2649,4.199,4.2226,20416,0
20050726,4.2649,4.2649,4.2508,4.2508,2127,0
20050727,4.2179,4.2272,4.1849,4.2272,3402,0
20050728,4.199,4.2508,4.199,4.2319,21695,0
20050729,4.2789,4.2838,4.199,4.2319,126322,0
20050801,4.2649,4.4107,4.2649,4.2838,103785,0
20050802,4.3166,4.5985,4.3166,4.4107,181615,0
20050803,4.4577,4.4672,4.4199,4.4624,60822,0
20050804,4.4624,4.5142,4.4528,4.5142,207987,0
20050805,4.5375,4.5705,4.5235,4.5423,51891,0
20050808,4.5705,4.6082,4.5142,4.5188,54866,0
20050809,4.4763,4.4906,4.3779,4.4672,58272,0
20050810,4.4811,4.6221,4.4811,4.5705,50617,0
20050811,4.5518,4.6881,4.5518,4.6458,62099,0
20050812,4.6316,4.6316,4.5985,4.6176,21271,0
20050815,4.5985,4.6881,4.5985,4.6693,22116,0
20050816,4.6788,4.6788,4.6082,4.6788,27650,0
20050817,4.6788,4.8809,4.6788,4.7916,136533,0
20050818,4.8056,4.9091,4.7728,4.8809,94001,0
20050819,4.9043,4.9043,4.7868,4.8292,220323,0
20050822,4.8197,4.9043,4.7868,4.8527,76134,0
20050823,4.8527,4.8527,4.7962,4.8384,52317,0
20050824,4.8431,4.8527,4.7257,4.7585,68907,0
20050825,4.7491,4.7491,4.5848,4.6506,139509,0
20050826,4.6693,4.6834,4.5188,4.6034,48489,0
20050829,4.5848,4.6364,4.5848,4.6364,28071,0
20050830,4.6458,4.6598,4.5938,4.6316,38706,0
20050831,4.6458,4.8056,4.6458,4.8056,67204,0
20050901,4.7916,4.8527,4.7728,4.7773,43382,0
20050902,4.8009,4.8149,4.7728,4.8102,25522,0
20050906,4.8149,5.2241,4.7962,5.1584,176517,0
20050907,5.257,5.257,4.975,4.9843,55718,0
20050908,4.9843,5.1159,4.9843,5.0736,37853,0
20050909,5.0548,5.1159,5.0079,5.0314,21271,0
20050912,4.9373,4.9702,4.8667,4.9043,49766,0
20050913,4.9232,4.9702,4.9186,4.9702,36153,0
20050914,4.9702,4.9702,4.9373,4.9702,125476,0
20050915,4.9608,5.0079,4.9514,4.9936,28500,0
20050916,5.0501,5.0501,4.9702,4.989,12762,0
20050919,4.9985,5.0406,4.9843,5.0124,19141,0
