Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.652,11.733,11.623,11.733,9904,0
20050228,11.652,11.733,11.623,11.623,17529,0
20050301,11.668,11.675,11.592,11.638,8381,0
20050302,11.585,11.659,11.585,11.615,14475,0
20050303,11.645,11.645,11.585,11.623,4065,0
20050304,11.645,11.741,11.638,11.741,10794,0
20050307,11.7,11.741,11.683,11.733,15746,0
20050308,11.733,11.733,11.623,11.716,22859,0
20050309,11.638,11.652,11.631,11.652,5464,0
20050310,11.692,11.741,11.623,11.725,27307,0
20050311,11.645,11.645,11.568,11.568,5333,0
20050314,11.561,11.561,11.495,11.495,10412,0
20050315,11.487,11.528,11.442,11.442,32130,0
20050316,11.48,11.512,11.472,11.487,15874,0
20050317,11.434,11.512,11.426,11.449,16640,0
20050318,11.442,11.52,11.387,11.52,30613,0
20050321,11.464,11.512,11.434,11.442,4956,0
20050322,11.456,11.464,11.331,11.331,17022,0
20050323,11.29,11.29,11.142,11.253,24134,0
20050324,11.238,11.238,11.133,11.142,14863,0
20050328,11.158,11.166,11.108,11.158,10412,0
20050329,11.19,11.19,11.117,11.15,11177,0
20050330,11.15,11.166,11.117,11.15,11683,0
20050331,11.15,11.215,11.133,11.15,26926,0
20050401,11.207,11.215,11.183,11.199,20829,0
20050404,11.207,11.274,11.183,11.245,19048,0
20050405,11.199,11.282,11.199,11.282,6093,0
20050406,11.298,11.323,11.274,11.323,10919,0
20050407,11.339,11.339,11.331,11.331,5333,0
20050408,11.268,11.355,11.268,11.355,14475,0
20050411,11.282,11.372,11.282,11.372,15874,0
20050412,11.372,11.372,11.306,11.372,6224,0
20050413,11.306,11.306,11.29,11.298,6602,0
20050414,11.282,11.298,11.238,11.298,7745,0
20050415,11.245,11.29,11.245,11.26,8892,0
20050418,11.298,11.347,11.274,11.339,11051,0
20050419,11.347,11.372,11.298,11.306,8381,0
20050420,11.298,11.355,11.29,11.29,5333,0
20050421,11.347,11.347,11.19,11.23,26414,0
20050425,11.238,11.274,11.222,11.245,2415,0
20050426,11.282,11.298,11.253,11.274,11051,0
20050427,11.306,11.347,11.306,11.347,3811,0
20050428,11.364,11.48,11.364,11.464,9140,0
20050429,11.48,11.48,11.456,11.456,3177,0
20050502,11.528,11.536,11.472,11.528,5333,0
20050503,11.528,11.536,11.449,11.536,11556,0
20050504,11.545,11.659,11.52,11.599,30726,0
20050505,11.607,11.645,11.599,11.623,19940,0
20050506,11.631,11.659,11.599,11.659,12065,0
20050509,11.659,11.7,11.659,11.7,7367,0
20050510,11.741,11.797,11.668,11.741,16889,0
20050511,11.708,11.757,11.7,11.741,5839,0
20050512,11.652,11.733,11.652,11.733,6344,0
20050513,11.978,11.978,11.78,11.78,30097,0
20050516,11.834,11.857,11.773,11.857,10666,0
20050517,11.849,11.864,11.834,11.864,9524,0
20050518,11.881,11.954,11.834,11.834,25273,0
20050519,11.889,11.897,11.773,11.789,11556,0
20050520,11.842,11.881,11.804,11.812,16127,0
20050523,11.78,11.849,11.78,11.842,8000,0
20050524,11.842,11.849,11.812,11.842,14101,0
20050525,11.804,11.821,11.749,11.749,28189,0
20050526,11.749,11.789,11.749,11.789,7243,0
20050527,11.741,11.789,11.716,11.765,9140,0
20050531,11.78,11.821,11.78,11.789,5715,0
20050601,11.857,11.897,11.804,11.812,27812,0
20050602,11.842,11.857,11.797,11.857,39243,0
20050603,11.897,11.906,11.849,11.897,14475,0
20050606,11.873,11.978,11.842,11.961,17908,0
20050607,12.017,12.07,12.017,12.032,10412,0
20050608,12.017,12.054,12.017,12.054,12447,0
20050609,12.046,12.095,12.01,12.062,15746,0
20050610,12.095,12.095,11.961,11.961,32762,0
20050613,11.961,11.961,11.864,11.954,25778,0
20050614,11.961,12.095,11.961,11.961,32256,0
