Date,Open,High,Low,Close,Volume,OpenInt
20060223,11.588,11.588,11.588,11.588,0,0
20060224,11.588,11.627,11.588,11.588,208929,0
20060227,11.588,11.594,11.588,11.594,68223,0
20060228,11.594,11.594,11.588,11.594,23169,0
20060301,11.588,11.594,11.588,11.588,74949,0
20060302,11.588,11.594,11.588,11.588,30292,0
20060303,11.594,11.594,11.588,11.588,20585,0
20060306,11.594,11.594,11.588,11.588,9449,0
20060307,11.588,11.594,11.588,11.588,38574,0
20060308,11.588,11.588,11.588,11.588,8544,0
20060309,11.588,11.588,11.588,11.588,5438,0
20060310,11.588,11.588,11.588,11.588,24985,0
20060313,11.588,11.594,11.588,11.588,25629,0
20060314,11.588,11.594,11.588,11.588,30420,0
20060315,11.594,11.594,11.588,11.594,30032,0
20060316,11.588,11.588,11.588,11.588,34044,0
20060317,11.594,11.594,11.588,11.588,63042,0
20060320,11.588,11.594,11.588,11.588,700958,0
20060321,11.588,11.594,11.588,11.594,682317,0
20060322,11.588,11.594,11.588,11.594,121035,0
20060323,11.594,11.594,11.588,11.588,47382,0
20060324,11.588,11.594,11.588,11.588,67186,0
20060327,11.588,11.594,11.588,11.588,240386,0
20060328,11.588,11.594,11.588,11.588,181093,0
20060329,11.588,11.594,11.588,11.594,111453,0
20060330,11.588,11.594,11.588,11.588,68606,0
20060331,11.588,11.594,11.588,11.594,41297,0
20060403,11.588,11.594,11.588,11.594,66670,0
20060404,11.588,11.594,11.588,11.588,49447,0
20060405,11.588,11.602,11.588,11.594,119870,0
20060406,11.588,11.744,11.588,11.602,61490,0
20060407,11.594,11.611,11.588,11.602,48410,0
20060410,11.602,11.619,11.588,11.588,100190,0
20060411,11.594,11.594,11.278,11.356,120901,0
20060412,11.278,11.433,11.247,11.301,49062,0
20060413,11.24,11.278,11.226,11.278,78834,0
20060417,11.286,11.356,11.226,11.356,32496,0
20060418,11.317,11.433,11.317,11.395,24724,0
20060419,11.356,11.472,11.333,11.34,6342,0
20060420,11.34,11.472,11.34,11.419,19675,0
20060421,11.365,11.478,11.365,11.478,5571,0
20060424,11.502,11.502,11.465,11.486,9966,0
20060425,11.41,11.588,11.41,11.511,62654,0
20060426,11.472,11.472,11.433,11.433,24084,0
20060427,11.44,11.44,11.209,11.278,41808,0
20060428,11.286,11.356,11.278,11.278,6474,0
20060501,11.278,11.317,11.278,11.317,7894,0
20060502,11.41,11.581,11.317,11.581,42069,0
20060503,11.502,11.502,11.433,11.472,5827,0
20060504,11.433,11.472,11.433,11.472,1812,0
20060505,11.44,11.465,11.365,11.395,16440,0
20060508,11.425,11.425,11.365,11.365,23169,0
20060509,11.365,11.395,11.024,11.24,65631,0
20060510,11.218,11.317,11.093,11.139,31718,0
20060511,11.132,11.179,11.093,11.093,32496,0
20060512,11.093,11.093,10.978,11.016,42719,0
20060515,10.985,11.084,10.978,10.978,23432,0
20060516,11.008,11.008,10.907,10.907,23169,0
20060517,10.907,10.963,10.907,10.907,26537,0
20060518,10.907,10.907,10.9,10.9,9449,0
20060519,10.931,10.963,10.9,10.9,8932,0
20060522,10.9,10.97,10.846,10.862,25891,0
20060523,10.862,10.9,10.862,10.885,13206,0
20060524,10.885,10.885,10.738,10.746,27053,0
20060525,10.707,10.707,10.384,10.699,57086,0
20060526,10.777,10.853,10.777,10.846,3495,0
20060530,10.785,10.8,10.676,10.699,15273,0
20060531,10.699,10.762,10.506,10.614,31838,0
20060601,10.614,10.614,10.521,10.614,19292,0
20060602,10.584,10.676,10.584,10.676,31584,0
20060605,10.676,10.853,10.521,10.73,38963,0
20060606,10.699,10.853,10.546,10.601,112100,0
20060607,10.754,10.83,10.66,10.785,52941,0
20060608,10.692,10.794,10.652,10.777,59157,0
20060609,10.777,10.794,10.738,10.794,8283,0
20060612,10.794,10.794,10.622,10.622,47249,0
20060613,10.622,10.622,10.593,10.601,15532,0
20060614,10.66,10.66,10.568,10.593,25376,0
20060615,10.593,10.637,10.452,10.458,54503,0
20060616,10.344,10.391,10.266,10.335,59157,0
20060619,10.352,10.391,10.282,10.335,29252,0
20060620,10.391,10.466,10.36,10.421,50358,0
20060621,10.499,10.499,10.282,10.335,63948,0
20060622,10.274,10.329,10.199,10.236,49190,0
20060623,10.305,10.305,10.022,10.029,75597,0
20060626,10.042,10.105,9.981,9.981,79219,0
20060627,9.981,10.119,9.972,10.057,66538,0
20060628,10.097,10.097,9.989,10.057,58641,0
20060629,10.057,10.097,9.981,10.036,79092,0
20060630,10.005,10.042,9.981,10.013,89447,0
20060703,9.997,10.013,9.965,9.965,41420,0
20060705,9.965,10.036,9.942,10.036,132294,0
20060706,10.042,10.166,10.042,10.158,25760,0
20060707,10.158,10.274,10.158,10.236,37020,0
20060710,10.274,10.421,10.274,10.399,45049,0
20060711,10.466,10.466,10.335,10.352,62394,0
20060712,10.352,10.368,10.243,10.282,28480,0
20060713,10.274,10.407,10.258,10.352,50224,0
20060714,10.36,10.36,10.15,10.258,37804,0
20060717,10.297,10.335,10.228,10.313,34308,0
20060718,10.344,10.428,10.274,10.313,32876,0
20060719,10.428,10.593,10.352,10.376,54625,0
20060720,10.391,10.506,10.243,10.399,75727,0
20060721,10.384,10.458,10.352,10.428,38445,0
20060724,10.428,10.466,10.376,10.458,26145,0
20060725,10.36,10.458,10.352,10.376,66152,0
20060726,10.391,10.521,10.391,10.466,51002,0
20060727,10.506,10.546,10.482,10.521,30158,0
20060728,10.506,10.66,10.506,10.622,48288,0
20060731,10.614,10.8,10.614,10.762,75727,0
20060801,10.699,10.853,10.699,10.814,46210,0
20060802,10.892,10.892,10.8,10.885,37546,0
20060803,10.862,10.915,10.853,10.907,42329,0
20060804,10.985,11.07,10.939,11.055,45952,0
20060807,10.978,11.055,10.846,11.008,55530,0
20060808,11.047,11.077,10.97,11.077,30292,0
20060809,11.193,11.193,11.047,11.084,19030,0
20060810,11.084,11.139,11.055,11.055,55666,0
20060811,11.047,11.084,10.978,11.047,30158,0
20060814,10.978,11.047,10.97,11.008,21100,0
20060815,11.008,11.132,10.846,10.923,55275,0
20060816,10.97,11.024,10.97,11.008,26671,0
20060817,11.008,11.008,10.877,10.877,67955,0
20060818,10.931,10.97,10.869,10.963,23040,0
20060821,10.985,10.985,10.877,10.877,58512,0
20060822,10.822,10.97,10.822,10.853,47118,0
20060823,10.892,10.9,10.814,10.853,65245,0
20060824,10.892,11,10.892,10.963,41297,0
20060825,11,11.047,10.978,11.039,25109,0
20060828,11,11.101,10.939,11.055,57214,0
20060829,11.055,11.084,10.97,10.985,60579,0
20060830,11.032,11.055,11,11.047,25760,0
20060831,10.97,11.016,10.97,11,41297,0
20060901,10.985,11.055,10.985,11.047,17215,0
20060905,11.008,11.139,10.963,11.084,74689,0
20060906,11.07,11.147,11.024,11.024,33139,0
20060907,10.892,11,10.814,11,66152,0
20060908,11.008,11.063,10.97,11.008,35213,0
20060911,11,11.372,11,11.125,62265,0
20060912,11.202,11.202,11,11.07,94364,0
20060913,11.016,11.125,10.869,10.939,83885,0
20060914,10.963,10.985,10.885,10.931,49835,0
20060915,10.97,11.185,10.955,11.185,74043,0
20060918,11.233,11.233,11.117,11.185,45049,0
20060919,11.226,11.24,11.117,11.185,46734,0
20060920,11.247,11.263,11.147,11.263,108608,0
20060921,11.24,11.34,11.218,11.24,99162,0
20060922,11.278,11.348,11.254,11.317,36758,0
20060925,11.309,11.472,11.309,11.379,46470,0
20060926,11.379,11.387,11.317,11.372,48930,0
20060927,11.387,11.472,11.365,11.472,48540,0
20060928,11.511,11.511,11.404,11.433,58512,0
20060929,11.448,11.472,11.404,11.404,37020,0
20061002,11.395,11.472,11.34,11.356,52301,0
20061003,11.356,11.425,11.325,11.41,59417,0
20061004,11.41,11.425,11.317,11.356,49447,0
20061005,11.309,11.41,11.301,11.395,28997,0
20061006,11.387,11.433,11.317,11.395,33783,0
20061009,11.433,11.526,11.395,11.433,39998,0
20061010,11.433,11.472,11.365,11.41,39613,0
20061011,11.395,11.456,11.395,11.404,24084,0
20061012,11.356,11.404,11.278,11.333,37664,0
20061013,11.325,11.325,11.278,11.301,37546,0
20061016,11.317,11.365,11.295,11.309,28352,0
20061017,11.379,11.395,11.295,11.333,19152,0
20061018,11.395,11.472,11.278,11.295,46600,0
20061019,11.348,11.365,11.218,11.233,45693,0
20061020,11.278,11.333,11.263,11.325,37277,0
20061023,11.317,11.317,11.156,11.202,44276,0
20061024,11.209,11.209,11.139,11.139,24205,0
20061025,11.147,11.233,11.147,11.193,27573,0
20061026,11.202,11.34,11.163,11.34,46470,0
20061027,11.348,11.395,11.295,11.365,47638,0
20061030,11.419,11.419,11.317,11.325,20585,0
20061031,11.34,11.379,11.317,11.356,37277,0
20061101,11.333,11.433,11.333,11.433,71323,0
20061102,11.433,11.511,11.395,11.486,52426,0
20061103,11.356,11.465,11.356,11.425,28739,0
20061106,11.448,11.573,11.425,11.486,80905,0
20061107,11.511,11.55,11.419,11.472,72491,0
20061108,11.472,11.486,11.472,11.472,6862,0
20061109,11.395,11.465,11.395,11.41,32496,0
20061110,11.433,11.517,11.278,11.448,62783,0
20061113,11.404,11.404,11.084,11.317,226403,0
20061114,11.317,11.433,11.278,11.379,91127,0
20061115,11.433,11.456,11.325,11.372,49320,0
20061116,11.404,11.472,11.333,11.404,43493,0
20061117,11.433,11.472,11.317,11.317,51261,0
20061120,11.379,11.395,11.286,11.309,51002,0
20061121,11.286,11.356,11.226,11.333,53464,0
20061122,11.379,11.419,11.309,11.379,39222,0
20061124,11.419,11.465,11.395,11.425,20839,0
20061127,11.395,11.472,11.365,11.41,28739,0
20061128,11.317,11.494,11.317,11.494,37277,0
20061129,11.511,11.55,11.478,11.534,47382,0
20061130,11.534,11.573,11.534,11.573,19292,0
20061201,11.511,11.588,11.511,11.558,74303,0
20061204,11.566,11.82,11.566,11.602,88415,0
20061205,11.736,11.744,11.619,11.649,63560,0
20061206,11.602,11.657,11.581,11.649,42845,0
20061207,11.664,11.664,11.602,11.602,19418,0
