Date,Open,High,Low,Close,Volume,OpenInt
20120924,4.36,4.36,3.99,4.03,25725,0
20120925,4.05,4.12,3.95,3.97,11560,0
20120926,3.96,3.96,3.75,3.92,44820,0
20120927,3.94,4.07,3.94,4.05,17200,0
20120928,4.04,4.07,3.95,4.07,18699,0
20121001,4.05,4.28,4.05,4.26,30448,0
20121002,4.3,4.44,4.28,4.44,120789,0
20121003,4.37,4.38,4.27,4.28,39940,0
20121004,4.3,4.36,4.27,4.33,13600,0
20121005,4.33,4.41,4.3,4.41,24100,0
20121008,4.4,4.4,4.4,4.4,347,0
20121009,4.37,4.37,4.29,4.29,13447,0
20121010,4.28,4.32,4.17,4.2,24092,0
20121011,4.2,4.35,4.2,4.33,77035,0
20121012,4.3,4.3,4.25,4.3,30743,0
20121015,4.27,4.27,4.14,4.26,37135,0
20121016,4.21,4.34,4.2,4.31,21124,0
20121017,4.31,4.54,4.31,4.5,60780,0
20121018,4.54,4.54,4.37,4.4,25175,0
20121019,4.5,4.5,4.37,4.4,59077,0
20121022,4.4,4.4,4.2,4.2,35731,0
20121023,4.12,4.21,4.1,4.19,40445,0
20121024,4.16,4.16,4.06,4.06,40468,0
20121025,4.05,4.1,4.01,4.1,15171,0
20121026,4.02,4.05,4,4,40050,0
20121031,4.25,4.27,4.07,4.22,35400,0
20121101,4.22,4.35,4.2,4.26,29273,0
20121102,4.3,4.39,4.2,4.26,35780,0
20121105,4.25,4.25,4.18,4.18,8746,0
20121106,4.24,4.49,4.24,4.49,19428,0
20121107,4.4,4.4,4.06,4.06,24849,0
20121108,4.26,4.31,4.09,4.12,16456,0
20121109,4.02,4.19,4.02,4.07,17977,0
20121112,4.07,4.25,4.07,4.12,9469,0
20121113,4.1,4.11,4.01,4.01,15403,0
20121114,4.01,4.01,3.85,3.85,10947,0
20121115,3.85,3.93,3.85,3.92,35779,0
20121116,3.95,3.95,3.95,3.95,3800,0
20121119,4.07,4.28,4.07,4.28,22272,0
20121120,4.25,4.26,4.2,4.26,1800,0
20121121,4.31,4.31,4.28,4.3,194143,0
20121123,4.33,4.33,4.22,4.25,6712,0
20121126,4.25,4.3,4.15,4.15,134900,0
20121127,4.1,4.1,4.01,4.01,10970,0
20121128,3.97,4.15,3.96,4.15,14001,0
20121129,4.15,4.16,4.04,4.04,15900,0
20121130,4.05,4.09,4.02,4.02,12189,0
20121203,4,4.05,3.98,3.98,6497,0
20121204,4,4.02,4,4.02,1200,0
20121205,3.95,3.95,3.85,3.94,3077,0
20121206,3.81,3.85,3.76,3.79,21050,0
20121207,3.79,3.9,3.79,3.9,9072,0
20121210,3.85,3.85,3.8,3.82,7424,0
20121211,3.85,3.87,3.7,3.75,38600,0
20121212,3.78,3.82,3.69,3.75,230400,0
20121213,3.72,4.05,3.7,4.05,138605,0
20121214,3.95,4.09,3.95,4.09,38201,0
20121217,4.09,4.09,4.02,4.03,138010,0
20121218,4.09,4.25,4.07,4.25,69932,0
20121219,4.24,4.3,4.19,4.2,68632,0
20121220,4.2,4.41,4.17,4.37,108319,0
20121221,4.2,4.23,4.18,4.18,32798,0
20121224,4.24,4.26,4.21,4.24,13800,0
20121226,4.25,4.25,4.15,4.15,2597,0
20121227,4.21,4.34,4.17,4.32,12900,0
20121228,3.86,4.3,3.86,4.3,26450,0
20121231,4.3,4.32,4.21,4.28,29440,0
20130102,4.38,4.4,4.27,4.35,35900,0
20130103,4.38,4.38,4.2,4.2,4665,0
