Date,Open,High,Low,Close,Volume,OpenInt
20110201,0.25,0.26,0.24,0.26,3952693,0
20110202,0.26,0.26,0.24,0.25,367320,0
20110203,0.25,0.25,0.24,0.25,429160,0
20110204,0.26,0.26,0.24,0.24,718267,0
20110207,0.25,0.26,0.25,0.25,624243,0
20110208,0.26,0.26,0.24,0.25,1736685,0
20110209,0.25,0.26,0.25,0.25,963375,0
20110210,0.25,0.25,0.24,0.24,5545262,0
20110211,0.25,0.25,0.24,0.25,559853,0
20110214,0.25,0.26,0.25,0.26,954698,0
20110215,0.26,0.26,0.25,0.25,912347,0
20110216,0.26,0.26,0.25,0.25,1647493,0
20110218,0.26,0.26,0.26,0.26,475000,0
20110222,0.25,0.26,0.24,0.25,1846060,0
20110223,0.25,0.25,0.23,0.23,1423200,0
20110224,0.25,0.25,0.25,0.25,52950,0
20110225,0.24,0.25,0.24,0.25,75600,0
20110228,0.25,0.25,0.25,0.25,723500,0
20110301,0.25,0.25,0.24,0.24,324000,0
20110302,0.25,0.25,0.25,0.25,4400,0
20110303,0.25,0.25,0.25,0.25,1145485,0
20110304,0.25,0.25,0.23,0.24,135579,0
20110307,0.25,0.25,0.24,0.25,129298,0
20110308,0.25,0.25,0.23,0.24,297079,0
20110309,0.25,0.25,0.23,0.25,1597028,0
20110310,0.24,0.25,0.23,0.24,114260,0
20110311,0.24,0.25,0.24,0.25,178970,0
20110314,0.24,0.25,0.23,0.25,230700,0
20110315,0.24,0.24,0.23,0.24,175300,0
20110316,0.25,0.25,0.23,0.23,33700,0
20110317,0.23,0.24,0.23,0.23,164900,0
20110318,0.25,0.25,0.23,0.24,42400,0
20110321,0.24,0.24,0.2,0.21,989112,0
20110322,0.22,0.22,0.19,0.2,1678350,0
20110323,0.2,0.2,0.18,0.2,247400,0
20110324,0.19,0.19,0.18,0.19,311400,0
20110325,0.19,0.2,0.19,0.19,211636,0
20110328,0.19,0.2,0.18,0.18,182677,0
20110329,0.19,0.2,0.19,0.2,886500,0
20110330,0.19,0.19,0.19,0.19,223500,0
20110331,0.2,0.2,0.18,0.19,84600,0
20110401,0.18,0.2,0.18,0.19,219300,0
20110404,0.19,0.19,0.18,0.18,219000,0
20110405,0.19,0.19,0.18,0.18,260184,0
20110406,0.2,0.2,0.18,0.18,444332,0
20110407,0.19,0.2,0.19,0.2,622700,0
20110408,0.2,0.2,0.18,0.18,497346,0
20110411,0.19,0.19,0.18,0.19,138300,0
20110412,0.19,0.19,0.18,0.19,1292600,0
20110413,0.18,0.19,0.18,0.18,221450,0
20110414,0.18,0.18,0.17,0.18,77899,0
20110415,0.19,0.19,0.17,0.18,273383,0
20110418,0.17,0.17,0.15,0.16,791098,0
20110419,0.16,0.17,0.15,0.17,46150,0
20110420,0.17,0.18,0.16,0.18,145992,0
20110421,0.17,0.18,0.16,0.17,512423,0
20110425,0.17,0.18,0.17,0.18,312700,0
20110426,0.17,0.18,0.17,0.17,51900,0
20110427,0.17,0.18,0.16,0.16,1059326,0
20110428,0.16,0.18,0.15,0.17,1330532,0
20110429,0.17,0.18,0.17,0.17,1001793,0
20110502,0.17,0.17,0.16,0.16,30300,0
20110503,0.17,0.18,0.17,0.17,168000,0
20110504,0.17,0.18,0.17,0.18,113500,0
20110505,0.18,0.18,0.17,0.18,486000,0
20110506,0.17,0.18,0.17,0.17,302700,0
20110509,0.18,0.19,0.17,0.17,376390,0
20110510,0.17,0.18,0.17,0.17,825500,0
20110511,0.16,0.18,0.16,0.16,793700,0
20110512,0.15,0.16,0.15,0.16,148600,0
20110513,0.16,0.16,0.16,0.16,96607,0
20110516,0.16,0.16,0.15,0.16,102343,0
20110517,0.15,0.16,0.15,0.16,187600,0
20110518,0.16,0.16,0.16,0.16,40248,0
20110519,0.16,0.17,0.16,0.16,149850,0
20110520,0.16,0.17,0.16,0.16,129949,0
20110523,0.16,0.16,0.15,0.16,86350,0
20110524,0.15,0.16,0.15,0.15,139700,0
20110525,0.15,0.16,0.15,0.16,47700,0
20110526,0.15,0.16,0.15,0.16,64500,0
20110527,0.15,0.16,0.14,0.16,64107,0
20110531,0.16,0.16,0.14,0.14,69117,0
20110601,0.14,0.16,0.14,0.15,58292,0
20110602,0.15,0.15,0.14,0.15,52408,0
20110603,0.14,0.15,0.14,0.15,35000,0
20110606,0.14,0.15,0.13,0.13,233225,0
20110607,0.14,0.14,0.13,0.14,10600,0
20110608,0.13,0.14,0.13,0.14,3100,0
20110609,0.13,0.13,0.12,0.13,531475,0
20110610,0.13,0.13,0.11,0.13,819975,0
20110613,0.13,0.13,0.12,0.12,116200,0
20110614,0.12,0.13,0.1,0.12,579700,0
20110615,0.1,0.12,0.1,0.1,83500,0
20110616,0.1,0.16,0.1,0.11,594300,0
20110617,0.1,0.12,0.1,0.11,59300,0
20110620,0.1,0.12,0.1,0.11,157900,0
20110621,0.12,0.12,0.1,0.11,187999,0
20110622,0.1,0.12,0.1,0.11,538700,0
20110623,0.11,0.11,0.1,0.11,75100,0
20110624,0.11,0.11,0.11,0.11,97047,0
20110627,0.1,0.11,0.1,0.1,563400,0
20110628,0.1,0.11,0.1,0.11,61500,0
20110629,0.1,0.12,0.1,0.12,787705,0
20110630,0.12,0.12,0.11,0.11,124100,0
20110701,0.11,0.12,0.11,0.12,215094,0
20110705,0.12,0.13,0.11,0.13,651319,0
20110706,0.12,0.13,0.12,0.13,322900,0
20110707,0.13,0.14,0.12,0.14,331026,0
20110708,0.14,0.14,0.13,0.14,62974,0
20110711,0.12,0.14,0.12,0.14,237201,0
20110712,0.12,0.13,0.12,0.13,133700,0
20110713,0.14,0.14,0.13,0.13,57600,0
20110714,0.12,0.13,0.12,0.13,65700,0
20110715,0.12,0.13,0.12,0.12,37900,0
20110718,0.12,0.12,0.11,0.11,57708,0
20110719,0.11,0.12,0.11,0.12,235700,0
20110720,0.12,0.12,0.11,0.11,38017,0
20110721,0.11,0.12,0.11,0.12,530526,0
20110722,0.11,0.12,0.11,0.11,57200,0
20110725,0.11,0.13,0.11,0.12,191501,0
20110726,0.12,0.12,0.11,0.11,227900,0
20110727,0.11,0.12,0.11,0.11,209302,0
20110728,0.11,0.13,0.11,0.12,149700,0
20110729,0.11,0.12,0.11,0.12,95517,0
20110801,0.11,0.13,0.11,0.13,248112,0
20110802,0.12,0.13,0.11,0.13,44900,0
20110803,0.12,0.13,0.11,0.11,99317,0
20110804,0.11,0.11,0.1,0.1,111673,0
20110805,0.1,0.11,0.09,0.09,149956,0
20110808,0.09,0.1,0.08,0.08,404401,0
20110809,0.08,0.1,0.08,0.09,412411,0
20110810,0.08,0.09,0.08,0.08,291901,0
20110811,0.08,0.09,0.08,0.09,195677,0
20110812,0.09,0.09,0.08,0.09,55356,0
20110815,0.09,0.1,0.09,0.1,11500,0
20110816,0.1,0.1,0.09,0.09,5499,0
20110817,0.09,0.1,0.09,0.1,74523,0
20110818,0.09,0.09,0.08,0.08,164961,0
20110819,0.09,0.09,0.08,0.09,145500,0
20110822,0.09,0.09,0.08,0.08,155800,0
20110823,0.08,0.09,0.08,0.08,124700,0
20110824,0.09,0.09,0.09,0.09,60600,0
20110825,0.1,0.12,0.09,0.1,2616959,0
20110826,0.1,0.11,0.1,0.1,54200,0
20110829,0.11,0.11,0.11,0.11,8500,0
20110830,0.11,0.11,0.1,0.11,252700,0
20110831,0.1,0.11,0.09,0.1,273561,0
20110901,0.1,0.1,0.1,0.1,500,0
20110902,0.1,0.1,0.09,0.1,54817,0
20110906,0.09,0.09,0.09,0.09,83200,0
20110907,0.09,0.09,0.08,0.09,51000,0
20110909,0.09,0.09,0.08,0.08,127700,0
20110912,0.08,0.08,0.08,0.08,79700,0
20110913,0.09,0.11,0.09,0.1,401700,0
20110914,0.1,0.1,0.1,0.1,7800,0
20110915,0.09,0.1,0.08,0.1,134999,0
20110916,0.09,0.09,0.09,0.09,171492,0
20110919,0.09,0.09,0.08,0.08,15247,0
20110920,0.09,0.09,0.08,0.09,214850,0
20110921,0.09,0.09,0.09,0.09,351159,0
20110922,0.09,0.09,0.07,0.07,139499,0
20110923,0.07,0.08,0.07,0.08,83000,0
20110926,0.09,0.09,0.08,0.09,171800,0
20110927,0.09,0.09,0.09,0.09,121600,0
20110929,0.08,0.09,0.07,0.09,68401,0
20110930,0.08,0.08,0.08,0.08,10000,0
20111003,0.08,0.08,0.07,0.07,151300,0
20111004,0.07,0.07,0.07,0.07,5900,0
20111005,0.07,0.07,0.06,0.07,150000,0
20111006,0.06,0.07,0.06,0.06,584292,0
20111007,0.07,0.07,0.06,0.06,340800,0
20111010,0.06,0.07,0.06,0.06,582100,0
20111011,0.06,0.07,0.06,0.07,283300,0
20111012,0.07,0.08,0.07,0.07,238977,0
20111013,0.07,0.07,0.07,0.07,12100,0
20111014,0.07,0.08,0.07,0.07,105200,0
20111017,0.08,0.08,0.08,0.08,3300,0
20111018,0.08,0.08,0.08,0.08,136500,0
20111019,0.08,0.1,0.08,0.08,59600,0
20111020,0.09,0.09,0.09,0.09,3700,0
20111021,0.09,0.1,0.09,0.09,25400,0
20111024,0.09,0.1,0.09,0.1,22800,0
20111025,0.09,0.09,0.09,0.09,100,0
20111026,0.09,0.1,0.09,0.1,33400,0
20111027,0.11,0.11,0.1,0.11,253890,0
20111028,0.1,0.11,0.1,0.1,44500,0
20111031,0.1,0.1,0.1,0.1,50000,0
20111101,0.09,0.09,0.08,0.09,253399,0
20111102,0.09,0.09,0.08,0.09,234898,0
20111103,0.1,0.1,0.1,0.1,5400,0
20111104,0.08,0.1,0.08,0.08,35200,0
20111108,0.09,0.09,0.09,0.09,25802,0
20111109,0.08,0.09,0.08,0.08,35171,0
20111110,0.08,0.08,0.08,0.08,183800,0
20111111,0.09,0.09,0.09,0.09,100,0
20111114,0.1,0.1,0.08,0.08,3940,0
20111115,0.09,0.09,0.08,0.08,402032,0
20111116,0.08,0.08,0.07,0.07,705500,0
20111117,0.07,0.07,0.06,0.07,682356,0
20111118,0.07,0.07,0.07,0.07,19000,0
20111121,0.07,0.07,0.06,0.06,229481,0
20111122,0.06,0.06,0.06,0.06,17721,0
20111123,0.06,0.07,0.06,0.06,357900,0
20111125,0.07,0.07,0.07,0.07,5000,0
20111128,0.08,0.08,0.07,0.07,21100,0
20111129,0.07,0.07,0.07,0.07,1000,0
20111130,0.07,0.08,0.07,0.08,30994,0
20111201,0.08,0.08,0.07,0.07,363223,0
20111202,0.07,0.08,0.07,0.07,2518600,0
20111205,0.07,0.08,0.07,0.07,781349,0
20111207,0.07,0.07,0.07,0.07,24800,0
20111208,0.07,0.07,0.07,0.07,2165500,0
20111209,0.07,0.08,0.07,0.08,3548099,0
20111212,0.08,0.08,0.07,0.07,2108100,0
20111213,0.08,0.08,0.06,0.07,1081800,0
20111214,0.08,0.08,0.07,0.07,63449,0
20111216,0.07,0.07,0.05,0.06,797812,0
20111219,0.06,0.06,0.05,0.06,464464,0
20111220,0.06,0.06,0.04,0.04,3078680,0
20111221,0.04,0.05,0.04,0.05,3002241,0
20111222,0.05,0.06,0.04,0.06,311848,0
20111223,0.06,0.06,0.05,0.05,206749,0
20111227,0.06,0.06,0.05,0.06,1163199,0
20111228,0.06,0.06,0.05,0.06,173550,0
20111229,0.06,0.06,0.05,0.06,388960,0
20111230,0.05,0.06,0.05,0.05,1120175,0
20120103,0.05,0.06,0.05,0.05,345091,0
20120104,0.06,0.06,0.05,0.06,37100,0
20120105,0.06,0.07,0.06,0.07,609774,0
20120106,0.07,0.07,0.06,0.07,163210,0
20120109,0.07,0.07,0.07,0.07,6645,0
20120110,0.07,0.07,0.07,0.07,35411,0
20120111,0.07,0.08,0.07,0.07,402225,0
20120112,0.07,0.08,0.07,0.08,231070,0
