Date,Open,High,Low,Close,Volume,OpenInt
19840907,2.2994,2.2994,2.2628,2.2628,129160,0
19840910,2.2628,2.2628,2.2444,2.2444,276579,0
19840911,2.2994,2.3178,2.2811,2.2811,812780,0
19840912,2.2994,2.3178,2.2628,2.3178,1338545,0
19840913,2.3178,2.3547,2.3178,2.3547,204827,0
19840914,2.3731,2.3916,2.3547,2.3916,1187208,0
19840917,2.4101,2.4192,2.3916,2.4101,2056087,0
19840918,2.4101,2.4192,2.3916,2.3916,1371159,0
19840919,2.3916,2.3916,2.3638,2.3731,1120673,0
19840920,2.3731,2.3822,2.3638,2.3822,157861,0
19840921,2.3916,2.3916,2.3731,2.3731,563599,0
19840924,2.3731,2.3731,2.3456,2.3456,721455,0
19840925,2.3547,2.3547,2.3178,2.3362,160468,0
19840926,2.3362,2.3547,2.3178,2.3362,262228,0
19840927,2.3362,2.3362,2.3271,2.3362,131767,0
19840928,2.3362,2.3362,2.3088,2.3178,227003,0
19841001,2.3178,2.3178,2.2444,2.2535,866272,0
19841002,2.2535,2.2628,2.2077,2.2628,1350287,0
19841003,2.2628,2.2628,2.2444,2.2535,542723,0
19841004,2.2535,2.3178,2.2535,2.3178,601431,0
19841005,2.3178,2.3362,2.3178,2.3362,901495,0
19841008,2.3362,2.3547,2.3362,2.3547,380951,0
19841009,2.3547,2.3916,2.3547,2.3731,1060660,0
19841010,2.3731,2.3916,2.3731,2.3916,405739,0
19841011,2.4101,2.4377,2.4101,2.4101,982380,0
19841012,2.4101,2.4281,2.4101,2.4281,674491,0
19841015,2.4281,2.465,2.4192,2.4465,353553,0
19841016,2.4465,2.4744,2.4465,2.465,870184,0
19841017,2.465,2.465,2.4377,2.4377,327459,0
19841018,2.4377,2.5017,2.4281,2.5017,1222432,0
19841019,2.5202,2.6213,2.5202,2.5202,2367893,0
19841022,2.465,2.465,2.3916,2.4465,1660789,0
19841023,2.4465,2.4561,2.3362,2.3547,6527035,0
19841024,2.3362,2.3362,2.3178,2.3362,1715579,0
19841025,2.3362,2.3362,2.3178,2.3178,2657521,0
19841026,2.3178,2.3178,2.2994,2.2994,1881266,0
19841029,2.2994,2.3178,2.2994,2.2994,1407690,0
19841030,2.2994,2.3547,2.2994,2.3362,3523790,0
19841031,2.3362,2.3547,2.3362,2.3362,776252,0
19841101,2.3362,2.3362,2.3178,2.3178,517937,0
19841102,2.3178,2.3362,2.2905,2.2905,2114799,0
19841105,2.2905,2.2994,2.2811,2.2811,1410299,0
19841106,2.2994,2.3547,2.2994,2.3547,861054,0
19841107,2.3547,2.3916,2.3547,2.3731,6161741,0
19841108,2.3547,2.3547,2.3362,2.3547,1959545,0
19841109,2.3547,2.3731,2.3547,2.3731,3161104,0
19841112,2.3731,2.3916,2.3547,2.3731,1089362,0
19841113,2.3731,2.3731,2.3731,2.3731,280492,0
19841114,2.3731,2.3916,2.3731,2.3916,3033255,0
19841115,2.3731,2.3731,2.3731,2.3731,1707751,0
19841116,2.3731,2.3731,2.3362,2.3362,1183294,0
19841119,2.3362,2.3362,2.2905,2.2994,465751,0
19841120,2.2994,2.3362,2.2994,2.3362,727978,0
