Date,Open,High,Low,Close,Volume,OpenInt
20140916,23.4,23.4,23.4,23.4,300,0
20141014,23.4,23.4,23.4,23.4,200,0
20141015,23.4,23.4,23.4,23.4,200,0
20141016,23.4,23.75,23.25,23.73,1600,0
20141017,23.73,23.73,23.73,23.73,300,0
20141021,20,20,20,20,20100,0
20141024,23.73,24,21.66,23.94,1300,0
20141027,23.73,23.73,23.73,23.73,200,0
20141028,23.73,23.73,23,23,900,0
20141029,23,23,23,23,300,0
20141030,23,23,23,23,300,0
20141114,1,1,1,1,300,0
20141125,1,1,1,1,1200,0
20141202,1,1,1,1,200,0
20141203,1,1,1,1,1800,0
20141212,23,23,23,23,500,0
20141216,1,23,1,23,5900,0
20141217,23,23,23,23,1300,0
20141226,1.09,1.09,1.09,1.09,300,0
20141231,1,1,1,1,478200,0
20150108,0.01,19.53,0.01,19.53,600,0
