Date,Open,High,Low,Close,Volume,OpenInt
20100823,20.702,20.728,20.514,20.626,39486,0
20100824,20.478,20.626,20.469,20.547,119937,0
20100825,20.556,20.589,20.538,20.575,47143,0
20100826,20.589,20.635,20.496,20.505,105630,0
20100827,20.538,20.538,20.454,20.538,85538,0
20100830,20.566,20.635,20.538,20.581,39669,0
20100831,20.547,20.589,20.315,20.566,200946,0
20100901,20.635,20.807,20.598,20.798,103574,0
20100902,20.821,20.839,20.686,20.755,122843,0
20100903,20.762,20.866,20.719,20.849,96605,0
20100907,20.839,20.858,20.755,20.807,394989,0
20100908,20.839,20.891,20.839,20.858,359374,0
20100909,20.874,20.934,20.874,20.891,127268,0
20100910,20.942,21.002,20.918,20.926,70655,0
20100913,20.994,21.062,20.926,20.942,98764,0
20100914,20.96,20.994,20.891,20.951,191132,0
20100915,20.978,21.002,20.909,21.002,222629,0
20100916,20.951,21.002,20.891,21.002,267644,0
20100917,21.03,21.279,20.969,21.279,154517,0
20100920,21.262,21.279,21.081,21.098,224818,0
20100921,21.02,21.183,21.02,21.114,386526,0
20100922,21.175,21.219,21.09,21.132,672013,0
20100923,21.123,21.201,21.062,21.062,52984,0
20100924,21.175,21.175,21.071,21.071,78525,0
20100927,21.123,21.141,21.03,21.106,118360,0
20100928,20.762,20.798,20.635,20.635,128434,0
20100929,20.677,20.719,20.566,20.626,122742,0
20100930,20.635,20.762,20.547,20.71,422159,0
20101001,20.719,20.807,20.635,20.659,35253,0
20101004,20.635,20.659,20.589,20.626,73000,0
20101005,20.589,20.719,20.575,20.677,79457,0
20101006,20.719,20.719,20.547,20.626,56288,0
20101007,20.617,20.677,20.547,20.617,56010,0
20101008,20.649,20.677,20.598,20.677,77316,0
20101011,20.686,20.702,20.659,20.702,66997,0
20101012,20.695,20.737,20.686,20.695,72328,0
20101013,20.755,20.755,20.686,20.686,254467,0
20101014,20.686,20.695,20.134,20.273,210385,0
20101015,20.228,20.228,19.611,19.611,312911,0
20101018,19.602,19.945,19.481,19.945,166118,0
20101019,19.945,20.246,19.645,19.696,207415,0
20101020,19.679,19.74,19.327,19.5,229805,0
20101021,19.516,19.679,19.481,19.567,107686,0
20101022,19.619,19.764,19.516,19.74,164250,0
20101025,19.834,19.834,19.447,19.456,82583,0
20101026,19.472,19.56,19.24,19.56,161471,0
20101027,19.551,19.679,19.421,19.653,95727,0
20101028,19.696,19.713,19.542,19.645,123201,0
20101029,19.748,19.851,19.671,19.756,63049,0
20101101,19.894,19.972,19.816,19.816,90165,0
20101102,19.86,19.902,19.456,19.5,298050,0
20101103,19.464,19.704,19.319,19.645,252205,0
20101104,19.688,19.937,19.671,19.937,176910,0
20101105,20.014,20.213,19.937,20.117,104100,0
20101108,20.134,20.246,19.981,20.204,74528,0
20101109,20.213,20.334,20.195,20.246,71118,0
20101110,20.204,20.547,20.143,20.538,227839,0
20101111,20.589,20.635,20.375,20.529,176460,0
20101112,20.462,20.505,20.297,20.478,121240,0
20101115,20.487,20.529,20.394,20.436,116533,0
20101116,20.334,20.417,20.023,20.297,79897,0
20101117,20.228,20.315,20.074,20.185,51157,0
20101118,20.264,20.289,20.177,20.228,53673,0
20101119,20.162,20.204,20.048,20.162,30482,0
20101122,20.185,20.185,19.825,19.921,43716,0
20101123,19.902,19.902,19.627,19.653,62747,0
20101124,19.756,20.547,19.584,19.627,311617,0
20101126,19.542,19.671,19.542,19.636,28025,0
20101129,19.662,19.704,19.584,19.636,104497,0
20101130,19.56,19.808,19.56,19.602,40397,0
20101201,19.696,19.791,19.593,19.783,999325,0
20101202,19.851,19.902,19.791,19.86,246648,0
20101203,19.86,19.877,19.8,19.86,104659,0
20101206,19.816,19.988,19.774,19.86,244318,0
20101207,20.074,20.092,19.945,20.014,616093,0
20101208,20.014,20.092,19.945,20.032,187508,0
20101209,20.066,20.177,19.988,20.162,315399,0
20101210,20.143,20.487,20.117,20.375,111285,0
20101213,20.334,20.445,20.264,20.375,515194,0
20101214,20.375,20.375,20.185,20.255,81885,0
20101215,20.324,20.375,20.092,20.289,41073,0
20101216,20.222,20.342,20.222,20.273,54089,0
20101217,20.255,20.357,20.204,20.342,38630,0
20101220,20.289,20.436,20.238,20.273,53076,0
20101221,20.342,20.478,20.255,20.417,831003,0
20101222,20.469,20.522,20.417,20.417,19088,0
20101223,20.375,20.478,20.349,20.417,674073,0
20101227,20.427,20.581,20.427,20.462,14683,0
20101228,20.462,20.607,20.462,20.598,37979,0
20101229,20.222,20.357,20.222,20.349,67990,0
20101230,20.349,20.436,20.289,20.324,66560,0
20101231,20.349,20.427,20.349,20.375,65453,0
20110103,20.402,20.529,20.385,20.436,150771,0
20110104,20.375,20.478,20.126,20.445,450821,0
20110105,20.462,20.538,20.436,20.462,165859,0
20110106,20.514,20.529,20.417,20.505,92363,0
20110107,20.505,20.575,20.462,20.505,67890,0
20110110,20.496,20.547,20.436,20.487,76781,0
20110111,20.505,20.522,20.454,20.454,173149,0
20110112,20.469,20.589,20.462,20.547,472638,0
20110113,20.581,20.581,20.478,20.547,100185,0
20110114,20.522,20.575,20.522,20.556,26849,0
20110118,20.547,20.575,20.409,20.566,54160,0
20110119,20.538,20.556,20.478,20.547,60817,0
20110120,20.514,20.607,20.514,20.556,89590,0
20110121,20.589,20.589,20.505,20.547,60883,0
20110124,20.556,20.626,20.522,20.589,46439,0
20110125,20.556,20.635,20.547,20.635,104752,0
20110126,20.589,20.719,20.589,20.635,46969,0
20110127,20.659,20.746,20.635,20.677,25639,0
20110128,20.695,20.798,20.635,20.635,21761,0
20110131,20.649,20.746,20.617,20.746,107988,0
20110201,20.77,21.062,20.746,20.858,730910,0
20110202,20.83,20.969,20.814,20.83,461242,0
20110203,20.849,20.858,20.77,20.77,52756,0
20110204,20.746,20.96,20.746,20.891,512201,0
20110207,20.866,20.891,20.821,20.821,11975,0
20110208,20.814,20.909,20.788,20.909,94422,0
20110209,20.874,20.934,20.83,20.891,180865,0
20110210,20.891,20.978,20.858,20.978,17354,0
20110211,20.951,21.071,20.951,21.071,17012,0
20110214,21.071,21.114,20.994,21.114,23246,0
20110215,21.071,21.081,20.934,21.002,90616,0
20110216,20.987,21.062,20.96,21.03,40817,0
20110218,21.09,21.106,20.96,21.071,67569,0
20110222,21.038,21.054,20.788,20.788,31764,0
20110223,20.821,20.891,20.779,20.866,54154,0
20110224,20.874,20.934,20.849,20.9,45397,0
20110225,20.934,20.969,20.866,20.866,21813,0
20110228,20.891,21.011,20.83,21.002,51121,0
20110301,21.09,21.09,20.881,20.934,19717,0
20110302,20.909,21.071,20.891,21.047,12533,0
20110303,21.047,21.114,20.849,21.081,504190,0
20110304,21.047,21.054,20.934,21.002,53935,0
20110307,20.987,21.011,20.918,20.934,23114,0
20110308,20.9,21.166,20.9,21.106,347349,0
20110309,21.09,21.114,21.038,21.062,296627,0
20110310,21.047,21.062,21.03,21.062,66609,0
20110311,21.062,21.141,21.002,21.071,56452,0
20110314,21.038,21.09,21.002,21.09,32765,0
20110315,20.978,21.02,20.891,20.951,40170,0
20110316,20.969,21.062,20.934,21.02,345435,0
20110317,21.02,21.106,21.011,21.062,87030,0
20110318,21.106,21.166,21.038,21.062,150227,0
