Date,Open,High,Low,Close,Volume,OpenInt
20130226,18.497,18.559,17.91,18.386,1187076,0
20130227,18.221,18.536,18.221,18.371,828987,0
20130228,18.379,18.379,18.042,18.09,889798,0
20130301,17.987,18.325,17.925,17.987,424200,0
20130304,17.949,17.949,17.135,17.245,1265100,0
20130305,17.221,17.589,17.096,17.151,668817,0
20130306,17.206,17.69,17.166,17.52,1312115,0
20130307,17.791,17.925,17.605,17.808,290672,0
20130308,17.879,17.879,17.511,17.699,333219,0
20130311,17.816,17.816,17.191,17.191,1157207,0
20130312,17.206,17.573,17.127,17.308,213667,0
20130313,17.52,17.52,16.635,16.651,1367757,0
20130314,16.815,16.815,15.962,16.127,1913535,0
20130315,16.142,16.337,16.032,16.315,440233,0
20130318,16.347,16.347,16.001,16.065,401330,0
20130319,16.032,16.032,15.118,15.282,2023511,0
20130320,15.516,15.587,15.211,15.524,1386603,0
20130321,15.345,16.025,15.33,15.727,1787122,0
20130322,15.837,15.884,15.547,15.712,471351,0
20130325,15.688,16.244,15.547,16.165,858986,0
20130326,16.384,16.384,15.868,16.032,429858,0
20130327,14.758,14.758,14,14.187,4836435,0
20130328,14.351,14.609,14.179,14.602,2019631,0
20130401,14.664,16.032,14.468,14.593,1016187,0
20130402,14.742,14.742,14.086,14.093,1077191,0
20130403,14.179,14.445,14.14,14.343,1046842,0
20130404,14.735,14.735,14.195,14.289,574418,0
20130405,14.289,14.453,14.157,14.25,459117,0
20130408,14.468,14.516,14.28,14.5,825684,0
20130409,14.664,15.407,14.555,15.345,1174798,0
20130410,15.486,15.727,15.304,15.602,1219817,0
20130411,15.667,15.667,14.902,15.189,1923593,0
20130412,15.156,15.316,14.664,14.799,1023426,0
20130415,14.6,14.6,13.956,14.059,1435220,0
20130416,14.306,14.306,13.899,14.011,1025203,0
20130417,13.94,14.068,13.693,13.987,866286,0
20130418,14.115,14.345,13.732,13.98,1137803,0
20130419,14.091,14.274,13.798,14.226,1194127,0
20130422,14.41,14.41,13.757,14.146,675947,0
20130423,14.25,14.504,13.916,14.051,1573404,0
20130424,14.162,14.593,14.162,14.552,679452,0
20130425,15.468,16.533,15.276,15.945,1087709,0
20130426,15.889,16.056,15.381,15.628,822965,0
20130429,15.611,16.112,15.57,15.992,357051,0
20130430,15.905,16.526,15.747,16.287,516662,0
20130501,16.168,16.168,15.699,15.738,563305,0
20130502,15.714,15.81,15.038,15.046,1040655,0
20130503,15.42,15.587,15.316,15.412,1051983,0
20130506,15.579,16.175,15.579,16.097,596762,0
20130507,16.43,16.517,16.175,16.247,443843,0
20130508,16.343,17.282,16.256,17.21,617410,0
20130509,17.107,17.449,16.828,17.051,480851,0
20130510,17.114,17.504,16.909,17.481,306853,0
20130513,17.473,17.504,17.107,17.202,308776,0
20130514,17.225,17.225,16.645,16.788,598956,0
20130515,16.661,16.661,16.175,16.215,536941,0
20130516,16.049,16.351,15.628,15.977,750578,0
20130517,16.097,16.382,15.992,16.192,346977,0
20130520,16.159,16.533,15.992,16.366,422776,0
20130521,16.582,16.797,16.446,16.501,350467,0
20130522,16.638,17.036,16.511,16.931,1748715,0
20130523,16.629,16.629,16.192,16.478,669813,0
20130524,16.621,16.653,16.303,16.335,254720,0
20130528,16.55,16.558,16.247,16.247,802248,0
20130529,16.351,16.351,15.491,15.753,677287,0
20130530,15.889,15.889,15.459,15.57,387357,0
20130531,15.674,15.684,15.259,15.267,650116,0
20130603,15.34,15.635,15.173,15.308,310192,0
20130604,15.427,15.985,15.427,15.937,2189308,0
20130605,15.898,15.905,15.222,15.276,142134,0
20130606,15.436,15.468,15.205,15.364,225609,0
20130607,15.387,15.515,14.999,15.038,504906,0
20130610,14.918,15.213,14.902,15.038,317247,0
20130611,14.918,15.014,14.84,14.935,603985,0
20130612,15.109,15.205,14.624,14.783,274961,0
20130613,14.918,15.332,14.823,15.269,208076,0
20130614,15.468,15.747,14.72,14.918,341086,0
20130617,15.142,15.142,14.72,14.935,176392,0
20130618,14.91,15.459,14.847,15.348,624996,0
20130619,15.014,15.563,15.014,15.238,785377,0
20130620,14.72,15.038,14.72,14.91,119730,0
20130621,14.887,15.078,14.616,14.632,365147,0
20130624,14.56,14.56,13.828,13.956,493872,0
20130625,14.187,14.218,13.947,14.139,302196,0
20130626,14.243,14.243,13.741,13.781,413996,0
20130627,14.098,14.171,13.821,14.091,140325,0
20130628,14.155,14.243,14.036,14.115,150038,0
20130701,14.37,14.385,14.036,14.13,188198,0
20130702,14.226,14.417,14.004,14.212,349963,0
20130703,14.212,14.274,13.924,13.947,138719,0
20130705,13.964,14.13,13.55,13.716,202334,0
20130708,13.837,14.068,13.766,13.899,339599,0
20130709,13.947,14.377,13.947,14.051,318932,0
20130710,14.816,14.816,14.004,14.266,326938,0
20130711,14.608,14.697,14.329,14.598,188285,0
20130712,14.477,14.704,14.312,14.402,121617,0
20130715,14.5,14.623,14.37,14.444,461972,0
20130716,14.541,14.558,14.296,14.518,190729,0
20130717,14.639,14.761,14.525,14.566,231534,0
20130718,14.737,14.844,14.614,14.647,329629,0
20130719,14.558,14.68,14.467,14.68,88753,0
20130722,14.908,15.03,14.803,14.844,462295,0
20130723,15.089,15.415,15.089,15.193,431875,0
20130724,15.193,15.341,14.819,15.015,567274,0
20130725,15.062,15.152,14.729,15.079,263726,0
20130726,15.079,15.911,15.079,15.822,479395,0
20130729,15.863,16.082,15.52,15.805,451033,0
20130730,15.765,15.765,15.438,15.618,449793,0
