Date,Open,High,Low,Close,Volume,OpenInt
20120823,21.934,21.934,21.837,21.899,612509,0
20120824,21.925,21.96,21.845,21.934,589287,0
20120827,21.934,21.978,21.89,21.951,386237,0
20120828,21.943,21.996,21.916,21.916,848197,0
20120829,21.951,22.013,21.951,21.978,564470,0
20120830,22.005,22.013,21.96,21.996,338406,0
20120831,22.013,22.022,21.978,22.022,179112,0
20120904,21.987,22.022,21.969,21.987,449015,0
20120905,22.005,22.022,21.925,21.943,1127085,0
20120906,21.969,22.005,21.925,21.996,1146713,0
20120907,21.996,22.022,21.96,22.022,581245,0
20120910,22.005,22.013,21.978,22.013,395366,0
20120911,22.013,22.022,21.987,22.022,566420,0
20120912,22.022,22.022,21.969,22.005,431996,0
20120913,22.022,22.022,21.987,22.013,330181,0
20120914,22.013,22.022,21.934,21.978,485982,0
20120917,21.978,21.996,21.925,21.943,303222,0
20120918,21.96,21.969,21.907,21.916,469626,0
20120919,21.934,21.969,21.845,21.872,411344,0
20120920,21.881,21.978,21.864,21.978,280485,0
20120921,21.96,21.96,21.881,21.899,228154,0
20120924,21.916,21.934,21.855,21.934,268429,0
20120925,21.934,21.951,21.872,21.89,374293,0
20120926,21.89,21.907,21.837,21.899,381682,0
20120927,21.916,22.022,21.907,22.022,289171,0
20120928,22.013,22.039,21.978,22.039,254441,0
20121001,22.902,22.902,21.978,21.996,335133,0
20121002,22.022,22.022,21.978,21.978,690659,0
20121003,22.022,22.022,21.978,22.005,405261,0
20121004,22.022,22.058,22.005,22.03,416382,0
20121005,22.066,22.11,22.066,22.084,291064,0
20121008,22.11,22.198,22.11,22.198,678844,0
20121009,22.19,22.286,22.181,22.259,1545460,0
20121010,22.243,22.357,22.243,22.295,608621,0
20121011,22.33,22.357,22.286,22.357,512322,0
20121012,22.357,22.392,22.304,22.357,318911,0
20121015,22.347,22.357,22.259,22.338,280493,0
20121016,22.375,22.375,22.295,22.375,945723,0
20121017,22.4,22.409,22.268,22.295,612865,0
20121018,22.304,22.33,22.268,22.268,1276440,0
20121019,22.304,22.357,22.198,22.286,3247274,0
20121022,22.243,22.268,22.207,22.224,648824,0
20121023,22.215,22.224,22.172,22.19,144973,0
20121024,22.215,22.252,22.12,22.128,500944,0
20121025,22.172,22.19,22.128,22.136,257506,0
20121026,22.172,22.172,22.084,22.11,273832,0
20121031,22.128,22.153,22.058,22.12,392646,0
20121101,22.128,22.181,22.101,22.101,642677,0
20121102,22.136,22.172,22.066,22.092,290720,0
20121105,22.145,22.153,22.11,22.128,235442,0
20121106,22.145,22.19,22.11,22.153,303063,0
20121107,22.181,22.19,22.084,22.136,329637,0
20121108,22.145,22.233,22.145,22.163,265160,0
20121109,22.198,22.314,22.181,22.268,265233,0
20121112,22.357,22.453,22.286,22.338,166065,0
20121113,22.074,22.084,21.987,22.013,300230,0
20121114,22.03,22.066,21.855,21.969,231870,0
20121115,21.969,21.969,21.705,21.89,320442,0
20121116,21.969,21.969,21.634,21.731,723031,0
20121119,21.81,21.925,21.793,21.925,300840,0
20121120,21.907,22.013,21.881,21.916,280191,0
20121121,21.969,22.005,21.899,21.899,152645,0
20121123,21.934,22.084,21.907,22.039,172301,0
20121126,22.039,22.066,21.899,21.996,128425,0
20121127,22.013,22.066,21.987,22.005,176953,0
20121128,22.013,22.022,21.934,21.996,296777,0
20121129,22.022,22.039,21.899,21.978,260229,0
20121130,21.978,21.996,21.943,21.978,185125,0
20121203,21.978,22.005,21.943,21.996,251917,0
20121204,21.96,22.013,21.934,21.978,151172,0
20121205,21.996,21.996,21.96,21.987,153418,0
20121206,22.005,22.013,21.978,22.005,206499,0
20121207,21.996,22.013,21.969,21.996,285732,0
20121210,21.996,21.996,21.951,21.96,158510,0
20121211,21.951,21.969,21.925,21.934,204927,0
20121212,21.951,21.951,21.89,21.916,146689,0
20121213,21.934,21.96,21.899,21.916,150190,0
20121214,21.89,21.943,21.872,21.934,1145550,0
20121217,21.951,21.951,21.907,21.934,134395,0
20121218,21.872,21.987,21.872,21.969,262346,0
20121219,21.943,22.005,21.934,22.005,327565,0
20121220,21.996,22.013,21.951,21.996,744056,0
20121221,21.978,21.996,21.899,21.934,207443,0
20121224,21.943,22.022,21.899,22.022,41070,0
20121226,22.022,22.022,21.89,21.89,119254,0
20121227,21.89,21.96,21.89,21.951,141935,0
20121228,21.89,22.005,21.89,21.943,149730,0
20121231,21.969,22.005,21.89,21.899,247629,0
20130102,21.978,22.136,21.96,22.092,540100,0
20130103,22.074,22.11,22.058,22.084,324863,0
20130104,22.092,22.224,22.074,22.172,384441,0
20130107,22.233,22.233,22.181,22.181,237121,0
20130108,22.172,22.233,22.153,22.19,293132,0
20130109,22.268,22.366,22.19,22.295,452938,0
20130110,22.4,22.4,22.268,22.286,734107,0
20130111,22.286,22.4,22.215,22.304,227742,0
20130114,22.295,22.295,22.198,22.243,87351,0
20130115,22.268,22.277,22.224,22.233,178294,0
20130116,22.295,22.321,22.198,22.215,197260,0
20130117,22.314,22.314,22.243,22.277,194412,0
20130118,22.243,22.277,22.181,22.277,351624,0
20130122,22.277,22.295,22.224,22.243,288020,0
20130123,22.243,22.33,22.215,22.304,269620,0
20130124,22.277,22.366,22.153,22.243,398708,0
20130125,22.207,22.277,22.181,22.181,217583,0
20130128,22.215,22.224,22.163,22.181,231751,0
20130129,22.172,22.19,22.128,22.128,188560,0
20130130,22.11,22.128,22.066,22.128,239316,0
20130131,22.136,22.136,22.066,22.12,191937,0
20130201,22.145,22.198,22.11,22.12,258848,0
