Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.194,22.549,22.194,22.41,11604,0
20050228,22.825,23.006,22.635,22.825,31084,0
20050301,23.101,23.101,22.549,22.798,10299,0
20050302,22.558,22.566,22.152,22.247,41111,0
20050303,22.307,22.454,21.893,22.013,20702,0
20050304,22.393,22.988,22.377,22.609,25457,0
20050307,22.479,22.885,22.437,22.669,9714,0
20050308,22.497,22.946,22.497,22.626,21190,0
20050309,22.644,22.704,22.083,22.108,22155,0
20050310,21.919,22.238,21.79,21.79,28224,0
20050311,22.117,22.35,21.902,21.927,21758,0
20050314,22.108,22.108,21.841,21.867,15897,0
20050315,21.695,22.074,21.695,21.695,7102,0
20050316,21.712,22.04,21.704,21.962,8997,0
20050317,22.203,22.282,21.609,22.013,13574,0
20050318,22.238,22.289,21.704,21.911,7641,0
20050321,22.083,22.108,21.548,21.729,16887,0
20050322,21.548,22.298,21.548,21.781,44098,0
20050323,21.307,21.384,20.962,21.005,20959,0
20050324,21.169,21.462,20.893,20.901,17725,0
20050328,20.936,21.289,20.928,20.936,7521,0
20050329,21.221,21.272,20.694,20.824,20781,0
20050330,21.281,21.488,20.919,21.074,21262,0
20050331,20.893,21.411,20.884,21.126,44736,0
20050401,21.342,21.626,21.057,21.367,19246,0
20050404,20.488,21.031,20.488,20.738,23460,0
20050405,21.048,21.342,20.979,21.117,12617,0
20050406,21.497,21.695,21.221,21.411,9568,0
20050407,21.574,21.79,21.324,21.634,20025,0
20050408,21.824,22.194,21.497,21.746,16734,0
20050411,21.497,22.066,21.497,21.678,12146,0
20050412,21.79,21.927,21.419,21.583,11772,0
20050413,21.453,21.936,21.411,21.936,4461,0
20050414,21.574,21.936,21.411,21.764,13276,0
20050415,21.1,21.773,21.1,21.669,12679,0
20050418,20.936,21.419,20.936,21.169,15056,0
20050419,21.358,21.678,20.901,21.453,6886,0
20050420,21.333,21.565,20.893,20.919,14463,0
20050421,21.281,21.411,20.988,21.411,8888,0
20050422,21.1,21.109,20.729,20.893,7846,0
20050425,20.599,20.599,20.298,20.41,16321,0
20050426,20.29,20.634,20.263,20.427,8056,0
20050427,20.169,20.29,19.815,19.841,10690,0
20050428,19.686,19.979,19.531,19.643,4527,0
20050429,20.056,20.307,19.686,20.014,12718,0
20050502,19.66,20.41,19.66,20.332,19107,0
20050503,20.246,20.444,19.988,20.332,11635,0
20050504,20.592,20.72,20.462,20.634,13699,0
20050505,20.385,20.884,20.385,20.833,14582,0
20050506,20.652,20.824,20.229,20.643,32679,0
20050509,20.35,20.893,20.1,20.66,26720,0
20050510,20.513,20.694,20.151,20.557,8590,0
20050511,20.488,20.488,19.97,20.385,11045,0
20050512,19.935,20.652,19.935,20.617,30195,0
20050513,20.134,20.686,20.109,20.142,25515,0
20050516,19.893,20.479,19.893,20.298,16248,0
20050517,20.281,20.669,20.281,20.669,11681,0
20050518,20.962,21.289,20.928,21.289,10844,0
20050519,21.135,21.135,20.729,21.005,12586,0
20050520,20.91,21.203,20.738,21.177,7137,0
20050523,21.255,21.289,20.97,21.169,10807,0
20050524,21.091,21.143,20.815,21.091,16242,0
20050525,20.583,21.065,20.583,20.806,19316,0
20050526,20.806,21.014,20.634,20.954,8955,0
20050527,20.824,21.057,20.747,21.005,12591,0
20050531,20.574,20.806,20.497,20.652,12052,0
20050601,20.592,20.91,20.41,20.652,30930,0
20050602,20.789,20.815,20.574,20.815,8830,0
20050603,20.884,20.884,20.513,20.539,32430,0
20050606,20.841,20.996,20.652,20.824,13239,0
20050607,20.841,21.16,20.841,21.16,9700,0
20050608,21.135,21.143,20.815,20.919,14385,0
20050609,20.884,21.031,20.583,20.608,33211,0
20050610,20.979,20.979,20.504,20.522,7206,0
20050613,21.04,21.04,20.583,20.833,9327,0
20050614,20.988,21.082,20.928,20.945,3832,0
20050615,20.901,21.367,20.901,21.177,14306,0
20050616,21.367,21.444,21.195,21.393,3268,0
20050617,21.23,21.695,21.23,21.437,9979,0
20050620,21.47,21.643,21.307,21.324,7496,0
20050621,21.859,21.859,21.263,21.342,16273,0
20050622,21.574,21.574,21.152,21.169,6028,0
20050623,21.349,21.349,20.884,20.884,7781,0
20050624,20.97,21.358,20.884,21.358,15755,0
20050627,20.936,21.186,20.893,20.97,11907,0
20050628,21.074,21.238,20.945,21.152,21896,0
20050629,21.048,21.437,21.048,21.1,6113,0
20050630,21.333,21.539,20.815,20.868,28823,0
20050701,21.349,21.497,20.97,21.342,14235,0
20050705,20.85,21.255,20.643,21.014,6656,0
20050706,20.97,21.16,20.97,20.97,186033,0
20050707,20.764,20.773,20.35,20.471,22740,0
20050708,20.479,20.97,20.479,20.686,9453,0
20050711,20.91,21.333,20.91,21.307,13175,0
20050712,21.23,21.384,21.195,21.376,17787,0
20050713,21.324,21.462,21.177,21.281,14651,0
20050714,21.583,21.781,21.281,21.393,5507,0
20050715,21.643,21.652,21.497,21.618,10693,0
20050718,21.989,21.989,21.514,21.695,43073,0
20050719,21.816,22.178,21.816,22.013,196076,0
20050720,22.04,22.342,21.867,22.342,243489,0
20050721,22.454,22.591,22.333,22.505,13718,0
20050722,22.704,22.704,22.454,22.644,8846,0
20050725,22.695,22.695,22.497,22.652,5467,0
20050726,22.479,22.479,21.997,21.997,10103,0
20050727,22.377,22.566,22.108,22.566,8214,0
20050728,22.677,23.101,22.677,22.953,8016,0
20050729,23.092,23.299,22.781,23.127,14317,0
20050801,23.006,23.092,22.902,23.066,29903,0
20050802,22.825,23.299,22.781,23.092,16289,0
20050803,23.101,23.178,22.946,23.092,4972,0
20050804,22.825,23.299,22.825,23.299,20915,0
20050805,22.747,23.057,22.669,22.833,22735,0
20050808,22.867,23.299,22.851,22.885,19795,0
20050809,22.764,23.048,22.661,22.902,9950,0
20050810,22.902,23.299,22.661,23.16,6031,0
20050811,22.695,23.143,22.617,23.143,16246,0
20050812,22.911,23.092,22.798,22.867,21466,0
20050815,22.893,23.299,22.756,23.273,6816,0
20050816,22.73,22.937,22.583,22.858,27208,0
20050817,22.686,22.807,22.384,22.686,12674,0
20050818,22.359,22.946,22.117,22.531,7294,0
20050819,22.298,22.695,22.135,22.35,7134,0
20050822,22.1,22.661,22.1,22.497,25306,0
20050823,22.221,22.298,22.1,22.178,21467,0
20050824,21.997,22.471,21.927,22.1,9303,0
20050825,22.057,22.1,21.98,21.98,10802,0
20050826,22.143,22.384,21.911,22.126,20870,0
20050829,21.738,22.497,21.738,22.463,9429,0
20050830,21.695,21.764,21.444,21.523,18586,0
20050831,21.444,22.497,21.444,22.497,38623,0
20050901,22.497,22.73,22.368,22.463,25004,0
20050902,22.842,23.213,22.842,23.195,13386,0
20050906,23.178,23.704,23.169,23.696,62180,0
20050907,23.316,23.48,23.023,23.29,15441,0
20050908,23.074,23.127,22.79,22.911,14535,0
20050909,22.677,23.006,22.677,22.988,19441,0
20050912,22.54,22.695,22.419,22.463,28634,0
20050913,22.342,22.359,22.1,22.238,41599,0
20050914,22.092,22.221,21.79,22.126,44261,0
20050915,21.927,22.135,21.893,22.04,7905,0
20050916,22.083,22.083,21.833,21.945,32463,0
20050919,21.695,21.919,21.695,21.738,8074,0
20050920,21.738,21.859,21.6,21.678,15863,0
20050921,21.574,21.695,21.523,21.669,7934,0
20050922,21.497,21.652,21.376,21.532,16420,0
20050923,21.738,21.738,21.462,21.618,15710,0
20050926,21.876,21.876,21.591,21.695,12836,0
20050927,21.626,21.721,21.342,21.402,15544,0
20050928,21.66,21.721,21.532,21.66,9272,0
20050929,21.523,21.583,21.402,21.523,11406,0
20050930,21.893,22.048,21.704,21.738,23882,0
20051003,22.1,22.1,21.618,21.989,9532,0
20051004,22.273,22.505,21.652,22.022,7989,0
20051005,22.393,22.393,21.902,21.902,12069,0
20051006,22.289,22.289,21.738,21.962,14417,0
20051007,22.212,22.316,21.945,22.316,32545,0
20051010,22.273,22.273,21.997,22.221,4971,0
20051011,21.954,22.074,21.824,22.048,19794,0
20051012,21.85,22.04,21.643,21.859,17552,0
20051013,21.349,21.643,21.057,21.643,16986,0
20051014,21.195,21.618,21.195,21.532,6084,0
20051017,21.583,21.643,21.289,21.618,13132,0
20051018,21.082,21.289,20.884,21.289,25969,0
20051019,20.358,20.694,20.082,20.678,65081,0
20051020,20.35,20.599,19.953,20.169,23485,0
20051021,19.893,20.082,19.798,20.005,13474,0
20051024,19.979,20.497,19.979,20.237,26700,0
20051025,20.376,20.453,20.298,20.453,19541,0
20051026,20.263,20.669,20.237,20.504,18759,0
20051027,20.35,20.592,20.091,20.29,13230,0
20051028,20.281,20.29,20.014,20.195,22413,0
20051031,20.376,20.539,20.246,20.246,11991,0
20051101,20.893,21.23,20.643,21.117,31346,0
20051102,21.195,21.411,21.014,21.186,21882,0
20051103,21.298,21.618,21.247,21.428,5600,0
20051104,21.255,21.263,20.703,20.859,10672,0
20051107,20.936,21.014,20.884,20.936,7624,0
20051108,20.996,21.031,20.901,20.928,9364,0
20051109,20.988,21.091,20.936,21.005,14867,0
20051110,21.082,21.272,20.643,20.962,47801,0
20051111,20.747,20.893,20.548,20.798,3035,0
20051114,20.893,20.893,20.504,20.789,29238,0
20051115,20.462,20.764,20.462,20.566,17008,0
20051116,20.583,20.815,20.548,20.815,7232,0
20051117,20.85,21.169,20.85,21.169,8727,0
20051118,21.349,21.643,21.238,21.523,29321,0
20051121,21.514,21.704,21.358,21.686,9536,0
20051122,21.634,21.833,21.505,21.833,13510,0
20051123,21.859,22.1,21.643,22.1,12502,0
20051125,21.565,21.66,21.014,21.618,26806,0
20051128,21.523,21.893,21.307,21.583,7349,0
20051129,21.384,21.66,21.333,21.574,15162,0
20051130,21.565,21.85,21.212,21.462,9384,0
20051201,21.643,21.652,21.247,21.523,9495,0
20051202,21.729,21.755,21.618,21.746,23586,0
20051205,21.927,22.013,21.712,22.006,19332,0
20051206,22.445,22.488,22.194,22.488,10932,0
20051207,22.04,22.497,21.971,22.384,23764,0
20051208,22.247,22.695,22.161,22.591,74773,0
20051209,22.324,22.721,22.108,22.712,5933,0
20051212,23.169,23.169,22.858,23.048,10692,0
20051213,22.928,23.083,22.617,23.083,14012,0
20051214,22.704,23.299,22.704,23.057,26623,0
20051215,23.204,23.514,23.169,23.506,13850,0
