Date,Open,High,Low,Close,Volume,OpenInt
20130802,24.263,24.359,24.263,24.359,209,0
20130805,24.464,25.075,24.407,24.836,4396,0
20130807,24.407,24.551,24.407,24.501,5026,0
20130808,31.352,31.352,25.027,25.792,524,0
20130814,24.598,24.598,24.359,24.359,1990,0
20130816,25.295,25.295,25.295,25.295,418,0
20130820,24.836,24.836,24.359,24.359,4396,0
20130821,24.359,24.359,24.359,24.359,106,0
20130822,24.836,24.836,24.836,24.836,524,0
20130823,24.359,24.359,24.359,24.359,2199,0
20130826,24.359,24.359,24.359,24.359,209,0
20130828,24.129,24.149,24.072,24.129,12562,0
20130829,24.168,24.263,24.129,24.263,9525,0
20130830,24.635,24.645,24.617,24.645,2303,0
20130903,24.645,24.645,24.645,24.645,942,0
20130904,24.359,24.836,24.359,24.836,4658,0
20130905,24.836,24.836,24.551,24.836,2146,0
20130909,24.359,24.932,24.359,24.836,3769,0
20130910,24.387,24.836,24.387,24.836,3292,0
20130912,24.836,24.836,24.836,24.836,315,0
20130913,24.836,24.836,24.368,24.558,5319,0
20130916,24.645,24.645,24.551,24.551,1633,0
20130917,24.359,24.645,24.359,24.454,7747,0
20130918,24.836,24.836,24.598,24.598,1675,0
20130919,24.368,24.566,24.359,24.566,4867,0
20130920,24.417,24.769,24.359,24.407,9316,0
20130923,24.377,24.836,24.368,24.407,2784,0
20130924,24.359,24.635,24.359,24.387,2303,0
20130925,24.407,24.407,24.368,24.368,2721,0
20130926,24.368,24.484,24.359,24.359,6281,0
20130927,24.598,24.598,24.407,24.407,2199,0
20130930,24.368,24.501,24.359,24.501,2890,0
20131001,24.368,24.645,24.368,24.645,1461,0
20131002,24.407,24.407,24.407,24.407,524,0
20131004,24.598,24.598,24.598,24.598,209,0
20131007,24.598,24.598,24.598,24.598,418,0
20131008,24.407,24.836,24.407,24.836,1048,0
20131009,24.493,24.493,24.359,24.493,1675,0
20131010,24.359,24.359,24.359,24.359,418,0
20131014,24.417,24.417,24.417,24.417,262,0
20131015,24.407,24.407,24.407,24.407,627,0
20131016,24.434,24.444,24.434,24.444,569,0
20131017,24.836,24.836,24.444,24.501,2721,0
20131022,24.598,24.598,24.33,24.33,24497,0
20131023,24.692,24.692,24.692,24.692,4605,0
20131024,24.407,24.407,24.407,24.407,2094,0
20131025,24.426,24.426,24.426,24.426,1048,0
20131028,24.407,24.426,24.377,24.426,1151,0
