Date,Open,High,Low,Close,Volume,OpenInt
20070815,9.557,9.557,9.557,9.557,0,0
20070816,9.557,10.295,9.1027,9.557,15272721,0
20070817,9.74,10.012,9.604,10.012,3283665,0
20070820,10.422,10.468,10.104,10.286,3311788,0
20070821,10.286,10.322,9.877,10.059,2047978,0
20070822,10.104,10.15,9.877,10.104,1538126,0
20070823,10.104,10.15,9.877,10.012,1084960,0
20070824,10.012,10.094,9.877,10.04,554564,0
20070827,10.085,10.085,9.877,9.949,1209760,0
20070828,9.967,9.967,9.522,9.567,2064458,0
20070829,9.613,9.785,9.557,9.649,182035,0
20070830,9.74,9.785,9.557,9.557,432951,0
20070831,9.639,9.703,9.557,9.567,515455,0
20070904,9.74,10.004,9.604,9.967,418231,0
20070905,9.877,9.877,9.613,9.667,233778,0
20070906,9.585,9.649,9.1027,9.4216,540722,0
20070907,9.2844,9.2844,8.8297,9.1482,322545,0
20070910,9.1937,9.4757,9.1482,9.2844,741982,0
20070911,9.4659,9.649,9.3763,9.522,927095,0
20070912,9.557,9.831,9.557,9.722,703642,0
20070913,9.785,10.259,9.693,10.113,862389,0
20070914,9.995,10.332,9.785,10.286,1423215,0
20070917,10.45,10.45,9.74,10.186,481289,0
20070918,10.286,10.65,10.021,10.422,1237992,0
20070919,10.549,10.605,10.195,10.45,767801,0
20070920,10.468,10.769,10.441,10.595,1175264,0
20070921,10.641,11.196,10.641,11.151,1346313,0
20070924,11.278,11.56,11.105,11.288,1106932,0
20070925,11.233,11.288,10.969,11.023,1170321,0
20070926,11.196,11.651,11.151,11.442,1309401,0
20070927,11.487,11.833,11.424,11.77,2132351,0
20070928,11.815,12.106,11.606,11.743,1136594,0
20071001,11.833,12.18,11.697,12.088,978727,0
20071002,12.152,12.152,11.151,11.861,1186251,0
20071003,11.861,11.934,11.288,11.315,499965,0
20071004,11.47,11.915,11.47,11.788,935991,0
20071005,12.007,12.152,11.833,12.052,388899,0
20071008,12.016,12.016,11.724,11.925,203018,0
20071009,11.925,12.016,11.724,11.925,481510,0
20071010,11.788,11.925,11.606,11.797,500953,0
20071011,11.879,11.969,11.288,11.297,374177,0
20071012,11.288,11.415,11.059,11.177,365939,0
20071015,11.324,11.36,11.005,11.233,568407,0
20071016,11.069,11.233,9.885,11.105,547862,0
20071017,11.242,11.36,10.915,11.005,824156,0
20071018,11.088,11.233,10.833,11.142,444268,0
20071019,11.105,11.56,10.859,10.923,503919,0
