Date,Open,High,Low,Close,Volume,OpenInt
19700102,0.5386,0.5386,0.5386,0.5386,1158353,0
19700105,0.548,0.5574,0.5386,0.5386,1503827,0
19700106,0.5292,0.5292,0.5196,0.5292,3657955,0
19700107,0.5292,0.5386,0.5292,0.5386,5994983,0
19700108,0.5386,0.5574,0.5386,0.548,2418316,0
19700109,0.5574,0.5669,0.5574,0.5669,1950910,0
19700112,0.5669,0.5763,0.5669,0.5763,1381894,0
19700113,0.5859,0.6141,0.5859,0.6046,2865399,0
19700114,0.6046,0.6425,0.6046,0.633,8027182,0
19700115,0.6236,0.6236,0.6046,0.6141,5466612,0
19700116,0.6141,0.6141,0.5763,0.6046,5019527,0
19700119,0.5952,0.5952,0.5763,0.5952,4653734,0
19700120,0.5952,0.6141,0.5952,0.6046,3942464,0
19700121,0.6046,0.6141,0.6046,0.6046,3596990,0
19700122,0.6046,0.6046,0.5952,0.5952,1727368,0
19700123,0.5952,0.5952,0.5952,0.5952,2723145,0
19700126,0.5952,0.633,0.5952,0.6236,5873053,0
19700127,0.6236,0.633,0.6141,0.6141,7884928,0
19700128,0.6141,0.633,0.6141,0.6141,4430192,0
19700129,0.6141,0.6141,0.5952,0.5952,4592766,0
19700130,0.5952,0.5952,0.5763,0.5859,4125362,0
19700202,0.5952,0.6046,0.5952,0.5952,5182105,0
19700203,0.5952,0.6046,0.5859,0.5952,5791764,0
19700204,0.5952,0.6046,0.5952,0.6046,4877274,0
19700205,0.5952,0.5952,0.5859,0.5952,4958562,0
19700206,0.5952,0.6141,0.5952,0.6141,3190551,0
19700209,0.6236,0.633,0.6236,0.6236,3536025,0
19700210,0.6236,0.6236,0.6141,0.6141,3515702,0
19700211,0.6236,0.6425,0.6236,0.6425,2926364,0
19700212,0.6425,0.6425,0.6236,0.6236,2276062,0
19700213,0.6236,0.633,0.6236,0.633,2337028,0
19700216,0.633,0.633,0.6236,0.633,528372,0
19700217,0.633,0.633,0.633,0.633,426762,0
19700218,0.6425,0.6519,0.6425,0.6519,1686725,0
19700219,0.6519,0.6519,0.6425,0.6425,1483505,0
19700220,0.633,0.633,0.633,0.633,4308260,0
19700224,0.633,0.6425,0.6236,0.6236,1341250,0
19700225,0.6236,0.633,0.6141,0.633,1402217,0
19700226,0.6236,0.6236,0.6141,0.6236,2133807,0
19700227,0.6236,0.6236,0.6141,0.6141,2316706,0
19700302,0.6046,0.6046,0.5952,0.5952,6401423,0
19700303,0.5952,0.5952,0.5859,0.5859,5547900,0
19700304,0.5859,0.5859,0.5574,0.5669,12254152,0
19700305,0.5669,0.5763,0.5669,0.5763,3881498,0
19700306,0.5763,0.5763,0.5669,0.5669,2255740,0
19700309,0.5669,0.5763,0.5386,0.548,8514909,0
19700310,0.548,0.548,0.5386,0.5386,2845078,0
19700311,0.5386,0.5574,0.5386,0.5574,3942464,0
19700312,0.5574,0.5669,0.5574,0.5669,3027975,0
19700313,0.5669,0.5763,0.5574,0.5669,4795988,0
19700316,0.5574,0.5574,0.548,0.5574,4653734,0
19700317,0.5574,0.5763,0.5574,0.5669,1828979,0
19700318,0.5763,0.5952,0.5763,0.5859,4308260,0
19700319,0.5859,0.5952,0.5763,0.5859,2885720,0
19700320,0.5859,0.5859,0.5763,0.5763,3515702,0
19700323,0.5763,0.5859,0.5669,0.5763,3190551,0
19700324,0.5763,0.5952,0.5763,0.5859,2560570,0
19700325,0.5952,0.6141,0.5952,0.6046,2743467,0
19700326,0.6046,0.6046,0.5952,0.6046,2174452,0
19700330,0.6046,0.6141,0.6046,0.6141,1158353,0
19700331,0.6141,0.6141,0.6046,0.6141,1950910,0
19700401,0.6141,0.633,0.6046,0.6236,2743467,0
19700402,0.6236,0.6236,0.6236,0.6236,1646080,0
19700403,0.6236,0.633,0.6236,0.633,2560570,0
19700406,0.633,0.633,0.6141,0.6141,1402217,0
19700407,0.6046,0.6046,0.5952,0.5952,2174452,0
19700408,0.5859,0.5859,0.5763,0.5859,3088941,0
19700409,0.5859,0.5952,0.5763,0.5763,2215096,0
19700410,0.5763,0.5763,0.5669,0.5763,1320928,0
19700413,0.5763,0.5763,0.5574,0.5574,2255740,0
19700414,0.5574,0.5669,0.5574,0.5669,1889945,0
19700415,0.5669,0.5763,0.5669,0.5669,2377672,0
19700416,0.5669,0.5669,0.5574,0.5574,2641857,0
19700417,0.5574,0.5574,0.548,0.548,2987330,0
19700420,0.548,0.5574,0.548,0.5574,3149907,0
19700421,0.5574,0.5763,0.548,0.548,2479282,0
19700422,0.548,0.548,0.5386,0.5386,3657955,0
19700423,0.5386,0.5386,0.5196,0.5292,4369226,0
19700424,0.5292,0.5292,0.5102,0.5102,4877274,0
19700427,0.5102,0.5102,0.48186,0.49132,4714700,0
19700428,0.49132,0.5102,0.48186,0.5006,5080496,0
19700429,0.5006,0.5386,0.49132,0.5386,5791764,0
