Date,Open,High,Low,Close,Volume,OpenInt
20121102,20.976,21.548,20.287,20.287,7231473,0
20121105,20.378,20.795,19.743,20.605,978054,0
20121106,20.785,20.785,20.314,20.422,127740,0
20121107,20.422,20.732,19.787,20.587,252723,0
20121108,20.504,20.595,20.151,20.187,68932,0
20121109,20.105,20.622,20.069,20.432,63698,0
20121112,20.422,20.441,19.806,20.023,87994,0
20121113,19.97,19.97,19.424,19.696,192607,0
20121114,19.615,19.869,19.351,19.543,109854,0
20121115,19.334,19.588,19.242,19.388,50426,0
20121116,19.342,19.496,18.626,19.279,162832,0
20121119,19.515,19.652,19.288,19.47,51280,0
20121120,19.153,19.398,18.924,19.334,155163,0
20121121,19.27,19.56,19.025,19.47,217124,0
20121123,19.67,20.65,19.624,19.86,43931,0
20121126,19.914,20.142,19.897,20.115,80891,0
20121127,20.387,20.877,20.287,20.877,187407,0
20121128,20.785,20.922,20.46,20.785,51588,0
20121129,20.759,20.93,20.26,20.333,33137,0
20121130,20.472,20.508,19.629,20.381,48430,0
20121203,20.767,21.022,20.622,20.732,111356,0
20121204,20.563,20.636,20.335,20.499,21466,0
20121205,20.323,20.595,20.205,20.523,43572,0
20121206,20.486,20.976,20.277,20.631,52685,0
20121207,20.732,20.732,20.378,20.65,39041,0
20121210,20.732,20.732,20.432,20.559,25245,0
20121211,20.541,20.541,20.242,20.306,37635,0
20121212,20.224,20.359,20.224,20.35,25326,0
20121213,20.287,20.287,19.743,19.797,24904,0
20121214,19.751,19.815,19.724,19.787,7850,0
20121217,19.67,19.951,19.515,19.951,9353,0
20121218,20.069,20.867,19.768,20.287,55774,0
20121219,20.405,20.595,20.287,20.422,43883,0
20121220,20.823,20.832,20.35,20.776,29640,0
20121221,20.767,21.086,20.187,20.187,60644,0
20121224,20.232,21.086,20.232,20.896,29470,0
20121226,20.949,21.012,20.504,20.568,13560,0
20121227,20.622,20.823,20.432,20.451,11436,0
20121228,20.432,20.631,20.396,20.514,3801,0
20121231,19.565,20.975,19.336,20.874,26835,0
20130102,21.086,21.766,20.968,21.648,106421,0
20130103,21.62,22.12,21.348,21.766,92956,0
20130104,21.848,22.166,21.667,21.702,66712,0
20130107,21.702,21.938,21.548,21.603,61537,0
20130108,21.585,21.639,20.94,21.177,46823,0
20130109,21.076,21.515,20.655,21.405,42911,0
20130110,21.624,22.202,21.369,22.109,227619,0
20130111,22.075,22.692,22.057,22.546,84388,0
20130114,22.584,22.675,22.175,22.229,80115,0
20130115,21.994,22.429,21.994,22.365,21290,0
20130116,22.192,22.692,22.192,22.248,192953,0
20130117,22.647,22.647,22.329,22.375,34730,0
20130118,22.357,22.458,21.964,22.229,13904,0
20130122,22.192,22.938,22.192,22.819,73050,0
20130123,23.191,23.366,22.622,23.356,28754,0
20130124,23.318,23.51,22.91,23.155,30487,0
20130125,23.236,23.502,23.145,23.429,49490,0
20130128,23.512,24.051,22.897,23.328,66424,0
20130129,23.264,23.694,22.907,23.401,26832,0
20130130,23.347,23.347,22.99,23.117,47856,0
20130131,23.126,23.556,23.1,23.502,384218,0
20130201,23.502,24.025,23.154,23.703,91638,0
20130204,23.869,23.987,23.603,23.859,155044,0
20130205,23.629,24.737,23.629,24.692,41211,0
20130206,24.528,24.711,24.281,24.316,29107,0
20130207,24.179,24.994,24.005,24.737,509503,0
20130208,24.737,25.607,24.389,24.619,53507,0
20130211,24.737,24.876,24.298,24.536,23770,0
20130212,24.857,25.451,24.381,25.451,34084,0
20130213,25.352,26.029,24.903,26.029,22818,0
20130214,25.451,26.376,25.451,25.892,32501,0
20130215,25.745,26.165,24.729,25.05,129486,0
20130219,25.269,26.496,25.232,26.048,45142,0
20130220,26.048,26.065,25.526,25.965,31792,0
20130221,25.754,26.286,25.076,25.451,69562,0
20130222,25.517,25.883,25.269,25.323,18840,0
20130225,25.68,26.248,25.314,25.314,32525,0
20130226,25.406,25.855,24.867,25.544,60214,0
20130227,25.553,25.654,25.141,25.461,42522,0
20130228,25.435,25.851,25.174,25.805,49303,0
20130301,25.489,25.727,25.378,25.727,250972,0
20130304,25.809,26.029,25.451,25.534,29536,0
20130305,25.801,26.541,25.371,26.541,63374,0
20130306,26.505,26.505,25.323,26.331,123370,0
20130307,26.084,26.916,25.709,26.505,139526,0
20130308,26.77,26.916,26.175,26.652,43734,0
20130311,26.596,27.008,26.238,26.843,42466,0
20130312,26.862,26.99,25.68,26.707,110613,0
20130313,26.523,26.643,26.203,26.34,23049,0
20130314,26.386,27.246,25.727,26.468,46334,0
20130315,26.551,26.99,26.551,26.916,23962,0
20130318,26.66,27.695,26.66,27.485,27311,0
20130319,27.859,28.253,27.1,27.219,96137,0
20130320,27.274,27.641,27.109,27.366,13072,0
20130321,27.328,27.832,27.064,27.832,68622,0
20130322,27.787,28.088,27.421,27.924,46435,0
20130325,28.088,28.272,27.787,28.071,23708,0
20130326,28.126,28.318,28.015,28.216,24911,0
20130327,28.308,28.318,27.787,28.245,28619,0
20130328,28.015,28.556,27.924,28.556,29757,0
20130401,28.556,28.556,28.098,28.391,38454,0
20130402,28.241,28.473,27.417,27.714,59660,0
20130403,27.558,27.576,25.91,26.413,184242,0
20130404,26.406,26.509,25.739,26.462,26264,0
20130405,26.213,26.624,25.836,26.369,58592,0
20130408,26.441,26.716,26.295,26.541,29138,0
20130409,26.386,26.624,25.864,26.404,100058,0
20130410,26.676,26.899,26.406,26.406,13021,0
20130411,26.184,26.67,26.156,26.213,24804,0
20130412,26.12,26.49,26.091,26.287,16734,0
20130415,26.111,26.194,25.873,26.092,22212,0
20130416,26.248,26.395,26.065,26.092,25992,0
20130417,26.082,26.258,25.87,25.999,38620,0
20130418,25.975,26.147,25.938,26.029,29508,0
20130419,26.008,26.194,25.915,26.036,27138,0
20130422,26.091,26.944,25.999,26.684,24104,0
20130423,26.676,26.99,26.49,26.703,6754,0
20130424,26.509,26.75,26.314,26.74,20604,0
20130425,26.777,26.999,26.713,26.916,12437,0
20130426,26.74,27.259,26.601,26.832,19427,0
20130429,27.259,27.825,27.148,27.75,33568,0
20130430,27.922,28.232,27.602,27.65,102508,0
20130501,27.575,29.038,27.575,28.612,24629,0
20130502,28.852,29.965,28.733,29.669,70507,0
20130503,29.928,31.298,29.743,30.983,63570,0
20130506,31.355,31.355,30.576,30.715,214554,0
20130507,30.901,31.327,30.438,31.04,14728,0
20130508,30.901,31.753,30.901,31.049,8762,0
20130509,31.318,32.318,31.067,31.567,157752,0
20130510,31.735,32.356,31.605,32.124,61506,0
20130513,32.262,33.319,31.789,33.115,51376,0
20130514,32.92,32.92,31.883,32.215,82449,0
20130515,32.115,33.181,32.115,32.336,360315,0
20130516,32.318,32.8,32.003,32.559,67436,0
20130517,32.513,32.744,32.328,32.458,99188,0
20130520,32.8,33.133,32.29,32.43,90138,0
20130521,32.642,32.8,32.458,32.568,35551,0
20130522,32.475,32.875,32.225,32.68,50349,0
20130523,32.549,32.549,32.161,32.282,52282,0
20130524,32.272,32.374,31.966,32.151,12835,0
20130528,32.559,32.559,32.013,32.17,35416,0
20130529,32.022,32.392,31.966,32.215,202546,0
20130530,32.383,32.475,31.605,31.689,91739,0
20130531,31.572,31.928,31.179,31.787,26798,0
20130603,32.438,33.106,31.827,32.708,63344,0
20130604,32.698,33.171,32.336,33.171,86574,0
20130605,32.883,33.068,31.372,31.429,21950,0
20130606,31.15,31.392,30.808,31.244,27037,0
20130607,31.364,31.873,31.15,31.873,8399,0
20130610,31.939,32.466,31.54,32.198,13069,0
20130611,31.818,32.18,31.689,31.993,4698,0
20130612,32.198,32.198,31.456,31.763,7461,0
20130613,32.615,32.615,31.615,31.939,9712,0
20130614,31.929,32.106,31.641,31.939,18834,0
20130617,31.789,31.957,31.706,31.781,5990,0
20130618,31.697,31.771,31.308,31.503,9270,0
20130619,31.513,31.513,30.623,31.429,8963,0
20130620,31.337,31.337,29.669,30.336,24008,0
20130621,30.567,30.752,29.186,30.705,23962,0
20130624,30.567,30.567,29.326,30.113,23849,0
20130625,30.512,30.818,29.622,29.909,17615,0
20130626,30.14,30.623,29.928,30.345,6676,0
20130627,30.744,30.744,30.345,30.493,6479,0
20130628,30.742,30.967,30.525,30.742,18982,0
20130701,30.326,30.938,29.557,30.345,40501,0
20130702,30.99,31.224,30.043,30.277,35266,0
20130703,30.07,30.578,28.673,29.695,58563,0
20130705,30.085,30.576,29.714,30.438,9282,0
20130708,30.595,30.818,28.612,30.049,500488,0
20130709,30.214,30.557,29.678,30.039,16461,0
20130710,30.345,30.705,29.714,30.02,90283,0
20130711,30.205,30.576,29.65,29.696,77795,0
20130712,30.1,30.558,29.939,30.108,26891,0
20130715,30.529,30.724,30.123,30.298,25634,0
20130716,30.653,30.698,29.789,29.789,23287,0
20130717,29.958,29.958,29.611,29.77,14539,0
20130718,29.669,29.881,29.576,29.603,44582,0
20130719,29.593,29.883,29.094,29.179,252182,0
20130722,29.548,30.159,29.093,29.669,53208,0
20130723,29.743,29.881,29.353,29.548,22442,0
20130724,29.696,29.752,29.196,29.279,30211,0
20130725,29.282,29.883,28.992,29.649,41336,0
20130726,29.386,30.053,29.282,29.883,23706,0
20130729,30.334,31.009,29.639,29.949,78261,0
20130730,29.978,30.428,29.33,29.366,61724,0
20130731,29.585,30.345,29.242,29.371,30447,0
20130801,29.508,29.799,29.366,29.366,20617,0
20130802,29.461,29.658,28.42,29.179,25511,0
20130805,29.395,29.424,28.824,28.824,15458,0
20130806,28.701,29.349,28.701,29.049,69491,0
20130807,29.282,29.639,28.682,28.944,20587,0
20130808,28.804,29.827,28.664,28.917,15012,0
20130809,28.749,29.311,28.288,28.288,15873,0
20130812,28.382,28.486,27.612,27.95,120148,0
20130813,28.279,29.226,28.279,28.522,17588,0
20130814,28.701,28.701,27.829,28.204,53141,0
20130815,28.025,28.326,27.865,28.175,390304,0
20130816,28.035,28.288,27.81,27.81,241101,0
20130819,28.035,28.035,26.928,27.096,45240,0
20130820,27.181,27.519,26.928,27.256,29885,0
20130821,27.491,27.865,27.303,27.697,10641,0
20130822,27.895,28.175,27.847,28.025,8903,0
20130823,27.97,28.241,27.79,27.95,15840,0
20130826,28.054,28.335,27.041,28.288,49309,0
20130827,28.138,28.138,27.444,27.5,54237,0
20130828,29.779,29.779,27.632,27.94,15772,0
20130829,28.175,28.175,27.36,27.8,24976,0
20130830,28.173,28.468,27.566,28.136,33060,0
20130903,27.641,27.913,27.228,27.36,51497,0
20130904,27.527,28.57,27.509,27.988,108278,0
