Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.472,16.73,16.386,16.73,551548,0
20050228,16.807,17.219,16.74,17.17,1561288,0
20050301,17.123,17.286,16.903,17.219,1092025,0
20050302,16.95,17.468,16.903,17.306,1285622,0
20050303,17.315,17.429,17.084,17.257,792549,0
20050304,17.343,17.372,16.893,17.018,1482348,0
20050307,17.076,17.19,16.625,16.759,2121817,0
20050308,16.281,17.047,16.281,16.903,4171167,0
20050309,16.835,17.17,16.759,17.037,1386283,0
20050310,17.047,17.267,17.018,17.228,1021647,0
20050311,17.17,17.429,16.979,17.391,1075735,0
20050314,17.343,17.391,17.037,17.238,616914,0
20050315,17.257,17.391,17.19,17.372,915764,0
20050316,17.372,17.869,17.372,17.515,3029854,0
20050317,17.515,17.563,17.17,17.306,1033968,0
20050318,17.315,17.391,16.932,17.151,1417818,0
20050321,17.151,17.151,16.722,17.028,1273927,0
20050322,17.037,17.238,16.865,16.874,1065712,0
20050323,16.807,16.979,16.693,16.855,940199,0
20050324,16.903,17.429,16.865,17.353,1980434,0
20050328,17.391,17.525,17.353,17.458,982175,0
20050329,17.458,17.573,17.343,17.372,1228816,0
20050330,17.382,17.525,17.228,17.343,1528083,0
20050331,17.411,17.65,17.411,17.583,932054,0
20050401,17.602,17.765,17.104,17.19,1848235,0
20050404,17.219,17.286,17.018,17.219,767906,0
20050405,17.219,17.325,17.151,17.296,1384612,0
20050406,17.334,17.334,16.932,16.932,1196655,0
20050407,16.932,16.941,16.712,16.941,1815242,0
20050408,16.903,16.979,16.606,16.769,1192270,0
20050411,16.769,16.769,16.501,16.644,694601,0
20050412,16.644,16.807,16.433,16.759,686668,0
20050413,16.712,16.759,16.213,16.415,1365815,0
20050414,16.329,16.567,15.82,15.955,1535601,0
20050415,15.917,15.917,15.112,15.256,2758364,0
20050418,15.256,15.907,15.247,15.305,1684716,0
20050419,15.37,15.763,15.247,15.715,1497803,0
20050420,15.82,15.907,15.476,15.485,1091190,0
20050421,15.562,16.137,15.562,15.781,1305254,0
20050422,15.781,15.781,15.131,15.323,1235497,0
20050425,15.37,15.754,15.341,15.668,905115,0
20050426,15.63,15.781,15.276,15.305,877756,0
20050427,15.305,15.314,14.844,14.979,2556832,0
20050428,14.979,14.987,14.632,14.68,1707686,0
