Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.488,11.546,11.488,11.53,65805,0
20050228,11.488,11.857,11.488,11.76,81157,0
20050301,11.776,11.776,11.275,11.694,158295,0
20050302,11.652,12.039,11.652,11.899,69581,0
20050303,11.94,12.104,11.734,11.825,25957,0
20050304,11.857,12.022,11.817,11.891,220685,0
20050307,11.899,12.063,11.857,11.916,52765,0
20050308,11.94,11.94,11.686,11.694,19741,0
20050309,11.612,11.801,11.488,11.702,56904,0
20050310,11.694,11.817,11.652,11.743,75430,0
20050311,11.62,11.661,11.423,11.472,248957,0
20050314,11.514,12.013,11.472,12.013,29126,0
20050315,12.048,12.153,11.472,11.629,135995,0
20050316,11.669,11.669,11.456,11.488,85787,0
20050317,11.53,11.53,11.448,11.464,39240,0
20050318,11.53,11.571,11.415,11.571,121980,0
20050321,11.694,11.734,11.398,11.604,137090,0
20050322,11.571,11.612,11.284,11.415,173039,0
20050323,11.415,11.694,11.309,11.694,74091,0
20050324,11.727,12.071,11.727,11.907,95294,0
20050328,11.825,11.94,11.751,11.907,53984,0
20050329,11.916,11.981,11.842,11.899,63730,0
20050330,11.981,12.048,11.604,12.048,75676,0
20050331,12.039,12.087,11.686,11.792,50081,0
20050401,11.874,11.907,11.612,11.743,107965,0
20050404,11.776,11.801,11.375,11.751,83230,0
20050405,11.751,11.76,11.538,11.62,155614,0
20050406,11.694,11.981,11.652,11.981,79573,0
20050407,11.907,11.973,11.711,11.842,30830,0
20050408,11.924,11.924,11.505,11.505,56904,0
20050411,11.546,11.587,11.406,11.448,81767,0
20050412,11.456,11.817,11.219,11.817,59709,0
20050413,11.776,11.776,11.324,11.612,48255,0
20050414,11.629,11.743,11.406,11.406,47646,0
20050415,11.406,11.488,11.341,11.349,79086,0
20050418,11.39,11.488,11.293,11.358,107601,0
20050419,11.406,11.637,11.406,11.488,86032,0
20050420,11.456,11.488,11.366,11.472,122225,0
20050421,11.488,11.694,11.406,11.546,129532,0
20050422,11.571,11.571,11.366,11.488,94075,0
20050425,11.53,11.678,11.432,11.587,258339,0
20050426,11.546,11.612,11.406,11.505,47770,0
20050427,11.488,11.678,11.464,11.62,284416,0
20050428,11.595,11.776,11.488,11.571,48619,0
20050429,11.652,11.776,11.481,11.711,122103,0
