Date,Open,High,Low,Close,Volume,OpenInt
20050225,27.358,27.521,27.251,27.44,12948,0
20050228,27.521,27.628,27.251,27.44,15729,0
20050301,27.547,27.602,27.358,27.494,14171,0
20050302,27.413,27.602,27.413,27.44,11279,0
20050303,27.386,27.602,27.386,27.521,10316,0
20050304,27.575,27.817,27.521,27.763,15508,0
20050307,27.79,27.898,27.547,27.871,15620,0
20050308,27.871,27.979,27.817,27.951,9981,0
20050309,28.059,28.276,27.358,27.575,35392,0
20050310,27.575,27.898,27.575,27.845,13988,0
20050311,27.871,28.141,27.79,28.033,17029,0
20050314,28.115,28.167,27.845,28.115,13690,0
20050315,27.736,27.925,27.575,27.575,14950,0
20050316,27.709,27.871,27.413,27.413,8904,0
20050317,27.279,27.44,27.008,27.224,17364,0
20050318,27.144,27.413,27.144,27.413,9425,0
20050321,27.279,27.332,27.171,27.251,12539,0
20050322,27.224,27.251,26.955,26.982,13170,0
20050323,26.846,26.846,24.987,25.365,53349,0
20050324,25.337,25.876,25.283,25.876,23928,0
20050328,26.093,26.119,25.769,25.876,15880,0
20050329,25.876,25.876,24.556,24.772,39287,0
20050330,24.717,25.311,24.717,25.176,21631,0
20050331,25.337,25.688,25.23,25.688,10870,0
20050401,25.956,26.47,25.122,26.282,13429,0
20050404,26.201,26.361,25.876,25.904,6901,0
20050405,26.173,26.201,26.012,26.145,6826,0
20050406,26.145,26.145,25.634,25.769,9127,0
20050407,25.796,26.253,25.769,26.226,7716,0
20050408,26.253,26.282,25.796,25.985,11466,0
20050411,25.849,26.119,25.823,26.012,11799,0
20050412,26.201,26.282,26.037,26.201,10240,0
20050413,26.415,26.496,26.201,26.335,6346,0
20050414,26.389,26.389,26.145,26.361,10387,0
20050415,26.173,26.47,26.093,26.335,11724,0
20050418,26.335,26.361,25.985,26.335,12576,0
20050419,26.173,26.253,26.065,26.173,10611,0
20050420,26.226,26.253,26.119,26.201,7269,0
20050421,26.226,26.253,25.553,26.012,14840,0
20050422,25.742,25.985,25.742,25.904,6714,0
20050425,25.931,26.065,25.796,25.904,11612,0
20050426,25.931,25.931,25.742,25.876,7087,0
20050427,25.931,25.956,25.796,25.876,4193,0
20050428,25.823,25.849,25.526,25.715,11500,0
20050429,25.796,26.119,25.796,26.119,9463,0
20050502,26.145,26.282,25.876,26.037,8607,0
20050503,26.037,26.253,25.876,26.253,5342,0
20050504,26.173,26.47,26.065,26.335,11093,0
20050505,26.523,26.658,26.361,26.604,6936,0
20050506,26.55,26.766,26.55,26.712,5156,0
20050509,26.794,26.82,26.496,26.658,8125,0
20050510,26.794,26.794,26.631,26.712,6973,0
20050511,26.55,26.82,26.496,26.712,9425,0
20050512,26.712,27.063,26.685,26.794,8053,0
20050513,26.901,27.034,26.604,26.604,11984,0
20050516,26.604,27.224,26.577,26.927,12909,0
20050517,26.82,27.494,26.658,27.279,12465,0
20050518,27.171,27.304,27.034,27.144,11984,0
20050519,27.224,27.521,27.144,27.521,9608,0
20050520,27.494,27.494,27.034,27.358,13321,0
20050523,27.224,27.763,27.09,27.494,11573,0
20050524,27.358,27.763,27.144,27.358,10795,0
20050525,27.467,27.494,27.116,27.116,13059,0
20050526,27.144,27.224,26.82,27.063,8792,0
20050527,27.063,27.413,26.927,27.279,5750,0
20050531,26.955,27.494,26.927,27.251,11204,0
20050601,27.332,27.871,27.304,27.521,12613,0
20050602,27.602,28.167,27.09,27.763,23780,0
20050603,27.845,28.059,27.494,27.575,10685,0
20050606,27.494,28.167,27.494,27.763,11204,0
20050607,28.005,28.141,27.763,28.033,7716,0
20050608,28.167,28.167,27.763,27.763,14692,0
20050609,27.736,28.086,27.575,27.898,13207,0
20050610,27.683,28.167,27.575,28.167,12058,0
20050613,28.167,28.167,28.033,28.086,16360,0
20050614,28.086,28.167,27.898,28.167,10870,0
20050615,28.033,28.437,27.925,28.303,15434,0
20050616,28.059,28.599,27.925,28.437,10611,0
20050617,28.276,28.572,28.005,28.491,6310,0
20050620,28.411,28.76,27.951,28.734,13988,0
20050621,28.195,28.734,27.79,28.141,22259,0
20050622,27.898,28.437,27.898,27.898,14393,0
20050623,28.248,28.248,27.655,28.167,8866,0
20050624,28.167,28.841,27.845,28.411,19218,0
20050627,28.195,28.383,27.898,28.086,10278,0
20050628,27.951,28.329,27.951,28.141,4600,0
20050629,28.383,28.76,28.115,28.437,14989,0
20050630,28.572,28.572,27.979,28.411,13133,0
20050701,28.303,28.544,28.303,28.437,5936,0
20050705,28.653,28.68,28.356,28.411,7010,0
20050706,28.599,28.599,27.898,28.437,13727,0
20050707,28.383,28.491,28.033,28.356,14543,0
20050708,28.68,28.68,28.005,28.222,18325,0
20050711,28.491,28.491,28.167,28.329,11686,0
20050712,28.329,28.329,28.167,28.303,9349,0
20050713,28.411,28.653,28.222,28.356,13727,0
20050714,28.518,28.544,28.303,28.518,12058,0
20050715,28.518,28.841,28.383,28.841,13949,0
20050718,28.653,28.977,28.653,28.815,10721,0
20050719,28.303,28.68,28.195,28.411,16138,0
20050720,28.329,28.491,27.925,28.115,16026,0
20050721,28.276,28.437,27.951,28.303,19589,0
20050722,27.979,28.572,27.979,28.491,12282,0
20050725,28.248,28.518,28.222,28.303,8533,0
20050726,28.437,28.491,28.005,28.033,13988,0
20050727,28.303,28.329,28.033,28.115,2856,0
20050728,28.033,28.356,28.033,28.303,6676,0
20050729,28.356,28.437,28.167,28.195,9572,0
20050801,28.195,28.329,28.167,28.276,10349,0
20050802,28.276,28.544,28.167,28.518,11946,0
20050803,28.276,28.707,28.276,28.599,12872,0
20050804,28.572,29.056,28.572,29.03,8756,0
20050805,28.868,29.111,28.437,29.111,7755,0
20050808,29.111,29.111,28.464,28.977,9053,0
20050809,29.056,29.111,28.868,28.896,10127,0
20050810,29.03,29.111,28.464,29.03,17139,0
20050811,28.948,29.03,28.491,28.815,9608,0
20050812,28.76,29.03,28.626,28.977,8645,0
20050815,28.734,29.111,28.68,29.111,19774,0
20050816,28.734,29.111,28.734,28.977,8866,0
20050817,28.977,29.515,28.276,29.056,18217,0
20050818,28.977,29.138,28.572,28.977,7233,0
20050819,28.923,29.219,28.841,29.219,10387,0
20050822,29.004,29.273,28.572,28.868,11946,0
20050823,28.626,29.407,28.626,29.353,21111,0
20050824,29.056,29.056,28.788,28.788,20961,0
20050825,28.626,29.245,28.626,28.76,12650,0
20050826,29.03,29.193,28.707,29.056,16695,0
20050829,29.056,29.164,28.841,29.004,4785,0
20050830,28.868,29.164,28.68,28.977,13541,0
20050831,28.948,29.111,28.572,28.653,16769,0
20050901,28.572,28.599,27.951,28.141,30533,0
20050902,28.167,28.68,28.167,28.653,7307,0
20050906,28.68,29.138,28.68,29.085,21111,0
20050907,28.815,29.193,28.815,29.085,14136,0
20050908,29.193,29.245,28.977,29.245,12799,0
20050909,29.193,29.245,28.868,28.868,8829,0
20050912,29.138,29.461,28.977,29.085,17512,0
20050913,28.948,29.056,28.76,28.977,13429,0
20050914,29.245,29.353,28.977,29.353,7755,0
20050915,29.085,29.3,29.03,29.245,5750,0
20050916,29.245,29.407,29.004,29.138,21813,0
20050919,29.407,29.785,29.245,29.65,35467,0
20050920,28.868,29.407,28.841,29.085,19812,0
20050921,29.245,29.407,29.004,29.03,6455,0
20050922,28.896,29.085,28.626,28.626,9832,0
20050923,28.76,29.111,28.599,28.868,4823,0
20050926,28.841,29.219,28.841,28.977,6714,0
20050927,29.245,29.326,29.03,29.245,11017,0
20050928,29.085,29.3,28.841,28.841,8311,0
20050929,29.111,29.111,28.68,28.923,7938,0
20050930,28.948,28.977,28.76,28.977,2523,0
20051003,29.004,29.164,28.572,28.76,12539,0
20051004,28.544,28.977,28.544,28.76,11054,0
20051005,28.653,28.977,28.464,28.868,6086,0
20051006,28.707,28.948,28.491,28.896,7679,0
20051007,28.896,28.977,28.734,28.76,7233,0
20051010,28.977,28.977,28.841,28.868,11279,0
20051011,28.841,28.977,28.707,28.788,11650,0
20051012,29.056,29.245,28.707,28.815,17103,0
20051013,28.734,28.977,25.634,25.931,87332,0
20051014,25.661,25.956,24.798,25.876,29790,0
20051017,25.742,26.389,25.607,26.253,27269,0
20051018,26.145,26.794,25.904,26.685,14877,0
20051019,26.685,26.685,26.145,26.173,12836,0
20051020,26.173,26.794,26.173,26.523,11239,0
20051021,26.389,26.658,26.253,26.389,11612,0
20051024,26.658,27.09,26.415,26.901,14136,0
20051025,26.955,27.358,26.82,27.358,11390,0
20051026,27.386,27.602,27.224,27.602,9127,0
20051027,27.575,27.628,27.279,27.494,3263,0
20051028,27.494,27.575,27.386,27.575,1819,0
20051031,27.763,27.763,27.197,27.279,8792,0
20051101,27.467,27.494,27.116,27.358,11054,0
20051102,27.358,27.494,27.224,27.467,11946,0
20051103,27.386,27.602,27.386,27.602,6197,0
20051104,27.628,27.898,27.358,27.575,13059,0
20051107,27.494,28.411,27.358,28.411,12539,0
20051108,28.841,28.841,27.979,28.518,16918,0
20051109,28.788,28.841,28.167,28.411,10795,0
20051110,28.491,28.841,28.086,28.518,7199,0
20051111,28.572,28.841,28.383,28.841,7976,0
20051114,28.841,28.977,28.464,28.464,9312,0
20051115,28.491,28.491,28.222,28.303,8607,0
20051116,28.222,28.437,27.979,28.437,18513,0
20051117,28.383,28.383,27.871,28.059,7307,0
20051118,27.951,28.411,27.871,28.141,6532,0
20051121,27.979,28.383,27.951,28.222,11390,0
20051122,28.303,28.788,28.167,28.788,9274,0
20051123,28.788,28.815,28.329,28.411,9794,0
20051125,28.599,28.599,28.086,28.248,10127,0
20051128,28.195,28.544,28.086,28.464,7938,0
20051129,28.303,28.707,28.167,28.383,15469,0
20051130,28.68,28.707,28.303,28.707,5862,0
20051201,28.707,28.707,28.329,28.383,13618,0
20051202,28.572,28.815,28.572,28.815,12539,0
20051205,28.815,28.815,28.491,28.599,5527,0
20051206,28.76,28.948,28.544,28.599,6714,0
20051207,28.599,28.788,28.518,28.788,7124,0
20051208,28.653,28.815,28.572,28.68,14061,0
20051209,28.626,28.707,28.544,28.599,4897,0
20051212,28.599,28.707,28.437,28.544,8273,0
20051213,28.518,28.76,28.464,28.599,5381,0
20051214,28.76,28.815,28.383,28.626,9533,0
20051215,28.841,28.841,28.383,28.491,9349,0
