Date,Open,High,Low,Close,Volume,OpenInt
20101014,22.044,22.124,21.999,22.017,371883,0
20101015,22.079,22.213,22.008,22.142,247992,0
20101018,22.124,22.205,22.116,22.205,255219,0
20101019,22.195,22.195,22.089,22.142,194148,0
20101020,22.178,22.178,22.116,22.159,197461,0
20101021,22.178,22.249,22.124,22.178,323480,0
20101022,22.213,22.284,22.178,22.195,148452,0
20101025,22.267,22.284,22.133,22.159,164880,0
20101026,22.249,22.249,22.07,22.079,140776,0
20101027,22.124,22.168,22.07,22.168,140106,0
20101028,22.168,22.213,22.124,22.168,111105,0
20101029,22.168,22.267,22.124,22.168,79705,0
20101101,22.249,22.293,22.159,22.249,114869,0
20101102,22.249,22.321,22.24,22.311,126979,0
20101103,22.311,22.498,22.267,22.383,120840,0
20101104,22.383,22.454,22.311,22.392,104429,0
20101105,22.419,22.436,22.348,22.356,95377,0
20101108,22.383,22.473,22.356,22.436,170500,0
20101109,22.364,22.427,22.302,22.33,185114,0
20101110,22.373,22.383,22.276,22.302,113027,0
20101111,22.356,22.383,22.302,22.302,90133,0
20101112,22.33,22.392,22.302,22.311,68382,0
20101115,22.348,22.383,22.151,22.259,105425,0
20101116,22.302,22.348,22.213,22.338,96793,0
20101117,22.338,22.348,22.035,22.079,102629,0
20101118,22.159,22.205,22.017,22.079,57352,0
20101119,22.116,22.195,22.079,22.151,69228,0
20101122,22.205,22.392,22.159,22.276,67011,0
20101123,22.392,22.392,22.205,22.302,45219,0
20101124,22.311,22.436,22.302,22.401,35503,0
20101126,22.392,22.392,22.302,22.392,12259,0
20101129,22.302,22.302,22.159,22.213,37243,0
20101130,22.259,22.392,22.187,22.249,53437,0
20101201,22.41,22.41,22.222,22.302,33170,0
20101202,22.348,22.348,22.159,22.168,56501,0
20101203,22.249,22.436,22.195,22.373,34828,0
20101206,22.383,22.436,22.276,22.419,47652,0
20101207,22.401,22.401,22.151,22.151,43520,0
20101208,22.24,22.284,22.178,22.178,48463,0
20101209,22.276,22.302,22.151,22.24,36075,0
20101210,22.231,22.249,22.07,22.187,41151,0
