Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.754,23.073,22.682,23.027,844821,0
20050228,23.008,23.073,22.773,22.926,1381008,0
20050301,22.918,23.435,22.918,23.39,1250716,0
20050302,23.318,23.345,23.008,23.118,928046,0
20050303,23.163,23.408,23.09,23.29,935643,0
20050304,23.29,23.881,23.008,23.616,1499899,0
20050307,23.463,23.7,23.318,23.599,982539,0
20050308,23.59,23.608,23.354,23.527,655247,0
20050309,23.527,23.527,23.19,23.427,742934,0
20050310,22.346,22.501,21.737,21.955,5718551,0
20050311,21.918,22.318,21.801,22.118,2482935,0
20050314,22.073,22.464,22.046,22.408,925901,0
20050315,22.408,22.555,21.801,21.865,1353429,0
20050316,21.719,21.856,21.656,21.683,839369,0
20050317,21.746,21.791,21.465,21.683,1268218,0
20050318,21.801,21.828,21.637,21.683,1303393,0
20050321,21.528,21.974,21.447,21.865,1455478,0
20050322,21.791,22.164,21.737,21.865,697191,0
20050323,21.865,21.991,21.555,21.801,621561,0
20050324,21.955,22.255,21.955,22.082,833921,0
20050328,22.082,22.328,22.082,22.21,762914,0
20050329,22.2,22.2,21.737,21.837,968174,0
20050330,21.918,22.245,21.791,22.227,806676,0
20050331,22.191,22.191,21.737,21.937,1346825,0
20050401,22.064,22.1,21.465,21.492,1422617,0
20050404,21.465,21.465,21.064,21.319,1206130,0
20050405,21.374,21.7,21.346,21.583,763739,0
20050406,22.073,22.282,21.865,22.118,1447225,0
20050407,22.137,22.137,21.81,22.037,739300,0
20050408,21.982,22.282,21.955,22.028,632622,0
20050411,21.982,22.128,21.846,21.918,486812,0
20050412,21.918,21.918,21.637,21.828,1015732,0
20050413,21.891,22.355,21.755,21.828,710235,0
20050414,21.882,22.3,21.882,22.082,1152790,0
20050415,22.046,22.164,21.774,21.801,1124391,0
20050418,21.774,21.882,21.565,21.774,503819,0
20050419,21.774,22.399,21.646,22.282,1624576,0
20050420,22.236,22.236,21.891,21.964,1265741,0
20050421,22.091,22.309,21.465,21.882,1289687,0
20050422,21.882,21.937,21.391,21.401,1133803,0
20050425,21.465,21.656,21.191,21.492,1829673,0
20050426,21.828,21.828,21.174,21.365,1620779,0
20050427,21.166,21.256,20.683,20.864,1955837,0
20050428,20.864,20.864,20.102,20.284,2682253,0
20050429,20.375,20.529,20.265,20.465,1718867,0
20050502,20.447,20.738,20.447,20.655,986668,0
20050503,20.62,20.92,20.592,20.738,1103084,0
20050504,20.828,21.147,20.828,20.975,880488,0
20050505,20.892,21.047,20.802,20.929,717006,0
20050506,20.929,21.028,20.71,20.811,735005,0
20050509,20.738,21.319,20.71,21.166,1375723,0
20050510,21.591,21.737,21.437,21.61,1929081,0
20050511,21.709,21.709,21.401,21.401,1372418,0
20050512,21.501,21.683,21.183,21.283,1152296,0
20050513,21.41,21.528,21.138,21.264,713705,0
20050516,21.228,21.346,21.064,21.166,881644,0
20050517,21.073,21.138,20.72,21.11,1537552,0
20050518,21.319,22.245,21.319,21.991,1790370,0
20050519,22.191,22.227,22.01,22.191,1030925,0
20050520,22.227,22.39,21.909,22.318,844324,0
20050523,22.318,22.59,22.282,22.464,970485,0
20050524,23.045,23.045,22.028,22.227,528259,0
20050525,22.236,22.436,22.073,22.408,1631017,0
20050526,22.436,22.692,22.427,22.692,1154773,0
20050527,22.664,22.808,22.555,22.754,349090,0
20050531,22.864,22.954,22.636,22.781,782070,0
20050601,22.781,23.008,22.645,22.981,917149,0
20050602,22.954,23.163,22.901,23.073,943073,0
20050603,23.045,23.118,22.918,22.918,1198699,0
20050606,22.918,22.999,22.773,22.891,731042,0
20050607,22.891,22.954,22.555,22.599,1154940,0
20050608,22.71,22.737,22.337,22.374,820049,0
20050609,23.463,24.671,23.408,24.535,6876788,0
20050610,24.598,24.935,24.407,24.816,2165057,0
20050613,24.825,25.034,24.717,24.917,1332787,0
20050614,24.861,25.307,24.852,25.117,1621272,0
20050615,25.08,25.188,24.889,25.135,1355575,0
20050616,25.08,25.57,25.061,25.344,1363667,0
20050617,25.434,25.68,25.243,25.28,2752435,0
20050620,25.135,25.206,24.917,24.917,1737529,0
20050621,24.798,25.024,24.653,24.726,1550102,0
20050622,24.825,24.944,24.644,24.861,1577845,0
20050623,24.926,24.953,24.78,24.78,883625,0
20050624,24.735,24.754,24.345,24.345,1101272,0
20050627,24.317,24.426,23.909,24.044,1124884,0
20050628,24.053,24.207,23.936,24.063,783225,0
20050629,24.135,24.335,23.998,24.118,540313,0
20050630,24.253,24.363,24.226,24.253,1328824,0
20050701,24.207,24.299,23.955,24.207,1134629,0
20050705,24.226,24.435,24.081,24.317,636256,0
20050706,24.272,24.272,23.826,23.89,997073,0
20050707,23.736,24.063,23.7,23.918,526774,0
20050708,23.927,24.363,23.881,24.335,750198,0
20050711,24.253,24.508,24.09,24.416,972631,0
20050712,24.379,24.589,24.335,24.48,1131491,0
20050713,24.526,24.563,24.281,24.498,1222974,0
20050714,24.498,24.616,24.354,24.407,922599,0
20050715,24.398,24.834,24.308,24.544,920284,0
20050718,24.508,24.661,24.416,24.598,608679,0
20050719,24.607,24.788,24.426,24.644,562774,0
20050720,24.554,24.708,24.462,24.661,437439,0
20050721,24.644,24.653,24.216,24.389,382610,0
20050722,24.389,24.771,24.371,24.754,369072,0
20050725,24.708,24.825,24.263,24.726,508114,0
20050726,24.798,24.798,24.554,24.745,404080,0
20050727,24.717,24.726,24.226,24.644,777778,0
20050728,24.589,24.825,24.589,24.798,380959,0
20050729,24.825,24.917,24.644,24.771,535194,0
20050801,24.735,24.834,24.48,24.517,639231,0
20050802,24.535,24.644,24.462,24.644,416631,0
20050803,24.616,24.644,24.379,24.563,633781,0
20050804,24.498,24.535,24.226,24.371,806510,0
20050805,24.317,24.317,23.536,23.772,1248073,0
20050808,23.709,23.826,23.7,23.736,807004,0
20050809,23.736,23.989,23.681,23.989,1206130,0
20050810,24.118,24.198,23.863,24.007,796601,0
20050811,24.526,24.535,23.863,23.955,2336629,0
20050812,24.099,24.163,23.863,23.98,1559679,0
20050815,23.936,24.335,23.909,24.17,1229910,0
20050816,24.226,24.226,23.736,23.736,1829507,0
20050817,23.89,24.335,23.881,24.253,1594853,0
20050818,24.272,24.363,24.016,24.235,933991,0
20050819,24.335,24.462,24.179,24.29,722457,0
20050822,24.345,24.379,24.053,24.244,577801,0
20050823,24.326,24.389,24.135,24.326,788180,0
20050824,24.099,24.099,23.045,23.1,2753756,0
20050825,23.1,23.49,22.936,23.444,1631844,0
20050826,23.1,23.245,22.609,23.181,3306621,0
20050829,23.1,23.408,22.999,23.408,1406271,0
20050830,23.354,23.354,22.737,22.827,1915045,0
20050831,22.773,22.773,22.337,22.501,4052028,0
20050901,22.255,22.399,21.882,22.046,3235777,0
20050902,22.174,22.374,21.709,21.909,2819644,0
20050906,22.073,22.482,22.073,22.408,1590888,0
20050907,23.136,23.59,22.827,23.254,3235943,0
20050908,23.254,23.254,22.79,22.827,1739841,0
20050909,23.309,23.663,23.254,23.59,2740874,0
20050912,23.608,23.772,23.417,23.727,1158076,0
20050913,23.59,23.616,23.463,23.472,738805,0
20050914,23.481,23.481,22.972,23.073,1107711,0
20050915,23.136,23.5,22.827,23.045,1187963,0
20050916,23.064,23.444,23.008,23.281,1116135,0
20050919,23.318,23.318,22.636,22.864,1128351,0
20050920,22.864,23.073,22.645,22.763,2302777,0
20050921,22.464,22.464,21.955,22.174,2271071,0
20050922,22.182,22.427,21.683,22.318,1761636,0
20050923,22.408,23.272,22.408,22.808,2147552,0
20050926,22.954,23.199,22.692,22.891,899479,0
20050927,22.864,22.864,22.408,22.555,767373,0
20050928,22.701,22.799,22.227,22.408,985346,0
20050929,22.355,22.645,22.191,22.482,1098134,0
20050930,22.408,22.79,22.408,22.745,816749,0
20051003,22.773,22.972,22.355,22.609,934652,0
20051004,22.609,22.664,22.3,22.39,833425,0
20051005,22.555,22.981,22.427,22.71,1957651,0
20051006,22.71,23.064,22.555,22.781,1257322,0
20051007,22.827,23.154,22.464,22.627,1029768,0
20051010,22.682,22.936,22.555,22.882,776784,0
20051011,22.882,23.1,22.374,22.445,1022834,0
20051012,22.445,22.59,22.227,22.337,1046778,0
20051013,22.273,22.537,22.218,22.408,609837,0
20051014,22.408,22.673,22.164,22.518,621728,0
20051017,22.464,22.636,22.182,22.501,843828,0
20051018,22.501,22.501,21.937,22.046,995586,0
20051019,22.046,23.527,22.037,23.509,2205016,0
20051020,23.509,23.89,23.263,23.417,1361025,0
20051021,23.427,23.653,23.19,23.626,1137931,0
20051024,23.681,24.435,23.681,23.89,1732241,0
20051025,24.226,25.588,23.616,23.736,4474936,0
20051026,23.754,23.754,23.073,23.272,2209476,0
20051027,23.118,23.118,22.408,22.555,1421463,0
20051028,22.645,23.055,22.537,22.963,1849488,0
20051031,23.008,23.381,23.008,23.082,1199855,0
20051101,22.981,23.172,22.627,22.808,1420966,0
20051102,22.701,23.1,22.581,23.018,1394543,0
20051103,23.19,23.427,23.018,23.227,887590,0
20051104,23.281,23.481,23.227,23.444,1233377,0
20051107,23.572,23.644,23.118,23.39,1262111,0
20051108,23.309,23.427,23.1,23.127,1270697,0
20051109,23.136,23.318,22.954,23.064,937293,0
20051110,23.018,23.281,22.773,22.972,1785745,0
20051111,23.008,23.354,22.79,23.318,789665,0
20051114,23.309,23.363,23.082,23.19,1195066,0
20051115,23.19,23.218,22.891,22.926,871737,0
20051116,23.027,23.136,22.537,22.573,960909,0
20051117,22.59,23.318,22.573,23.3,1235691,0
20051118,23.281,23.545,23.154,23.5,1174093,0
20051121,23.5,23.936,23.5,23.909,992283,0
20051122,23.763,24.081,23.763,24.035,731042,0
20051123,23.955,24.281,23.89,23.946,1076664,0
20051125,23.918,24.17,23.863,24.163,179666,0
20051128,24.072,24.216,23.754,23.763,734181,0
20051129,23.918,24.154,23.789,23.863,529581,0
20051130,23.989,24.371,23.89,24.026,621728,0
20051201,24.072,24.498,23.927,24.263,892377,0
