Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.639,9.639,9.582,9.61,71378,0
20050228,9.639,9.673,9.566,9.602,85967,0
20050301,9.666,9.673,9.61,9.61,79317,0
20050302,9.673,9.673,9.559,9.596,94467,0
20050303,9.645,9.673,9.616,9.673,124065,0
20050304,9.701,9.701,9.518,9.574,86252,0
20050307,9.632,9.673,9.566,9.566,85825,0
20050308,9.596,9.694,9.574,9.61,93337,0
20050309,9.681,9.681,9.4132,9.4132,155511,0
20050310,9.4463,9.4819,9.3768,9.3837,104097,0
20050311,9.2856,9.3118,9.0161,9.2213,392031,0
20050314,9.2136,9.2776,9.1436,9.1781,206638,0
20050315,9.1579,9.2776,9.1224,9.2001,280566,0
20050316,9.229,9.2359,8.9457,8.9952,174488,0
20050317,8.9952,9.0801,8.9457,9.052,103391,0
20050318,9.0454,9.0801,8.9457,8.9533,68695,0
20050321,8.9533,8.9749,8.7132,8.7694,168259,0
20050322,8.833,8.833,8.614,8.614,119818,0
20050323,8.614,8.614,8.3529,8.4517,241198,0
20050324,8.4797,8.8187,8.4517,8.6422,197859,0
20050328,8.5717,8.6776,8.4021,8.4448,158766,0
20050329,8.5506,8.6001,8.4448,8.5223,133979,0
20050330,8.5011,8.833,8.5011,8.7838,85117,0
20050331,8.8401,8.8608,8.6637,8.8469,131433,0
20050401,8.8823,9.0161,8.8469,8.9672,65009,0
20050404,8.8401,8.8823,8.7975,8.8543,105087,0
20050405,8.9038,8.9392,8.8823,8.9315,63731,0
20050406,8.9672,9.0019,8.8899,8.8899,42487,0
20050407,8.8823,8.9392,8.7553,8.7838,51976,0
20050408,8.7132,8.8187,8.6987,8.72,40932,0
20050411,8.7838,8.7975,8.6497,8.6497,71810,0
20050412,8.6422,8.741,8.607,8.607,94324,0
20050413,8.6497,8.7058,8.607,8.6353,87946,0
20050414,8.6705,8.6705,8.5717,8.6001,76623,0
20050415,8.5717,8.6212,8.5367,8.5434,74070,0
20050418,8.5367,8.5861,8.4374,8.4588,179163,0
20050419,8.4374,8.5434,8.4374,8.5367,129446,0
20050420,8.5151,8.5645,8.4729,8.5291,128460,0
20050421,8.5291,8.5861,8.5223,8.5717,104808,0
20050422,8.5717,8.5861,8.5575,8.5861,69545,0
20050425,8.5861,8.6212,8.5434,8.607,103675,0
20050426,8.614,8.7906,8.5785,8.6851,244735,0
20050427,8.6637,8.7553,8.5926,8.7553,108064,0
20050428,8.7763,8.7838,8.6497,8.6987,74070,0
20050429,8.6776,8.72,8.6422,8.6851,71102,0
20050502,8.7058,8.7553,8.6705,8.6987,54808,0
20050503,8.6851,8.7553,8.6851,8.7132,57499,0
20050504,8.7342,8.7763,8.6851,8.7763,54386,0
20050505,8.7838,8.8608,8.7342,8.8401,78323,0
20050506,8.6851,8.7694,8.5291,8.7132,282265,0
20050509,8.614,8.6637,8.4302,8.5223,282121,0
20050510,8.5223,8.5717,8.4871,8.5645,84269,0
20050511,8.5011,8.5785,8.4657,8.5785,153101,0
20050512,8.5575,8.614,8.5291,8.5367,90927,0
20050513,8.3951,8.5151,8.3883,8.4448,116562,0
20050516,8.4448,8.4657,8.3739,8.4021,103534,0
20050517,8.3739,8.3951,8.1551,8.254,237086,0
20050518,8.2962,8.3177,8.2399,8.2609,123642,0
20050519,8.2682,8.3457,8.2256,8.254,117265,0
20050520,8.2682,8.3529,8.2399,8.3317,125486,0
20050523,8.3529,8.3529,8.2823,8.2962,103107,0
20050524,8.3034,8.5223,8.2962,8.4588,251248,0
20050525,8.4164,8.4517,8.3529,8.367,107497,0
20050526,8.367,8.4374,8.3529,8.4374,67843,0
20050527,8.4657,8.5011,8.4235,8.4797,63586,0
20050531,8.4938,8.5367,8.4657,8.5291,100127,0
20050601,8.5434,8.5785,8.4938,8.5645,99991,0
20050602,8.607,8.6422,8.5367,8.6353,98425,0
20050603,8.607,8.7058,8.607,8.6851,97581,0
20050606,8.7132,8.741,8.6497,8.6987,80587,0
20050607,8.7058,8.741,8.6705,8.7132,100411,0
20050608,8.7268,8.7342,8.6851,8.6987,62456,0
20050609,8.6851,8.6914,8.614,8.628,116705,0
20050610,8.614,8.614,8.4871,8.5011,52118,0
20050613,8.4517,8.5223,8.4448,8.4871,107919,0
20050614,8.5291,8.5506,8.4938,8.5367,81579,0
20050615,8.5785,8.5926,8.5291,8.5926,90783,0
20050616,8.5926,8.5926,8.4657,8.5717,117127,0
20050617,8.5434,8.607,8.5434,8.6001,79317,0
20050620,8.607,8.6353,8.5434,8.5717,63447,0
20050621,8.5434,8.6563,8.5434,8.6353,146729,0
20050622,8.6497,8.6563,8.5717,8.6001,92198,0
20050623,8.5861,8.6353,8.5717,8.5785,87239,0
20050624,8.628,8.6422,8.5291,8.5717,101689,0
20050627,8.5717,8.5861,8.4448,8.5506,144462,0
20050628,8.5506,8.5506,8.4797,8.5291,92907,0
