Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.093,15.281,15.07,15.228,256309,0
20050228,15.263,15.408,15.102,15.102,358432,0
20050301,15.146,15.619,15.146,15.619,212257,0
20050302,15.596,15.73,15.475,15.704,165753,0
20050303,15.73,15.88,15.69,15.88,191785,0
20050304,15.933,16.117,15.884,16.117,371784,0
20050307,16.131,16.289,16.029,16.085,185109,0
20050308,16.182,16.298,16.019,16.05,294802,0
20050309,16.042,16.042,15.798,15.834,302590,0
20050310,15.82,15.893,15.642,15.713,363104,0
20050311,15.699,15.73,15.568,15.642,171984,0
20050314,15.551,15.776,15.551,15.776,123479,0
20050315,15.843,15.996,15.637,15.668,261426,0
20050316,15.686,15.811,15.489,15.6,96116,0
20050317,15.646,15.758,15.632,15.758,91892,0
20050318,15.866,15.866,15.686,15.73,404933,0
20050321,15.726,15.726,15.573,15.6,223606,0
20050322,15.605,15.726,15.394,15.399,176212,0
20050323,15.394,15.461,15.21,15.394,304367,0
20050324,15.399,15.686,15.399,15.686,191563,0
20050328,15.686,15.753,15.573,15.664,315491,0
20050329,15.646,15.848,15.6,15.695,214040,0
20050330,15.722,15.902,15.713,15.884,126150,0
20050331,15.866,15.925,15.776,15.843,243850,0
20050401,15.888,15.911,15.632,15.69,321279,0
20050404,15.664,15.69,15.429,15.686,196011,0
20050405,15.642,15.811,15.619,15.651,284567,0
20050406,15.655,15.843,15.655,15.798,433634,0
20050407,15.798,15.82,15.713,15.798,181773,0
20050408,15.798,15.807,15.642,15.664,120363,0
20050411,15.664,15.753,15.6,15.686,94560,0
20050412,15.686,16.006,15.591,16.006,192013,0
20050413,16.006,16.163,15.955,15.969,106129,0
20050414,15.925,16.042,15.695,15.695,173540,0
20050415,15.699,15.902,15.637,15.795,138610,0
20050418,15.843,15.866,15.66,15.839,160415,0
20050419,16.159,16.186,15.897,16.063,290796,0
20050420,16.428,16.428,15.807,15.937,409161,0
20050421,15.937,15.969,15.529,15.843,689945,0
20050422,15.862,15.897,15.642,15.73,222043,0
20050425,15.753,16.172,15.686,16.024,229387,0
