Date,Open,High,Low,Close,Volume,OpenInt
20140411,21.019,22.701,20.53,21.703,18696313,0
20140414,22.29,22.485,21.753,22.437,1427028,0
20140415,22.73,23.072,22.251,22.447,882937,0
20140416,22.485,22.485,22.076,22.094,359178,0
20140417,22.114,23.072,22.026,22.232,777556,0
20140421,22.388,22.662,22.388,22.642,304249,0
20140422,22.672,23.336,22.545,22.876,800194,0
20140423,23.151,23.737,23.121,23.444,749294,0
20140424,23.522,24.675,23.277,23.962,539854,0
20140425,24.099,24.324,23.493,24.031,481019,0
20140428,24.236,24.529,23.728,24.021,330840,0
20140429,24.197,24.432,23.991,24.412,264213,0
20140430,24.51,24.92,23.219,24.187,558827,0
20140501,24.197,24.539,23.786,24.45,752078,0
20140502,24.441,24.48,24.089,24.197,199449,0
20140505,24.402,24.793,24.197,24.441,304798,0
20140506,24.344,24.432,23.962,24.167,190180,0
20140507,24.324,24.372,23.962,24.011,138081,0
20140508,23.933,24.353,23.688,23.747,354919,0
20140509,23.63,23.893,22.876,22.926,284400,0
20140512,22.886,23.806,22.241,23.405,544255,0
20140513,23.454,23.708,22.681,23.258,242520,0
20140514,23.287,23.444,23.004,23.267,188285,0
20140515,23.258,23.561,23.053,23.209,139407,0
20140516,23.463,23.561,22.808,23.219,123037,0
20140519,23.179,23.952,23.141,23.658,293305,0
20140520,24.177,24.236,23.258,23.952,678767,0
20140521,23.756,24.735,23.444,24.519,741380,0
20140522,24.725,24.832,23.952,24.5,374395,0
20140523,24.637,24.685,24.157,24.265,280558,0
20140527,25.302,26.327,24.441,24.548,1023888,0
20140528,24.656,24.823,24.412,24.441,422520,0
20140529,24.422,24.735,24.422,24.685,214450,0
20140530,24.871,25.409,24.637,24.832,476822,0
20140602,25.194,25.419,24.637,24.93,248891,0
20140603,25.008,25.008,24.519,24.627,226052,0
20140604,24.588,24.823,24.147,24.216,256209,0
20140605,23.903,24.793,23.903,24.324,217876,0
20140606,24.529,24.646,23.219,23.708,501271,0
20140609,23.59,24.099,23.571,23.756,241211,0
20140610,23.864,23.962,23.658,23.825,353198,0
20140611,23.728,23.923,23.229,23.483,501450,0
20140612,23.571,23.65,22.798,23.043,509190,0
20140613,23.072,23.61,22.867,22.926,338243,0
20140616,23.033,23.385,22.906,23.004,312625,0
20140617,23.033,23.532,23.023,23.199,243183,0
20140618,23.258,23.552,22.251,22.779,404957,0
20140619,22.779,23.395,22.29,23.111,570092,0
20140620,23.151,23.874,23.063,23.179,406950,0
20140623,23.17,24.177,23.072,23.845,407185,0
20140624,23.854,24.294,23.307,23.395,382251,0
20140625,23.395,24.197,23.287,24.031,328511,0
20140626,24.167,24.539,23.835,24.48,352244,0
20140627,24.627,25.028,24.392,24.685,293934,0
20140630,24.841,25.653,24.705,25.605,670050,0
20140701,26.103,26.846,25.428,26.152,595088,0
20140702,26.103,26.211,25.78,25.898,370689,0
20140703,25.908,25.908,25.047,25.565,223515,0
20140707,25.712,25.898,25.047,25.086,221622,0
20140708,24.939,25.282,24.441,25.096,338699,0
20140709,25.018,25.497,24.588,24.92,280099,0
20140710,24.45,25.154,23.678,24.216,449005,0
20140711,24.059,24.558,23.952,24.402,274390,0
20140714,24.362,24.91,24.099,24.861,299964,0
20140715,24.832,24.939,24.334,24.939,166256,0
20140716,24.91,25.135,24.695,24.832,238858,0
20140717,24.813,25.116,24.646,24.93,187637,0
20140718,24.969,25.888,24.91,25.302,201233,0
20140721,25.35,25.976,25.214,25.829,255053,0
20140722,25.819,25.908,25.204,25.428,324336,0
20140723,25.419,25.908,24.949,25.174,372579,0
