Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.626,14.147,13.626,14.117,25209,0
20050228,14.117,14.245,13.901,14.215,33240,0
20050301,14.166,14.265,14.117,14.166,26226,0
20050302,14.097,14.344,14.04,14.314,211734,0
20050303,14.364,14.364,13.773,13.821,23989,0
20050304,13.803,13.871,13.723,13.841,45438,0
20050307,13.881,13.901,13.626,13.723,9251,0
20050308,13.723,13.723,13.626,13.645,21041,0
20050309,13.626,13.626,13.251,13.34,19314,0
20050310,13.301,13.626,13.281,13.576,97175,0
20050311,13.497,13.733,13.231,13.723,71458,0
20050314,13.753,13.851,13.675,13.793,37914,0
20050315,13.733,13.803,13.527,13.537,5794,0
20050316,13.507,13.527,13.379,13.399,11893,0
20050317,13.439,13.655,13.36,13.586,15959,0
20050318,13.684,13.821,13.557,13.773,56009,0
20050321,13.576,13.665,13.025,13.045,21551,0
20050322,12.986,12.986,11.855,12.003,69935,0
20050323,11.954,12.003,11.815,11.894,37611,0
20050324,11.944,12.05,11.914,11.954,11080,0
20050328,11.973,12.199,11.944,12.189,14841,0
20050329,12.149,12.149,11.954,12.05,23381,0
20050330,12.149,12.642,12.149,12.632,17178,0
20050331,12.691,13.133,12.622,12.887,58856,0
20050401,12.907,13.015,12.385,12.583,45234,0
20050404,12.563,12.691,12.543,12.662,23889,0
20050405,12.612,12.681,12.424,12.523,25006,0
20050406,12.424,12.493,12.298,12.493,25413,0
20050407,12.444,12.464,12.298,12.357,11282,0
20050408,12.288,12.327,11.954,12.05,37611,0
20050411,11.954,12.09,11.904,12.021,23277,0
20050412,12.003,12.003,11.312,11.657,23889,0
20050413,11.657,11.756,11.461,11.58,237149,0
20050414,11.628,11.706,11.265,11.431,320603,0
20050415,11.441,11.441,10.821,10.831,20228,0
20050418,10.881,10.921,10.577,10.753,258902,0
20050419,10.802,10.851,10.28,10.634,28462,0
20050420,10.624,10.624,10.163,10.163,27241,0
20050421,10.163,10.585,10.163,10.557,15757,0
20050422,10.527,10.527,8.9424,9.0998,224036,0
20050425,9.0998,9.2573,9.0212,9.1098,22362,0
20050426,9.149,9.906,8.8539,9.868,67596,0
20050427,9.896,10.133,9.839,9.975,26530,0
20050428,9.839,9.839,9.3459,9.3459,535693,0
20050429,9.2967,9.3459,9.0998,9.2771,33442,0
20050502,9.3164,9.543,8.9031,8.9229,14536,0
20050503,8.9524,9.0212,8.9424,8.972,24395,0
20050504,8.9524,9.031,8.8638,8.8836,76846,0
20050505,8.8737,8.9818,8.8539,8.9818,390943,0
20050506,9.0212,9.3065,9.0212,9.1984,51332,0
20050509,9.0998,9.2377,9.0507,9.2278,18602,0
20050510,9.1984,9.2081,9.0507,9.0606,15349,0
20050511,9.0998,9.2278,8.9524,9.2278,290921,0
20050512,9.2672,9.4545,8.9031,9.159,37711,0
20050513,9.1295,9.2377,8.972,9.1787,40660,0
20050516,9.2278,9.4946,9.2278,9.4049,18500,0
20050517,9.3065,9.887,9.2081,9.74,31512,0
20050518,9.601,9.936,9.601,9.819,30597,0
20050519,9.64,9.779,9.1984,9.4343,32325,0
20050520,9.4545,9.67,9.3655,9.65,14739,0
20050523,9.74,9.887,9.69,9.779,20838,0
