Date,Open,High,Low,Close,Volume,OpenInt
20100823,33.412,33.725,33.027,33.725,13591,0
20100824,33.092,33.589,33.055,33.165,10154,0
20100825,33.037,33.046,32.817,32.88,10730,0
20100826,33.238,33.45,33.046,33.046,5066,0
20100827,33.247,33.955,32.964,33.955,7074,0
20100830,33.836,34.148,33.633,34.148,4555,0
20100831,34.029,34.386,33.973,34.148,4719,0
20100901,34.285,34.745,34.285,34.698,1634,0
20100902,34.102,34.872,34.102,34.872,4636,0
20100903,34.578,34.781,34.433,34.515,6768,0
20100907,34.827,34.836,34.79,34.8,1417,0
20100908,34.552,35.047,34.524,35.047,5646,0
20100909,35.221,35.221,34.928,34.974,5686,0
20100910,35.249,35.249,34.891,34.891,6569,0
20100913,34.79,35.295,34.221,34.267,14768,0
20100914,34.056,34.643,33.964,34.423,6412,0
20100915,34.561,34.561,34.175,34.561,3131,0
20100916,34.679,34.689,34.433,34.689,1994,0
20100917,34.404,34.653,34.331,34.653,3737,0
20100920,34.653,35.02,34.653,34.891,7485,0
20100921,34.486,35.295,34.331,34.451,8830,0
20100922,34.762,34.762,34.285,34.423,7322,0
20100923,34.515,34.515,34.24,34.505,3039,0
20100924,34.285,34.854,34.285,34.827,8416,0
20100927,34.708,34.872,34.433,34.745,1634,0
20100928,35.277,35.515,34.964,35.249,19392,0
20100929,35.221,35.295,34.901,34.901,5347,0
20100930,35.157,35.295,34.79,35.112,2771,0
20101001,35.268,35.268,35.094,35.112,4678,0
20101004,35.112,35.112,34.928,35.112,4378,0
20101005,35.112,35.754,34.928,35.323,63319,0
20101006,35.304,35.414,35.157,35.295,6351,0
20101007,35.515,35.617,35.249,35.34,4862,0
20101008,35.405,35.754,35.34,35.662,10597,0
20101011,35.35,35.781,35.35,35.781,5610,0
20101012,35.405,35.653,35.24,35.635,7932,0
20101013,35.8,36.003,35.617,35.8,12856,0
20101014,35.8,36.672,35.791,36.653,17283,0
20101015,36.424,36.424,36.038,36.167,7140,0
20101018,36.167,36.672,36.048,36.653,7816,0
20101019,36.644,36.672,36.342,36.535,10403,0
20101020,36.535,36.682,36.342,36.526,6863,0
20101021,36.58,36.682,36.434,36.682,9346,0
20101022,36.672,36.682,36.405,36.589,5425,0
20101025,36.507,36.709,36.489,36.497,6310,0
20101026,36.516,36.719,36.268,36.268,7969,0
20101027,36.195,36.479,36.167,36.479,3287,0
20101028,36.304,36.58,35.818,36.405,4924,0
