Date,Open,High,Low,Close,Volume,OpenInt
20140328,14.5,14.75,13.01,13.5,7946321,0
20140331,13.25,13.99,13.02,13.99,573673,0
20140401,13.9,14.94,13.9,14.17,305082,0
20140402,14.2,14.51,14.2,14.45,284247,0
20140403,14.54,14.61,13.87,14.44,282209,0
20140404,14.54,14.54,13.5,14.1,243509,0
20140407,13.83,14.15,13.7,14,172370,0
20140408,14,14.15,13.88,14.02,222738,0
20140409,14.13,14.55,13.95,14.13,74888,0
20140410,13.96,14.39,13.93,14.08,68126,0
20140411,13.83,14.01,13.76,14.01,266660,0
20140414,14.16,14.53,13.9,14.22,357777,0
20140415,14.36,14.36,13.91,14.03,220860,0
20140416,14.03,14.16,13.99,14.02,73753,0
20140417,14.05,14.3,13.94,14.02,38343,0
20140421,14.09,14.28,13.55,13.99,130177,0
20140422,14.11,14.35,13.92,14.15,59364,0
20140423,14.18,14.56,14.08,14.22,207041,0
20140424,14.23,14.62,13.91,13.97,43299,0
20140425,13.98,14.08,13.62,14.02,197709,0
20140428,14.04,14.28,13.5,13.97,63001,0
20140429,13.94,14.1,13.6,14,60608,0
20140430,13.96,14.1,13.87,14.09,77568,0
20140501,14.09,14.1,13.89,13.98,9368,0
20140502,14.02,14.14,13.96,14.13,58978,0
20140505,14.2,14.2,13.91,14.13,22795,0
20140506,14.08,14.15,14,14.08,15745,0
20140507,14.01,14.05,13.41,13.59,93267,0
20140508,13.44,13.7,12.45,13.27,383662,0
20140509,13,13,11.84,11.97,315279,0
20140512,12,12.26,11.92,12.05,277790,0
20140513,13.55,14.35,13.55,13.92,583694,0
20140514,13.92,15.97,13.75,15.35,236959,0
20140515,15.3,15.3,14.17,14.24,64587,0
20140516,14.63,14.99,13.83,14.35,59984,0
20140519,14.35,14.35,13.9,14.28,32451,0
20140520,14.35,14.79,14.07,14.43,93838,0
20140521,14.43,16.67,14.43,15.67,340745,0
20140522,15.76,16.69,15.71,16.56,190348,0
20140523,16.5,16.92,16.5,16.67,64153,0
20140527,16.68,17,16.66,16.8,44313,0
20140528,16.49,17.16,16.4,17.03,114857,0
20140529,17.17,17.75,17,17.64,67168,0
20140530,17.65,18.07,17.54,17.78,82331,0
20140602,17.84,18.39,17.58,17.66,77515,0
20140603,17.63,17.79,17.2,17.39,45928,0
20140604,17.43,17.92,16.5,17.52,177692,0
20140605,17.56,18.24,17.38,17.59,189806,0
20140606,17.55,17.94,17.36,17.92,156556,0
20140609,17.97,18.36,17.76,18.02,81012,0
20140610,17.89,18,17.5,17.84,80800,0
20140611,17.84,18.32,17.5,18.02,58028,0
20140612,17.69,18.02,17.3,17.31,152121,0
20140613,17.18,17.89,16.29,16.6,143834,0
20140616,16.65,17.6,16.3,17.47,118286,0
20140617,17.96,17.96,17.05,17.51,102617,0
20140618,17.61,18.2,17.1,17.77,231323,0
20140619,17.83,18.84,17.51,18.32,126342,0
20140620,18.18,19.8,17.5,18.71,385207,0
20140623,19.08,19.89,18.88,19.18,250743,0
20140624,19.12,19.4,18.53,18.62,125366,0
20140625,18.52,19.09,18.15,18.61,107747,0
20140626,18.32,18.69,17.74,17.97,132240,0
20140627,17.99,19.19,17.24,17.83,864870,0
20140630,17.89,18.62,17.89,18.48,254917,0
20140701,18.63,19.21,18.4,19.06,233826,0
20140702,19.11,19.24,18.73,19.09,89700,0
20140703,19.12,19.17,18.77,18.94,259054,0
20140707,18.88,19.23,18.81,18.92,198559,0
20140708,18.89,19.13,18.25,18.47,98337,0
