Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.996,7.0587,6.9883,7.0194,148819,0
20050228,7.0431,7.0975,7.0194,7.0975,107322,0
20050301,7.0505,7.1287,7.0505,7.0975,140494,0
20050302,7.1055,7.1214,7.0505,7.0665,85942,0
20050303,7.0505,7.1055,7.0505,7.0821,90163,0
20050304,7.0821,7.1677,7.0821,7.1601,129353,0
20050307,7.1055,7.1522,7.0741,7.0975,96052,0
20050308,7.0821,7.1287,7.0821,7.0821,80817,0
20050309,7.0587,7.1132,7.0505,7.0975,99641,0
20050310,7.0821,7.1214,7.0587,7.0821,94772,0
20050311,7.0665,7.0821,6.957,6.9726,139727,0
20050314,6.9726,7.004,6.9179,6.9336,64163,0
20050315,6.9336,6.9726,6.8713,6.8713,147669,0
20050316,6.8632,6.9257,6.8244,6.8945,133452,0
20050317,6.8399,6.9413,6.8244,6.9023,84784,0
20050318,6.8555,6.9023,6.8244,6.8713,75430,0
20050321,6.8555,6.8713,6.6212,6.6682,210934,0
20050322,6.5901,6.7069,6.5901,6.6212,142542,0
20050323,6.5745,6.5979,6.4497,6.5122,174819,0
20050324,6.3637,6.5278,6.3637,6.4963,163550,0
20050328,6.4885,6.5195,6.3949,6.4339,168029,0
20050329,6.3869,6.504,6.3712,6.4733,118595,0
20050330,6.465,6.5587,6.4497,6.5587,87988,0
20050331,6.5278,6.6212,6.5195,6.6212,73765,0
20050401,6.5901,6.6449,6.5668,6.6055,63140,0
20050404,6.5979,6.6449,6.5901,6.6291,40725,0
20050405,6.637,6.6682,6.5587,6.6291,113856,0
20050406,6.6136,6.6996,6.5822,6.6682,76711,0
20050407,6.6055,6.637,6.5745,6.5979,53790,0
20050408,6.5901,6.637,6.5278,6.5431,71208,0
20050411,6.504,6.5822,6.4417,6.4417,134731,0
20050412,6.4497,6.5745,6.4497,6.5668,103099,0
20050413,6.5668,6.6055,6.4885,6.504,77995,0
20050414,6.4805,6.5122,6.4497,6.465,86448,0
20050415,6.4497,6.504,6.3793,6.4805,108482,0
20050418,6.4417,6.5745,6.4339,6.4805,84399,0
20050419,6.4733,6.5901,6.4733,6.551,108222,0
20050420,6.5668,6.5668,6.4963,6.504,87214,0
20050421,6.504,6.5356,6.4417,6.5195,56731,0
20050422,6.465,6.4885,6.4497,6.4573,109633,0
20050425,6.4573,6.504,6.4497,6.4733,58530,0
20050426,6.4805,6.4805,6.4339,6.4573,61983,0
20050427,6.4497,6.4963,6.4106,6.4733,144720,0
20050428,6.465,6.504,6.4497,6.465,67239,0
20050429,6.465,6.5122,6.465,6.504,66339,0
20050502,6.504,6.5431,6.4805,6.5431,65831,0
20050503,6.4733,6.5195,6.465,6.4963,49696,0
20050504,6.4733,6.551,6.4733,6.551,80683,0
20050505,6.504,6.5356,6.4417,6.4417,101431,0
20050506,6.4417,6.465,6.4022,6.4497,78641,0
20050509,6.4497,6.4497,6.3712,6.4022,52127,0
20050510,6.3637,6.4022,6.3323,6.3481,62238,0
20050511,6.3793,6.3869,6.231,6.3011,210809,0
20050512,6.3011,6.3167,6.262,6.2855,139468,0
20050513,6.3091,6.3091,6.254,6.2699,97847,0
20050516,6.2699,6.2934,6.2387,6.2855,75050,0
20050517,6.2778,6.2934,6.2154,6.262,174180,0
20050518,6.2387,6.254,6.1919,6.2154,158553,0
20050519,6.1609,6.1763,6.1217,6.1609,176228,0
20050520,6.145,6.1919,6.1371,6.1526,130890,0
20050523,6.129,6.1609,6.106,6.1526,148819,0
20050524,6.1217,6.1839,6.0981,6.1684,144977,0
20050525,6.1526,6.1526,6.0903,6.129,120774,0
20050526,6.1137,6.1609,6.0981,6.145,159833,0
20050527,6.1609,6.262,6.1609,6.262,232068,0
20050531,6.2699,6.2934,6.2467,6.2934,76711,0
20050601,6.254,6.3246,6.254,6.3167,55840,0
20050602,6.3091,6.3167,6.2699,6.2855,105660,0
20050603,6.2934,6.3091,6.262,6.3011,77357,0
20050606,6.3091,6.3091,6.2699,6.2855,76458,0
20050607,6.2699,6.3091,6.254,6.262,109502,0
20050608,6.2387,6.254,6.223,6.231,99768,0
20050609,6.2467,6.2467,6.1998,6.2074,95290,0
20050610,6.1919,6.262,6.1919,6.2387,100150,0
20050613,6.2387,6.262,6.2074,6.2467,102202,0
20050614,6.2467,6.254,6.1684,6.1684,129353,0
20050615,6.1684,6.1763,6.1217,6.1684,123463,0
20050616,6.1609,6.1839,6.129,6.1684,127556,0
20050617,6.1839,6.231,6.129,6.231,149335,0
20050620,6.231,6.2387,6.1684,6.1919,111170,0
