Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.494,15.494,15.485,15.485,93078,0
20050228,15.485,15.502,15.485,15.485,48854,0
20050301,15.485,15.518,15.485,15.494,60552,0
20050302,15.51,15.526,15.485,15.494,83312,0
20050303,15.494,15.558,15.494,15.494,48598,0
20050304,15.55,15.594,15.485,15.494,32009,0
20050307,15.485,15.518,15.485,15.502,36126,0
20050308,15.494,15.502,15.485,15.485,39083,0
20050309,15.485,15.494,15.485,15.494,40239,0
20050310,15.485,15.502,15.485,15.502,9897,0
20050311,15.485,15.494,15.485,15.485,18255,0
20050314,15.566,15.566,15.485,15.502,36509,0
20050315,15.518,15.518,15.485,15.494,28930,0
20050316,15.485,15.494,15.485,15.494,15430,0
20050317,15.485,15.494,15.485,15.485,62482,0
20050318,15.494,15.494,15.485,15.494,19029,0
20050321,15.494,15.502,15.485,15.485,95520,0
20050322,15.485,15.494,15.485,15.485,148233,0
20050323,15.485,15.494,15.485,15.485,136664,0
20050324,15.485,15.494,15.485,15.485,165458,0
20050328,15.485,15.494,15.485,15.485,213802,0
20050329,15.447,15.485,14.709,15.019,859962,0
20050330,15.019,15.175,14.949,15.129,72254,0
20050331,15.129,15.175,15.098,15.129,156463,0
20050401,15.098,15.136,15.044,15.044,63638,0
20050404,15.036,15.036,14.839,14.978,60940,0
20050405,15.019,15.019,14.823,14.823,90511,0
20050406,14.904,14.921,14.786,14.831,77397,0
20050407,14.823,14.823,14.717,14.717,33294,0
20050408,14.757,14.801,14.709,14.779,28156,0
20050411,14.765,14.808,14.749,14.801,6301,0
20050412,14.765,14.765,14.623,14.668,181150,0
20050413,14.594,14.668,14.594,14.594,101436,0
20050414,14.57,14.594,14.475,14.496,80353,0
20050415,14.475,14.496,14.088,14.119,68140,0
20050418,13.94,14.015,13.822,13.971,119691,0
20050419,14.007,14.088,13.867,14.03,50142,0
20050420,13.908,14.001,13.867,13.891,30985,0
20050421,13.859,14.007,13.822,13.955,50142,0
20050422,13.971,14.127,13.971,13.971,16071,0
20050425,13.94,14.015,13.822,14.001,55539,0
20050426,14.007,14.318,14.007,14.17,54638,0
20050427,14.096,14.243,13.993,14.243,40239,0
20050428,14.202,14.251,13.986,14.243,41526,0
20050429,14.186,14.186,13.9,13.948,100537,0
20050502,13.9,14.219,13.859,14.157,96036,0
20050503,14.111,14.282,14.111,14.177,35871,0
20050504,14.162,14.21,14.03,14.21,41135,0
20050505,14.177,14.243,14.103,14.162,32142,0
20050506,14.162,14.21,14.071,14.071,28930,0
20050509,14.047,14.047,13.963,13.963,32531,0
20050510,13.924,13.948,13.859,13.859,54250,0
20050511,13.916,13.963,13.859,13.916,37024,0
20050512,13.875,13.963,13.859,13.963,41135,0
20050513,13.94,13.971,13.859,13.924,28544,0
20050516,13.94,13.993,13.844,13.932,30337,0
20050517,13.859,13.993,13.844,13.883,46923,0
20050518,13.94,13.993,13.883,13.94,42685,0
20050519,13.859,13.94,13.769,13.784,35354,0
20050520,13.703,13.844,13.703,13.844,49111,0
20050523,13.784,13.822,13.703,13.792,58751,0
20050524,13.777,13.792,13.682,13.703,85880,0
20050525,13.72,13.777,13.564,13.628,154793,0
20050526,13.597,13.644,13.533,13.589,45258,0
20050527,13.652,13.659,13.496,13.589,39724,0
20050531,13.628,13.628,13.465,13.481,56952,0
20050601,13.511,13.659,13.465,13.548,57851,0
20050602,13.628,13.769,13.589,13.744,64798,0
20050603,13.744,13.808,13.689,13.744,51298,0
20050606,13.703,13.769,13.644,13.744,38184,0
20050607,13.72,13.784,13.682,13.711,41912,0
20050608,13.744,13.815,13.703,13.808,42424,0
20050609,13.815,13.815,13.682,13.682,55539,0
20050610,13.666,13.784,13.636,13.784,25843,0
20050613,13.744,13.822,13.659,13.8,43840,0
20050614,13.744,13.784,13.711,13.761,29828,0
20050615,13.703,13.769,13.589,13.644,60687,0
20050616,13.564,13.744,13.556,13.628,35354,0
20050617,13.589,13.703,13.54,13.564,54638,0
20050620,13.589,13.628,13.496,13.496,29568,0
20050621,13.503,13.564,13.37,13.409,68009,0
20050622,13.409,13.481,13.278,13.434,62614,0
20050623,13.37,13.434,13.295,13.347,58108,0
20050624,13.325,13.425,13.325,13.417,33551,0
20050627,13.302,13.354,13.221,13.229,122907,0
20050628,13.229,13.27,13.169,13.27,60687,0
20050629,13.199,13.384,13.199,13.384,58885,0
20050630,13.317,13.465,13.199,13.465,50784,0
20050701,13.465,13.628,13.465,13.556,56053,0
20050705,13.589,13.659,13.548,13.589,57463,0
20050706,13.628,13.695,13.496,13.628,49111,0
20050707,13.564,13.703,13.556,13.589,60808,0
20050708,13.628,13.659,13.548,13.605,51168,0
20050711,13.652,13.659,13.564,13.589,19542,0
20050712,13.581,13.689,13.581,13.636,41019,0
