Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.849,14.857,14.779,14.841,75650,0
20050228,14.881,14.936,14.841,14.936,115529,0
20050301,14.904,15.036,14.904,14.973,135018,0
20050302,15.012,15.028,14.973,15.02,61290,0
20050303,15.028,15.059,14.989,15.02,98860,0
20050304,15.004,15.044,14.957,14.981,101040,0
20050307,15.036,15.044,14.966,15.028,142972,0
20050308,14.981,15.044,14.981,15.012,127708,0
20050309,15.036,15.076,14.957,14.998,149508,0
20050310,14.966,15.036,14.92,14.966,70649,0
20050311,14.911,14.942,14.841,14.841,81803,0
20050314,14.825,14.904,14.818,14.825,111681,0
20050315,14.889,14.896,14.748,14.786,63857,0
20050316,14.733,14.864,14.693,14.818,92066,0
20050317,14.755,14.864,14.716,14.786,93860,0
20050318,14.786,14.794,14.67,14.794,90395,0
20050321,14.716,14.725,14.591,14.623,96168,0
20050322,14.631,14.654,14.538,14.568,65393,0
20050323,14.568,14.763,14.412,14.568,128226,0
20050324,14.608,14.701,14.49,14.568,98604,0
20050328,14.475,14.521,14.194,14.429,304786,0
20050329,14.421,14.49,14.412,14.46,68216,0
20050330,14.412,14.553,14.412,14.49,61290,0
20050331,14.49,14.631,14.46,14.49,63345,0
20050401,14.334,14.538,14.334,14.475,79370,0
20050404,14.475,14.584,14.351,14.49,47058,0
20050405,14.53,14.677,14.482,14.616,72832,0
20050406,14.662,14.662,14.451,14.475,88602,0
20050407,14.49,14.53,14.334,14.451,102065,0
20050408,14.397,14.435,14.351,14.404,90009,0
20050411,14.443,14.443,14.217,14.281,100906,0
20050412,14.318,14.373,14.241,14.358,77058,0
20050413,14.389,14.451,14.318,14.343,80396,0
20050414,14.295,14.404,14.273,14.404,69623,0
20050415,14.404,14.412,14.139,14.31,123862,0
20050418,14.326,14.412,14.217,14.334,101429,0
20050419,14.397,14.397,14.202,14.295,115275,0
20050420,14.287,14.343,14.156,14.302,130789,0
20050421,14.241,14.373,14.233,14.273,79370,0
20050422,14.241,14.326,14.241,14.31,79113,0
20050425,14.295,14.343,14.226,14.287,135657,0
20050426,14.287,14.318,14.17,14.17,213496,0
20050427,14.178,14.281,14.17,14.233,81684,0
20050428,14.202,14.31,14.17,14.233,96939,0
20050429,14.194,14.202,14.1,14.139,72319,0
20050502,14.115,14.226,14.106,14.186,65007,0
20050503,14.139,14.156,14.069,14.131,43979,0
20050504,14.106,14.202,14.106,14.186,73725,0
20050505,14.148,14.186,14.078,14.17,77446,0
20050506,14.17,14.202,14.094,14.17,85270,0
20050509,14.106,14.202,14.054,14.115,63210,0
20050510,14.106,14.178,14.022,14.069,76937,0
20050511,14.106,14.106,13.952,13.952,135018,0
20050512,13.983,14.007,13.898,13.961,64239,0
20050513,13.961,13.991,13.961,13.968,67189,0
20050516,13.968,14.038,13.968,13.976,51934,0
20050517,13.968,14.078,13.828,13.867,102580,0
20050518,13.867,13.898,13.757,13.813,110017,0
20050519,13.874,13.874,13.71,13.734,145407,0
20050520,13.734,13.828,13.734,13.781,97964,0
20050523,13.742,13.788,13.672,13.742,107321,0
20050524,13.765,13.781,13.515,13.515,174645,0
20050525,13.522,13.618,13.438,13.491,306585,0
20050526,13.469,13.618,13.469,13.586,127840,0
20050527,13.618,13.883,13.618,13.834,131044,0
20050531,13.834,13.944,13.796,13.936,89115,0
20050601,13.834,13.961,13.834,13.904,104503,0
20050602,13.936,13.936,13.788,13.82,68983,0
20050603,13.82,13.851,13.734,13.813,89757,0
20050606,13.773,13.82,13.749,13.788,47956,0
20050607,13.773,13.796,13.717,13.749,67061,0
20050608,13.679,13.742,13.647,13.679,93473,0
20050609,13.639,13.664,13.546,13.586,100906,0
20050610,13.601,13.664,13.546,13.664,121429,0
20050613,13.571,13.656,13.571,13.601,109758,0
20050614,13.618,13.633,13.571,13.633,86936,0
20050615,13.618,13.633,13.546,13.563,93473,0
20050616,13.555,13.672,13.546,13.618,90783,0
20050617,13.546,13.757,13.546,13.672,191693,0
20050620,13.672,13.71,13.555,13.626,62574,0
20050621,13.618,13.694,13.571,13.688,94372,0
20050622,13.609,13.672,13.563,13.563,106038,0
20050623,13.563,13.609,13.452,13.485,117836,0
20050624,13.485,13.53,13.376,13.414,138869,0
20050627,13.383,13.438,13.32,13.422,101295,0
20050628,13.36,13.499,13.36,13.438,56160,0
20050629,13.422,13.477,13.391,13.469,123099,0
20050630,13.414,13.626,13.414,13.461,138484,0
20050701,13.461,13.563,13.438,13.546,84368,0
20050705,13.515,13.555,13.485,13.546,55265,0
20050706,13.508,13.609,13.491,13.555,94247,0
20050707,13.555,13.618,13.515,13.609,80011,0
20050708,13.577,13.639,13.571,13.593,78605,0
20050711,13.633,13.694,13.577,13.688,72832,0
20050712,13.725,13.725,13.593,13.639,94372,0
20050713,13.694,13.694,13.593,13.609,87319,0
20050714,13.664,13.672,13.593,13.656,86165,0
20050715,13.593,13.672,13.577,13.633,86549,0
20050718,13.694,13.749,13.633,13.672,97834,0
20050719,13.672,13.788,13.672,13.773,120659,0
20050720,13.788,13.804,13.679,13.788,111936,0
20050721,13.788,13.82,13.717,13.804,85139,0
20050722,13.796,13.82,13.749,13.82,73725,0
20050725,13.804,13.834,13.717,13.804,118606,0
20050726,13.788,13.82,13.664,13.742,151563,0
20050727,13.703,13.813,13.703,13.788,80268,0
20050728,13.788,13.828,13.717,13.82,93609,0
20050729,13.765,13.842,13.765,13.842,76296,0
20050801,13.859,13.912,13.828,13.859,175410,0
20050802,13.891,13.991,13.859,13.968,144380,0
20050803,14.015,14.015,13.859,13.936,147330,0
20050804,13.936,14.015,13.898,14.007,127840,0
20050805,14.015,14.046,13.928,13.952,121682,0
20050808,13.961,13.991,13.883,13.944,89885,0
20050809,13.92,13.968,13.883,13.944,98735,0
20050810,13.867,13.968,13.867,13.952,94115,0
20050811,13.961,13.976,13.883,13.928,81548,0
20050812,13.961,13.976,13.904,13.961,73217,0
20050815,13.968,13.976,13.904,13.936,72959,0
20050816,13.961,13.961,13.898,13.904,126175,0
20050817,13.883,13.944,13.859,13.936,90142,0
20050818,13.883,13.952,13.828,13.944,95139,0
20050819,13.936,13.936,13.804,13.874,88862,0
20050822,13.867,13.928,13.859,13.912,86678,0
20050823,13.813,13.904,13.796,13.883,108224,0
20050824,13.891,13.891,13.765,13.842,91037,0
20050825,13.842,13.867,13.796,13.828,83089,0
20050826,13.796,13.867,13.749,13.804,85654,0
20050829,13.82,13.842,13.765,13.834,85525,0
20050830,13.788,13.851,13.781,13.834,61675,0
20050831,13.867,13.867,13.742,13.781,96168,0
20050901,13.725,13.757,13.639,13.672,82831,0
20050902,13.639,13.717,13.633,13.679,68856,0
20050906,13.679,13.765,13.656,13.757,76807,0
20050907,13.717,13.788,13.688,13.773,109250,0
20050908,13.749,13.82,13.734,13.781,96939,0
20050909,13.781,13.796,13.749,13.781,70395,0
20050912,13.813,13.813,13.688,13.717,83731,0
20050913,13.703,13.717,13.672,13.694,75650,0
20050914,13.703,13.749,13.672,13.717,122840,0
20050915,13.796,13.796,13.633,13.688,77832,0
20050916,13.664,13.781,13.664,13.717,101682,0
20050919,13.757,13.757,13.593,13.639,113864,0
20050920,13.601,13.656,13.593,13.656,69370,0
20050921,13.694,13.703,13.571,13.618,121556,0
20050922,13.609,13.626,13.422,13.515,117710,0
20050923,13.515,13.515,13.368,13.461,147582,0
20050926,13.539,13.539,13.422,13.485,84752,0
20050927,13.477,13.491,13.352,13.368,176433,0
20050928,13.376,13.515,13.376,13.469,74370,0
20050929,13.438,13.452,13.352,13.431,117710,0
20050930,13.491,13.647,13.445,13.563,75530,0
20051003,13.563,13.626,13.477,13.626,83986,0
20051004,13.577,13.656,13.563,13.601,97321,0
20051005,13.626,13.626,13.522,13.571,95269,0
20051006,13.593,13.593,13.445,13.499,87703,0
20051007,13.438,13.485,13.32,13.438,95525,0
20051010,13.36,13.508,13.36,13.477,64368,0
20051011,13.414,13.508,13.383,13.445,97193,0
20051012,13.508,13.508,13.32,13.383,81548,0
20051013,13.477,13.477,13.243,13.304,129122,0
20051014,13.243,13.343,13.156,13.32,153742,0
20051017,13.422,13.422,13.211,13.211,58087,0
20051018,13.056,13.251,13.056,13.197,145407,0
20051019,13.094,13.165,12.923,13.032,168101,0
20051020,12.899,13.086,12.899,13.086,208491,0
20051021,13.07,13.274,13.07,13.251,141174,0
20051024,13.282,13.312,13.133,13.274,143096,0
20051025,13.282,13.343,13.243,13.257,116426,0
20051026,13.289,13.352,13.257,13.297,92833,0
20051027,13.32,13.399,13.257,13.343,85525,0
20051028,13.312,13.399,13.297,13.383,61675,0
20051031,13.36,13.399,13.289,13.36,60266,0
20051101,13.251,13.304,13.236,13.282,37190,0
20051102,13.243,13.304,13.243,13.243,100788,0
20051103,13.243,13.297,13.243,13.282,90268,0
20051104,13.282,13.282,13.243,13.243,82705,0
20051107,13.282,13.289,13.243,13.289,87580,0
20051108,13.257,13.304,13.236,13.289,101682,0
20051109,13.243,13.289,13.236,13.236,92579,0
20051110,13.274,13.274,13.211,13.211,70649,0
20051111,13.236,13.265,13.211,13.251,93343,0
20051114,13.228,13.243,13.079,13.079,115275,0
20051115,13.048,13.125,12.953,13.086,199385,0
20051116,13.086,13.211,13.056,13.07,124633,0
20051117,13.086,13.102,13.017,13.079,123220,0
20051118,13.009,13.07,12.929,13.032,195412,0
20051121,13.064,13.064,12.876,13.039,182335,0
20051122,13.009,13.032,12.97,13.032,166177,0
20051123,13.11,13.11,12.953,13.002,129639,0
20051125,13.07,13.102,12.986,13.086,26158,0
20051128,13.116,13.14,13.064,13.086,107839,0
20051129,13.056,13.125,13.017,13.064,127454,0
20051130,13.009,13.056,12.986,13.032,163743,0
20051201,12.929,12.961,12.876,12.923,188876,0
20051202,12.923,12.938,12.861,12.891,182720,0
20051205,12.899,12.97,12.876,12.938,154379,0
20051206,12.929,12.945,12.876,12.891,117964,0
20051207,12.907,12.923,12.869,12.907,129249,0
20051208,12.907,13.017,12.876,13.009,219776,0
20051209,12.953,13.064,12.953,13.048,174898,0
20051212,13.017,13.064,12.899,12.978,165022,0
20051213,12.945,13.009,12.907,12.945,234391,0
20051214,12.915,12.993,12.891,12.986,175410,0
20051215,12.986,13.002,12.938,12.993,193875,0
20051216,12.97,13.07,12.953,13.056,202467,0
20051219,13.079,13.116,13.039,13.086,243754,0
20051220,13.079,13.116,13.025,13.048,197206,0
20051221,13.079,13.079,12.97,12.978,217342,0
20051222,12.978,13.039,12.929,13.025,222593,0
20051223,13.009,13.079,12.993,13.002,140785,0
20051227,13.079,13.11,13.017,13.017,209516,0
20051228,12.923,13.025,12.915,13.009,235161,0
20051229,12.993,13.102,12.986,13.07,320431,0
20051230,13.079,13.156,13.025,13.064,356329,0
20060103,13.07,13.165,13.07,13.133,112068,0
20060104,13.165,13.368,13.133,13.352,136302,0
20060105,13.399,13.461,13.335,13.438,92324,0
20060106,13.461,13.491,13.282,13.452,122964,0
20060109,13.469,13.515,13.414,13.491,74755,0
20060110,13.53,13.539,13.452,13.491,98604,0
20060111,13.522,13.563,13.461,13.546,117964,0
20060112,13.53,13.601,13.508,13.555,92705,0
20060113,13.586,13.586,13.508,13.555,110655,0
20060117,13.539,13.586,13.491,13.577,102065,0
20060118,13.522,13.626,13.522,13.577,98220,0
20060119,13.546,13.601,13.539,13.577,61290,0
20060120,13.577,13.601,13.53,13.577,93343,0
20060123,13.539,13.633,13.539,13.626,106171,0
20060124,13.626,13.664,13.618,13.633,90651,0
20060125,13.672,13.688,13.609,13.626,122071,0
20060126,13.577,13.626,13.571,13.601,91810,0
20060127,13.618,13.618,13.555,13.577,91171,0
20060130,13.586,13.626,13.563,13.618,90651,0
20060131,13.639,13.725,13.618,13.639,169253,0
20060201,13.633,13.633,13.499,13.53,108478,0
20060202,13.461,13.563,13.461,13.539,93730,0
20060203,13.546,13.577,13.515,13.53,84628,0
20060206,13.609,13.664,13.563,13.593,205031,0
20060207,13.593,13.749,13.586,13.725,224523,0
20060208,13.725,13.765,13.679,13.757,148098,0
20060209,13.781,13.781,13.749,13.749,156943,0
20060210,13.804,13.804,13.734,13.781,158609,0
20060213,13.804,13.851,13.765,13.851,165151,0
20060214,13.842,13.851,13.781,13.828,156305,0
20060215,13.883,13.898,13.813,13.82,157588,0
20060216,13.883,13.891,13.828,13.874,141043,0
20060217,13.874,13.961,13.842,13.961,74370,0
20060221,13.983,13.983,13.874,13.936,134506,0
20060222,13.961,13.961,13.898,13.936,140403,0
20060223,13.952,13.961,13.904,13.952,158354,0
20060224,13.961,14.015,13.92,14.015,103476,0
20060227,14.015,14.015,13.976,13.999,119508,0
20060228,13.999,14.031,13.944,13.961,127325,0
20060301,13.952,13.968,13.928,13.961,142842,0
20060302,13.976,13.999,13.936,13.968,150154,0
20060303,13.976,13.991,13.813,13.859,159639,0
20060306,13.891,13.912,13.851,13.898,94884,0
20060307,13.904,13.904,13.749,13.765,97193,0
20060308,13.773,13.804,13.694,13.804,107453,0
20060309,13.82,13.834,13.725,13.834,127325,0
20060310,13.859,13.867,13.796,13.82,65525,0
20060313,13.804,13.898,13.804,13.874,108224,0
20060314,13.891,13.961,13.813,13.952,166564,0
20060315,13.961,13.961,13.891,13.928,87703,0
20060316,13.92,13.936,13.813,13.842,122458,0
20060317,13.859,13.904,13.834,13.904,93088,0
20060320,13.912,13.952,13.883,13.92,115145,0
20060321,13.891,13.92,13.874,13.904,96424,0
20060322,13.92,13.952,13.891,13.952,85911,0
20060323,13.928,13.961,13.912,13.961,93860,0
20060324,13.976,13.976,13.874,13.936,117710,0
20060327,13.961,13.976,13.92,13.936,105782,0
20060328,13.991,13.991,13.944,13.944,100906,0
20060329,13.968,13.976,13.851,13.891,110017,0
20060330,13.891,13.92,13.813,13.912,106296,0
20060331,13.936,13.936,13.867,13.912,96424,0
20060403,13.842,13.867,13.804,13.834,67700,0
20060404,13.773,13.898,13.773,13.898,98860,0
20060405,13.912,13.999,13.898,13.944,146688,0
20060406,13.944,13.983,13.92,13.983,104376,0
20060407,13.983,13.983,13.851,13.883,80396,0
20060410,13.842,13.898,13.796,13.851,75530,0
20060411,13.765,13.851,13.765,13.842,64368,0
20060412,13.842,13.874,13.773,13.796,140919,0
20060413,13.796,13.796,13.688,13.742,91037,0
20060417,13.577,13.656,13.555,13.601,209260,0
20060418,13.593,13.639,13.508,13.586,124250,0
20060419,13.555,13.633,13.522,13.633,230032,0
20060420,13.639,13.639,13.499,13.593,128609,0
20060421,13.546,13.679,13.546,13.664,93473,0
20060424,13.639,13.672,13.563,13.618,94247,0
20060425,13.593,13.593,13.539,13.571,81803,0
20060426,13.586,13.601,13.53,13.593,112195,0
20060427,13.555,13.717,13.555,13.717,149637,0
20060428,13.717,13.717,13.626,13.703,82958,0
20060501,13.586,13.647,13.577,13.633,87703,0
20060502,13.626,13.672,13.593,13.672,77706,0
20060503,13.688,13.694,13.609,13.656,75911,0
20060504,13.664,13.725,13.656,13.679,117836,0
20060505,13.71,13.749,13.679,13.725,49751,0
20060508,13.725,13.725,13.601,13.639,77446,0
20060509,13.639,13.679,13.618,13.639,64368,0
20060510,13.679,13.679,13.563,13.647,128734,0
20060511,13.571,13.626,13.539,13.563,77058,0
20060512,13.593,13.593,13.539,13.593,67319,0
20060515,13.571,13.672,13.571,13.618,85654,0
20060516,13.656,13.725,13.577,13.71,90651,0
20060517,13.664,13.688,13.539,13.601,80142,0
20060518,13.571,13.626,13.546,13.618,99249,0
20060519,13.508,13.656,13.508,13.656,73342,0
20060522,13.672,13.672,13.508,13.563,93220,0
20060523,13.515,13.656,13.515,13.647,161819,0
20060524,13.679,13.688,13.601,13.618,66676,0
20060525,13.618,13.633,13.571,13.633,96554,0
20060526,13.656,13.734,13.626,13.734,67835,0
20060530,13.694,13.742,13.639,13.694,72448,0
20060531,13.679,13.742,13.672,13.734,98092,0
20060601,13.633,13.742,13.633,13.734,117065,0
20060602,13.71,13.773,13.672,13.742,78605,0
20060605,13.694,13.734,13.664,13.703,66676,0
20060606,13.639,13.694,13.639,13.688,96939,0
20060607,13.688,13.757,13.679,13.734,67835,0
20060608,13.734,13.781,13.717,13.765,84368,0
20060609,13.773,13.781,13.725,13.765,47190,0
20060612,13.781,13.781,13.71,13.725,84242,0
20060613,13.688,13.71,13.639,13.672,111681,0
20060614,13.672,13.71,13.639,13.688,143996,0
20060615,13.71,13.717,13.664,13.679,148353,0
20060616,13.71,13.717,13.656,13.694,185672,0
20060619,13.717,13.734,13.703,13.725,135794,0
20060620,13.765,13.773,13.742,13.757,120400,0
20060621,13.788,13.796,13.757,13.788,157199,0
20060622,13.796,13.898,13.742,13.883,279272,0
20060623,13.898,13.952,13.891,13.928,137456,0
20060626,13.944,13.961,13.883,13.928,62319,0
