Date,Open,High,Low,Close,Volume,OpenInt
20121128,17.531,17.557,17.513,17.557,2273866,0
20121129,17.557,17.557,17.531,17.557,224749,0
20121130,17.581,17.581,17.554,17.581,306911,0
20121203,17.575,17.619,17.557,17.575,186066,0
20121204,17.665,17.665,17.566,17.601,134053,0
20121205,17.575,17.619,17.548,17.584,112675,0
20121206,17.665,17.665,17.575,17.592,134312,0
20121207,17.665,17.665,17.557,17.575,133718,0
20121210,17.646,17.646,17.557,17.575,83083,0
20121211,17.575,17.619,17.566,17.601,110129,0
20121212,17.575,17.665,17.575,17.665,101938,0
20121213,17.665,17.97,17.61,17.61,129617,0
20121214,17.741,17.741,17.548,17.575,131767,0
20121217,17.575,17.706,17.575,17.665,100155,0
20121218,17.665,17.822,17.584,17.706,116117,0
20121219,17.751,17.926,17.665,17.795,114582,0
20121220,17.786,17.795,17.61,17.656,116087,0
20121221,17.741,17.776,17.628,17.689,77726,0
20121224,17.601,17.795,17.601,17.751,31590,0
20121226,17.795,17.97,17.637,17.926,91764,0
20121227,17.961,17.961,17.714,17.795,39801,0
20121228,17.907,17.907,17.724,17.89,53551,0
20121231,17.922,18.311,17.826,18.143,146579,0
20130102,18.267,18.339,18.059,18.074,83039,0
20130103,17.575,17.849,17.487,17.706,587678,0
20130104,17.592,17.732,17.575,17.628,173207,0
20130107,17.637,17.898,17.619,17.786,149914,0
20130108,17.858,17.858,17.584,17.592,165416,0
20130109,17.575,17.866,17.575,17.804,237633,0
20130110,17.873,17.961,17.724,17.812,171820,0
20130111,17.84,18.101,17.831,18.059,211543,0
20130114,17.97,18.059,17.795,17.979,132005,0
20130115,18.015,18.015,17.68,17.795,261056,0
20130116,17.935,17.935,17.724,17.831,195383,0
20130117,17.849,17.97,17.732,17.776,208750,0
20130118,17.706,17.926,17.706,17.849,174216,0
20130122,17.831,17.84,17.706,17.804,220768,0
20130123,17.845,18.012,17.808,17.931,273229,0
20130124,17.953,17.953,17.76,17.831,211185,0
20130125,17.898,18.015,17.795,17.997,213263,0
20130128,17.979,18.183,17.873,18.006,165875,0
20130129,18.145,18.2,17.907,18.065,239035,0
20130130,18.12,18.452,18.015,18.251,172070,0
20130131,18.451,18.487,18.143,18.469,236850,0
20130201,18.518,18.853,18.279,18.598,266190,0
20130204,18.582,18.616,18.026,18.288,255552,0
20130205,18.322,18.322,17.912,18.056,281883,0
20130206,18.062,18.208,17.94,18.172,194554,0
20130207,18.189,18.49,18.04,18.472,241663,0
20130208,18.499,18.499,18.25,18.349,176171,0
20130211,18.351,18.491,18.193,18.37,224913,0
20130212,18.378,18.378,18.156,18.288,162019,0
20130213,18.253,18.686,18.243,18.565,295537,0
20130214,18.607,18.65,18.306,18.501,229206,0
20130215,18.571,18.58,18.358,18.377,183414,0
20130219,18.412,18.437,18.181,18.295,294247,0
20130220,18.34,18.607,18.153,18.42,200318,0
20130221,18.446,18.633,18.056,18.349,260311,0
20130222,18.42,18.509,18.153,18.162,214874,0
20130225,18.108,18.267,17.966,17.966,362056,0
20130226,17.948,18.412,17.948,18.153,192146,0
20130227,18.117,18.48,18.117,18.258,255399,0
20130228,18.286,18.509,18.25,18.49,250531,0
20130301,18.49,18.658,18.428,18.545,137496,0
20130304,18.517,18.649,18.385,18.633,179219,0
20130305,18.524,18.64,18.328,18.569,254280,0
20130306,18.562,18.562,18.401,18.562,193773,0
20130307,18.47,18.515,18.085,18.374,252111,0
20130308,18.301,18.515,18.141,18.158,279902,0
20130311,18.258,18.428,18.153,18.25,143426,0
20130312,18.34,18.517,18.227,18.312,203273,0
20130313,18.403,18.554,18.218,18.258,101000,0
20130314,18.377,18.463,18.208,18.276,113751,0
20130315,18.292,18.614,18.231,18.337,193650,0
20130318,18.241,18.446,18.162,18.303,199647,0
20130319,18.25,18.463,18.117,18.276,199201,0
20130320,18.214,18.648,18.141,18.319,352877,0
20130321,18.282,18.588,18.24,18.328,211145,0
20130322,18.365,18.507,18.365,18.461,192165,0
20130325,18.461,18.605,18.356,18.47,246629,0
20130326,18.479,18.579,18.383,18.444,268495,0
20130327,18.426,18.507,18.337,18.47,182117,0
20130328,18.434,18.694,18.401,18.569,208432,0
20130401,18.666,18.801,18.588,18.739,140986,0
20130402,18.749,18.836,18.658,18.81,202056,0
20130403,18.81,18.81,18.346,18.426,366688,0
20130404,18.534,18.588,18.282,18.328,199744,0
20130405,18.383,18.775,18.168,18.588,190505,0
20130408,18.703,18.739,18.488,18.631,130180,0
20130409,18.712,18.749,18.562,18.675,138097,0
20130410,18.749,18.767,18.588,18.64,205913,0
20130411,18.675,18.792,18.605,18.758,149195,0
20130412,18.783,18.792,18.543,18.614,190099,0
20130415,18.605,18.648,18.24,18.328,204399,0
20130416,18.41,18.767,18.41,18.694,122532,0
20130417,18.579,18.666,18.301,18.479,189734,0
20130418,18.631,18.703,18.47,18.666,159270,0
20130419,18.658,18.685,18.534,18.588,181169,0
20130422,18.579,18.675,18.497,18.562,123268,0
20130423,18.64,18.685,18.47,18.658,263021,0
20130424,18.648,18.836,18.579,18.81,351961,0
20130425,18.836,19.141,18.739,19.086,323351,0
20130426,18.989,19.221,18.927,19.158,170126,0
20130429,19.301,19.517,19.177,19.39,220870,0
20130430,19.311,19.462,18.89,18.998,283385,0
20130501,19.04,19.293,18.691,18.7,208263,0
20130502,18.619,19.157,16.996,19.104,250332,0
20130503,19.247,19.329,18.851,18.944,166694,0
20130506,19.059,19.265,18.799,18.808,193329,0
20130507,18.87,19.104,18.817,18.87,199234,0
20130508,18.934,19.05,18.817,18.916,177378,0
20130509,19.014,19.301,18.88,19.293,220586,0
20130510,19.284,19.624,19.211,19.519,214637,0
20130513,19.707,19.707,19.076,19.185,141294,0
20130514,19.284,19.453,18.969,19.445,273211,0
20130515,19.445,19.453,19.104,19.237,154564,0
20130516,19.284,19.374,19.104,19.337,198041,0
20130517,19.382,19.965,19.382,19.877,262622,0
20130520,19.785,19.938,19.552,19.679,275685,0
20130521,19.714,19.714,19.211,19.534,213762,0
20130522,19.615,19.803,19.122,19.32,277306,0
20130523,19.068,19.201,18.691,19.15,294197,0
20130524,19.15,20.018,18.87,20.001,284678,0
20130528,19.993,20.047,19.544,19.707,167353,0
20130529,19.624,19.624,19.211,19.256,136337,0
20130530,19.355,19.5,18.934,19.194,149311,0
20130531,19.236,19.42,18.943,19.062,96837,0
20130603,19.201,19.337,18.942,19.057,136001,0
20130604,19.02,19.02,18.174,18.544,257626,0
20130605,18.535,18.563,18.1,18.184,204955,0
20130606,18.308,18.544,18.184,18.374,112823,0
20130607,18.488,18.715,18.355,18.697,169576,0
20130610,18.724,18.734,18.174,18.41,158146,0
20130611,18.049,18.202,16.461,18.003,321754,0
20130612,18.174,18.174,17.551,17.671,183488,0
20130613,17.859,18.244,17.759,18.057,154177,0
20130614,18.262,18.327,17.994,18.119,205430,0
20130617,18.308,18.4,18.146,18.211,141269,0
20130618,18.308,18.374,18.057,18.254,263527,0
20130619,18.202,18.254,17.985,18.022,167428,0
20130620,18.003,18.022,17.361,17.452,168669,0
20130621,17.813,17.93,17.462,17.712,166836,0
