Date,Open,High,Low,Close,Volume,OpenInt
20101217,27.25,28.2,27.25,28.07,170905,0
20101220,28.74,29.18,28.16,28.53,450785,0
20101221,29,30,28.98,29.75,696535,0
20101222,29.63,30.2,28.96,29.08,123495,0
20101223,28.91,30.81,28.91,30.81,128609,0
20101227,30.83,31.43,30.5,30.99,154094,0
20101228,30.83,31.42,30.06,31.06,74822,0
20101229,31,31.43,30.58,31,154932,0
20101230,30.71,30.99,30.53,30.8,58178,0
20101231,30.86,30.98,30.56,30.92,15953,0
20110103,31.25,31.25,30.1,30.47,219796,0
20110104,30,30.23,28.75,29.98,460724,0
20110105,30.11,30.5,30,30.4,167062,0
20110106,30.73,30.73,30.03,30.03,56861,0
20110107,30.24,30.47,29.61,29.99,92940,0
20110110,30,30.15,29.95,30,121532,0
20110111,30.05,31.23,30,31.14,53508,0
20110112,31.36,31.5,30.9,30.94,62738,0
20110113,30.9,30.9,29.56,30.2,464220,0
20110114,30.1,30.42,30,30.25,170763,0
20110118,29.56,30.51,29.23,30.23,328350,0
20110119,30.02,30.46,29.95,30.19,234382,0
20110120,30.02,30.4,29.89,30.05,142314,0
20110121,30.16,30.84,30.16,30.6,234475,0
20110124,30.01,31.63,29.89,31.57,162652,0
20110125,31.4,32.97,30.98,31.05,213312,0
20110126,31.07,32.17,30,31.3,235696,0
20110127,31.19,31.33,30.11,30.2,54458,0
20110128,30.15,30.28,29.7,29.98,175870,0
20110131,29.95,30.31,29.72,30,63447,0
20110201,30.05,30.47,29.91,30.04,105959,0
20110202,29.82,30.09,29.81,30,36407,0
20110203,29.96,30.02,29.5,30,137793,0
20110204,30,30.12,29.75,29.99,87210,0
20110207,29.94,31.54,29.92,30.51,111045,0
20110208,30.62,31.36,30.53,31.16,80364,0
20110209,30.99,31.35,30.93,31.28,46152,0
20110210,31.08,31.46,30.9,31.27,93196,0
20110211,31.08,31.51,30.82,31.51,38553,0
20110214,31.37,31.37,30.87,31,95466,0
20110215,30.84,31.17,30.75,31,65650,0
20110216,31.17,31.49,31,31.48,54454,0
20110218,32.29,33.79,32.29,33.51,121377,0
20110222,32.51,33.58,31.68,31.96,147267,0
