Date,Open,High,Low,Close,Volume,OpenInt
20140703,16.2,16.34,15.75,16.25,1962755,0
20140707,15.76,15.87,15.17,15.2,3223002,0
20140708,15.01,15.83,14.92,15.66,2115537,0
20140709,15.65,15.7,15.01,15.37,2172680,0
20140710,15.2,15.83,15.12,15.56,2051752,0
20140711,15.1,15.87,15.1,15.43,1545910,0
20140714,15.45,15.62,15.23,15.38,1062953,0
20140715,15.34,15.99,15.34,15.84,1470380,0
20140716,15.79,15.98,15.62,15.9,1541347,0
20140717,15.9,16.05,15.76,15.95,1111875,0
20140718,16.15,16.23,15.9,16.02,851675,0
20140721,16.13,16.13,15.81,16.01,535008,0
20140722,15.9,16.4,15.67,16,680293,0
20140723,16,16.34,15.9,16.28,492930,0
20140724,16.16,16.45,16.16,16.31,1035212,0
20140725,16.31,16.49,16.1,16.38,838019,0
20140728,16.26,16.4,15.97,16.15,594309,0
20140729,16.15,16.4,16,16.1,879137,0
20140730,16.3,16.9,16.06,16.47,951495,0
20140731,16.4,16.65,16.26,16.36,605066,0
20140801,16.19,16.5,16.14,16.32,442540,0
20140804,16.4,16.65,16.25,16.61,1445778,0
20140805,16.41,16.74,16.25,16.6,632563,0
20140806,16.56,16.75,16.37,16.61,608881,0
20140807,16.6,16.79,16.56,16.7,678281,0
20140808,16.64,16.79,16.46,16.69,265780,0
20140811,16.73,17.05,16.54,16.94,744160,0
20140812,16.75,17,16.75,16.84,264515,0
20140813,16.82,16.89,16.34,16.54,1358451,0
20140814,16.37,16.43,16.01,16.18,581387,0
20140815,16.11,16.34,15.88,16,509336,0
20140818,15.81,15.98,15.81,15.89,276002,0
20140819,15.97,16.16,15.83,16.02,755902,0
20140820,15.85,15.95,15.6,15.73,826667,0
20140821,15.64,15.84,15.6,15.69,288506,0
20140822,15.6,15.75,15.47,15.55,257852,0
20140825,15.55,15.79,15.27,15.77,414310,0
20140826,15.72,15.8,15.45,15.65,859632,0
20140827,15.5,15.65,15.22,15.43,1042446,0
20140828,15.5,15.54,15.12,15.19,1437217,0
20140829,15.11,15.25,14.83,14.98,3521029,0
20140902,15.05,15.18,14.89,14.98,1049750,0
20140903,14.97,15.41,14.84,15.33,1178508,0
20140904,15.21,15.83,15.21,15.66,1694423,0
20140905,15.72,15.79,15.46,15.63,568724,0
20140908,15.65,15.76,15.21,15.25,6554797,0
20140909,15.35,15.7,14.95,15.11,737398,0
20140910,15.3,15.47,15.12,15.4,936100,0
20140911,15.5,15.56,15.34,15.36,1145121,0
20140912,15.34,15.68,15.27,15.56,629030,0
20140915,15.53,15.65,15.3,15.33,611348,0
20140916,15.09,15.36,14.89,14.92,640017,0
20140917,14.95,15.08,14.78,14.81,1927786,0
20140918,14.81,15,14.81,14.92,274995,0
20140919,14.9,14.99,14.25,14.25,2912874,0
20140922,14.35,14.74,14.22,14.69,1410348,0
20140923,14.73,14.73,14.44,14.51,750735,0
20140924,14.28,14.56,14.24,14.36,1210388,0
20140925,14.35,14.46,13.88,14.07,1066268,0
20140926,14.04,14.35,14.02,14.28,650121,0
20140929,14.15,14.24,13.76,13.81,1464013,0
20140930,13.79,13.94,13.7,13.76,1362753,0
20141001,13.72,13.8,13.53,13.54,1859821,0
20141002,13.63,13.86,13.48,13.85,872860,0
20141003,13.85,14.15,13.85,14.09,549054,0
20141006,14.07,14.1,13.83,13.88,417551,0
20141007,13.78,13.82,13.65,13.76,216982,0
20141008,13.7,14.04,13.7,14.03,344310,0
20141009,14.01,14.11,13.53,13.58,533604,0
20141010,13.54,13.73,13.5,13.54,445346,0
20141013,13.57,13.82,13.29,13.4,847881,0
20141014,13.35,13.51,13.21,13.25,774664,0
20141015,12.89,13.47,12.71,13.07,1028946,0
20141016,12.73,13.12,12.61,13,648214,0
20141017,13,13.23,12.89,13.05,657141,0
20141020,13.14,13.54,13,13.38,759249,0
20141021,13.38,13.81,13.34,13.63,619143,0
20141022,13.61,13.91,13.58,13.64,496785,0
20141023,13.68,14.12,13.68,13.74,495518,0
20141024,13.7,13.77,13.27,13.4,528070,0
20141027,13.35,13.5,13.34,13.39,477114,0
20141028,13.4,13.44,12.97,13.17,731222,0
20141029,13.09,13.52,13.09,13.47,563578,0
20141030,13.47,13.69,13.09,13.17,425081,0
20141031,13.19,13.53,13.19,13.44,825076,0
20141103,13.39,13.63,13.32,13.61,553685,0
20141104,13.65,13.79,13.55,13.71,585205,0
20141105,13.73,13.78,13.49,13.51,479688,0
20141106,13.45,13.61,13.43,13.54,346095,0
20141107,13.56,13.97,13.5,13.91,760609,0
20141110,13.89,14.1,13.79,14.09,252645,0
20141111,14.09,14.15,13.98,14.04,351514,0
20141112,14,14.32,14,14.31,559645,0
20141113,14.22,14.49,14.19,14.4,344020,0
20141114,14.39,14.41,14.19,14.32,240553,0
20141117,14.23,14.77,14.17,14.55,457423,0
20141118,14.58,14.63,14.37,14.49,378360,0
20141119,14.38,14.58,14.35,14.43,158481,0
20141120,14.3,14.38,13.99,14.11,408887,0
20141121,14.11,14.26,14.11,14.17,194710,0
20141124,14.15,14.23,14.07,14.23,133664,0
20141125,14.16,14.34,14.04,14.25,812342,0
20141126,14.2,14.23,14.03,14.2,265749,0
20141128,14.2,14.38,14.2,14.27,66529,0
20141201,14.27,14.42,14.19,14.37,433774,0
20141202,14.4,14.52,14.27,14.44,637461,0
20141203,14.41,14.61,14.3,14.45,461064,0
20141204,14.34,14.59,14.31,14.5,268811,0
20141205,14.51,14.7,14.48,14.69,401586,0
20141208,14.6,15.19,14.6,14.95,811596,0
20141209,14.84,14.98,14.59,14.82,343874,0
20141210,14.81,14.87,14.36,14.47,214585,0
20141211,14.42,14.61,14.3,14.37,668011,0
20141212,14.26,14.4,13.95,14.06,355746,0
20141215,14.17,14.32,13.85,14.04,354606,0
20141216,13.91,14.19,13.91,14.01,307048,0
20141217,14.06,14.6,13.96,14.48,332084,0
20141218,14.53,14.56,14.39,14.46,438652,0
20141219,14.49,14.7,14.44,14.64,1171348,0
20141222,14.6,14.82,14.55,14.64,524259,0
20141223,14.64,14.77,14.64,14.68,185823,0
20141224,14.65,15.3,14.65,15.25,237992,0
20141226,15.16,15.3,15.13,15.27,139422,0
20141229,15.22,15.56,15.13,15.13,386793,0
20141230,15.06,15.31,15.03,15.3,148463,0
20141231,15.31,15.84,15.29,15.74,263514,0
20150102,12.69,12.7,11.57,11.61,1997430,0
20150105,11.49,12.48,11.11,12.21,1615783,0
20150106,12.19,12.28,11.79,12.01,3365313,0
20150107,11.98,12.25,11.98,12.2,1550889,0
20150108,12.23,12.92,12.23,12.84,713783,0
20150109,12.82,12.84,12.3,12.33,587839,0
20150112,12.27,12.31,11.99,12.31,517607,0
20150113,12.34,12.66,12.14,12.28,425920,0
20150114,12.12,12.26,12,12.16,477047,0
20150115,12.08,12.13,11.87,11.96,259592,0
20150116,11.99,12.31,11.99,12.19,162249,0
