Date,Open,High,Low,Close,Volume,OpenInt
20110201,21.753,21.786,21.753,21.786,1483,0
20110202,21.666,21.708,21.632,21.666,3372,0
20110203,21.692,21.744,21.666,21.683,12184,0
20110204,21.528,21.666,21.391,21.537,16592,0
20110207,21.753,21.795,21.58,21.589,14111,0
20110208,21.623,21.838,21.623,21.708,28171,0
20110209,21.83,21.83,21.641,21.683,29804,0
20110210,21.547,21.778,21.547,21.708,13490,0
20110211,21.804,21.838,21.717,21.838,17943,0
20110214,21.838,22.044,21.717,21.881,55049,0
20110215,21.924,21.924,21.614,21.735,60860,0
20110216,21.753,21.872,21.708,21.795,42569,0
20110218,21.881,21.907,21.753,21.753,16970,0
20110222,21.864,21.864,21.675,21.708,44132,0
20110223,21.717,21.881,21.717,21.881,37993,0
20110224,21.804,21.804,21.735,21.735,6864,0
20110225,21.924,21.924,21.717,21.924,6986,0
20110228,21.753,21.899,21.632,21.692,18931,0
20110301,21.494,21.717,21.4,21.58,34021,0
20110302,21.666,21.666,21.537,21.537,8484,0
20110303,21.528,21.589,21.451,21.537,11572,0
20110304,21.65,21.65,21.503,21.547,13079,0
20110307,21.563,21.65,21.46,21.623,14479,0
20110308,21.641,21.753,21.572,21.753,17546,0
20110309,21.753,21.769,21.65,21.675,18783,0
20110310,21.744,21.744,21.605,21.675,32636,0
20110311,21.753,21.753,21.589,21.589,4083,0
20110314,21.605,21.605,21.374,21.572,73447,0
20110315,21.451,21.494,21.013,21.451,28228,0
20110316,21.537,21.537,21.408,21.408,20470,0
20110317,21.408,21.58,21.408,21.537,10236,0
20110318,21.563,21.795,21.425,21.563,8772,0
20110321,21.708,21.708,21.451,21.58,30234,0
20110322,21.753,21.753,21.494,21.641,13258,0
20110323,21.52,21.65,21.339,21.408,24773,0
20110324,21.442,21.494,21.365,21.451,25705,0
20110325,21.477,21.503,21.305,21.494,8664,0
20110328,21.469,21.563,21.46,21.494,7881,0
20110329,21.503,21.537,21.434,21.537,13004,0
20110330,21.528,21.528,21.434,21.451,9588,0
20110331,21.494,21.52,21.297,21.425,7763,0
20110401,21.477,21.547,21.442,21.52,9337,0
20110404,21.554,21.589,21.494,21.494,14133,0
20110405,21.511,21.598,21.477,21.537,16673,0
20110406,21.572,21.657,21.511,21.58,12038,0
20110407,21.537,21.605,21.52,21.52,7374,0
20110408,21.52,21.58,21.494,21.554,6514,0
20110411,21.528,21.572,21.494,21.537,3431,0
20110412,21.537,21.598,21.451,21.563,5554,0
