Date,Open,High,Low,Close,Volume,OpenInt
20121127,21.844,21.942,21.828,21.836,425882,0
20121128,21.836,21.942,21.81,21.924,148994,0
20121129,21.899,21.942,21.853,21.899,112508,0
20121130,21.899,21.942,21.871,21.899,107527,0
20121203,21.942,21.942,21.871,21.899,28461,0
20121204,21.89,21.942,21.862,21.933,58702,0
20121205,21.942,22.022,21.899,21.985,110836,0
20121206,22.022,22.022,21.853,22.004,77616,0
20121207,21.985,22.039,21.969,22.039,68896,0
20121210,22.039,22.118,21.969,22.039,70690,0
20121211,22.092,22.109,22.004,22.074,127393,0
20121212,22.074,22.118,22.022,22.092,60103,0
20121213,21.951,22.004,21.819,21.89,127736,0
20121214,21.924,21.924,21.757,21.81,59447,0
20121217,21.914,21.914,21.748,21.828,60088,0
20121218,21.836,21.836,21.696,21.791,64028,0
20121219,21.801,21.871,21.739,21.819,15975,0
20121220,21.907,21.907,21.73,21.819,22731,0
20121221,21.828,21.853,21.782,21.801,20873,0
20121224,21.914,21.924,21.721,21.757,20177,0
20121226,21.836,21.836,21.643,21.687,38487,0
20121227,21.748,21.748,21.554,21.554,52321,0
20121228,21.589,21.589,21.351,21.493,47003,0
20121231,21.597,21.677,21.589,21.668,27422,0
20130102,21.73,21.881,21.73,21.81,37141,0
20130103,21.862,22.065,21.853,22.022,75037,0
20130104,22.074,22.198,22.074,22.1,101981,0
20130107,22.154,22.188,22.084,22.179,118203,0
20130108,22.198,22.278,22.145,22.25,95224,0
20130109,22.259,22.356,22.224,22.303,93414,0
20130110,22.365,22.401,22.321,22.374,145293,0
20130111,22.382,22.382,22.286,22.33,39240,0
20130114,22.347,22.347,22.207,22.25,46030,0
20130115,22.224,22.224,22.118,22.207,63419,0
20130116,22.198,22.268,22.136,22.268,68392,0
20130117,22.268,22.365,22.047,22.339,205725,0
20130118,22.339,22.401,22.224,22.311,144611,0
20130122,22.294,22.339,22.188,22.242,121948,0
20130123,22.339,22.339,22.162,22.179,65366,0
20130124,22.294,22.33,22.145,22.145,45730,0
20130125,22.25,22.25,22.136,22.207,61256,0
20130128,22.188,22.242,22.084,22.136,130826,0
20130129,22.224,22.224,22.084,22.084,45943,0
20130130,22.198,22.198,22.03,22.1,24449,0
20130131,22.188,22.207,22.118,22.179,20142,0
20130201,22.224,22.286,22.136,22.286,73576,0
20130204,22.179,22.242,22.1,22.1,32990,0
20130205,22.188,22.188,22.03,22.074,43869,0
20130206,22.1,22.118,22.065,22.118,14108,0
20130207,22.118,22.179,22.03,22.039,23063,0
20130208,22.109,22.145,22.039,22.092,34015,0
20130211,22.136,22.154,22.056,22.1,23722,0
20130212,22.145,22.145,22.039,22.109,27656,0
20130213,22.109,22.136,22.065,22.074,33131,0
20130214,22.118,22.188,22.109,22.188,25559,0
20130215,22.188,22.25,22.179,22.25,31539,0
20130219,22.294,22.339,22.171,22.207,47349,0
20130220,22.232,22.25,22.065,22.074,54254,0
20130221,22.092,22.162,22.056,22.162,33907,0
20130222,22.188,22.188,22.1,22.145,24064,0
20130225,22.207,22.278,22.162,22.232,47791,0
20130226,22.232,22.25,22.1,22.154,53389,0
20130227,22.145,22.207,22.1,22.118,71977,0
20130228,22.198,22.25,22.136,22.207,62070,0
20130301,22.154,22.321,22.154,22.232,16277,0
20130304,22.33,22.374,22.188,22.224,17646,0
20130305,22.347,22.347,22.188,22.198,26438,0
20130306,22.25,22.303,22.198,22.216,18933,0
20130307,22.356,22.356,22.224,22.321,31642,0
20130308,22.347,22.347,22.268,22.33,10373,0
20130311,22.365,22.382,22.259,22.286,22333,0
20130312,22.286,22.294,22.136,22.179,41630,0
20130313,22.216,22.278,22.162,22.207,38810,0
20130314,22.347,22.428,22.24,22.418,74980,0
20130315,22.392,22.473,22.374,22.418,22022,0
20130318,22.41,22.536,22.401,22.455,32863,0
