Date,Open,High,Low,Close,Volume,OpenInt
19620102,0.6877,0.6967,0.6792,0.6792,2351402,0
19620103,0.6792,0.6792,0.6703,0.6792,1611147,0
19620104,0.6792,0.6792,0.6613,0.6703,2003046,0
19620105,0.6703,0.6703,0.6351,0.6525,2971910,0
19620108,0.6525,0.6525,0.626,0.6525,3374698,0
19620109,0.6525,0.6613,0.6438,0.6525,2536467,0
19620110,0.6525,0.6613,0.6525,0.6525,2133679,0
19620111,0.6525,0.6525,0.6438,0.6525,1774437,0
19620112,0.6525,0.6613,0.6438,0.6438,1839754,0
19620115,0.6525,0.6525,0.6525,0.6525,2307857,0
19620116,0.6525,0.6613,0.6525,0.6613,1513172,0
19620117,0.6613,0.6613,0.6438,0.6438,2329630,0
19620118,0.6438,0.6525,0.6438,0.6525,1611147,0
19620119,0.6525,0.6613,0.6525,0.6613,1447857,0
19620122,0.6613,0.6703,0.6613,0.6613,1545830,0
19620123,0.6613,0.6613,0.6438,0.6438,2482035,0
19620124,0.6438,0.6613,0.6438,0.6613,1741779,0
19620125,0.6613,0.6613,0.6525,0.6525,1730892,0
19620126,0.6525,0.6525,0.6525,0.6525,1099500,0
19620129,0.6525,0.6525,0.6525,0.6525,1110381,0
19620130,0.6613,0.6703,0.6613,0.6613,1937729,0
19620131,0.6613,0.6877,0.6613,0.6877,2046591,0
19620201,0.6877,0.6877,0.6703,0.6792,2797734,0
19620202,0.6792,0.6792,0.6792,0.6792,1611147,0
19620205,0.6792,0.6792,0.6703,0.6703,1534943,0
19620206,0.6703,0.6792,0.6703,0.6792,1132154,0
19620207,0.6792,0.6877,0.6792,0.6877,1839754,0
19620208,0.6877,0.6877,0.6792,0.6877,1915958,0
19620209,0.6877,0.6877,0.6792,0.6877,1643806,0
19620212,0.6877,0.6877,0.6792,0.6877,892662,0
19620213,0.6877,0.6967,0.6877,0.6967,1317222,0
19620214,0.6967,0.7055,0.6967,0.6967,1763552,0
19620215,0.6967,0.7142,0.6967,0.7055,2035705,0
19620216,0.7055,0.7142,0.6967,0.7055,2547353,0
19620219,0.7055,0.7055,0.6967,0.6967,1698236,0
19620220,0.6967,0.6967,0.6877,0.6967,1164815,0
19620221,0.6967,0.7055,0.6877,0.6967,1175700,0
19620223,0.6967,0.6967,0.6877,0.6877,1774437,0
19620226,0.6877,0.6877,0.6703,0.6792,1371652,0
19620227,0.6792,0.6877,0.6792,0.6877,1012410,0
19620228,0.6877,0.6877,0.6792,0.6792,1807097,0
19620301,0.6877,0.6967,0.6877,0.6967,990637,0
19620302,0.6967,0.7055,0.6967,0.6967,1371652,0
19620305,0.6967,0.7055,0.6967,0.6967,1513172,0
19620306,0.6967,0.6967,0.6877,0.6877,1023295,0
19620307,0.6877,0.6967,0.6877,0.6967,1099500,0
19620308,0.6967,0.7055,0.6877,0.7055,1926843,0
