Date,Open,High,Low,Close,Volume,OpenInt
20130219,21.923,21.975,21.861,21.913,679312,0
20130220,21.923,22.01,21.905,21.948,1730811,0
20130221,21.923,21.993,21.923,21.984,189823,0
20130222,21.966,22.003,21.948,21.984,148455,0
20130225,21.993,22.003,21.948,21.984,111554,0
20130226,21.966,21.966,21.87,21.941,347149,0
20130227,21.948,21.957,21.861,21.941,163101,0
20130228,21.957,22.037,21.887,21.984,186058,0
20130301,21.941,21.975,21.923,21.948,57165,0
20130304,21.948,21.948,21.87,21.923,94268,0
20130305,21.913,21.932,21.905,21.913,39414,0
20130306,21.913,21.984,21.905,21.905,76026,0
20130307,21.932,21.993,21.887,21.975,212057,0
20130308,21.905,21.966,21.834,21.896,107730,0
20130311,21.941,21.957,21.896,21.948,108326,0
20130312,21.905,21.948,21.887,21.905,85597,0
20130313,21.964,22.087,21.902,22.087,58146,0
20130314,21.991,22.125,21.991,22.106,146830,0
20130315,22.115,22.132,22.062,22.079,255049,0
20130318,22.125,22.125,22.034,22.106,130491,0
20130319,22.062,22.125,22.034,22.07,54676,0
20130320,22.087,22.097,21.982,22.07,222008,0
20130321,22.053,22.07,22.025,22.053,31677,0
20130322,22.053,22.062,22.025,22.044,47359,0
20130325,22.053,22.15,22.053,22.079,124469,0
20130326,22.079,22.168,22.079,22.125,65026,0
20130327,22.132,22.168,22.132,22.168,32214,0
20130328,22.159,22.177,22.132,22.141,64236,0
20130401,22.168,22.177,22.15,22.15,39840,0
20130402,22.168,22.202,22.141,22.186,152019,0
20130403,22.202,22.202,22.141,22.141,77714,0
20130404,22.141,22.168,22.132,22.15,55952,0
20130405,22.15,22.159,22.106,22.159,112771,0
20130408,22.212,22.23,22.194,22.202,205292,0
20130409,22.202,22.212,22.177,22.194,112748,0
20130410,22.212,22.23,22.186,22.186,54933,0
20130411,22.186,22.202,22.159,22.159,34245,0
20130412,22.177,22.186,22.141,22.159,12633,0
20130415,22.159,22.159,22.125,22.132,115562,0
20130416,22.141,22.24,22.141,22.202,196759,0
20130417,22.202,22.23,22.202,22.221,132703,0
20130418,22.23,22.24,22.177,22.221,149817,0
20130419,22.221,22.355,22.159,22.355,761453,0
20130422,22.24,22.327,22.23,22.256,86480,0
20130423,22.293,22.451,22.293,22.372,258522,0
20130424,22.318,22.355,22.274,22.336,96325,0
20130425,22.336,22.336,22.283,22.293,50374,0
20130426,22.302,22.318,22.24,22.248,108346,0
20130429,22.336,22.336,22.248,22.318,96331,0
20130430,22.327,22.372,22.327,22.364,111973,0
20130501,22.364,22.398,22.293,22.364,271132,0
20130502,22.364,22.372,22.336,22.372,58903,0
20130503,22.398,22.398,22.372,22.398,51090,0
20130506,22.398,22.443,22.398,22.426,105998,0
20130507,22.426,22.603,22.426,22.603,109944,0
20130508,22.585,22.666,22.55,22.62,149010,0
20130509,22.638,22.638,22.417,22.513,100573,0
20130510,22.558,22.558,22.417,22.479,39037,0
20130513,22.479,22.513,22.364,22.364,82057,0
20130514,22.372,22.417,22.302,22.364,78083,0
20130515,22.381,22.381,22.318,22.345,63767,0
20130516,22.364,22.567,22.355,22.381,114323,0
20130517,22.408,22.496,22.364,22.389,47153,0
20130520,22.426,22.585,22.408,22.55,52707,0
20130521,22.541,22.558,22.451,22.47,31922,0
20130522,22.523,22.523,22.372,22.389,37702,0
20130523,22.364,22.408,22.293,22.336,50595,0
20130524,22.345,22.576,22.327,22.408,29872,0
20130528,22.417,22.426,22.318,22.372,71291,0
20130529,22.318,22.355,22.007,22.186,74580,0
20130530,22.159,22.212,22.097,22.125,21923,0
20130531,22.097,22.159,21.982,22,27139,0
20130603,22.15,22.15,21.814,21.919,49057,0
20130604,21.929,22.079,21.919,21.972,13571,0
20130605,22.007,22.007,21.804,21.955,32819,0
20130606,21.991,22.125,21.892,21.991,178418,0
20130607,21.982,22.053,21.982,22.025,29644,0
20130610,22.125,22.125,21.972,22.017,74508,0
20130611,21.848,21.902,21.387,21.44,40873,0
20130612,21.707,21.851,21.382,21.482,159033,0
20130613,21.482,21.635,20.408,21.572,54835,0
20130614,21.428,21.843,21.409,21.843,48632,0
20130617,21.87,22.085,21.87,22.068,29667,0
20130618,21.978,22.194,21.797,21.797,36385,0
20130619,22.014,22.014,21.662,21.753,30462,0
20130620,21.572,21.572,21.076,21.482,50394,0
20130621,21.418,21.626,21.274,21.346,111054,0
20130624,20.741,20.985,20.642,20.642,33821,0
20130625,20.75,20.931,20.579,20.778,245979,0
20130626,20.913,21.229,20.768,21.012,35607,0
20130627,21.121,21.201,20.949,20.949,10329,0
20130628,21.321,21.433,21.184,21.321,79393,0
20130701,20.985,21.147,20.985,21.066,8896,0
20130702,21.03,21.355,21.03,21.165,16579,0
20130703,21.121,21.282,21.111,21.184,6333,0
20130705,20.985,21.022,20.804,20.921,33126,0
20130708,20.921,21.129,20.778,20.85,38359,0
20130709,20.975,20.975,20.597,20.759,33023,0
20130710,20.759,20.895,20.759,20.832,102708,0
20130711,21.066,21.066,20.787,20.787,26597,0
20130712,20.804,21.012,20.759,20.994,39419,0
20130715,20.985,21.039,20.895,21.03,46465,0
20130716,20.804,20.985,20.804,20.985,13699,0
20130717,20.94,21.058,20.94,20.985,36525,0
20130718,20.958,21.004,20.841,20.913,130462,0
20130719,20.886,20.994,20.85,20.975,87316,0
