Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.387,5.4015,5.3661,5.387,287132,0
20050228,5.387,5.4505,5.3661,5.4505,343083,0
20050301,5.4082,5.4505,5.4015,5.4015,319510,0
20050302,5.4015,5.4015,5.3729,5.387,250640,0
20050303,5.387,5.4015,5.3449,5.352,235587,0
20050304,5.3802,5.3942,5.352,5.3729,295507,0
20050307,5.3942,5.4223,5.3802,5.4015,228200,0
20050308,5.4015,5.4574,5.4015,5.4505,373754,0
20050309,5.4505,5.4574,5.4297,5.4435,282869,0
20050310,5.4435,5.4718,5.4297,5.4362,273783,0
20050311,5.4154,5.465,5.4082,5.4505,263274,0
20050314,5.4435,5.4505,5.3661,5.3661,313828,0
20050315,5.3167,5.3802,5.3095,5.3377,324195,0
20050316,4.9154,5.1335,4.8662,5.1055,4112723,0
20050317,4.9787,5.1055,4.9718,5.0354,1237136,0
20050318,5.0207,5.0701,4.9857,4.9929,888665,0
20050321,4.9154,4.9438,4.7889,4.8591,1522567,0
20050322,4.7745,4.9293,4.7533,4.8308,1155340,0
20050323,4.7466,4.8025,4.6688,4.6902,1311119,0
20050324,4.6759,4.8169,4.6759,4.8169,713429,0
20050328,4.8025,4.8308,4.7956,4.8169,648245,0
20050329,4.7812,4.845,4.7745,4.8169,580796,0
20050330,4.8025,4.8096,4.7395,4.7812,433820,0
20050331,4.7254,4.7675,4.7254,4.7466,913799,0
20050401,4.7466,4.7812,4.6478,4.7604,926721,0
20050404,4.7466,4.7675,4.7254,4.7254,571144,0
20050405,4.7254,4.7533,4.7041,4.7466,361401,0
20050406,4.7321,4.7675,4.7254,4.7604,390797,0
20050407,4.7604,4.8025,4.7466,4.8025,399605,0
20050408,4.7956,4.9083,4.7956,4.8803,471739,0
20050411,4.845,4.8803,4.845,4.8591,302186,0
20050412,4.8378,4.8522,4.7466,4.7466,399177,0
20050413,4.7395,4.7675,4.6971,4.7395,401161,0
20050414,4.7254,4.7533,4.7041,4.7533,337121,0
20050415,4.7466,4.7745,4.7254,4.7395,310710,0
20050418,4.6478,4.7745,4.6478,4.7745,692982,0
20050419,4.7466,4.8522,4.7466,4.8522,425869,0
20050420,4.8096,4.8591,4.7745,4.8169,370915,0
20050421,4.8096,4.8941,4.8096,4.8662,390797,0
20050422,4.845,4.8662,4.8096,4.845,294940,0
20050425,4.8169,4.8522,4.8096,4.8378,188724,0
20050426,4.8378,4.845,4.7466,4.8169,629926,0
20050427,4.7889,4.8872,4.7745,4.8591,426153,0
20050428,4.8662,4.8729,4.8378,4.8662,272791,0
20050429,4.8729,4.901,4.8522,4.8729,261574,0
20050502,4.8729,4.9154,4.8591,4.9083,353454,0
20050503,4.8941,4.9083,4.8662,4.8729,295223,0
20050504,4.8729,4.9154,4.8662,4.8872,344218,0
20050505,4.8941,4.9293,4.8872,4.9154,294092,0
20050506,4.9224,4.9293,4.8872,4.9154,297782,0
20050509,4.9083,4.9154,4.8096,4.8522,326461,0
20050510,4.8872,4.8941,4.8236,4.845,374180,0
20050511,4.8378,4.8941,4.8378,4.8729,228767,0
20050512,4.8729,4.8729,4.8096,4.8096,254047,0
20050513,4.8025,4.8025,4.6971,4.7109,365803,0
20050516,4.7041,4.7466,4.6688,4.6829,365803,0
20050517,4.6971,4.7675,4.6902,4.7466,306588,0
20050518,4.7041,4.8662,4.7041,4.8169,427858,0
20050519,4.8096,4.901,4.8025,4.8591,498432,0
20050520,4.8236,4.8591,4.8169,4.845,284578,0
20050523,4.8169,4.8308,4.7395,4.7395,250640,0
20050524,4.7956,4.845,4.7604,4.8169,369495,0
20050525,4.8308,4.8729,4.8236,4.8378,259443,0
20050526,4.8729,4.8729,4.8308,4.845,375315,0
20050527,4.845,4.8522,4.8025,4.8096,216124,0
20050531,4.845,4.8522,4.8169,4.8169,295091,0
20050601,4.8308,4.845,4.8096,4.8169,353306,0
20050602,4.8169,4.8591,4.7889,4.8308,652222,0
20050603,4.8308,4.8729,4.7675,4.7956,458671,0
20050606,4.7956,4.8308,4.7956,4.7956,277906,0
20050607,4.7956,4.8169,4.7604,4.7956,418910,0
20050608,4.7956,4.8096,4.7745,4.7956,332005,0
20050609,4.8025,4.8025,4.7745,4.7812,232033,0
20050610,4.7533,4.7956,4.7533,4.7675,342371,0
20050613,4.7533,4.7956,4.7533,4.7745,362963,0
20050614,4.7533,4.7675,4.7466,4.7675,374180,0
20050615,4.7675,4.8096,4.7466,4.7889,481818,0
20050616,4.8236,4.8236,4.7812,4.8025,326183,0
20050617,4.8025,4.845,4.7889,4.8378,313828,0
20050620,4.845,4.845,4.7956,4.8096,190998,0
20050621,4.7956,4.8522,4.7956,4.845,320357,0
20050622,4.8591,4.8803,4.845,4.845,228200,0
20050623,4.8662,4.8729,4.8169,4.8522,312122,0
20050624,4.845,4.8591,4.8236,4.845,227919,0
20050627,4.845,4.8803,4.8308,4.8729,264698,0
20050628,4.8522,4.8803,4.845,4.8591,196817,0
20050629,4.8662,4.8662,4.8378,4.8591,219822,0
20050630,4.8662,4.8803,4.845,4.845,211018,0
20050701,4.8522,4.8662,4.8378,4.8591,211868,0
20050705,4.8378,4.8522,4.8308,4.845,234874,0
20050706,4.8308,4.845,4.8096,4.8096,224507,0
20050707,4.8025,4.845,4.7956,4.8308,194402,0
20050708,4.8169,4.8308,4.8025,4.8025,193980,0
20050711,4.8096,4.8169,4.7889,4.8096,261709,0
20050712,4.7956,4.8236,4.7956,4.8169,343507,0
20050713,4.8169,4.8169,4.7889,4.8025,301193,0
20050714,4.8025,4.8096,4.7889,4.7956,212722,0
20050715,4.7956,4.8025,4.7745,4.7956,140445,0
20050718,4.7956,4.8025,4.7745,4.7745,243253,0
20050719,4.7812,4.7889,4.7466,4.7466,206192,0
20050720,4.7466,4.7604,4.6829,4.7395,457541,0
20050721,4.7395,4.7812,4.7395,4.7812,277760,0
20050722,4.7745,4.8025,4.7604,4.7604,295091,0
20050725,4.7466,4.7745,4.7466,4.7675,408969,0
20050726,4.7745,4.7812,4.7466,4.7675,239561,0
20050727,4.7533,4.7675,4.7466,4.7466,226356,0
20050728,4.7466,4.7812,4.7466,4.7745,187443,0
20050729,4.7675,4.7745,4.7533,4.7675,205194,0
20050801,4.7604,4.7745,4.7533,4.7604,390367,0
20050802,4.7533,4.7745,4.7533,4.7675,406702,0
20050803,4.7745,4.7956,4.7604,4.7675,458249,0
20050804,4.7956,4.9083,4.7812,4.9083,574263,0
20050805,4.9083,4.9154,4.8308,4.8803,369495,0
20050808,4.8522,4.8803,4.7812,4.8803,452427,0
