Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.935,20.071,19.916,20.013,27095,0
20050228,19.702,20.023,19.702,19.935,24940,0
20050301,19.935,20.13,19.819,19.896,11186,0
20050302,19.809,19.935,19.73,19.73,5234,0
20050303,19.847,19.965,19.74,19.935,11701,0
20050304,19.975,20.207,19.975,20.16,8211,0
20050307,20.207,20.207,19.594,19.809,14574,0
20050308,19.819,20.111,19.546,19.896,21553,0
20050309,19.809,19.935,19.488,19.488,10468,0
20050310,19.478,19.663,19.224,19.224,18988,0
20050311,19.448,19.945,19.448,19.624,21245,0
20050314,19.711,20.608,19.711,20.023,26068,0
20050315,20.033,20.189,19.916,19.916,12624,0
20050316,19.886,19.965,19.574,19.574,15292,0
20050317,19.584,19.945,19.389,19.73,15497,0
20050318,19.73,19.73,18.171,19.029,118848,0
20050321,18.942,18.942,18.318,18.454,16729,0
20050322,18.542,18.57,17.246,17.558,73279,0
20050323,17.393,18.57,17.08,18.269,69175,0
20050324,18.171,18.707,18.171,18.24,14163,0
20050328,18.142,18.211,17.46,17.832,33767,0
20050329,17.666,17.889,17.217,17.421,38795,0
20050330,17.47,18.395,17.47,18.025,59321,0
20050331,18.181,18.347,17.666,17.666,67532,0
20050401,17.666,17.675,16.622,16.974,71124,0
20050404,17.08,17.08,16.808,16.885,21656,0
20050405,16.798,17.567,16.798,17.529,41772,0
20050406,17.529,17.529,17.304,17.393,5440,0
20050407,17.314,18.074,17.256,17.782,25042,0
20050408,17.782,18.113,17.606,17.616,96166,0
20050411,17.576,17.576,17.217,17.304,19500,0
20050412,17.14,17.762,17.031,17.596,26274,0
20050413,17.49,18.162,17.49,17.977,64658,0
20050414,18.123,18.142,18.015,18.035,17961,0
20050415,18.035,18.24,17.889,18.123,127161,0
20050418,17.832,18.561,17.762,18.23,22374,0
20050419,18.23,18.347,17.908,18.162,29660,0
20050420,18.162,18.162,17.666,17.987,132908,0
20050421,18.055,18.347,17.889,18.074,195412,0
20050422,18.104,18.104,17.576,17.762,29866,0
