Date,Open,High,Low,Close,Volume,OpenInt
20070619,6.0866,6.2387,6.0866,6.2387,3943,0
20070620,6.2768,6.3148,6.2768,6.3148,526,0
20070625,6.4289,6.5431,6.4289,6.5431,3026,0
20070626,6.5811,6.7713,6.5811,6.6191,6440,0
20070627,6.6951,6.6951,6.4669,6.4669,4471,0
20070628,6.505,6.505,6.2768,6.2768,3943,0
20070629,6.2768,6.2768,5.8583,6.0485,99367,0
20070702,6.0106,6.1247,5.8962,6.0485,76629,0
20070703,6.0866,6.7713,6.0485,6.7257,57571,0
20070705,6.8094,7.1897,6.7713,6.8549,141034,0
20070706,6.9538,7.1745,6.9083,6.9843,93977,0
20070709,7.1137,7.1745,6.6344,6.6951,140772,0
20070710,6.6571,7.0374,6.6571,6.9006,76892,0
20070711,6.9614,6.9614,6.6725,6.9461,54285,0
20070712,6.9235,7.0756,6.817,6.9995,58882,0
20070713,7.0756,7.2277,6.9235,7.0374,25763,0
20070716,7.0072,7.1668,6.9235,7.1592,37590,0
20070717,7.1592,7.1668,7.0833,7.1061,30232,0
20070718,7.1517,7.1668,7.0527,7.1288,47713,0
20070719,7.1668,8.3232,7.1137,7.8212,88590,0
20070720,7.8594,8.293,7.844,8.293,85302,0
20070723,8.369,8.7037,8.3386,8.544,75710,0
20070724,8.544,8.7494,8.2396,8.2396,59149,0
20070725,8.3538,8.3842,7.5701,7.8744,90167,0
20070726,7.7983,7.7983,7.0374,7.2733,49290,0
20070727,7.3191,8.1407,7.1668,8.1407,23526,0
20070730,7.4941,7.6537,7.2277,7.5548,42324,0
20070731,7.5472,7.6234,7.3116,7.3116,24315,0
20070801,7.3116,7.6537,7.1592,7.2353,53365,0
20070802,7.2887,7.3722,7.2126,7.3419,21160,0
20070803,7.3419,7.3419,7.1592,7.1592,11831,0
20070806,7.205,7.3039,6.9614,7.0072,26155,0
20070807,6.9692,7.0148,6.9159,6.9385,20505,0
20070808,6.9614,6.9614,6.7713,6.8472,28390,0
20070809,6.8472,6.9235,6.8094,6.817,17218,0
20070810,6.8625,6.8854,6.7713,6.8854,24974,0
20070813,6.9614,7.1897,6.7713,7.0072,22738,0
20070814,6.9843,6.9843,6.7713,6.8472,14327,0
20070815,6.8472,6.8625,6.6647,6.7484,19717,0
20070816,6.6725,6.7257,6.2006,6.3072,61513,0
20070817,6.6191,6.7713,6.4669,6.7713,39432,0
20070820,6.8472,6.8472,6.5962,6.6039,19583,0
20070821,6.7181,6.7866,6.5811,6.6951,14854,0
20070822,6.6191,6.6571,6.1017,6.5657,16431,0
