Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.0865,7.1298,7.0223,7.1298,54707,0
20050228,7.0939,7.1512,6.9577,7.0151,48008,0
20050301,6.9577,7.0652,6.9506,7.0652,34054,0
20050302,7.0223,7.1298,7.0223,7.0939,44519,0
20050303,7.108,7.108,7.0078,7.0223,45913,0
20050304,7.0579,7.0865,7.0223,7.0296,51776,0
20050307,7.0579,7.108,7.0223,7.0508,58341,0
20050308,7.0435,7.1222,6.9647,7.0151,56798,0
20050309,6.9722,7.0723,6.9506,7.0367,38939,0
20050310,7.0652,7.1512,7.0007,7.0939,54565,0
20050311,7.1298,7.1654,7.0939,7.1298,35870,0
20050314,7.0723,7.1654,7.0652,7.108,35028,0
20050315,7.0579,7.0579,6.8434,6.9792,108855,0
20050316,6.9506,6.9647,6.8213,6.8719,78433,0
20050317,6.85,6.9147,6.8288,6.8288,40607,0
20050318,6.8288,6.9147,6.6855,6.7069,75081,0
20050321,6.7785,6.8358,6.4919,6.5707,68519,0
20050322,6.5924,6.6352,6.5349,6.5349,43962,0
20050323,6.5349,6.5924,6.4846,6.4846,44241,0
20050324,6.4559,6.7284,6.4489,6.7284,78989,0
20050328,6.7354,6.7354,6.4846,6.5491,53455,0
20050329,6.621,6.6282,6.4559,6.5205,53871,0
20050330,6.5924,6.6497,6.4846,6.6497,33214,0
20050331,6.6497,6.7069,6.5565,6.7069,45495,0
20050401,6.7354,6.7859,6.6424,6.7354,33078,0
20050404,6.6638,6.8002,6.5635,6.6568,39631,0
20050405,6.5924,6.6568,6.5778,6.6424,33214,0
20050406,6.6424,6.8358,6.6065,6.7859,86248,0
20050407,6.7926,6.8434,6.7714,6.7714,29725,0
20050408,6.8069,6.8358,6.7354,6.7926,71456,0
20050411,6.8213,6.8434,6.8002,6.8434,52473,0
20050412,6.8434,6.85,6.7643,6.8288,48008,0
20050413,6.8434,6.8434,6.7643,6.8069,42981,0
20050414,6.7785,6.8069,6.7354,6.7427,31402,0
20050415,6.8147,6.85,6.7354,6.7499,40051,0
20050418,6.7499,6.8434,6.7284,6.7499,38652,0
20050419,6.7354,6.85,6.7354,6.8002,33078,0
20050420,6.8434,6.922,6.7785,6.7926,45771,0
20050421,6.7354,6.922,6.7354,6.8069,49684,0
20050422,6.922,6.922,6.8069,6.85,27213,0
20050425,6.8213,6.8719,6.8069,6.8358,32797,0
20050426,6.9078,6.922,6.8213,6.8788,35730,0
20050427,6.8002,6.922,6.8002,6.8859,33214,0
20050428,6.8788,6.922,6.8069,6.8069,37545,0
20050429,6.8788,6.9647,6.8069,6.9078,40893,0
20050502,6.9577,7.0939,6.8859,6.9864,39631,0
20050503,6.9147,6.9647,6.9004,6.9577,31402,0
20050504,6.8646,7.0223,6.8646,7.0223,42008,0
20050505,7.0223,7.0579,6.9864,7.0151,27076,0
20050506,7.0223,7.0939,7.0007,7.0508,19676,0
20050509,6.9937,7.0794,6.9937,7.0223,30005,0
20050510,7.0723,7.0865,6.9864,7.0794,47029,0
20050511,7.0579,7.1222,7.0151,7.0794,46333,0
20050512,7.108,7.1439,7.0223,7.0435,47588,0
20050513,7.1368,7.1368,6.9864,7.0223,47029,0
