Date,Open,High,Low,Close,Volume,OpenInt
20120924,94.469,95.133,94.441,95.133,16543,0
20120925,94.209,95.659,94.209,94.671,43166,0
20120926,95.586,96.7,95.355,96.352,27068,0
20120927,97.37,97.37,96.38,97.137,14670,0
20120928,96.517,96.517,95.937,95.937,159328,0
20121001,96.517,97.441,96.517,97.441,4439,0
20121002,96.517,96.517,96.517,96.517,108,0
20121003,95.751,96.287,95.447,96.195,1192,0
20121004,97.215,97.35,96.982,96.982,1083,0
20121005,97.98,98,97.627,97.627,1841,0
20121008,97.215,97.215,97.215,97.215,108,0
20121009,97.34,97.34,97.34,97.34,108,0
20121010,97.588,97.892,97.588,97.814,1278,0
20121011,98.731,99.93,98.731,98.731,30152,0
20121012,98.206,98.206,98.206,98.206,54243,0
20121015,99.136,99.136,98.968,98.988,173448,0
20121016,100.06,101.3,99.72,101.11,63661,0
20121017,100.78,100.99,100.58,100.78,515055,0
20121018,100.92,100.92,100.26,100.26,5955,0
20121019,100,100.13,99.89,100.13,4250,0
20121022,100.68,101.15,100.68,101.15,159047,0
20121023,100,100.68,99.88,100.68,33532,0
20121024,100.14,100.86,99.75,99.75,1192,0
20121025,100.45,100.85,100.45,100.85,325,0
20121031,101.37,101.37,100.9,100.9,378,0
20121101,101.95,102.52,101.95,102.52,2058,0
20121102,101.34,101.34,101.34,101.34,108,0
20121105,103.64,103.64,102.01,102.82,91055,0
20121106,102.46,102.79,102.42,102.79,280417,0
20121107,102,102,101.64,101.64,216,0
20121108,101.08,101.08,99.84,100.11,1950,0
20121112,99.472,99.8,99.472,99.8,19162,0
20121113,100.12,100.59,99.64,100.55,41365,0
20121114,99.66,100.67,98.82,98.82,21328,0
20121115,97.441,97.441,96.623,96.623,17648,0
20121116,96.517,96.517,96.517,96.517,16457,0
20121119,97.716,98.592,97.5,98.592,670,0
20121120,99.56,99.56,99.56,99.56,10937,0
20121121,99.94,99.94,99.7,99.7,20447,0
20121123,101.09,101.09,101.09,101.09,108,0
20121126,101.54,101.83,101.42,101.8,30273,0
20121127,101.8,102.52,101.25,102.48,2787,0
20121128,101.09,102.83,101.09,102.51,3379,0
20121129,102.15,102.15,102.15,102.15,8662,0
20121130,101.95,101.95,101.7,101.7,11153,0
20121204,102.52,102.52,102.52,102.52,108,0
20121205,102.09,102.09,102.09,102.09,1083,0
20121210,102.21,102.56,102.06,102.4,16528,0
20121211,103.13,103.83,102.86,102.86,12413,0
20121212,101.38,101.47,101.38,101.47,216,0
20121218,102.52,102.52,102.22,102.22,3356,0
20121220,101.82,102.05,101.82,102.05,3574,0
20121221,103.44,103.44,103.4,103.4,325,0
20121228,102.47,102.47,102.47,102.47,186,0
20121231,102.89,102.89,102.89,102.89,108,0
20130102,105.21,106.79,105.21,106.79,433,0
20130104,108.62,108.62,108.62,108.62,108,0
20130107,107.32,107.32,107.32,107.32,108,0
20130108,108.25,108.25,108.25,108.25,97552,0
20130115,109.21,109.26,109.21,109.26,2274,0
20130116,108.54,108.54,108.54,108.54,108,0
20130118,109.97,110.49,109.97,110.46,54459,0
20130122,110.76,111.69,110.76,111.69,96251,0
20130123,111.79,112.05,110.83,110.88,3032,0
20130124,111.17,112.43,111.17,112.41,1355,0
20130125,112.76,112.85,111.58,112.44,71575,0
20130128,111.92,111.98,111.46,111.46,325,0
20130129,112.47,112.47,111.64,111.64,108918,0
20130130,112.53,112.53,111.29,111.7,371,0
20130131,111.4,111.64,111.28,111.28,757,0
20130201,112.52,112.53,111.82,111.82,12234,0
20130204,111.66,111.95,111.22,111.22,18621,0
20130205,112.84,113.11,111.92,111.92,1517,0
20130206,110.91,111.44,110.76,111.31,173707,0
20130207,110.6,110.6,110.6,110.6,216,0
20130211,111.63,111.7,110.58,110.58,433,0
20130212,111.34,111.34,111.34,111.34,108,0
20130213,112.89,115.44,112.89,114.86,15211,0
20130215,116.14,117.3,114.81,117.3,109893,0
20130219,115.77,117.57,115.77,116.8,72214,0
20130220,117.34,117.35,115.46,116.14,45363,0
20130221,115.1,115.79,115.1,115.37,561,0
20130222,114.08,114.08,113.65,113.65,21869,0
20130225,114.57,114.66,114.06,114.06,47096,0
20130226,113.65,114.46,113.14,114.46,81464,0
20130227,115.58,115.68,115.44,115.68,145394,0
20130228,116.74,117.36,116.74,117.36,98524,0
20130301,115.39,115.44,115,115.44,325,0
20130304,115.32,116.08,115.29,116.08,1326,0
20130305,117.59,118.83,117.59,118.82,975,0
20130306,117.26,117.56,117.04,117.56,27716,0
20130308,118.71,118.72,118.71,118.72,290,0
20130312,119.35,119.35,119.35,119.35,108,0
20130313,119.36,119.36,119.36,119.36,21549,0
20130314,119.87,120.73,119.73,120.73,1072,0
20130315,121.88,121.88,121.02,121.02,536,0
