Date,Open,High,Low,Close,Volume,OpenInt
20050225,108.95,109.82,108.22,109.25,417201,0
20050228,109.01,109.21,107.24,107.68,410845,0
20050301,108.04,110.38,106.8,107.67,653770,0
20050302,105.12,105.88,103.3,103.69,1140137,0
20050303,103.83,105.03,101.82,103.75,857838,0
20050304,104.21,106.97,103.34,106.61,714293,0
20050307,106.55,108.14,105.88,107.81,559914,0
20050308,109.2,109.27,105.51,105.85,524807,0
20050309,101.51,101.51,90.65,91.725,3486042,0
20050310,92.637,94.557,88.615,89.085,2160791,0
20050311,89.326,91.677,89.326,91.552,1094200,0
20050314,91.485,92.494,88.606,90.323,1181805,0
20050315,91.312,93.828,90.382,91.005,854502,0
20050316,90.957,92.062,88.49,88.912,820129,0
20050317,89.268,89.604,87.904,88.807,731584,0
20050318,88.961,89.392,88.826,89.029,698875,0
20050321,88.318,88.883,88.318,88.615,859921,0
20050322,88.174,89.239,86.811,87.242,952423,0
20050323,87.07,87.07,84.362,84.622,1191078,0
20050324,85.535,86.252,83.777,84.247,1153576,0
20050328,84.488,85.207,83.94,83.95,691584,0
20050329,83.95,84.727,80.657,81.07,1453481,0
20050330,81.694,84.43,81.29,83.709,619707,0
20050331,83.806,85.581,83.787,84.919,945445,0
20050401,84.909,85.871,84.362,84.919,953675,0
20050404,84.919,84.966,82.337,83.517,1628485,0
20050405,83.517,84.469,82.693,84.305,1003881,0
20050406,84.909,86.359,84.766,85.629,768249,0
20050407,85.629,86.617,85.37,86.436,567205,0
20050408,86.436,86.637,85.216,85.793,472098,0
20050411,85.916,86.187,84.209,84.737,613246,0
20050412,84.622,86.139,84.19,85.842,580120,0
20050413,85.965,86.013,84.507,84.776,588662,0
20050414,84.785,85.207,82.318,82.461,481888,0
20050415,82.221,82.768,80.475,80.821,1006071,0
20050418,80.685,82.51,80.178,82.376,887526,0
20050419,82.376,83.21,81.8,82.605,681894,0
20050420,82.615,83.258,80.216,80.292,542828,0
20050421,82.797,84.957,81.454,84.478,736791,0
20050422,81.741,81.741,75.762,76.712,3450520,0
20050425,76.702,78.65,75.914,78.026,976591,0
20050426,78.026,78.948,76.769,76.941,602100,0
20050427,76.932,77.067,75.943,76.414,591266,0
20050428,76.078,76.183,74.628,75.118,739919,0
20050429,75.3,76.127,74.187,75.435,612518,0
20050502,75.242,75.781,74.782,75.176,688248,0
20050503,75.358,75.416,74.158,74.772,802211,0
20050504,72.497,73.994,72.035,73.15,1627027,0
20050505,73.582,74.09,72.833,73.525,703665,0
20050506,74.014,74.253,73.247,73.629,605956,0
20050509,73.629,73.994,73.111,73.774,681166,0
20050510,73.535,73.535,70.682,71.24,683769,0
20050511,71.277,71.874,70.259,70.702,1004509,0
20050512,70.895,71.038,68.34,68.926,1359830,0
20050513,69.119,69.455,65.796,67.437,1384000,0
20050516,69.367,70.827,68.773,70.702,1202327,0
20050517,70.77,72.843,70.327,72.362,1265559,0
20050518,72.814,77.182,72.814,76.817,1299726,0
20050519,76.817,77.267,75.501,75.895,629913,0
20050520,75.952,77.297,75.827,76.798,716167,0
20050523,76.798,77.949,76.193,76.443,524495,0
20050524,76.654,76.798,75.684,76.462,733980,0
20050525,76.434,76.5,76.001,76.164,559392,0
20050526,76.509,80.618,76.471,80.368,1304307,0
20050527,80.628,82.816,79.774,81.741,1639840,0
20050531,81.741,82.164,79.486,79.544,833045,0
20050601,79.87,80.042,77.911,78.679,722417,0
20050602,78.142,80.216,77.566,80.061,706793,0
20050603,80.302,81.089,79.629,80.11,813045,0
20050606,79.677,79.851,77.297,77.758,1077949,0
20050607,77.998,94.078,77.93,87.492,4072829,0
20050608,88.078,88.836,84.276,84.573,2047874,0
20050609,84.698,86.906,84.573,85.687,1160556,0
20050610,86.252,87.222,85.044,85.793,1174618,0
20050613,84.899,85.322,83.133,83.891,1370352,0
20050614,83.758,84.814,82.98,83.277,1154827,0
20050615,83.422,83.844,81.175,81.339,1267120,0
20050616,81.79,82.999,81.694,82.557,1094618,0
20050617,82.702,83.585,82.24,82.797,1078158,0
20050620,82.702,83.796,82.03,82.778,1148575,0
20050621,82.5,83.383,81.924,82.097,1080138,0
20050622,82.107,82.221,79.582,79.842,1384315,0
20050623,80.052,80.868,79.312,79.36,551789,0
20050624,79.486,79.861,77.969,78.142,543972,0
20050627,77.374,78.123,76.558,77.613,577934,0
20050628,77.623,80.061,77.566,79.908,697002,0
20050629,79.908,80.494,78.449,80.081,728876,0
20050630,80.657,80.657,78.103,78.103,680331,0
20050701,78.334,79.61,78.285,78.91,402616,0
20050705,78.43,80.618,76.769,79.975,684081,0
20050706,79.774,80.158,77.144,77.153,751480,0
20050707,77.153,77.153,75.377,76.722,713875,0
20050708,76.558,79.005,76.424,78.612,852214,0
20050711,77.901,79.053,77.806,78.717,664394,0
20050712,78.527,78.92,77.642,78.659,523453,0
