Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.447,22.791,22.447,22.782,174725,0
20050228,22.619,23.014,22.619,22.961,144027,0
20050301,23.005,23.091,22.877,23.055,137958,0
20050302,23.227,23.287,23.047,23.167,147181,0
20050303,23.236,23.236,22.815,22.961,195264,0
20050304,23.176,23.202,22.884,23.023,113565,0
20050307,23.005,23.005,22.696,22.893,140643,0
20050308,22.893,22.901,22.628,22.807,200170,0
20050309,22.764,22.859,22.533,22.542,126988,0
20050310,22.662,22.714,22.233,22.302,228414,0
20050311,22.302,22.842,22.302,22.8,179742,0
20050314,22.8,23.725,22.8,23.57,369175,0
20050315,23.947,23.947,23.296,23.502,340111,0
20050316,23.304,23.519,22.952,22.952,205886,0
20050317,22.833,22.91,22.491,22.722,249191,0
20050318,22.533,23.262,22.405,23.082,712319,0
20050321,23.047,23.416,22.815,23.382,246386,0
20050322,23.433,23.612,23.227,23.373,171107,0
20050323,23.218,23.467,23.167,23.33,115434,0
20050324,23.433,23.51,23.064,23.132,145079,0
20050328,23.304,23.416,23.014,23.244,122436,0
20050329,23.348,23.964,23.185,23.287,255611,0
20050330,23.218,23.68,23.132,23.664,140524,0
20050331,23.664,23.707,23.33,23.612,285370,0
20050401,23.689,23.757,23.348,23.425,171339,0
20050404,23.389,23.775,23.373,23.68,223744,0
20050405,23.588,23.888,23.553,23.784,132007,0
20050406,23.664,23.725,23.209,23.425,149981,0
20050407,23.356,23.743,23.304,23.398,99675,0
20050408,23.287,23.389,23.159,23.356,140643,0
20050411,23.407,23.476,23.132,23.176,54041,0
20050412,23.116,23.253,22.859,23.15,161536,0
20050413,23.15,23.185,23.005,23.159,146013,0
20050414,23.159,23.244,22.901,23.03,101312,0
20050415,22.919,23.064,22.318,22.371,190830,0
20050418,22.919,22.919,22.276,22.705,171922,0
20050419,22.636,22.782,22.353,22.782,219893,0
20050420,22.807,22.868,22.491,22.747,172740,0
20050421,22.919,23.202,22.722,23.176,231334,0
20050422,23.132,23.167,22.447,22.705,233431,0
20050425,22.833,23.433,22.833,23.398,292727,0
20050426,23.818,25.181,23.57,24.761,821682,0
20050427,24.761,25.257,24.204,24.445,366372,0
20050428,24.229,24.89,24.178,24.368,287007,0
20050429,24.418,24.546,24.238,24.418,252925,0
20050502,24.427,24.761,24.418,24.676,302061,0
20050503,24.667,24.975,24.555,24.623,199119,0
20050504,24.623,24.94,24.59,24.795,295642,0
20050505,24.718,25.181,24.59,25.138,197018,0
20050506,25.224,25.488,25.079,25.266,204604,0
20050509,25.103,25.147,24.761,25.017,170640,0
20050510,24.931,24.975,24.795,24.795,193634,0
20050511,24.718,25.002,24.718,24.847,136210,0
20050512,24.804,24.94,24.409,24.461,198651,0
20050513,24.418,24.658,24.368,24.623,253974,0
20050516,24.65,24.7,24.383,24.641,185113,0
20050517,24.461,24.761,24.418,24.718,133757,0
20050518,24.804,24.94,24.59,24.931,146595,0
20050519,24.863,25.129,24.804,25.07,82052,0
20050520,25.061,25.402,24.94,25.402,223161,0
20050523,25.318,25.479,25.103,25.224,171457,0
20050524,25.147,25.189,24.924,25.103,157331,0
20050525,24.975,25.343,24.786,25.172,148931,0
20050526,25.163,25.524,25.156,25.396,120335,0
20050527,25.361,25.533,25.224,25.378,120220,0
20050531,25.318,25.334,24.967,25.095,400337,0
20050601,25.103,25.687,25.035,25.197,125003,0
20050602,25.103,25.549,24.94,25.447,127105,0
20050603,25.361,25.387,25.103,25.215,112629,0
20050606,25.103,25.301,24.907,25.189,108078,0
20050607,25.172,25.515,25.163,25.318,157331,0
20050608,25.31,25.447,24.847,24.907,136326,0
20050609,24.916,25.301,24.847,25.266,110298,0
20050610,25.438,25.438,25.079,25.233,96057,0
20050613,25.147,25.361,24.795,24.89,297860,0
20050614,24.847,25.411,24.847,25.189,153483,0
20050615,25.283,25.283,25.079,25.172,172390,0
20050616,25.061,25.524,25.017,25.515,192115,0
20050617,25.789,26.167,25.737,26.028,524874,0
20050620,26.028,26.963,25.995,26.543,485891,0
20050621,26.526,26.552,26.158,26.226,212891,0
20050622,26.303,26.371,26.054,26.106,167955,0
20050623,26.003,26.037,25.704,25.781,259578,0
20050624,25.729,25.789,24.924,24.924,482388,0
20050627,24.847,24.975,24.641,24.907,628518,0
20050628,24.924,25.352,24.924,25.215,221061,0
20050629,25.266,25.326,25.07,25.156,161769,0
20050630,25.181,25.601,25.181,25.473,361237,0
20050701,25.488,25.704,25.488,25.642,295409,0
20050705,25.601,26.028,25.601,25.858,158618,0
20050706,25.84,25.901,25.429,25.438,110413,0
20050707,25.224,25.396,25.017,25.37,145195,0
20050708,25.343,25.651,25.233,25.557,74698,0
20050711,25.574,25.746,25.402,25.488,115201,0
20050712,25.456,25.687,25.387,25.42,165971,0
20050713,25.42,25.627,24.89,24.967,249889,0
20050714,25.017,25.257,24.967,25.189,226780,0
20050715,25.163,25.704,25.009,25.12,370107,0
20050718,24.975,25.241,24.409,24.504,358204,0
20050719,24.563,24.907,24.546,24.854,352367,0
20050720,24.752,25.172,24.727,24.975,154767,0
20050721,24.975,24.975,24.341,24.4,373026,0
20050722,24.445,24.83,24.383,24.409,262261,0
20050725,24.392,24.949,24.368,24.623,286774,0
20050726,24.676,24.967,24.418,24.563,229816,0
20050727,24.563,24.59,23.989,24.315,326459,0
20050728,24.102,24.102,23.287,23.648,713488,0
20050729,23.639,23.775,23.287,23.304,353182,0
20050801,23.458,23.597,23.227,23.262,334510,0
20050802,23.271,23.827,23.141,23.743,347232,0
20050803,23.597,23.775,23.467,23.57,171457,0
20050804,23.467,23.698,23.467,23.544,142978,0
20050805,23.433,23.544,23.244,23.262,191297,0
20050808,23.348,23.364,23.176,23.202,237401,0
20050809,23.218,23.339,23.073,23.312,260863,0
20050810,23.382,23.57,23.244,23.304,229816,0
20050811,23.304,23.535,23.287,23.407,120568,0
20050812,23.364,23.603,23.194,23.519,201333,0
20050815,23.407,23.562,23.023,23.416,192582,0
20050816,23.416,23.425,23.176,23.304,145777,0
