Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.1454,7.1873,7.1314,7.1664,17188,0
20050228,7.1664,7.2089,7.1525,7.1873,17755,0
20050301,7.1946,7.2018,7.1873,7.1946,21735,0
20050302,7.1806,7.216,7.1597,7.216,26140,0
20050303,7.1664,7.2229,7.1664,7.2089,23722,0
20050304,7.2229,7.2652,7.1873,7.2652,35797,0
20050307,7.2721,7.2861,7.244,7.2861,27985,0
20050308,7.2793,7.2793,7.2229,7.2299,22162,0
20050309,7.2089,7.2229,7.1736,7.1806,23860,0
20050310,7.1873,7.2089,7.1454,7.1873,16475,0
20050311,7.1664,7.2018,7.1314,7.1806,29545,0
20050314,7.1454,7.1664,7.1102,7.1102,16759,0
20050315,7.0961,7.1525,7.0893,7.1314,28269,0
20050316,7.1243,7.1243,6.9904,6.9904,42757,0
20050317,7.0608,7.0821,6.9624,7.0608,20885,0
20050318,7.0258,7.0469,6.8639,6.8779,49575,0
20050321,6.871,6.9201,6.7866,6.7866,55968,0
20050322,6.7725,6.885,6.7725,6.8499,21593,0
20050323,6.8429,6.8429,6.6245,6.6317,54836,0
20050324,6.6526,6.7441,6.6102,6.6384,31392,0
20050328,6.6667,6.709,6.6037,6.6037,23437,0
20050329,6.5893,6.6946,6.5542,6.6667,49858,0
20050330,6.6384,6.6946,6.6317,6.6946,25568,0
20050331,6.6946,6.7794,6.6457,6.709,46733,0
20050401,6.7232,6.8354,6.7232,6.7441,30961,0
20050404,6.7232,6.7654,6.7232,6.7581,36789,0
20050405,6.7299,6.8004,6.7299,6.7509,38778,0
20050406,6.7299,6.8145,6.7299,6.7866,23298,0
20050407,6.7509,6.8076,6.7441,6.7509,21446,0
20050408,6.8076,6.8145,6.6881,6.7019,38639,0
20050411,6.5051,6.6245,6.4835,6.5962,290488,0
20050412,6.5962,6.6245,6.5473,6.6175,26562,0
20050413,6.6037,6.6667,6.5962,6.5962,27840,0
20050414,6.5893,6.6667,6.5824,6.6102,45034,0
20050415,6.5473,6.6102,6.5398,6.575,42330,0
20050418,6.5681,6.6037,6.5398,6.575,43323,0
20050419,6.575,6.6526,6.575,6.6457,67189,0
20050420,6.6245,6.6457,6.5893,6.6037,17333,0
20050421,6.6102,6.6735,6.5893,6.6457,38065,0
20050422,6.6102,6.6384,6.5681,6.5962,20312,0
20050425,6.5962,6.6384,6.5962,6.6037,43754,0
20050426,6.6037,6.6102,6.5893,6.5962,21735,0
20050427,6.575,6.5893,6.5331,6.5473,35235,0
20050428,6.5331,6.6037,6.5331,6.575,30397,0
20050429,6.5681,6.6102,6.5542,6.575,44180,0
20050502,6.575,6.5893,6.5611,6.5611,14205,0
20050503,6.5611,6.5893,6.5611,6.5681,7247,0
20050504,6.5611,6.575,6.5542,6.575,13637,0
20050505,6.6037,6.6175,6.5681,6.6037,23298,0
