Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.846,16.938,16.846,16.908,50122,0
20050228,16.93,16.954,16.831,16.938,105872,0
20050301,16.938,17.26,16.93,17.207,193478,0
20050302,17.207,17.207,17.061,17.129,50805,0
20050303,16.984,17.114,16.984,17.004,87195,0
20050304,16.923,16.923,16.677,16.874,213530,0
20050307,16.757,16.874,16.736,16.8,164367,0
20050308,16.792,16.923,16.763,16.858,142260,0
20050309,16.757,16.757,16.509,16.611,287404,0
20050310,16.582,16.639,16.479,16.582,202271,0
20050311,16.547,16.604,16.386,16.437,157366,0
20050314,16.293,16.305,16.166,16.224,251972,0
20050315,16.224,16.299,16.028,16.117,223553,0
20050316,16.117,16.117,15.979,16.002,196637,0
20050317,15.91,16.009,15.772,15.956,173434,0
20050318,15.871,15.964,15.679,15.71,203775,0
20050321,15.572,15.703,15.343,15.503,177278,0
20050322,15.519,15.657,15.441,15.481,168078,0
20050323,15.314,15.343,15.075,15.226,184831,0
20050324,15.242,15.503,15.17,15.38,181672,0
20050328,15.627,15.627,15.314,15.388,206937,0
20050329,15.38,15.488,15.357,15.441,87061,0
20050330,15.466,15.765,15.466,15.765,100795,0
20050331,15.833,15.94,15.765,15.933,87061,0
20050401,15.987,16.041,15.81,15.925,97770,0
20050404,15.91,15.91,15.743,15.825,76347,0
20050405,15.757,15.81,15.703,15.81,57125,0
20050406,15.795,15.903,15.732,15.903,94469,0
20050407,15.871,16.009,15.871,15.91,50122,0
20050408,15.933,16.078,15.877,16.056,94336,0
20050411,16.049,16.049,15.903,16.009,66872,0
20050412,15.994,16.049,15.889,15.956,72088,0
20050413,15.948,16.009,15.91,15.925,93100,0
20050414,15.877,15.882,15.765,15.765,86645,0
20050415,15.737,15.841,15.627,15.687,80192,0
20050418,15.627,15.903,15.627,15.841,91450,0
20050419,15.81,16.015,15.795,15.994,51906,0
20050420,15.94,15.994,15.895,15.971,43526,0
20050421,15.948,15.948,15.841,15.849,50944,0
20050422,15.933,15.94,15.849,15.863,48058,0
20050425,15.863,15.964,15.833,15.877,37350,0
20050426,15.871,15.871,15.687,15.757,54789,0
20050427,15.737,15.863,15.737,15.802,52184,0
20050428,15.91,15.987,15.857,15.971,53556,0
20050429,15.94,16.009,15.895,15.895,54241,0
20050502,15.994,15.994,15.895,15.91,54241,0
20050503,15.895,16.009,15.802,16.002,45452,0
20050504,16.086,16.124,16.049,16.11,51083,0
20050505,16.124,16.202,16.028,16.078,70860,0
20050506,16.009,16.078,15.933,16.033,42568,0
20050509,16.033,16.072,15.987,15.994,42016,0
20050510,15.994,16.117,15.994,16.078,38995,0
20050511,16.124,16.194,16.021,16.056,80192,0
20050512,16.078,16.086,15.889,15.91,54926,0
20050513,16.002,16.002,15.882,15.889,58356,0
20050516,15.91,16.015,15.895,15.91,106007,0
20050517,15.987,16.015,15.933,15.948,90353,0
20050518,16.009,16.078,15.933,16.064,97909,0
20050519,15.979,16.166,15.933,16.064,89529,0
20050520,16.14,16.14,16.033,16.102,32408,0
20050523,16.132,16.299,16.049,16.224,76347,0
20050524,16.194,16.248,16.132,16.21,58085,0
20050525,16.21,16.248,16.132,16.18,75659,0
20050526,16.224,16.319,16.16,16.232,49162,0
20050527,16.371,16.371,16.278,16.355,74701,0
20050531,16.393,16.465,16.34,16.451,55201,0
20050601,16.471,16.547,16.471,16.516,38037,0
20050602,16.539,16.604,16.493,16.582,60416,0
20050603,16.647,16.647,16.547,16.582,43939,0
20050606,16.554,16.639,16.554,16.589,31995,0
20050607,16.632,16.655,16.554,16.554,54926,0
20050608,16.554,16.604,16.547,16.57,38037,0
20050609,16.509,16.509,16.437,16.471,49021,0
20050610,16.437,16.471,16.348,16.431,45043,0
20050613,16.431,16.431,16.255,16.286,35563,0
20050614,16.278,16.319,16.262,16.312,44491,0
20050615,16.312,16.312,16.27,16.299,48614,0
20050616,16.299,16.325,16.194,16.299,71269,0
20050617,16.24,16.437,16.24,16.437,43256,0
20050620,16.437,16.437,16.34,16.424,29932,0
20050621,16.437,16.465,16.348,16.458,48749,0
20050622,16.437,16.451,16.333,16.417,58356,0
20050623,16.401,16.424,16.293,16.371,55201,0
20050624,16.371,16.386,16.319,16.363,50391,0
20050627,16.363,16.471,16.363,16.437,65225,0
20050628,16.471,16.531,16.408,16.424,54654,0
20050629,16.444,16.562,16.444,16.493,40780,0
20050630,16.524,16.647,16.501,16.554,43802,0
20050701,16.509,16.662,16.509,16.639,31585,0
20050705,16.604,16.693,16.509,16.685,38586,0
20050706,16.693,16.693,16.589,16.685,48882,0
20050707,16.471,16.655,16.471,16.604,34743,0
20050708,16.617,16.647,16.582,16.611,30627,0
20050711,16.589,16.714,16.582,16.596,31305,0
20050712,16.617,16.677,16.589,16.596,46964,0
20050713,16.685,16.685,16.589,16.639,38720,0
20050714,16.685,16.72,16.639,16.707,41470,0
20050715,16.749,16.792,16.611,16.617,61244,0
20050718,16.625,16.72,16.589,16.617,32267,0
20050719,16.72,16.72,16.589,16.611,35701,0
20050720,16.677,16.685,16.444,16.486,45320,0
20050721,16.531,16.539,16.408,16.531,60143,0
20050722,16.493,16.655,16.451,16.575,32543,0
20050725,16.582,16.639,16.524,16.639,32683,0
20050726,16.655,16.701,16.575,16.701,58770,0
20050727,16.749,16.831,16.596,16.823,39685,0
20050728,16.823,16.831,16.685,16.831,35978,0
20050729,16.831,16.831,16.701,16.701,44491,0
20050801,16.77,16.831,16.685,16.8,55474,0
20050802,16.8,16.816,16.728,16.736,39273,0
20050803,16.728,16.866,16.72,16.792,21974,0
20050804,16.792,16.858,16.757,16.777,46685,0
20050805,16.831,16.831,16.714,16.749,60008,0
20050808,16.792,16.823,16.539,16.562,41331,0
20050809,16.393,16.479,16.293,16.471,72501,0
20050810,16.479,16.547,16.355,16.363,34468,0
20050811,16.371,16.437,16.34,16.401,28701,0
20050812,16.378,16.437,16.355,16.437,39546,0
20050815,16.417,16.431,16.371,16.401,48198,0
20050816,16.393,16.437,16.371,16.437,40920,0
20050817,16.437,16.437,16.371,16.408,37623,0
20050818,16.408,16.509,16.348,16.451,57402,0
20050819,16.493,16.501,16.393,16.424,31444,0
20050822,16.424,16.582,16.393,16.582,35839,0
20050823,16.625,16.662,16.437,16.531,28012,0
20050824,16.617,16.617,16.554,16.596,31444,0
20050825,16.596,16.617,16.539,16.562,33091,0
20050826,16.639,16.639,16.471,16.471,30344,0
20050829,16.547,16.582,16.417,16.501,59596,0
20050830,16.554,16.575,16.408,16.547,57669,0
20050831,16.582,16.707,16.509,16.632,44215,0
20050901,16.662,16.669,16.547,16.589,47789,0
20050902,16.693,16.693,16.589,16.677,34329,0
20050906,16.604,16.685,16.604,16.655,33644,0
20050907,16.589,16.669,16.589,16.662,63165,0
20050908,16.625,16.72,16.554,16.632,44767,0
20050909,16.632,16.669,16.582,16.582,47789,0
20050912,16.655,16.736,16.611,16.701,55338,0
20050913,16.707,16.736,16.617,16.677,61381,0
20050914,16.677,16.677,16.509,16.617,58495,0
20050915,16.596,16.685,16.547,16.562,54789,0
20050916,16.596,16.669,16.554,16.575,36388,0
20050919,16.617,16.662,16.348,16.465,43389,0
20050920,16.57,16.57,16.319,16.431,34191,0
20050921,16.424,16.424,16.194,16.248,58635,0
20050922,16.224,16.333,16.194,16.325,42983,0
20050923,16.393,16.393,16.124,16.21,60008,0
20050926,16.217,16.262,16.086,16.124,54241,0
20050927,16.153,16.166,15.81,15.971,100376,0
20050928,15.964,16.16,15.964,16.117,59873,0
20050929,16.056,16.078,15.94,15.987,39820,0
20050930,16.049,16.056,15.987,16.015,35156,0
20051003,16.132,16.132,15.895,15.979,65225,0
20051004,16.028,16.028,15.882,15.889,62199,0
20051005,15.895,16.041,15.877,16.028,55201,0
20051006,15.94,16.041,15.933,16.009,42431,0
20051007,16.015,16.049,15.956,16.041,30900,0
20051010,16.041,16.041,15.877,15.918,56027,0
20051011,15.903,15.918,15.134,15.373,237145,0
20051012,15.308,15.426,15.301,15.301,83078,0
20051013,15.288,15.308,14.921,14.929,148575,0
20051014,14.921,15.126,14.921,15.024,80470,0
20051017,15.024,15.328,15.024,15.183,81289,0
20051018,15.183,15.488,15.183,15.352,55886,0
20051019,15.352,15.526,15.352,15.448,62199,0
20051020,15.458,15.458,15.301,15.308,61105,0
20051021,15.395,15.419,15.183,15.419,60694,0
20051024,15.365,15.466,15.256,15.288,74015,0
20051025,15.343,15.352,15.242,15.288,66322,0
20051026,15.32,15.403,15.242,15.256,50260,0
20051027,15.242,15.373,15.183,15.301,42296,0
20051028,15.32,15.357,15.288,15.314,45725,0
20051031,15.441,15.452,15.301,15.395,42983,0
20051101,15.452,15.458,15.365,15.403,31717,0
20051102,15.458,15.458,15.219,15.395,66322,0
20051103,15.452,15.458,15.336,15.336,48333,0
20051104,15.17,15.308,15.17,15.28,94610,0
20051107,15.242,15.336,15.242,15.301,55886,0
20051108,15.301,15.403,15.288,15.365,59458,0
20051109,15.343,15.343,15.226,15.28,48333,0
20051110,15.25,15.295,15.242,15.25,56850,0
20051111,15.272,15.28,15.075,15.134,60416,0
20051114,15.17,15.17,15.031,15.067,75111,0
20051115,14.996,15.031,14.819,14.921,122900,0
20051116,14.898,14.921,14.819,14.842,118225,0
20051117,14.79,14.892,14.79,14.798,122349,0
