Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.979,30.341,29.941,30.341,219980,0
20050228,30.149,30.149,29.711,29.926,403794,0
20050301,29.995,30.464,29.887,30.464,321189,0
20050302,30.464,30.609,30.087,30.387,286585,0
20050303,30.341,30.448,29.872,30.034,344606,0
20050304,30.102,30.526,30.057,30.48,280341,0
20050307,30.394,30.764,30.234,30.686,283203,0
20050308,30.649,30.649,30.187,30.279,279561,0
20050309,30.234,30.234,29.764,29.795,603742,0
20050310,29.849,30.194,29.726,29.934,285416,0
20050311,29.826,29.949,29.511,29.603,218679,0
20050314,29.657,30.211,29.657,30.149,363340,0
20050315,30.318,30.587,29.857,29.956,241575,0
20050316,29.841,30.041,29.526,29.619,241836,0
20050317,29.726,30.133,29.702,29.757,301545,0
20050318,29.764,29.779,29.603,29.619,337578,0
20050321,29.549,29.579,29.226,29.518,246777,0
20050322,29.518,29.764,29.096,29.134,319759,0
20050323,28.212,29.057,27.42,28.565,620261,0
20050324,28.565,29.012,28.543,28.742,266681,0
20050328,28.665,28.864,28.543,28.549,213736,0
20050329,28.434,28.926,28.434,28.527,226224,0
20050330,28.434,29.034,28.389,29.034,262000,0
20050331,29.657,29.949,29.127,29.142,617528,0
20050401,29.319,29.503,28.919,29.096,330034,0
20050404,29.226,29.257,28.626,28.979,308050,0
20050405,29.019,29.134,28.788,28.957,201508,0
20050406,29.041,29.18,28.904,29.08,299074,0
20050407,29.012,29.279,28.965,29.279,338882,0
20050408,29.15,29.411,29.019,29.041,219849,0
20050411,29.511,29.511,29.142,29.249,319107,0
20050412,29.295,29.826,29.249,29.726,388704,0
20050413,29.772,29.934,29.726,29.757,321059,0
20050414,29.764,29.941,29.61,29.672,379598,0
20050415,29.226,29.403,29.004,29.119,423180,0
20050418,29.08,29.349,29.004,29.265,312473,0
20050419,29.265,29.449,29.127,29.449,393389,0
20050420,29.319,29.394,29.096,29.119,241575,0
20050421,29.226,29.311,29.08,29.265,287754,0
20050422,29.226,29.365,29.08,29.212,253802,0
20050425,29.212,29.61,29.212,29.61,248469,0
20050426,29.61,29.672,29.327,29.487,271756,0
20050427,29.442,29.802,29.311,29.802,405486,0
20050428,29.695,29.849,29.503,29.764,266551,0
20050429,29.802,30.149,29.61,30.149,275788,0
20050502,30.126,30.149,29.841,30.079,310782,0
20050503,30.164,30.279,30.002,30.194,179783,0
20050504,30.156,30.419,29.894,30.387,215556,0
20050505,30.387,30.71,30.226,30.679,232988,0
20050506,30.671,30.679,30.095,30.164,327564,0
20050509,30.026,30.671,30.017,30.671,403665,0
20050510,30.433,30.609,30.364,30.502,383111,0
20050511,30.649,30.671,30.287,30.671,273316,0
20050512,30.794,30.902,30.433,30.486,359174,0
20050513,30.548,30.764,30.341,30.618,344865,0
20050516,30.725,31.141,30.725,31.141,361254,0
20050517,31.071,31.548,30.933,31.548,367110,0
20050518,31.748,32.04,31.686,32.04,318327,0
20050519,32.109,32.263,31.993,32.178,252632,0
20050520,32.27,32.27,31.509,31.848,619093,0
20050523,31.748,31.94,31.671,31.871,333807,0
20050524,31.871,31.886,31.478,31.663,257705,0
20050525,31.533,31.578,31.171,31.194,226224,0
20050526,31.278,31.57,31.233,31.256,271495,0
20050527,31.387,31.494,31.209,31.494,144268,0
20050531,31.425,31.824,31.425,31.693,204108,0
20050601,31.748,32.163,31.701,32.063,266031,0
20050602,32.093,32.178,31.893,32.033,201117,0
20050603,32.033,32.04,31.748,31.955,2477018,0
20050606,31.963,32.024,31.893,32.008,712236,0
20050607,31.993,32.033,31.863,31.909,566798,0
20050608,31.878,32.033,31.801,31.856,382851,0
20050609,31.679,32.008,31.609,32.008,464029,0
20050610,32.008,32.033,31.856,32.008,362167,0
20050613,31.893,32.033,31.832,31.963,503443,0
20050614,32.024,32.04,31.909,32.033,462727,0
20050615,32.001,32.063,31.932,32.055,446723,0
20050616,32.055,32.063,31.971,32.04,270065,0
20050617,32.033,32.155,31.993,32.148,615318,0
20050620,32.04,32.163,32.024,32.04,356313,0
20050621,32.04,32.07,31.525,31.533,348376,0
20050622,31.609,31.786,31.556,31.57,269412,0
20050623,31.548,31.701,31.241,31.294,265383,0
20050624,31.278,31.387,31.064,31.294,378427,0
20050627,31.171,31.27,31.086,31.126,179002,0
20050628,31.064,31.463,31.033,31.455,303104,0
20050629,31.448,31.84,31.448,31.763,443341,0
20050630,31.748,31.801,31.471,31.801,343564,0
20050701,31.801,31.94,31.548,31.94,296601,0
20050705,31.84,32.04,31.832,32.033,278651,0
20050706,32.033,32.078,31.848,31.978,262000,0
20050707,31.717,32.14,31.601,32.093,332247,0
20050708,32.04,32.44,31.932,32.27,276438,0
20050711,32.332,32.44,32.155,32.385,243787,0
20050712,32.278,32.501,32.132,32.447,327171,0
20050713,32.34,32.362,32.086,32.286,297385,0
20050714,32.432,32.432,31.509,31.618,367370,0
20050715,31.625,31.993,31.478,31.986,256143,0
20050718,32.008,32.27,31.832,31.901,389614,0
20050719,31.609,31.679,31.387,31.64,285674,0
20050720,31.625,31.878,31.409,31.824,235852,0
20050721,31.824,31.824,31.133,31.332,343564,0
20050722,31.248,31.625,31.217,31.57,227784,0
20050725,31.57,31.717,31.441,31.57,265123,0
20050726,31.648,31.816,31.387,31.786,209835,0
20050727,31.809,31.878,31.448,31.763,232988,0
20050728,31.724,32.04,31.663,32.04,276567,0
20050729,31.963,32.063,31.909,32.04,384539,0
20050801,31.971,32.063,31.816,32.001,274616,0
20050802,32.001,32.14,31.717,32.132,355405,0
20050803,32.04,32.209,31.794,32.201,360214,0
20050804,31.824,31.832,31.248,31.256,711325,0
20050805,31.224,31.233,29.657,30.18,773117,0
20050808,29.995,30.026,29.234,29.565,771557,0
20050809,29.496,30.18,29.496,29.811,617528,0
20050810,29.956,30.371,29.619,29.749,573952,0
20050811,29.619,30.079,29.595,30.017,339662,0
20050812,29.949,30.641,29.949,30.502,368801,0
20050815,30.595,31.141,30.464,30.956,347987,0
20050816,30.809,31.155,30.671,30.91,274748,0
20050817,30.917,30.964,30.534,30.841,585399,0
20050818,30.848,30.848,30.264,30.618,288017,0
20050819,30.764,30.764,30.309,30.394,170414,0
20050822,30.448,30.833,30.448,30.809,220891,0
20050823,30.902,30.917,30.571,30.679,359565,0
