Date,Open,High,Low,Close,Volume,OpenInt
20050225,4.1103,4.1244,4.1028,4.1244,366510,0
20050228,4.1244,4.146,4.0958,4.1172,470094,0
20050301,4.1103,4.1103,4.0457,4.0528,1449740,0
20050302,4.0528,4.0528,4.0024,4.0169,727869,0
20050303,4.0384,4.0384,4.0099,4.0241,588599,0
20050304,4.0312,4.0312,3.9956,4.0024,590129,0
20050307,4.0024,4.0169,3.9454,3.9525,1837585,0
20050308,3.9525,4.0099,3.9525,4.0099,1340585,0
20050309,4.0024,4.0024,3.9811,3.9882,604211,0
20050310,3.9882,4.0024,3.9811,4.0024,495052,0
20050311,3.9811,3.9956,3.9667,3.9736,450993,0
20050314,3.9597,3.9882,3.9597,3.9811,576327,0
20050315,3.9162,3.9597,3.9162,3.9162,437339,0
20050316,3.9095,3.9095,3.8019,3.8159,863376,0
20050317,3.7946,3.8303,3.7874,3.8303,513033,0
20050318,3.8159,3.8377,3.8019,3.8377,230311,0
20050321,3.8377,3.8519,3.8303,3.8377,371947,0
20050322,3.8159,3.8233,3.7587,3.7731,500486,0
20050323,3.7442,3.7442,3.6438,3.6511,741946,0
20050324,3.6367,3.7154,3.6367,3.7014,420051,0
20050328,3.694,3.7374,3.694,3.7086,304472,0
20050329,3.7299,3.7374,3.6797,3.7154,340167,0
20050330,3.7154,3.7154,3.6797,3.7014,230724,0
20050331,3.7154,3.7374,3.7154,3.7299,312836,0
20050401,3.7517,3.7874,3.7442,3.7659,344069,0
20050404,3.7659,3.7946,3.7659,3.7874,208143,0
20050405,3.7659,3.7874,3.7587,3.7801,158366,0
20050406,3.7659,3.7874,3.7517,3.7659,206745,0
20050407,3.7517,3.7731,3.7517,3.7587,277988,0
20050408,3.7587,3.7659,3.7517,3.7659,228772,0
20050411,3.7587,3.7587,3.7086,3.7154,320367,0
20050412,3.694,3.7299,3.694,3.7154,261675,0
20050413,3.7086,3.7659,3.7014,3.7086,165482,0
20050414,3.7014,3.7229,3.6871,3.694,263905,0
20050415,3.7014,3.7154,3.6727,3.6871,370837,0
20050418,3.7086,3.7086,3.6727,3.6797,347412,0
20050419,3.658,3.6797,3.6438,3.6655,177473,0
20050420,3.6511,3.6797,3.6225,3.6367,232538,0
20050421,3.6225,3.658,3.6225,3.6438,185280,0
20050422,3.6367,3.6438,3.6153,3.6225,190575,0
20050425,3.6727,3.6871,3.6225,3.6438,199358,0
20050426,3.658,3.6871,3.6297,3.6871,317718,0
20050427,3.6871,3.6871,3.6655,3.6871,186810,0
20050428,3.6655,3.6871,3.6655,3.6655,189181,0
20050429,3.7014,3.7086,3.658,3.6871,363727,0
20050502,3.6871,3.6871,3.658,3.6797,429944,0
20050503,3.6797,3.6871,3.6655,3.6797,244527,0
20050504,3.6797,3.7014,3.6727,3.7014,318830,0
20050505,3.7014,3.7014,3.658,3.6655,409452,0
20050506,3.658,3.7299,3.658,3.6871,315626,0
20050509,3.6727,3.6727,3.6511,3.658,258751,0
20050510,3.6727,3.6871,3.6655,3.6727,397185,0
20050511,3.6797,3.694,3.6655,3.6871,220133,0
20050512,3.6797,3.6871,3.6655,3.6727,331661,0
20050513,3.6797,3.6797,3.658,3.6655,435385,0
20050516,3.658,3.6727,3.658,3.6727,615083,0
20050517,3.6438,3.6438,3.6153,3.6153,317578,0
20050518,3.6153,3.6225,3.5795,3.5936,468701,0
20050519,3.6009,3.6153,3.5795,3.5866,305173,0
20050520,3.5866,3.608,3.572,3.608,248988,0
20050523,3.5936,3.6438,3.5936,3.6297,246057,0
20050524,3.6297,3.6511,3.6153,3.6438,277011,0
20050525,3.6438,3.6511,3.6225,3.6367,304616,0
20050526,3.6297,3.6511,3.6297,3.6511,226127,0
20050527,3.658,3.658,3.6367,3.6511,227658,0
20050531,3.658,3.6655,3.6367,3.658,299314,0
20050601,3.6655,3.6727,3.658,3.6655,295553,0
20050602,3.6727,3.6871,3.6655,3.6871,404155,0
20050603,3.6871,3.7154,3.6871,3.7014,479155,0
20050606,3.7086,3.7299,3.7014,3.7299,541055,0
20050607,3.7299,3.7374,3.7229,3.7299,305589,0
20050608,3.7374,3.7374,3.7154,3.7229,262093,0
20050609,3.7299,3.7299,3.7154,3.7229,269482,0
20050610,3.7299,3.7299,3.7014,3.7154,242297,0
20050613,3.7154,3.7154,3.7014,3.7154,199219,0
20050614,3.694,3.694,3.6511,3.658,577580,0
20050615,3.658,3.694,3.6511,3.6871,262231,0
20050616,3.694,3.7086,3.6797,3.7014,228772,0
20050617,3.7086,3.7154,3.694,3.7014,208562,0
20050620,3.7086,3.7154,3.6727,3.7086,287744,0
20050621,3.6655,3.6871,3.6655,3.6797,223477,0
20050622,3.6871,3.694,3.6727,3.694,234631,0
20050623,3.694,3.7086,3.6871,3.6871,180398,0
20050624,3.6871,3.7154,3.6871,3.7014,185834,0
20050627,3.7154,3.7229,3.694,3.7154,205217,0
20050628,3.7154,3.7229,3.694,3.7154,132299,0
20050629,3.7229,3.7299,3.6871,3.7086,239788,0
20050630,3.7442,3.7442,3.6727,3.694,325527,0
20050701,3.7229,3.7299,3.7014,3.7299,183183,0
20050705,3.7086,3.7374,3.7086,3.7299,213578,0
20050706,3.7374,3.7374,3.7154,3.7374,236997,0
20050707,3.7299,3.7442,3.7229,3.7374,221381,0
20050708,3.7374,3.7517,3.7299,3.7517,208698,0
20050711,3.7517,3.7731,3.7442,3.7587,400253,0
20050712,3.7659,3.7731,3.7587,3.7731,192392,0
20050713,3.7731,3.7874,3.7659,3.7874,245784,0
20050714,3.7874,3.7946,3.7801,3.7874,176221,0
20050715,3.8019,3.8089,3.7874,3.8019,270179,0
20050718,3.8019,3.8159,3.7874,3.8159,276176,0
20050719,3.7731,3.7946,3.7659,3.7946,205773,0
20050720,3.7801,3.8019,3.7801,3.7946,170082,0
20050721,3.7946,3.8019,3.7659,3.7659,140665,0
20050722,3.7874,3.7946,3.7659,3.7874,209672,0
20050725,3.7874,3.7946,3.7731,3.7801,165200,0
20050726,3.7946,3.7946,3.7659,3.7731,283422,0
20050727,3.7731,3.7874,3.7587,3.7659,177050,0
20050728,3.7801,3.7946,3.7659,3.7946,235886,0
20050729,3.8019,3.8019,3.7731,3.7874,160882,0
20050801,3.7874,3.7946,3.7659,3.7731,244252,0
20050802,3.7801,3.7801,3.7517,3.7659,246057,0
20050803,3.7587,3.7801,3.7587,3.7731,182354,0
20050804,3.7731,3.7874,3.7659,3.7659,146520,0
20050805,3.7659,3.7874,3.7587,3.7801,148886,0
20050808,3.7587,3.7874,3.7587,3.7659,118502,0
20050809,3.7587,3.7801,3.7442,3.7587,194204,0
20050810,3.7801,3.7874,3.7587,3.7731,240347,0
20050811,3.7801,3.7801,3.7517,3.7801,276036,0
