Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.862,9.875,9.819,9.875,207069,0
20050228,9.883,9.905,9.785,9.827,237012,0
20050301,9.805,9.875,9.805,9.862,236868,0
20050302,9.862,9.867,9.805,9.849,150431,0
20050303,9.855,9.867,9.813,9.842,149714,0
20050304,9.855,9.905,9.827,9.883,225569,0
20050307,9.875,9.928,9.867,9.912,148730,0
20050308,9.905,9.928,9.883,9.898,128252,0
20050309,9.849,9.875,9.785,9.799,156356,0
20050310,9.799,9.835,9.721,9.835,307352,0
20050311,9.713,9.756,9.664,9.664,139831,0
20050314,9.614,9.706,9.614,9.649,237578,0
20050315,9.649,9.7,9.53,9.586,194774,0
20050316,9.538,9.586,9.3527,9.4086,333338,0
20050317,9.4017,9.4588,9.4017,9.4441,169781,0
20050318,9.4234,9.4519,9.3594,9.3948,193366,0
20050321,9.3948,9.4017,9.2891,9.3106,224154,0
20050322,9.3322,9.3663,9.1047,9.1047,228396,0
20050323,8.9133,9.0705,8.9058,9.0189,335883,0
20050324,8.9208,9.1677,8.9208,9.055,202122,0
20050328,9.0057,9.1677,8.9918,9.1114,210173,0
20050329,9.1321,9.2531,9.0482,9.2531,177257,0
20050330,9.1816,9.3322,9.1816,9.3106,114553,0
20050331,9.3322,9.4382,9.3322,9.4234,136020,0
20050401,9.4382,9.601,9.4382,9.4726,237012,0
20050404,9.4657,9.4726,9.4234,9.4726,154950,0
20050405,9.3948,9.4086,9.3527,9.3732,153955,0
20050406,9.381,9.4017,9.3594,9.381,137290,0
20050407,9.3732,9.3948,9.3175,9.3663,170485,0
20050408,9.3175,9.3889,9.3029,9.3175,147036,0
20050411,9.2745,9.3175,9.1677,9.2038,179669,0
20050412,9.1677,9.2599,9.1399,9.1971,188281,0
20050413,9.0905,9.1816,9.0627,9.1047,201983,0
20050414,9.0838,9.0972,8.9701,8.9984,175850,0
20050415,8.9486,9.0057,8.9058,8.9349,235881,0
20050418,8.9843,9.0132,8.9133,8.9208,232632,0
20050419,8.8993,9.1187,8.8993,9.0905,228108,0
20050420,9.0705,9.1047,9.0132,9.0265,286590,0
20050421,9.0265,9.1265,9.0265,9.0761,245342,0
20050422,9.0482,9.1187,9.0482,9.0482,142097,0
20050425,9.0761,9.1047,8.9627,9.055,213002,0
20050426,9.0265,9.0838,9.0132,9.0761,152122,0
20050427,9.034,9.1114,9.0132,9.1047,147461,0
20050428,9.1047,9.1047,9.0265,9.0761,184462,0
20050429,9.1187,9.1321,9.0761,9.1114,173314,0
20050502,9.0838,9.1816,9.0838,9.1758,247748,0
20050503,9.1758,9.2251,9.1677,9.2038,208201,0
20050504,9.2327,9.2745,9.2251,9.2677,259753,0
20050505,9.2677,9.2813,9.1399,9.1399,244072,0
20050506,9.1265,9.1816,9.0905,9.1758,149298,0
20050509,9.161,9.2183,9.161,9.2038,96047,0
20050510,9.2116,9.2677,9.1758,9.2327,181072,0
20050511,9.1758,9.1971,9.1466,9.1758,137009,0
20050512,9.1399,9.1971,9.1265,9.1466,360745,0
20050513,9.1399,9.1677,9.1047,9.161,171331,0
20050516,9.1399,9.161,9.1047,9.1187,120909,0
20050517,9.0972,9.1187,9.0189,9.0838,215538,0
20050518,9.1265,9.1321,9.0265,9.1047,356222,0
20050519,9.1047,9.1265,9.0705,9.1187,224720,0
20050520,9.1114,9.1543,9.0705,9.1114,235034,0
20050523,9.0838,9.2251,9.0838,9.2116,194213,0
20050524,9.1971,9.2531,9.1816,9.2386,206504,0
20050525,9.2116,9.2183,9.1893,9.1893,194774,0
20050526,9.2183,9.2386,9.1893,9.2251,183619,0
20050527,9.2251,9.2386,9.2038,9.2251,383204,0
20050531,9.2327,9.2745,9.2038,9.2745,279525,0
20050601,9.2745,9.3948,9.2745,9.3663,188703,0
20050602,9.3459,9.4017,9.3459,9.3889,399726,0
20050603,9.3889,9.4726,9.381,9.4303,276420,0
20050606,9.4441,9.4519,9.4017,9.4441,236587,0
20050607,9.4726,9.4943,9.4086,9.4382,274298,0
20050608,9.381,9.4657,9.381,9.4234,185879,0
20050609,9.4155,9.4441,9.3732,9.4086,230937,0
20050610,9.338,9.3527,9.2531,9.3106,158480,0
20050613,9.2745,9.3459,9.2677,9.3175,132628,0
20050614,9.3029,9.3527,9.3029,9.338,114694,0
20050615,9.3459,9.3527,9.2463,9.3175,235459,0
20050616,9.338,9.3663,9.3029,9.3594,158048,0
20050617,9.3243,9.3732,9.3175,9.3527,134890,0
20050620,9.338,9.3527,9.297,9.3322,111868,0
20050621,9.3459,9.3663,9.297,9.3663,186168,0
20050622,9.3594,9.3889,9.3322,9.3732,180935,0
20050623,9.3527,9.3889,9.338,9.3889,191109,0
20050624,9.3594,9.3889,9.3175,9.3663,233619,0
20050627,9.381,9.381,9.3175,9.3459,200570,0
20050628,9.3243,9.3663,9.3175,9.3663,136301,0
20050629,9.338,9.3732,9.3322,9.3663,144780,0
20050630,9.3948,9.4017,9.3459,9.3732,105791,0
20050701,9.3527,9.4441,9.3527,9.4441,181645,0
20050705,9.4086,9.4519,9.4086,9.4441,188987,0
20050706,9.4303,9.4726,9.4303,9.4726,161443,0
20050707,9.4726,9.4726,9.4303,9.4382,268508,0
20050708,9.4303,9.501,9.4234,9.501,263001,0
20050711,9.501,9.53,9.4805,9.53,148730,0
20050712,9.508,9.538,9.4864,9.522,134322,0
20050713,9.53,9.601,9.508,9.601,213140,0
20050714,9.579,9.643,9.579,9.614,203822,0
20050715,9.579,9.664,9.579,9.636,193366,0
20050718,9.628,9.678,9.608,9.664,142235,0
20050719,9.664,9.671,9.628,9.649,286448,0
20050720,9.643,9.678,9.628,9.643,239694,0
20050721,9.643,9.693,9.586,9.594,231925,0
20050722,9.614,9.664,9.579,9.664,162995,0
20050725,9.664,9.671,9.594,9.608,105934,0
20050726,9.622,9.671,9.608,9.664,135454,0
20050727,9.671,9.693,9.643,9.685,122749,0
20050728,9.693,9.771,9.693,9.713,119919,0
20050729,9.756,9.771,9.671,9.678,152122,0
20050801,9.664,9.713,9.649,9.657,121755,0
20050802,9.664,9.706,9.622,9.678,157351,0
20050803,9.657,9.721,9.649,9.678,95767,0
20050804,9.678,9.735,9.649,9.735,128106,0
20050805,9.721,9.741,9.643,9.657,88134,0
20050808,9.643,9.7,9.508,9.53,136020,0
20050809,9.53,9.551,9.3106,9.501,301838,0
20050810,9.501,9.579,9.4726,9.579,163139,0
20050811,9.4726,9.601,9.4726,9.508,150002,0
20050812,9.522,9.538,9.4588,9.4805,181784,0
20050815,9.4805,9.579,9.4805,9.579,146617,0
20050816,9.608,9.671,9.557,9.594,132341,0
20050817,9.586,9.622,9.551,9.622,99297,0
20050818,9.622,9.657,9.586,9.608,134745,0
20050819,9.601,9.671,9.594,9.664,133331,0
20050822,9.664,9.721,9.628,9.706,132341,0
20050823,9.735,9.735,9.614,9.643,146617,0
20050824,9.614,9.713,9.614,9.657,131355,0
20050825,9.678,9.706,9.636,9.693,135169,0
20050826,9.671,9.706,9.636,9.657,140396,0
20050829,9.657,9.721,9.608,9.628,149859,0
20050830,9.636,9.706,9.614,9.678,116105,0
20050831,9.706,9.721,9.643,9.693,112290,0
20050901,9.7,9.756,9.671,9.7,162995,0
20050902,9.678,9.777,9.678,9.756,155795,0
20050906,9.777,9.785,9.727,9.735,260737,0
20050907,9.735,9.777,9.713,9.756,149298,0
20050908,9.771,9.777,9.693,9.706,174017,0
20050909,9.735,9.785,9.693,9.777,134041,0
20050912,9.741,9.749,9.643,9.693,160031,0
20050913,9.713,9.727,9.643,9.7,184186,0
20050914,9.657,9.693,9.614,9.685,147739,0
20050915,9.628,9.678,9.622,9.643,143788,0
20050916,9.678,9.7,9.622,9.636,136868,0
20050919,9.636,9.693,9.622,9.636,159042,0
20050920,9.614,9.685,9.614,9.664,154382,0
20050921,9.678,9.685,9.608,9.636,181221,0
20050922,9.614,9.664,9.4943,9.544,179099,0
20050923,9.544,9.608,9.4303,9.508,112007,0
20050926,9.522,9.522,9.381,9.381,124442,0
20050927,9.3889,9.3889,9.3106,9.3175,179382,0
20050928,9.338,9.4726,9.3106,9.3175,126838,0
20050929,9.3175,9.4086,9.2677,9.3175,134041,0
20050930,9.2745,9.3948,9.2745,9.3322,63982,0
20051003,9.3106,9.3732,9.2677,9.3663,175850,0
20051004,9.3459,9.4017,9.3243,9.3948,108339,0
20051005,9.3948,9.4155,9.3459,9.381,86018,0
