Date,Open,High,Low,Close,Volume,OpenInt
19860709,3.9302,4.1519,3.9117,4.1057,2670678,0
19860710,4.1241,4.1794,4.0042,4.1057,1631021,0
19860711,4.1519,4.3732,4.1519,4.2532,1507893,0
19860714,4.2255,4.2532,4.0318,4.0501,1036189,0
19860715,4.0501,4.078,3.8842,3.9117,2146079,0
19860716,3.9117,4.0501,3.9117,3.958,2101858,0
19860717,3.9857,4.1241,3.958,4.0501,858431,0
19860718,4.0042,4.0501,3.8566,3.9857,1182729,0
19860721,3.9857,3.9857,3.8104,3.8566,2950750,0
19860722,3.8566,3.958,3.838,3.8842,2341175,0
19860723,3.9117,3.9302,3.8566,3.8566,1992603,0
19860724,3.9117,3.9117,3.8104,3.8566,964217,0
19860725,3.8566,3.9857,3.8104,3.958,2335109,0
19860728,4.0042,4.078,3.9302,3.958,590496,0
19860729,3.958,3.958,3.8566,3.8842,638188,0
19860730,3.8842,3.9857,3.8566,3.958,1105556,0
19860731,3.958,3.958,3.9302,3.9302,564485,0
19860801,3.958,4.0042,3.9302,3.9857,2205044,0
19860804,3.9857,3.9857,3.8842,3.9857,1095150,0
19860805,3.9857,4.1241,3.958,4.0501,640788,0
19860806,4.0318,4.0318,3.958,3.958,817677,0
19860807,4.1794,4.2255,4.1057,4.1241,8113483,0
19860808,4.1519,4.1794,4.1057,4.1519,3880287,0
19860811,4.1519,4.1794,4.1241,4.1794,1885950,0
19860812,4.1794,4.4194,4.1519,4.4194,2075846,0
19860813,4.4471,4.7238,4.401,4.5945,4012084,0
19860814,4.5945,4.6223,4.5022,4.5945,1154114,0
19860815,4.5945,4.5945,4.4471,4.4471,995436,0
19860818,4.5022,4.5022,4.2993,4.4194,1704723,0
19860819,4.4471,4.5022,4.401,4.4378,1228685,0
19860820,4.4194,4.6502,4.4194,4.6223,846291,0
19860821,4.6502,4.7422,4.6223,4.7422,1584198,0
19860822,4.7238,4.77,4.6686,4.7422,1604138,0
19860825,4.7422,4.77,4.6961,4.77,983295,0
19860826,4.7422,4.9452,4.7422,4.9176,1326667,0
19860827,4.9636,5.0375,4.9452,5.0098,3713804,0
19860828,5.0098,5.0098,4.8898,4.8898,4247071,0
19860829,4.8898,4.9176,4.853,4.9176,3297594,0
19860902,4.8898,4.9452,4.8437,4.8437,2476445,0
19860903,4.8437,4.8714,4.77,4.8714,3084284,0
19860904,4.8898,4.9452,4.8437,4.8714,1621484,0
19860905,4.8898,4.9176,4.8161,4.8161,1912830,0
19860908,4.8161,4.8437,4.6961,4.7422,3154520,0
19860909,4.7238,4.77,4.5207,4.5486,2527606,0
19860910,4.5207,4.5761,4.4747,4.5207,2433959,0
19860911,4.4747,4.5207,4.1519,4.1519,2215448,0
19860912,4.1794,4.1794,4.0226,4.1794,2439161,0
19860915,4.1794,4.2993,4.1519,4.1979,2775596,0
19860916,4.2255,4.2255,4.0042,4.078,1892886,0
19860917,4.1057,4.2993,4.078,4.2993,4421359,0
19860918,4.2993,4.3455,4.2717,4.3271,2163422,0
19860919,4.2993,4.3271,4.1241,4.2255,1549513,0
19860922,4.2255,4.2532,4.1794,4.2532,613041,0
19860923,4.2532,4.2532,4.0501,4.1057,1363084,0
19860924,4.1241,4.1979,4.078,4.1794,1174925,0
19860925,4.1794,4.1979,4.1057,4.1241,2289152,0
19860926,4.1241,4.1519,3.958,4.0501,1002371,0
19860929,4.0318,4.0501,3.9117,3.958,1299790,0
19860930,3.958,3.9857,3.9117,3.9302,1470608,0
19861001,3.9117,4.0318,3.9117,3.9857,1490551,0
19861002,4.0042,4.0318,3.9117,4.0042,625183,0
19861003,4.0318,4.1519,4.0042,4.1057,1599806,0
19861006,4.1057,4.1519,4.078,4.1241,946877,0
19861007,4.1519,4.1519,4.078,4.1424,1001504,0
19861008,4.1241,4.2532,4.1241,4.2532,1061335,0
19861009,4.2255,4.4194,4.2255,4.2993,1502689,0
19861010,4.3271,4.3732,4.2993,4.3732,578359,0
19861013,4.3455,4.401,4.3271,4.3732,423146,0
19861014,4.3732,4.4471,4.3455,4.3455,593098,0
19861015,4.3732,4.5207,4.3455,4.5022,2035091,0
19861016,4.5022,4.5761,4.5022,4.5207,2032488,0
19861017,4.5207,4.5486,4.4194,4.4747,1171457,0
19861020,4.4747,4.5022,4.2993,4.401,1095150,0
19861021,4.401,4.4194,4.2993,4.3271,1311928,0
19861022,4.2993,4.2993,4.1979,4.1979,452625,0
19861023,4.1979,4.3732,4.1979,4.3271,1242559,0
19861024,4.3455,4.3455,4.2255,4.3455,932136,0
19861027,4.3271,4.4471,4.3271,4.4471,651195,0
19861028,4.4471,4.5486,4.4471,4.4747,769119,0
19861029,4.4747,4.5486,4.4471,4.5022,1054397,0
19861030,4.5022,4.5761,4.5022,4.5486,1855601,0
19861031,4.5486,4.5486,4.4194,4.4471,1024049,0
19861103,4.4194,4.5022,4.4194,4.4747,442221,0
19861104,4.4747,4.5207,4.4471,4.5207,618244,0
19861105,4.5207,4.5486,4.4747,4.5022,1266839,0
19861106,4.5022,4.5207,4.4471,4.4747,519395,0
19861107,4.4471,4.4747,4.401,4.4471,691079,0
19861110,4.401,4.401,4.1241,4.2255,1807911,0
19861111,4.2255,4.2532,4.1794,4.2532,734438,0
19861112,4.2532,4.2717,4.1794,4.2717,1026651,0
19861113,4.2717,4.3455,4.2255,4.2993,735302,0
19861114,4.3455,4.5761,4.2993,4.4194,2121800,0
19861117,4.4194,4.4471,4.3271,4.401,1141974,0
19861118,4.4194,4.4471,4.3455,4.3455,1035319,0
19861119,4.3271,4.3455,4.1979,4.2993,876640,0
19861120,4.2717,4.3455,4.2717,4.3455,552343,0
19861121,4.3455,4.4471,4.3271,4.4194,2087985,0
19861124,4.4471,4.5207,4.401,4.5022,1516564,0
19861125,4.5022,4.5486,4.4471,4.5207,1149777,0
19861126,4.5207,4.5486,4.5022,4.5022,1443726,0
19861128,4.5022,4.5945,4.5022,4.5855,642525,0
19861201,4.5945,4.5945,4.4747,4.5486,855835,0
19861202,4.5761,4.6686,4.5207,4.6223,1781030,0
19861203,4.5945,4.7422,4.5945,4.7238,1934507,0
19861204,4.6961,4.7238,4.6502,4.7238,1676109,0
19861205,4.6686,4.7238,4.5486,4.6223,1164520,0
19861208,4.5761,4.5945,4.3732,4.5022,1816579,0
