Date,Open,High,Low,Close,Volume,OpenInt
19871105,3.5744,3.593,3.528,3.5466,65919,0
19871106,3.5744,3.6115,3.5466,3.5466,252903,0
19871109,3.528,3.5744,3.4536,3.4536,128392,0
19871110,3.4907,3.5744,3.4536,3.5466,73674,0
19871111,3.4907,3.593,3.4907,3.5466,78413,0
19871112,3.6115,3.7694,3.5744,3.7508,121927,0
19871113,3.7137,3.8159,3.6953,3.7508,36191,0
19871116,3.7137,3.7694,3.6953,3.7323,63765,0
19871117,3.7508,3.7694,3.6486,3.6672,35759,0
19871118,3.6486,3.6486,3.528,3.5744,46100,0
19871119,3.4907,3.528,3.3703,3.3703,504082,0
19871120,3.4072,3.435,3.2866,3.3703,132698,0
19871123,3.4072,3.435,3.3703,3.3887,37914,0
19871124,3.3703,3.5094,3.3145,3.4722,236530,0
19871125,3.4722,3.4722,3.3887,3.3887,114604,0
19871127,3.3703,3.435,3.3703,3.435,37051,0
19871130,3.3887,3.3887,3.3145,3.3515,89187,0
19871201,3.3329,3.435,3.3329,3.4072,115464,0
19871202,3.3887,3.435,3.3703,3.3887,93494,0
19871203,3.3703,3.4072,3.3329,3.3329,34900,0
19871204,3.2866,3.3145,3.268,3.268,87459,0
19871207,3.2492,3.2866,3.2307,3.2307,55147,0
19871208,3.2307,3.3703,3.2307,3.3703,100384,0
19871209,3.3329,3.3515,3.1658,3.2492,132698,0
19871210,3.2124,3.2307,3.1658,3.2307,76259,0
19871211,3.1937,3.2492,3.1474,3.1937,57733,0
19871214,3.2124,3.268,3.1658,3.2492,110725,0
19871215,3.2124,3.3145,3.2124,3.2866,80999,0
19871216,3.3145,3.3515,3.2492,3.2492,157257,0
19871217,3.2492,3.4536,3.2492,3.3515,352424,0
19871218,3.3887,3.4907,3.3515,3.4907,236959,0
19871221,3.4907,3.5744,3.3515,3.435,130542,0
19871222,3.4722,3.4722,3.3887,3.4722,136148,0
19871223,3.4536,3.6953,3.3703,3.621,161132,0
19871224,3.658,3.658,3.5372,3.5744,161995,0
19871228,3.5372,3.7229,3.4536,3.6767,91769,0
19871229,3.6395,3.658,3.5372,3.5372,56008,0
19871230,3.5002,3.6395,3.4536,3.5744,88322,0
19871231,3.5744,3.5744,3.4166,3.4536,64194,0
19880104,3.4166,3.621,3.4166,3.5557,80999,0
19880105,3.6024,3.6767,3.6024,3.6767,189138,0
19880106,3.7416,3.7416,3.621,3.658,256351,0
