Date,Open,High,Low,Close,Volume,OpenInt
20120326,21.38,21.45,21.277,21.363,230087,0
20120327,21.363,21.45,21.319,21.423,175820,0
20120328,21.442,21.45,21.363,21.363,233309,0
20120329,21.407,21.442,21.277,21.329,331589,0
20120330,21.354,21.676,21.249,21.676,309587,0
20120402,21.51,21.589,21.415,21.572,195882,0
20120403,21.572,21.572,21.476,21.572,135508,0
20120404,21.554,21.572,21.493,21.537,162256,0
20120405,21.476,21.623,21.476,21.598,140873,0
20120409,21.545,21.545,21.476,21.493,31716,0
20120410,21.598,21.615,21.467,21.537,138464,0
20120411,21.623,21.623,21.528,21.554,113837,0
20120412,21.572,21.623,21.545,21.598,203479,0
20120413,21.633,21.649,21.572,21.615,52224,0
20120416,21.649,21.649,21.563,21.623,121413,0
20120417,21.667,21.667,21.598,21.606,149763,0
20120418,21.649,21.711,21.623,21.684,211387,0
20120419,21.711,21.753,21.676,21.719,291991,0
20120420,21.762,21.814,21.692,21.814,679272,0
20120423,21.841,21.841,21.667,21.753,213418,0
20120424,21.719,21.814,21.606,21.746,225978,0
20120425,21.78,21.78,21.676,21.711,70336,0
20120426,21.753,21.753,21.676,21.711,40831,0
20120427,21.746,21.746,21.692,21.702,25297,0
20120430,21.737,21.762,21.702,21.737,72840,0
20120501,21.78,21.78,21.728,21.753,88711,0
20120502,21.753,21.841,21.746,21.814,433221,0
20120503,21.841,21.875,21.823,21.858,166485,0
20120504,21.919,21.919,21.823,21.841,71525,0
20120507,21.78,21.883,21.78,21.883,162283,0
20120508,21.902,21.902,21.762,21.841,72070,0
20120509,21.85,21.85,21.719,21.806,145751,0
20120510,21.832,21.832,21.746,21.753,54607,0
20120511,21.771,21.78,21.711,21.753,30286,0
20120514,21.753,21.753,21.545,21.615,53882,0
20120515,21.684,21.692,21.545,21.658,61530,0
20120516,21.711,21.711,21.615,21.667,51218,0
20120517,21.667,21.667,21.493,21.502,59362,0
20120518,21.667,21.667,21.407,21.407,34755,0
20120521,21.606,21.606,21.372,21.598,37091,0
20120522,21.606,21.711,21.476,21.641,91369,0
20120523,21.649,21.728,21.606,21.719,36839,0
20120524,21.746,21.746,21.502,21.606,93554,0
20120525,21.658,21.667,21.537,21.554,45654,0
20120529,21.623,21.692,21.579,21.684,56835,0
20120530,21.702,21.753,21.598,21.711,31445,0
20120531,21.746,21.753,21.684,21.684,62753,0
20120601,21.684,21.753,21.579,21.753,39839,0
20120604,21.753,21.753,21.649,21.711,31509,0
20120605,21.684,21.753,21.641,21.753,41218,0
20120606,21.797,21.883,21.753,21.789,45657,0
20120607,21.858,21.858,21.711,21.753,76532,0
20120608,21.841,21.858,21.753,21.858,30815,0
20120611,21.858,21.858,21.719,21.753,40451,0
20120612,21.771,21.858,21.737,21.858,78004,0
20120613,21.814,21.841,21.78,21.797,79207,0
20120614,21.85,21.866,21.719,21.797,132002,0
20120615,21.797,21.927,21.78,21.78,31602,0
20120618,21.737,21.841,21.737,21.832,53758,0
20120619,21.883,21.936,21.797,21.919,86725,0
20120620,21.919,21.996,21.858,21.911,49871,0
20120621,22.006,22.041,21.866,21.911,47475,0
20120622,21.963,22.014,21.866,21.919,82181,0
20120625,21.927,22.101,21.883,22.057,32877,0
20120626,22.057,22.118,21.953,22.075,74160,0
20120627,22.057,22.136,21.996,22.136,139879,0
20120628,22.127,23.481,22.057,22.118,159426,0
20120629,22.014,22.014,21.711,21.841,125275,0
20120702,21.927,22.144,21.875,22.023,84976,0
20120703,22.014,22.144,22.014,22.136,15943,0
20120705,22.188,22.396,22.153,22.232,68775,0
20120706,22.353,22.535,22.319,22.493,68695,0
20120709,22.57,22.57,22.127,22.232,89494,0
20120710,22.353,22.353,22.101,22.267,73453,0
20120711,22.423,22.423,22.075,22.179,421569,0
20120712,22.179,22.396,22.144,22.31,70763,0
20120713,22.396,22.493,22.326,22.404,78396,0
20120716,22.353,22.439,22.101,22.439,164437,0
20120717,22.404,22.527,22.319,22.465,99649,0
20120718,22.535,22.683,22.274,22.283,123777,0
20120719,22.484,22.553,22.319,22.319,91668,0
20120720,22.509,22.622,22.344,22.57,137783,0
20120723,22.535,22.535,22.449,22.449,85981,0
20120724,22.465,22.622,22.319,22.465,176740,0
20120725,22.57,22.657,22.465,22.649,94471,0
20120726,22.753,22.761,22.249,22.432,119480,0
20120727,22.535,22.622,22.396,22.535,75085,0
20120730,22.622,22.622,22.396,22.449,68881,0
20120731,22.535,22.622,22.449,22.449,67605,0
20120801,22.57,22.588,22.423,22.423,58434,0
20120802,22.474,22.535,22.404,22.5,56932,0
20120803,22.518,22.665,22.474,22.579,34299,0
20120806,22.527,22.613,22.371,22.396,73676,0
20120807,22.474,22.474,22.274,22.404,67761,0
20120808,22.335,22.404,22.283,22.371,63451,0
20120809,22.344,22.439,22.319,22.38,47554,0
20120810,22.353,22.561,22.335,22.362,88333,0
20120813,22.396,22.423,22.283,22.283,65728,0
20120814,22.371,22.371,22.162,22.292,60555,0
20120815,22.38,22.423,22.188,22.38,103786,0
20120816,22.396,22.404,22.162,22.241,58981,0
20120817,22.274,22.335,22.188,22.188,37581,0
20120820,22.267,22.267,22.144,22.144,81899,0
20120821,22.223,22.302,22.153,22.162,63221,0
20120822,22.274,22.474,22.257,22.404,50614,0
20120823,22.474,22.613,22.396,22.527,47012,0
20120824,22.588,22.7,22.57,22.63,52835,0
20120827,22.7,22.7,22.596,22.657,24240,0
20120828,22.734,22.779,22.432,22.493,72206,0
20120829,22.649,22.691,22.544,22.64,75468,0
20120830,22.674,22.719,22.509,22.63,45419,0
20120831,22.691,22.726,22.457,22.457,27925,0
20120904,22.649,22.753,22.63,22.719,47967,0
20120905,22.719,22.719,22.649,22.71,57790,0
20120906,22.753,22.779,22.71,22.779,43820,0
20120907,22.84,22.96,22.71,22.795,34967,0
20120910,22.804,22.848,22.561,22.649,72148,0
20120911,22.657,22.665,22.527,22.649,79010,0
20120912,22.683,22.84,22.605,22.84,70363,0
20120913,22.857,23.049,22.77,23.013,51987,0
20120914,23.082,23.118,22.926,23.004,53896,0
20120917,23.091,23.127,22.926,23.039,49514,0
20120918,23.049,23.073,22.97,23.073,82111,0
20120919,23.057,23.065,22.97,23.004,85524,0
20120920,23.004,23.049,22.97,23.049,58291,0
20120921,23.073,23.127,22.97,23.1,51838,0
20120924,23.049,23.049,22.795,22.795,58468,0
20120925,22.848,22.926,22.831,22.882,19392,0
20120926,22.926,23.317,22.857,22.9,26340,0
20120927,23.273,23.273,22.9,23.073,217003,0
20120928,22.753,22.848,22.457,22.457,92605,0
20121001,22.788,22.865,22.691,22.795,36792,0
20121002,22.795,22.822,22.561,22.719,64643,0
20121003,22.726,22.726,22.605,22.63,21321,0
20121004,22.63,22.788,22.596,22.788,40702,0
20121005,22.874,22.874,22.726,22.822,76119,0
20121008,22.848,22.848,22.788,22.813,12077,0
20121009,22.857,22.857,22.665,22.795,34499,0
20121010,22.813,22.97,22.719,22.97,45897,0
20121011,23.013,23.057,22.779,23.013,32985,0
20121012,23.057,23.134,23.013,23.134,36810,0
20121015,23.118,23.118,22.795,22.857,40858,0
20121016,22.84,22.9,22.77,22.84,26013,0
20121017,22.84,22.874,22.683,22.804,42077,0
20121018,22.882,22.97,22.753,22.97,32264,0
20121019,22.995,23.231,22.84,23.231,29837,0
20121022,23.142,23.142,22.891,22.926,63693,0
20121023,23.004,23.004,22.753,22.795,55490,0
20121024,22.952,22.952,22.622,22.64,42552,0
20121025,22.71,22.719,22.414,22.432,244882,0
20121026,22.527,22.561,22.396,22.404,197330,0
20121031,22.439,22.465,22.326,22.353,126645,0
20121101,22.423,22.553,22.404,22.544,40558,0
20121102,22.605,22.605,22.509,22.535,20279,0
20121105,22.544,22.57,22.457,22.509,25031,0
20121106,22.535,22.535,22.404,22.518,198528,0
20121107,22.518,22.553,22.414,22.553,29305,0
20121108,22.734,22.734,22.553,22.64,20441,0
20121109,22.579,22.649,22.5,22.535,25778,0
20121112,22.63,22.657,22.493,22.544,20092,0
20121113,22.613,22.613,22.5,22.553,26498,0
20121114,22.553,22.579,22.283,22.302,34218,0
20121115,22.474,22.657,22.179,22.396,48797,0
20121116,22.362,22.535,22.249,22.535,25448,0
20121119,22.579,22.579,22.535,22.579,41948,0
20121120,22.579,22.622,22.561,22.622,28354,0
20121121,22.726,22.944,22.683,22.944,30135,0
20121123,22.918,22.926,22.813,22.882,12562,0
20121126,22.874,22.874,22.509,22.744,39466,0
20121127,22.831,22.882,22.535,22.535,60430,0
20121128,22.596,22.596,22.232,22.292,37223,0
20121129,22.449,22.457,22.144,22.232,151357,0
20121130,22.267,22.371,22.197,22.197,19279,0
20121203,22.197,22.353,22.197,22.353,23913,0
20121204,22.371,22.449,22.319,22.449,30221,0
20121205,22.404,22.404,22.335,22.38,19286,0
20121206,22.404,22.518,22.371,22.493,30352,0
20121207,22.493,22.509,22.353,22.404,21328,0
20121210,22.449,22.5,22.274,22.371,94958,0
20121211,22.457,22.457,22.335,22.387,17190,0
20121212,22.449,22.465,22.302,22.353,227009,0
20121213,22.457,22.493,22.31,22.432,33654,0
20121214,22.474,22.5,22.362,22.5,14329,0
20121217,22.63,22.649,22.387,22.439,30845,0
20121218,22.5,22.5,22.326,22.432,30414,0
20121219,22.474,22.605,22.371,22.605,22344,0
20121220,22.657,22.71,22.387,22.387,25231,0
20121221,22.38,22.423,22.319,22.362,16016,0
20121224,22.335,22.362,22.292,22.335,6865,0
20121226,22.292,22.535,22.292,22.439,44271,0
20121227,22.561,22.561,22.432,22.561,11609,0
20121228,22.68,22.742,22.468,22.725,15208,0
20121231,22.646,22.856,22.53,22.565,22403,0
20130102,22.68,22.865,22.592,22.619,62038,0
20130103,22.717,22.717,22.61,22.61,21693,0
20130104,22.759,22.759,22.619,22.671,135659,0
20130107,22.689,22.732,22.671,22.689,24859,0
20130108,22.848,22.91,22.698,22.91,56410,0
20130109,22.953,23.014,22.83,23.014,40604,0
20130110,23.042,23.402,22.953,23.402,41257,0
20130111,23.439,23.482,23.236,23.368,27169,0
20130114,23.473,23.473,23.13,23.324,15784,0
20130115,23.368,23.402,23.2,23.253,29174,0
20130116,23.288,23.623,22.91,23.509,62296,0
20130117,23.58,23.58,23.13,23.439,47037,0
20130118,23.518,23.518,23.262,23.35,41547,0
20130122,23.509,23.58,23.35,23.491,34963,0
20130123,23.439,23.614,23.439,23.543,31663,0
20130124,23.614,23.614,23.236,23.324,144850,0
20130125,23.262,23.571,23.175,23.368,24333,0
20130128,23.315,23.35,23.236,23.245,17748,0
20130129,23.341,23.341,23.014,23.085,25739,0
20130130,23.175,23.175,22.91,22.91,24624,0
20130131,23.033,23.147,22.848,22.848,21614,0
20130201,23.113,23.35,22.919,23.306,19270,0
20130204,23.35,23.35,22.962,23.014,24290,0
20130205,23.094,23.191,23.06,23.147,12999,0
20130206,23.113,23.137,23.007,23.137,16988,0
20130207,23.076,23.482,23.051,23.227,53429,0
20130208,23.175,23.386,23.175,23.386,7860,0
20130211,23.368,23.456,23.208,23.324,30408,0
20130212,23.588,23.588,23.014,23.165,38516,0
