Date,Open,High,Low,Close,Volume,OpenInt
20091216,13.5,13.5,13.5,13.5,0,0
20091217,13.5,13.84,13.21,13.51,3626323,0
20091218,13.59,13.69,13.5,13.6,469970,0
20091221,13.71,13.71,13.5,13.6,230184,0
20091222,13.59,13.67,13.53,13.64,173005,0
20091223,13.62,13.69,13.56,13.67,216435,0
20091224,13.65,13.73,13.6,13.64,97700,0
20091228,13.65,13.67,13.5,13.67,83765,0
20091229,13.7,13.79,13.55,13.65,116345,0
20091230,13.75,13.75,13.5,13.62,111075,0
20091231,13.6,13.63,13.5,13.56,174399,0
20100104,13.55,13.85,13.55,13.8,128114,0
20100105,13.77,14.54,13.77,14.42,241330,0
20100106,14.49,14.68,14.32,14.6,191906,0
20100107,14.55,14.75,14.14,14.6,53149,0
20100108,14.6,14.95,14.55,14.9,244206,0
20100111,15,15.44,14.58,14.74,277123,0
20100112,14.78,14.85,14.37,14.51,65909,0
20100113,14.77,14.77,14.14,14.62,39465,0
20100114,14.74,14.74,14.48,14.55,25349,0
20100115,14.46,14.7,14,14.55,111390,0
20100119,14.5,14.98,14.41,14.88,104305,0
20100120,14.95,14.98,14.26,14.4,172146,0
20100121,14.58,14.58,14,14.18,151159,0
20100122,14.17,14.22,13.8,14.19,77468,0
20100125,14.3,14.3,14.1,14.2,110115,0
20100126,15.24,15.24,13.9,13.95,914404,0
20100127,14.01,14.1,13.7,13.9,277713,0
20100128,14.08,14.08,13.6,13.72,200041,0
20100129,13.91,13.91,13.3,13.75,267224,0
20100201,13.81,13.95,13.63,13.84,271938,0
20100202,13.8,13.96,13.53,13.88,266152,0
20100203,13.93,13.96,13.81,13.84,138414,0
20100204,13.56,13.8,13.49,13.68,59110,0
20100205,13.79,13.79,12.76,13.26,126971,0
20100208,13.34,13.48,12.97,13.05,129016,0
20100209,14.19,14.19,12.92,13.09,265381,0
20100210,13.14,13.22,12.91,13,79725,0
20100211,13.07,13.55,12.97,13.5,106255,0
20100212,13.3,13.6,13.3,13.6,58002,0
20100216,13.82,13.82,13.53,13.8,27203,0
20100217,13.94,13.94,13.67,13.8,80940,0
20100218,13.88,13.89,13.63,13.73,73515,0
20100219,13.75,13.8,13.6,13.75,81530,0
20100222,13.91,13.91,13.36,13.59,80041,0
20100223,13.69,13.74,13.41,13.57,30650,0
20100224,13.67,13.85,13.52,13.63,56171,0
20100225,13.4,13.63,13.4,13.55,30750,0
20100226,13.67,13.67,13.34,13.49,30120,0
20100301,13.66,13.66,13.45,13.52,282695,0
20100302,13.65,13.95,13.56,13.72,271806,0
20100303,13.85,13.91,13.3,13.67,275133,0
20100304,14.65,15.3,14.25,14.65,348409,0
20100305,14.87,15.43,14.74,15.43,358190,0
20100308,15.51,15.97,15.28,15.68,715613,0
20100309,15.55,15.77,15.24,15.44,236756,0
20100310,15.4,15.67,15.26,15.47,148256,0
20100311,15.44,16.5,15.34,16.18,673501,0
20100312,16.17,16.47,15.78,16.25,159873,0
20100315,16.25,17.27,16.08,16.74,306285,0
20100316,16.75,16.89,16.6,16.85,298606,0
20100317,16.81,16.92,16.61,16.68,225453,0
20100318,16.59,16.9,16.59,16.84,165969,0
20100319,16.86,16.9,16.38,16.55,524656,0
20100322,16.39,16.74,16.3,16.5,284711,0
20100323,16.46,17.08,16.46,16.94,425985,0
20100324,17.1,17.79,17.1,17.64,600175,0
20100325,17.91,18.49,17.75,18.11,491658,0
20100326,18.27,18.3,17.85,18.02,219069,0
20100329,18.11,18.12,17.81,18,109581,0
20100330,18,18.19,17.81,18,134616,0
20100331,18.06,18.24,17.82,17.86,895393,0
20100401,17.87,18.21,17.82,18.16,95374,0
20100405,18.15,18.59,18.15,18.54,214013,0
20100406,18.55,18.91,18.33,18.83,245949,0
20100407,18.99,19.39,18.89,19.09,247743,0
20100408,18.98,19.23,18.92,19.2,145454,0
20100409,19.19,19.38,18.79,18.9,173318,0
20100412,19.04,19.04,18.56,18.62,67074,0
20100413,18.62,18.62,18.26,18.49,209999,0
20100414,18.62,18.93,18.45,18.86,130303,0
20100415,18.96,18.96,18.43,18.59,86052,0
20100416,18.67,18.68,18.24,18.5,76306,0
20100419,18.52,18.58,17.82,18.21,64865,0
20100420,18.28,18.42,18.03,18.33,61654,0
20100421,18.35,18.45,18.19,18.42,55859,0
20100422,18.25,18.43,18.18,18.33,49576,0
20100423,18.3,18.65,18.17,18.6,170756,0
20100426,18.78,19.07,18.63,18.93,173039,0
20100427,18.8,19.22,18.8,18.89,99209,0
20100428,18.92,19.16,18.92,19.07,48805,0
20100429,19.15,19.45,19.1,19.31,59341,0
20100430,19.37,19.72,18.96,18.96,97941,0
20100503,19.14,19.2,18.92,19.14,87630,0
20100504,18.93,19.05,17.79,18.24,202818,0
20100505,18.16,18.16,17.57,17.64,121129,0
20100506,19.47,20.36,18.28,18.4,1111874,0
20100507,18.31,19.74,18.3,19.14,265109,0
20100510,20.05,20.05,19.34,19.99,275582,0
20100511,19.75,20.1,19.56,20.01,167926,0
20100512,20.19,21.14,20.15,20.9,227352,0
20100513,20.72,21.12,20.72,20.91,195650,0
20100514,20.86,21,20.75,20.93,112376,0
20100517,20.95,21.16,19.87,20.69,248249,0
20100518,20.9,21.38,20.74,21.02,250865,0
20100519,20.94,21.09,19.68,20.48,213878,0
20100520,20,20,18.59,19.04,277774,0
20100521,19.01,19.85,18.75,19.76,208508,0
20100524,19.68,19.95,19.68,19.78,104937,0
20100525,19.5,19.64,19.11,19.17,388332,0
20100526,19.25,19.38,18.45,18.69,696428,0
20100527,19.02,20,18.86,19.94,163240,0
20100528,19.94,20.73,19.6,20.5,85018,0
20100601,20.4,20.85,19.92,19.94,135934,0
20100602,20.35,20.64,19.76,20.6,123619,0
20100603,20.62,21,20,20.07,121603,0
20100604,19.69,20.11,18.81,18.87,151069,0
20100607,18.97,19.14,18.59,18.82,176903,0
20100608,18.85,19.1,18.78,18.98,167342,0
20100609,19.09,19.47,18.73,18.83,87574,0
20100610,19.2,19.76,19.1,19.71,114768,0
20100611,19.6,20.38,19.52,20.37,139420,0
20100614,20.61,21.17,20.5,20.87,148860,0
20100615,20.86,21.04,20.22,20.98,129054,0
20100616,20.8,21.03,20.19,20.37,87891,0
20100617,20.38,20.47,19.92,20.2,78059,0
20100618,20.19,20.35,19.87,20.22,130439,0
20100621,20.53,20.97,20.53,20.76,114702,0
20100622,20.71,21,20.6,20.75,51572,0
20100623,20.73,21.48,20.52,21.28,199153,0
20100624,21.14,21.56,20.28,20.4,133209,0
20100625,20.48,21.13,19.79,21.03,506606,0
20100628,20.94,21.04,20.54,20.76,183401,0
20100629,20.47,20.47,19.47,19.8,98687,0
20100630,19.88,20.23,18.68,18.79,155606,0
20100701,18.72,19.61,18.28,19.53,139687,0
20100702,19.64,19.68,18.84,19.07,35768,0
20100706,19.35,19.61,19.17,19.41,102820,0
20100707,19.43,19.56,19.2,19.41,105595,0
20100708,19.54,19.55,19,19.39,44630,0
20100709,19.31,20.1,19.22,20.08,68398,0
20100712,20,20.63,20,20.17,63089,0
20100713,20.4,21.03,20.4,20.85,169737,0
20100714,20.83,20.92,20.6,20.86,53014,0
20100715,20.8,20.89,19.91,20.15,87207,0
20100716,20.06,20.06,19.2,19.33,62322,0
20100719,19.45,20.01,19.22,19.99,69136,0
20100720,19.96,20.5,19.75,20.46,65701,0
20100721,20.6,20.66,20.33,20.43,116075,0
20100722,20.8,21.64,20.64,21.64,186718,0
20100723,21.47,21.92,21.3,21.91,161298,0
20100726,21.9,23,21.9,22.98,157220,0
20100727,23,23,22.8,22.87,150130,0
20100728,22.76,23.38,22.61,22.81,156636,0
20100729,22.95,23.35,22.76,23.01,54959,0
20100730,22.66,23.49,22.65,23.46,58009,0
20100802,24.03,24.52,23.72,24.41,121295,0
20100803,24.23,24.5,24.1,24.28,97869,0
20100804,24.36,24.67,23.65,24.05,145990,0
20100805,25.66,27.33,25,27.15,1184261,0
20100806,26.89,27.24,26.18,27.03,361548,0
20100809,27.02,27.42,26.77,27,327597,0
20100810,26.42,27.53,25.83,27.16,320744,0
20100811,26.27,26.53,25.85,26.02,202842,0
20100812,25.45,27.67,25.11,27.41,281795,0
20100813,27.35,27.35,26.68,26.77,146347,0
20100816,26.64,27.84,26.53,27.02,241051,0
20100817,27.32,27.9,27.32,27.5,132999,0
20100818,27.5,27.84,27.2,27.81,108947,0
20100819,27.77,27.99,27.4,27.49,108462,0
20100820,27.45,27.45,25.45,25.52,270716,0
20100823,25.65,26.2,25.23,25.98,155211,0
20100824,25.7,26.43,25.69,26.22,107542,0
20100825,25.94,26.55,25.75,26.51,138498,0
20100826,26.5,26.63,25.39,25.74,171799,0
20100827,25.97,26.12,24.96,25.2,231063,0
20100830,25.17,26.19,25.17,25.88,149710,0
20100831,25.93,27.05,25.7,27.02,200078,0
20100901,27.52,27.73,26.77,27.27,243652,0
20100902,27.73,27.86,26.89,27.24,88645,0
20100903,27.58,27.99,27.36,27.83,104731,0
20100907,27.81,28.95,27.66,28.72,238916,0
20100908,28.96,29.77,27.71,27.89,182215,0
20100909,28.2,28.79,27.65,28.17,136309,0
20100910,28.17,28.23,26.68,27.08,103694,0
20100913,27.45,29.48,27.13,28.76,507280,0
20100914,28.2,28.2,26.56,27.47,317398,0
20100915,27.26,28.2,27,28.17,89884,0
20100916,28.11,28.71,27.93,28.67,71974,0
20100917,28.92,29.74,28.48,29.72,394746,0
20100920,29.7,30,27.75,28.53,284040,0
20100921,27.8,28.34,27.04,27.18,244934,0
20100922,26.87,27.55,26.55,26.71,281009,0
20100923,26.53,27.82,26.53,27.66,281467,0
20100924,26.73,26.99,26.14,26.51,3368910,0
20100927,26.59,26.95,26.39,26.6,632559,0
20100928,26.5,26.65,26.01,26.55,337408,0
20100929,26.5,26.88,26.28,26.82,394273,0
20100930,26.94,27.25,26.73,27.15,506501,0
20101001,26.98,27.74,26.84,27.71,330194,0
20101004,28.06,29.05,27.42,29.04,926470,0
20101005,29.19,29.96,28.76,29.6,714033,0
20101006,29.6,29.6,28.8,28.9,291426,0
20101007,29.01,29.67,27.71,29.39,414901,0
20101008,29.31,29.51,28.6,29.06,298406,0
20101011,29.41,31.18,29.32,29.95,732421,0
20101012,30.04,31.11,29.57,30.5,513854,0
20101013,30.78,31.66,30.76,31.26,470488,0
20101014,31.38,31.38,30.07,30.75,283736,0
20101015,30.86,31.14,30.58,31.08,280385,0
20101018,31.16,32.84,31.11,32.4,739362,0
20101019,32.31,32.91,31.72,32.55,614640,0
20101020,33.18,34.38,32.78,33.97,719333,0
20101021,34.05,34.3,32.6,32.93,299205,0
20101022,32.93,33.95,32.68,33.81,324021,0
20101025,34.23,34.76,33.8,34.1,247735,0
20101026,34,34.85,33.64,34.21,339210,0
20101027,34.09,34.09,32.41,33.01,302994,0
20101028,33.25,33.73,32.14,32.52,146730,0
20101029,32.5,33.08,31.85,32.46,185421,0
20101101,32.91,34.04,32.91,33.56,569548,0
20101102,33.8,34.11,32.74,33.95,265769,0
20101103,33.93,33.93,32.56,32.9,210987,0
20101104,29,30.16,24.62,29.5,2713848,0
20101105,29.17,29.35,28.83,28.97,737456,0
20101108,29.02,30.25,28.62,28.87,620324,0
20101109,28.73,28.85,27.28,27.48,715891,0
20101110,27.51,27.64,26.43,26.78,375864,0
20101111,26.74,26.91,26.1,26.79,137051,0
20101112,26.65,26.65,25.26,25.5,216148,0
20101115,25.84,26.54,25.48,26.22,361096,0
20101116,26.01,26.41,25.69,26.39,338760,0
20101117,26.25,26.51,25.8,26.21,303504,0
20101118,26.28,26.78,26.25,26.65,252002,0
20101119,26.33,27.94,26.33,27.83,161192,0
20101122,27.83,28.36,27.43,28.3,329418,0
20101123,28.28,28.28,27.91,28.09,246196,0
20101124,28.18,28.73,28.1,28.72,193753,0
20101126,28.66,28.84,28.51,28.67,40639,0
20101129,28.62,28.62,28.04,28.47,442696,0
20101130,28.28,28.7,27.93,28.48,114872,0
20101201,28.9,28.9,28.43,28.61,284620,0
20101202,28.67,28.68,28.11,28.2,322490,0
20101203,28,28.36,27.81,28.18,217980,0
20101206,28.19,28.52,27.93,28.23,310133,0
20101207,28.31,28.71,28.11,28.52,183023,0
20101208,28.58,28.71,28.14,28.36,76782,0
20101209,28.36,28.36,27.26,27.35,208277,0
20101210,27.37,28.6,27.37,27.9,250887,0
20101213,28.01,28.34,27.92,27.97,128853,0
20101214,28.01,28.11,27.47,28.06,302813,0
20101215,27.98,29.3,27.78,29.06,258611,0
20101216,29.1,30.03,28.91,30,209861,0
20101217,29.83,30.09,29.44,30.07,396130,0
20101220,30.05,31.31,29.86,31.2,219614,0
20101221,31.84,33.08,31.27,33.07,210091,0
20101222,33.17,33.55,31.97,32.19,217886,0
20101223,32.32,32.38,30.83,30.93,186031,0
20101227,30.81,31.05,30.36,30.9,223124,0
20101228,30.86,30.99,30,30.15,357447,0
20101229,30.18,31.15,30.11,30.81,111255,0
20101230,30.65,31.13,30.57,30.85,123911,0
20101231,30.84,31.03,30.73,30.95,80265,0
20110103,31.01,32.06,30.82,31.11,224334,0
20110104,31.17,31.47,30.5,30.71,154181,0
20110105,30.38,31.3,29.99,31.11,169887,0
20110106,31.08,32.36,30.69,32.36,208857,0
20110107,32.5,32.5,31.68,31.91,170472,0
20110110,32.07,32.58,31.61,32.42,202203,0
