Date,Open,High,Low,Close,Volume,OpenInt
20101213,21.097,21.259,21.011,21.011,14740,0
20101214,21.055,21.055,21.011,21.055,22384,0
20101215,21.055,22.504,21.055,21.097,23553,0
20101216,21.055,21.097,20.893,21.055,25767,0
20101217,20.969,21.106,20.594,20.764,30020,0
20101220,20.884,21.097,20.689,20.969,26374,0
20101221,21.106,21.106,21.055,21.072,4222,0
20101222,20.756,21.31,20.671,21.294,9621,0
20101223,21.097,21.302,21.055,21.302,4483,0
20101227,21.14,21.31,21.097,21.31,20318,0
20101228,21.31,21.31,21.31,21.31,3284,0
20101229,21.318,21.481,21.224,21.268,9971,0
20101230,21.224,21.224,21.224,21.224,2950,0
20101231,21.224,21.353,21.224,21.224,3616,0
20110103,21.268,21.395,21.268,21.31,4106,0
20110104,21.31,21.336,21.31,21.31,15732,0
20110105,21.395,21.395,21.395,21.395,8211,0
20110107,21.395,21.395,21.361,21.361,6335,0
20110110,21.395,21.395,21.353,21.353,2112,0
20110111,21.31,21.387,21.224,21.233,40943,0
20110112,21.268,21.353,21.224,21.224,3847,0
20110113,21.224,21.224,21.182,21.224,25134,0
20110114,21.208,21.224,21.208,21.224,1467,0
20110118,21.199,21.224,21.199,21.199,1488,0
20110119,21.224,21.224,21.224,21.224,9033,0
20110120,21.224,21.353,21.199,21.224,14195,0
20110121,21.224,21.224,21.182,21.224,13357,0
20110125,21.14,21.182,21.055,21.182,39158,0
20110126,21.182,21.182,21.182,21.182,1751,0
20110127,21.353,21.387,21.345,21.387,1643,0
20110128,21.387,21.438,21.055,21.055,9794,0
20110131,21.072,21.14,20.713,20.842,74944,0
20110201,20.884,20.884,20.697,20.834,22150,0
20110202,20.799,20.824,20.671,20.807,38472,0
20110203,20.739,20.79,20.586,20.782,15603,0
20110204,20.671,20.713,20.475,20.654,57346,0
20110207,20.671,20.782,20.646,20.782,9022,0
20110208,20.782,20.782,20.629,20.713,28274,0
20110209,20.773,20.773,20.654,20.731,8307,0
20110210,20.756,20.782,20.671,20.689,3343,0
20110211,20.764,20.824,20.764,20.807,4522,0
20110214,20.764,21.047,20.764,21.047,6723,0
20110215,21.038,21.089,20.824,21.072,9150,0
20110216,21.028,21.038,20.799,20.935,9150,0
20110218,20.969,21.216,20.918,21.011,14729,0
20110222,20.986,20.986,20.815,20.85,9220,0
