Date,Open,High,Low,Close,Volume,OpenInt
20050225,23.413,23.521,23.11,23.511,1902548,0
20050228,23.58,23.59,23.052,23.198,1626016,0
20050301,23.267,23.843,23.267,23.765,2008860,0
20050302,23.775,23.921,23.745,23.852,1378982,0
20050303,23.941,24.019,23.697,23.852,2169556,0
20050304,24.038,24.126,23.941,24.038,1654897,0
20050307,24.116,24.156,23.931,23.99,1539983,0
20050308,23.891,24.019,23.793,23.862,1461632,0
20050309,23.745,24.097,23.736,23.921,1464706,0
20050310,23.891,24.029,23.717,23.784,1181102,0
20050311,23.862,23.862,23.326,23.364,1364230,0
20050314,23.433,23.609,23.403,23.55,2326874,0
20050315,23.852,23.911,23.765,23.803,3111001,0
20050316,23.803,23.951,23.316,23.629,2048805,0
20050317,23.658,23.658,23.482,23.482,3655770,0
20050318,23.482,23.482,22.906,23.052,7834188,0
20050321,23.11,23.188,23.052,23.12,2695584,0
20050322,23.169,23.658,23.149,23.287,3146642,0
20050323,23.296,23.541,23.287,23.462,2875024,0
20050324,23.403,23.482,23.306,23.344,1551657,0
20050328,23.344,23.541,23.306,23.326,1848778,0
20050329,23.326,23.765,23.326,23.619,1940649,0
20050330,23.707,23.901,23.58,23.891,1628474,0
20050331,23.872,24.156,23.755,23.931,2522599,0
20050401,24.019,24.146,23.56,23.736,1820203,0
20050404,23.765,23.891,23.531,23.639,2187070,0
20050405,23.697,23.784,23.599,23.717,1158060,0
20050406,23.872,24.146,23.823,24.057,1100296,0
20050407,24.057,24.146,23.727,24.009,962644,0
20050408,24.087,24.097,23.862,23.872,1035465,0
20050411,23.872,23.891,23.697,23.765,1419537,0
20050412,23.727,24.352,23.717,24.136,2461147,0
20050413,23.99,24.165,23.707,23.717,1535375,0
20050414,23.648,23.911,23.306,23.354,2092433,0
20050415,23.072,23.14,22.789,22.789,2494943,0
20050418,22.749,22.779,22.436,22.651,1474534,0
20050419,22.71,23.052,22.584,23.014,1356548,0
20050420,22.985,23.354,22.603,22.603,1630007,0
20050421,22.749,23.043,22.681,23.043,1463474,0
20050422,23.043,23.364,22.554,22.769,1819589,0
20050425,22.916,23.208,22.847,23.11,1191551,0
20050426,23.179,23.237,22.769,22.769,1168813,0
20050427,22.749,23.13,22.661,23.043,1195546,0
20050428,22.965,22.985,22.7,22.73,1346718,0
20050429,22.739,23.072,22.623,23.072,1632468,0
20050502,23.149,23.413,23.034,23.316,1530151,0
20050503,23.433,23.433,22.867,23.082,2275562,0
20050504,23.188,23.911,23.159,23.891,2199975,0
20050505,23.872,23.999,23.717,23.823,1601435,0
20050506,23.941,23.951,23.717,23.755,1572247,0
20050509,23.639,23.882,23.511,23.717,1807911,0
20050510,23.639,23.843,23.472,23.59,1306774,0
20050511,23.727,23.882,23.599,23.843,1277277,0
20050512,23.921,23.96,23.472,23.472,1896712,0
20050513,23.56,23.58,23.034,23.228,2040199,0
20050516,23.306,23.639,23.237,23.619,1604814,0
20050517,23.55,23.745,23.423,23.678,2027602,0
20050518,23.755,23.803,23.599,23.658,1761209,0
20050519,23.717,23.736,23.55,23.688,1386352,0
20050520,23.678,23.717,23.482,23.541,1356242,0
20050523,23.609,23.697,23.57,23.629,1429679,0
20050524,23.707,23.736,23.59,23.658,895045,0
20050525,23.727,23.882,23.599,23.833,1375600,0
20050526,23.911,24.214,23.793,24.136,1883500,0
20050527,24.175,24.312,24.087,24.244,1198926,0
20050531,24.204,24.585,24.156,24.506,1977519,0
20050601,24.381,24.624,24.322,24.536,1708975,0
20050602,24.565,24.624,24.342,24.624,1133170,0
20050603,24.467,24.477,24.293,24.391,1333195,0
20050606,24.526,24.732,24.381,24.712,1098143,0
20050607,24.732,24.809,24.673,24.693,1528614,0
20050608,24.78,25.015,24.663,24.868,1390041,0
20050609,24.878,25.18,24.809,25.17,1653667,0
20050610,24.673,25.386,24.673,25.327,2013777,0
20050613,25.278,25.552,25.17,25.347,1512637,0
20050614,25.278,25.777,25.16,25.669,1625095,0
20050615,25.709,25.835,25.522,25.815,1190628,0
20050616,25.777,25.805,25.61,25.757,778596,0
20050617,25.971,26.02,25.873,25.942,1939420,0
20050620,25.893,25.912,25.669,25.873,971554,0
20050621,25.873,25.873,25.61,25.689,1484062,0
20050622,25.854,25.932,25.522,25.893,1401410,0
20050623,25.893,26.127,25.689,25.699,1359314,0
20050624,25.62,25.805,25.502,25.591,1309847,0
20050627,25.552,25.777,25.512,25.61,1272054,0
20050628,25.767,25.777,25.298,25.307,1843249,0
20050629,25.307,25.376,25.219,25.307,1640456,0
20050630,25.288,25.356,25.209,25.219,1960009,0
20050701,25.122,25.278,25.054,25.249,1960623,0
20050705,25.249,25.542,25.249,25.463,2078606,0
20050706,25.532,25.552,25.327,25.463,1679479,0
20050707,25.239,25.61,24.966,25.61,1991654,0
20050708,25.61,25.61,25.298,25.493,1457945,0
20050711,25.454,26.119,25.454,26.089,1628781,0
20050712,26.119,26.264,25.991,26.264,1762745,0
20050713,26.353,26.421,26.001,26.06,1270212,0
20050714,26.069,26.304,25.835,26.001,1937576,0
20050715,26.001,26.206,26.001,26.196,1313225,0
20050718,26.274,26.284,26.069,26.119,1093229,0
20050719,26.206,26.333,26.137,26.284,1331661,0
20050720,26.284,26.547,26.166,26.519,1443503,0
20050721,26.489,26.615,26.235,26.333,1259455,0
20050722,26.431,27.017,26.411,27.017,2155731,0
20050725,27.017,27.182,26.938,27.046,2003635,0
20050726,27.221,27.221,26.997,27.173,1661351,0
20050727,27.202,27.348,27.115,27.299,2034364,0
20050728,27.407,27.426,27.144,27.426,1533531,0
20050729,27.426,27.495,27.221,27.221,1465009,0
20050801,27.144,27.416,27.095,27.289,2105032,0
20050802,27.338,27.621,27.289,27.397,1680709,0
20050803,27.397,27.495,27.319,27.416,987222,0
20050804,27.397,27.436,27.26,27.279,847727,0
20050805,27.24,27.26,27.085,27.163,1267135,0
20050808,27.24,27.485,27.212,27.23,1024094,0
20050809,27.309,27.328,27.163,27.24,867085,0
20050810,27.279,27.71,27.279,27.543,1861685,0
20050811,27.583,27.857,27.505,27.857,996442,0
20050812,27.857,27.923,27.641,27.778,1001972,0
20050815,27.778,27.914,27.661,27.866,1070492,0
20050816,27.866,28.949,27.7,28.627,3872082,0
20050817,28.764,28.969,28.188,28.188,2279861,0
20050818,28.217,28.481,28.041,28.442,1480066,0
20050819,28.54,28.54,28.256,28.383,948816,0
20050822,28.393,28.852,28.383,28.598,1331046,0
20050823,28.754,29.028,28.705,29.018,2108719,0
20050824,29.018,29.31,28.939,28.959,2026372,0
20050825,28.832,28.872,28.598,28.744,2223635,0
20050826,28.744,28.783,28.511,28.511,1186941,0
20050829,28.383,28.578,28.325,28.559,1538446,0
20050830,28.521,28.521,28.169,28.266,1537524,0
20050831,28.315,28.54,28.09,28.54,2069390,0
20050901,28.481,28.481,28.208,28.472,1966460,0
20050902,28.472,28.588,28.383,28.403,767534,0
20050906,28.656,28.891,28.53,28.832,1087698,0
20050907,28.832,28.959,28.646,28.959,1156830,0
20050908,28.959,29.496,28.872,29.379,2357294,0
20050909,29.467,30.581,29.447,30.483,3330074,0
20050912,30.483,30.483,30.121,30.248,2778236,0
20050913,30.091,30.091,29.77,29.809,2006712,0
20050914,29.945,29.955,29.75,29.809,1856155,0
20050915,29.945,30.258,29.731,30.239,3125134,0
20050916,30.239,30.542,29.878,30.288,8415829,0
20050919,30.316,30.316,29.858,29.984,2560390,0
20050920,30.15,30.542,30.003,30.131,3063066,0
20050921,30.131,30.141,29.467,29.585,1935423,0
20050922,29.75,29.75,29.136,29.691,1766740,0
20050923,29.652,29.672,29.339,29.428,1600205,0
20050926,29.613,29.613,29.145,29.369,1912379,0
20050927,29.418,29.672,29.106,29.613,2781616,0
20050928,29.613,29.78,29.477,29.633,1643837,0
20050929,29.604,30.052,29.585,29.965,1146384,0
20050930,29.965,30.072,29.623,30.072,1477303,0
20051003,30.072,30.17,29.78,30.111,1631547,0
20051004,30.003,30.121,29.536,29.545,2034978,0
20051005,29.682,29.945,29.477,29.526,1480987,0
20051006,29.711,29.76,28.939,29.047,1711741,0
20051007,29.028,29.516,28.901,29.516,1098759,0
20051010,29.711,29.711,29.067,29.155,845885,0
20051011,29.165,29.613,28.891,28.891,1533531,0
20051012,28.891,29.272,28.588,28.686,1565179,0
20051013,28.636,28.911,28.481,28.764,1836489,0
20051014,28.783,28.882,28.588,28.734,1346718,0
20051017,28.92,29.858,28.891,29.76,2968124,0
20051018,29.878,29.897,29.126,29.252,1724646,0
20051019,29.252,29.936,28.979,29.936,1525542,0
20051020,29.955,30.052,28.901,28.93,1794700,0
20051021,28.998,29.467,28.813,29.272,1637077,0
20051024,29.457,29.955,29.438,29.917,1653667,0
20051025,29.917,29.965,29.486,29.731,1734477,0
20051026,29.731,30.101,29.506,29.506,1824814,0
20051027,29.506,29.945,28.882,28.901,2306285,0
20051028,29.077,29.536,29.077,29.536,2878710,0
20051031,29.604,30.297,29.604,30.258,2541033,0
20051101,30.258,30.883,30.18,30.726,2456230,0
20051102,30.726,31.049,30.677,30.932,2763183,0
20051103,31.029,31.186,30.794,30.942,1764589,0
20051104,31.019,31.098,30.571,30.765,1407555,0
20051107,31,31,30.629,30.794,1586379,0
20051108,30.716,31.166,30.677,31.088,1751073,0
20051109,30.922,31.39,30.785,31.068,1643837,0
20051110,31.019,31.478,30.834,31.38,1221048,0
20051111,31.458,31.458,31.166,31.36,1152836,0
20051114,31.399,31.615,31.342,31.586,1153146,0
20051115,31.615,31.996,31.517,31.654,1789169,0
20051116,31.654,31.654,31.146,31.36,1428447,0
20051117,31.409,31.81,31.36,31.81,1462244,0
20051118,32.122,32.122,31.566,31.83,1382359,0
20051121,31.899,31.899,31.635,31.8,943286,0
20051122,31.81,31.84,31.576,31.8,2670696,0
20051123,31.8,31.879,31.732,31.83,2216260,0
20051125,31.83,31.859,31.791,31.83,453207,0
20051128,31.908,31.908,31.635,31.694,1221970,0
20051129,31.703,31.8,31.635,31.654,2156036,0
20051130,31.654,31.732,31.409,31.429,1899783,0
20051201,31.409,31.732,31.37,31.703,2133300,0
20051202,31.654,31.8,31.39,31.742,1040071,0
20051205,31.712,31.722,31.409,31.556,2151122,0
20051206,31.635,31.635,31.264,31.284,1684702,0
20051207,31.264,31.351,30.932,31.186,1861685,0
20051208,31.264,31.712,31.254,31.664,1984587,0
20051209,31.664,31.664,31.409,31.556,2056791,0
20051212,31.508,31.615,31.176,31.342,1347638,0
