Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.771,16.03,15.742,16.03,514862,0
20050228,16.078,16.203,15.885,16.078,774063,0
20050301,16.04,16.308,16.04,16.212,609456,0
20050302,16.145,16.356,16.059,16.308,689882,0
20050303,16.366,16.51,16.222,16.433,985964,0
20050304,16.52,16.682,16.212,16.376,964921,0
20050307,16.433,16.558,16.279,16.356,551530,0
20050308,16.298,16.49,16.269,16.404,911582,0
20050309,16.337,16.52,16.337,16.52,729056,0
20050310,16.529,16.635,16.337,16.539,746764,0
20050311,16.578,16.797,16.578,16.769,909287,0
20050314,16.865,17.066,16.836,17.038,1486239,0
20050315,17.278,17.278,16.75,16.913,826776,0
20050316,16.816,16.903,16.663,16.779,700927,0
20050317,16.779,16.779,16.424,16.643,757184,0
20050318,16.568,16.597,16.298,16.317,1577085,0
20050321,16.317,16.317,16.136,16.231,813649,0
20050322,16.269,16.452,16.174,16.231,915747,0
20050323,16.231,16.269,16.145,16.184,778853,0
20050324,16.203,16.385,16.174,16.327,545696,0
20050328,16.366,16.424,16.04,16.078,1027845,0
20050329,16.126,16.212,15.905,15.982,1156820,0
20050330,15.972,16.414,15.972,16.414,545280,0
20050331,16.327,16.578,16.25,16.49,828444,0
20050401,16.481,16.653,16.376,16.433,874907,0
20050404,16.433,16.433,16.25,16.317,935126,0
20050405,16.404,16.539,16.366,16.51,654462,0
20050406,16.578,16.711,16.404,16.607,695717,0
20050407,16.558,16.923,16.49,16.884,875325,0
20050408,16.942,16.942,16.643,16.692,400887,0
20050411,16.663,16.692,16.385,16.539,703218,0
20050412,16.414,16.692,16.366,16.597,516735,0
20050413,16.597,16.643,16.424,16.424,551741,0
20050414,16.424,16.424,16.059,16.078,781147,0
20050415,16.011,16.298,15.953,16.184,473187,0
20050418,16.145,16.298,16.011,16.194,661546,0
20050419,16.165,16.298,16.078,16.25,511110,0
20050420,16.222,16.269,16.126,16.155,850322,0
20050421,16.269,16.269,15.914,16.059,703635,0
20050422,15.982,16.165,15.79,15.905,460060,0
20050425,16.021,16.317,15.982,16.317,519236,0
20050426,16.347,16.414,16.203,16.269,504860,0
20050427,16.317,16.471,16.145,16.279,336711,0
20050428,16.49,16.607,16.269,16.52,531529,0
20050429,16.51,16.692,16.194,16.692,713221,0
20050502,16.779,16.807,16.433,16.75,735308,0
20050503,16.797,16.845,16.433,16.539,537781,0
20050504,16.578,16.74,16.52,16.721,1113482,0
20050505,16.73,16.73,16.49,16.549,612789,0
20050506,16.653,16.865,16.452,16.865,427766,0
20050509,17.029,17.029,16.625,16.75,461727,0
