Date,Open,High,Low,Close,Volume,OpenInt
20050225,41.818,42.653,41.072,42.565,985729,0
20050228,43.18,43.224,41.687,42.038,733798,0
20050301,42.108,43.951,42.099,43.899,859592,0
20050302,43.873,44.733,43.6,43.864,884773,0
20050303,43.864,44.312,42.785,43.618,739041,0
20050304,43.486,43.53,42.389,42.416,992223,0
20050307,42.696,43.882,42.661,43.705,1134311,0
20050308,43.224,43.705,41.337,41.556,4232674,0
20050309,41.337,41.511,38.835,39.581,2977125,0
20050310,39.581,40.309,39.361,40.133,1072554,0
20050311,40.133,41.248,40.133,40.362,682639,0
20050314,40.941,41.713,40.723,41.661,912920,0
20050315,41.907,43.705,41.907,43.354,2244808,0
20050316,43.266,43.416,41.95,42.398,1702890,0
20050317,42.179,42.96,41.985,42.574,1049195,0
20050318,42.574,43.311,41.95,42.776,731976,0
20050321,42.776,43.135,42.038,42.398,1332230,0
20050322,42.398,42.582,40.678,40.801,1172938,0
20050323,40.502,40.714,39.95,40.16,1060589,0
20050324,40.239,40.678,39.941,40.37,632843,0
20050328,40.195,40.723,39.941,40.353,425808,0
20050329,39.932,40.065,38.528,38.616,1853639,0
20050330,38.616,40.029,38.616,40.029,1090898,0
20050331,39.668,40.107,39.098,39.493,1106738,0
20050401,39.501,39.581,38.238,38.844,1274575,0
20050404,38.528,38.528,37.607,37.616,1547584,0
20050405,37.633,37.895,36.948,36.957,1395128,0
20050406,36.993,38.703,36.993,38.44,1245977,0
20050407,39.01,39.791,38.703,38.748,1338955,0
20050408,38.879,39.072,37.957,38.115,799201,0
20050411,38.264,38.703,37.694,38.186,473551,0
20050412,38.186,38.616,37.861,38.572,894459,0
20050413,38.572,39.361,38.396,38.616,798749,0
20050414,38.625,38.808,37.483,38.001,1345107,0
20050415,37.781,37.921,35.457,35.851,1783448,0
20050418,35.851,36.289,34.666,34.973,1565019,0
20050419,35.895,35.895,34.885,34.929,1959607,0
20050420,34.666,34.666,33.061,33.235,2715623,0
20050421,33.534,33.955,31.946,32.806,2772027,0
20050422,32.947,33.604,32.34,32.471,2029568,0
20050425,32.603,33.095,32.471,32.7,1169863,0
20050426,32.964,34.597,32.955,34.008,2004159,0
20050427,34.086,34.272,33.148,33.745,1270245,0
20050428,34.183,35.06,33.183,33.349,1159606,0
20050429,33.745,33.762,32.516,32.868,826320,0
20050502,32.823,33.728,32.823,33.613,1153796,0
20050503,32.033,32.823,31.446,31.682,3276797,0
20050504,31.593,32.148,30.454,31.709,3887080,0
20050505,31.928,31.928,30.76,31.191,997578,0
20050506,31.366,31.743,30.797,31.593,704401,0
20050509,31.217,31.999,30.91,31.901,770145,0
20050510,31.682,32.165,31.243,31.393,1012734,0
20050511,31.393,31.638,30.497,31.516,1016037,0
20050512,31.323,31.357,30.734,30.804,923971,0
20050513,30.804,30.804,29.285,29.576,1363796,0
20050516,29.409,30.023,29.05,29.796,817889,0
20050517,29.751,30.848,29.418,30.734,610170,0
20050518,31.068,32.692,30.998,32.033,2772140,0
20050519,32.078,32.692,31.858,32.648,1048282,0
20050520,32.453,32.63,32.226,32.577,381369,0
20050523,32.569,33.235,32.507,32.648,1116535,0
20050524,32.471,32.902,32.042,32.262,1110727,0
20050525,32.086,32.674,31.209,31.261,965334,0
20050526,31.332,32.297,31.332,32.226,778809,0
20050527,32.28,32.902,31.91,32.639,632047,0
20050531,32.639,32.639,31.823,31.823,743368,0
20050601,32.078,33.728,31.946,32.815,1541431,0
20050602,32.911,34.052,32.253,34.052,1179888,0
20050603,34.403,35.052,34.183,34.227,1147642,0
20050606,34.149,34.332,33.174,33.526,637629,0
20050607,33.569,34.175,32.692,32.911,904259,0
20050608,33.13,33.262,31.823,32.367,1058993,0
20050609,32.253,32.648,31.77,32.429,787126,0
20050610,32.648,32.911,32.471,32.63,415553,0
20050613,32.648,33.2,32.648,32.911,547842,0
20050614,33.043,34.683,33.043,34.323,1051132,0
20050615,34.43,34.579,33.578,33.789,1563424,0
20050616,33.745,34.06,33.481,34.052,1025040,0
20050617,34.052,35.06,34.052,35.06,1686824,0
20050620,34.929,34.964,34.473,34.666,976157,0
20050621,34.683,34.929,34.052,34.052,583963,0
20050622,33.964,34.509,33.719,34.395,570060,0
20050623,34.43,34.43,32.48,32.911,957241,0
20050624,32.911,33.087,32.314,33.087,913032,0
20050627,33.087,33.087,31.963,32.42,852526,0
20050628,32.859,33.438,32.727,32.823,575985,0
20050629,32.999,33.078,31.725,32.086,754877,0
20050630,32.209,32.367,30.927,31.375,1219655,0
20050701,31.593,32.078,31.112,31.814,521066,0
20050705,31.611,32.297,31.507,32.165,259791,0
20050706,32.253,32.297,31.84,32.06,353909,0
20050707,31.332,32.156,31.243,32.156,660646,0
20050708,32.244,33.13,32.121,33.095,634782,0
20050711,33.174,33.412,32.779,33.217,610170,0
20050712,33.217,33.569,33.095,33.403,462042,0
20050713,33.438,33.517,33.148,33.262,208747,0
20050714,33.358,33.613,32.665,32.841,403817,0
20050715,32.832,33.561,32.823,33.271,554224,0
20050718,33.217,33.569,33.165,33.262,393450,0
20050719,33.306,34.666,33.208,34.122,931262,0
20050720,33.833,34.314,33.798,34.227,280756,0
20050721,34.535,35.526,34.245,35.378,1355361,0
20050722,35.159,35.378,34.947,35.369,628173,0
20050725,35.369,35.378,34.086,34.227,839308,0
20050726,34.227,34.227,32.99,33.34,1038256,0
20050727,32.735,33.833,32.735,33.753,785187,0
20050728,33.753,34.938,33.657,34.753,447912,0
20050729,34.841,35.298,34.841,35.298,969889,0
20050801,35.298,35.499,35.141,35.342,659165,0
20050802,35.526,35.746,34.658,35.473,950861,0
20050803,34.753,35.105,33.367,33.454,1980573,0
20050804,32.692,33.217,32.692,32.999,1646602,0
20050805,33.052,33.71,32.832,33.298,491556,0
20050808,33.298,33.421,32.648,32.727,436973,0
20050809,32.868,33.34,32.788,33.217,229939,0
20050810,33.322,33.331,32.823,33.208,482552,0
20050811,33.253,33.253,32.929,33.253,217747,0
20050812,33.217,33.217,32.911,33.174,496682,0
20050815,33.087,33.306,33.052,33.271,312548,0
20050816,33.262,33.262,32.551,32.665,369632,0
20050817,32.384,33.349,32.209,33.174,1102861,0
20050818,33.13,33.13,32.779,33.113,306396,0
20050819,33.13,33.217,32.201,32.48,570744,0
20050822,32.471,32.902,31.682,31.805,709756,0
20050823,31.858,32.051,30.725,31.288,1090787,0
20050824,31.112,31.42,30.892,30.918,497593,0
20050825,30.874,31.638,30.551,31.525,786440,0
20050826,31.585,31.787,30.901,31.48,377269,0
20050829,31.173,31.937,30.804,31.814,506024,0
