Date,Open,High,Low,Close,Volume,OpenInt
20100428,16.442,16.442,16.035,16.257,7097213,0
20100429,16.257,17.18,16.183,16.995,11873140,0
20100430,16.959,16.995,16.442,16.478,2225356,0
20100503,16.811,16.959,16.737,16.847,4469458,0
20100504,16.847,16.847,15.887,15.887,3080726,0
20100505,16.257,16.257,14.777,15.215,9544714,0
20100506,15.148,15.185,13.633,14.373,10866107,0
20100507,14.409,14.447,13.227,13.743,5252778,0
20100510,14.595,14.667,13.819,14.047,5225117,0
20100511,13.856,14.247,13.856,13.967,3554887,0
20100512,14.187,14.808,14.187,14.631,7733082,0
20100513,14.667,14.853,14.483,14.519,3350582,0
20100514,14.261,14.335,13.856,13.856,4132152,0
20100517,14.039,14.187,13.819,13.929,13691203,0
20100518,14.077,14.276,13.486,13.884,8417191,0
20100519,13.967,13.989,12.968,13.08,8427872,0
20100520,12.666,12.666,11.97,12.487,13869139,0
20100521,12.082,12.651,12.008,12.229,6049905,0
20100524,12.34,12.673,12.325,12.487,2315881,0
20100525,12.406,12.406,11.97,12.244,6292173,0
20100526,12.556,12.857,12.414,12.673,2813888,0
20100527,13.042,13.301,13.042,13.227,4271106,0
20100528,13.227,13.227,12.008,13.131,300582,0
20100601,13.042,13.153,12.71,12.932,1218938,0
20100602,13.013,13.049,12.724,12.806,1123079,0
20100603,12.894,12.932,12.673,12.806,2941457,0
20100604,12.599,12.635,12.377,12.599,4258970,0
20100607,12.673,12.71,12.37,12.48,3825455,0
20100608,12.584,12.584,12.193,12.377,2757543,0
20100609,12.406,12.635,12.34,12.406,1908374,0
20100610,12.54,12.613,12.451,12.54,1895938,0
20100611,12.518,12.704,12.518,12.666,612244,0
20100614,12.704,12.99,12.704,12.924,1364779,0
20100615,12.916,13.301,12.821,13.279,2665003,0
20100616,13.248,13.279,13.028,13.035,1409376,0
20100617,13.065,13.115,12.666,12.784,1475802,0
20100618,12.806,12.821,12.673,12.718,1858920,0
20100621,12.894,12.954,12.628,12.635,695631,0
20100622,12.628,12.635,12.414,12.444,2033863,0
20100623,12.487,12.525,12.266,12.304,1523310,0
20100624,12.333,12.503,12.082,12.414,2911753,0
20100625,12.487,12.503,12.34,12.429,828094,0
20100628,12.466,12.466,12.34,12.466,481631,0
20100629,12.37,12.37,12.008,12.008,3465765,0
20100630,12.023,12.193,11.934,11.934,2075994,0
20100701,12,12.045,11.38,11.49,5421403,0
20100702,11.513,11.594,11.38,11.439,313515,0
20100706,11.454,11.52,11.01,11.129,1128201,0
20100707,11.121,11.195,10.98,11.084,2892236,0
20100708,11.047,11.195,11.047,11.121,3277944,0
20100709,11.158,11.838,11.084,11.676,2001089,0
20100712,11.69,11.838,11.676,11.69,1063778,0
20100713,11.697,12.193,11.697,12.118,2229178,0
20100714,12.118,12.156,12.008,12.118,2080211,0
20100715,12.141,12.141,11.823,12.095,1225830,0
20100716,12.045,12.045,11.823,11.97,845391,0
20100719,11.956,12.34,11.905,12.156,672882,0
20100720,12.148,12.148,11.934,11.963,1684340,0
20100721,11.963,12.045,11.963,12,2437430,0
20100722,12.015,12.258,12.015,12.229,1524132,0
20100723,12.229,12.406,12.208,12.4,1915004,0
20100726,12.562,13.08,12.562,13.042,4500174,0
20100727,13.241,13.552,12.746,13.472,7820333,0
20100728,13.464,13.464,13.168,13.248,3302015,0
20100729,13.374,13.411,13.183,13.256,2163154,0
20100730,13.241,13.353,13.065,13.301,2737824,0
20100802,13.411,13.492,13.339,13.347,2088006,0
20100803,13.366,13.389,13.08,13.227,2109356,0
20100804,13.227,13.64,13.227,13.522,5676034,0
20100805,13.522,13.522,13.449,13.479,341424,0
20100806,13.464,13.486,13.241,13.301,677384,0
20100809,13.301,13.411,13.294,13.339,1695486,0
20100810,13.339,13.339,13.227,13.294,1429353,0
20100811,13.153,13.153,13.005,13.013,2734963,0
20100812,13.028,13.028,12.857,12.932,4412399,0
20100813,12.939,13.324,12.939,13.316,4024217,0
20100816,13.929,14.261,13.781,13.819,14520381,0
20100817,14.002,14.187,14.002,14.092,6188304,0
20100818,14.115,14.815,14.115,14.631,4824164,0
20100819,14.698,14.845,14.039,14.631,7190017,0
20100820,14.631,14.793,14.602,14.698,4455937,0
20100823,14.705,14.963,14.705,14.823,3008162,0
20100824,14.631,14.815,14.557,14.772,7007963,0
20100825,14.735,14.815,14.682,14.728,5405371,0
20100826,14.743,15.148,14.743,14.777,3798708,0
20100827,14.882,15.104,14.764,15.104,2685095,0
20100830,15.075,15.371,14.941,14.941,2338400,0
20100831,14.941,15.156,14.941,15.148,3134626,0
20100901,15.148,15.739,15.141,15.533,7395270,0
20100902,15.554,15.554,15.34,15.481,2095729,0
20100903,15.511,15.739,15.511,15.614,1451497,0
20100907,15.606,15.606,15.371,15.489,2084035,0
20100908,15.481,15.614,15.481,15.511,2889777,0
20100909,15.518,15.629,15.274,15.295,4003467,0
20100910,15.303,15.386,15.289,15.363,1091337,0
20100913,15.356,15.82,15.356,15.799,4643667,0
20100914,15.805,15.938,15.747,15.894,3253177,0
20100915,15.894,15.991,15.851,15.932,1762026,0
20100916,16.071,16.463,16.071,16.147,5656436,0
20100917,16.397,16.442,16.264,16.442,3850942,0
20100920,16.442,16.456,16.397,16.404,2234814,0
20100921,16.411,16.456,16.382,16.411,4170670,0
20100922,16.434,16.463,16.147,16.212,2215170,0
20100923,16.147,16.219,15.961,16.147,1835639,0
20100924,16.257,16.604,16.257,16.596,3561823,0
20100927,16.767,17.077,16.767,17.07,5874842,0
20100928,17.07,17.468,17.018,17.328,3968042,0
20100929,17.277,17.698,17.269,17.454,5149174,0
20100930,17.476,17.698,17.187,17.661,5879407,0
20101001,17.675,17.779,17.52,17.638,8993980,0
20101004,17.757,18.03,17.683,17.8,5188097,0
20101005,17.764,18.473,17.757,18.318,9596905,0
20101006,18.363,18.386,17.698,17.897,2572885,0
20101007,17.927,18.133,17.875,18.067,2940347,0
20101008,18.252,18.68,18.252,18.658,8687973,0
20101011,18.614,19.657,18.562,19.33,10859801,0
20101012,19.287,19.471,18.806,19.434,9477672,0
20101013,19.509,20.04,19.427,19.93,16667369,0
20101014,19.93,20.433,18.067,19.966,12446680,0
20101015,20.025,20.025,19.581,19.581,4340806,0
20101018,19.657,19.981,19.515,19.767,5517754,0
20101019,19.944,19.944,19.538,19.596,10532620,0
20101020,19.729,20.099,19.692,20.048,8231615,0
20101021,20.091,20.691,20.025,20.365,8838106,0
20101022,20.395,20.453,20.173,20.357,3304775,0
20101025,20.573,20.89,20.483,20.661,5325609,0
20101026,20.742,20.779,19.581,20.483,7487138,0
20101027,20.566,20.566,19.84,20.106,4897842,0
20101028,20.232,20.535,19.944,20.327,5171675,0
20101029,20.582,20.872,19.654,19.846,9731011,0
20101101,19.775,20.07,18.991,19.212,5636441,0
20101102,19.434,19.797,19.346,19.677,4584701,0
20101103,19.885,20.3,19.471,19.915,4518236,0
20101104,20.137,20.365,19.944,20.254,6926581,0
20101105,20.285,21.083,19.775,20.949,10378408,0
20101108,21.061,21.319,20.867,21.319,5562957,0
