Date,Open,High,Low,Close,Volume,OpenInt
20100728,13.662,13.662,13.662,13.662,0,0
20100729,12.93,13.662,11.808,12.54,10395174,0
20100730,12.53,12.53,11.886,12.042,2492468,0
20100802,12.403,12.979,12.296,12.979,2191277,0
20100803,12.969,13.321,12.618,13.165,963643,0
20100804,13.262,13.369,13.008,13.213,638201,0
20100805,13.174,13.174,12.55,13.028,742959,0
20100806,13.457,13.457,12.735,12.901,341925,0
20100809,13.438,13.652,12.989,13.643,1155417,0
20100810,13.574,13.574,13.145,13.311,457002,0
20100811,13.213,13.34,12.755,12.93,346135,0
20100812,12.813,13.711,12.813,13.662,836714,0
20100813,13.662,14.033,13.389,13.594,1237708,0
20100816,13.643,13.906,13.516,13.906,618621,0
20100817,14.043,14.814,13.906,14.687,1619843,0
20100818,14.902,14.902,14.179,14.297,624636,0
20100819,14.092,14.706,14.092,14.667,1073728,0
20100820,14.628,15.126,14.257,14.765,654907,0
20100823,15.028,15.116,14.843,14.97,677410,0
20100824,14.999,15.019,14.443,14.589,334865,0
20100825,14.589,14.638,13.955,14.345,421816,0
20100826,14.501,14.911,14.218,14.492,275127,0
20100827,14.55,15.555,14.345,15.438,843631,0
20100830,15.546,16.248,15.321,16.121,834026,0
20100831,16.24,17.18,16,16.35,954523,0
20100901,16.726,17.292,16.443,17.244,712048,0
20100902,17.331,17.566,17.156,17.244,511916,0
20100903,17.566,19.186,17.312,19.029,1250681,0
20100907,19.332,21.947,19.186,21.469,4292524,0
20100908,21.537,22.913,20.903,21.362,3813494,0
20100909,21.489,23.177,21.489,22.484,2237331,0
20100910,22.455,23.05,21.713,22.669,2104656,0
20100913,23.362,23.489,22.572,23.05,1229768,0
20100914,22.533,22.826,22.064,22.396,925932,0
20100915,22.211,22.328,20.083,20.405,2286009,0
20100916,20.308,21.372,20.005,20.571,1275340,0
20100917,20.991,22.084,20.874,21.664,1107560,0
20100920,22.074,22.865,21.869,22.328,885853,0
20100921,22.201,24.572,21.938,23.86,2008826,0
20100922,23.977,24.006,22.718,22.992,634883,0
20100923,22.591,25.5,22.533,25.109,2730898,0
20100924,27.695,27.803,25.665,27.139,3027306,0
20100927,27.676,29.276,27.139,28.378,2861554,0
20100928,29.071,29.237,25.148,25.373,3873057,0
20100929,25.626,26.446,23.031,26.085,5530744,0
20100930,26.885,28.427,26.349,27.607,8280262,0
