Date,Open,High,Low,Close,Volume,OpenInt
20130322,22.362,22.362,22.318,22.327,54318,0
20130325,22.318,22.478,22.3,22.335,38905,0
20130326,22.362,22.362,22.318,22.318,28668,0
20130327,22.318,22.318,22.219,22.29,23077,0
20130328,22.318,22.425,22.273,22.425,17306,0
20130401,22.335,22.407,22.318,22.397,13766,0
20130402,22.407,22.452,22.318,22.335,39151,0
20130403,22.425,22.425,22.318,22.318,9437,0
20130404,22.318,22.362,22.318,22.318,8738,0
20130405,22.318,22.397,22.3,22.353,17205,0
20130408,22.318,22.353,22.318,22.318,2271,0
20130409,22.362,23.023,22.309,22.496,29981,0
20130410,22.381,22.407,22.318,22.344,30469,0
20130411,22.353,22.407,22.353,22.407,2733,0
20130412,22.487,22.496,22.362,22.362,6273,0
20130415,22.381,22.389,22.282,22.282,4566,0
20130416,22.327,22.362,22.318,22.344,9342,0
20130417,22.371,22.389,22.282,22.29,25599,0
20130418,22.318,22.353,22.282,22.318,15482,0
20130419,22.397,22.407,22.335,22.389,3416,0
20130422,22.318,22.443,22.309,22.318,15236,0
20130423,22.335,22.371,22.29,22.318,73163,0
20130424,22.327,22.344,22.318,22.327,4816,0
20130425,22.362,22.362,22.318,22.362,13049,0
20130426,22.371,22.496,22.362,22.452,15555,0
20130429,22.371,22.657,22.371,22.657,17335,0
20130430,22.496,22.585,22.407,22.532,6670,0
20130501,22.532,22.532,22.496,22.496,1513,0
20130502,22.496,22.54,22.496,22.54,449,0
20130503,22.496,22.506,22.415,22.46,8021,0
20130506,22.496,22.532,22.487,22.532,6946,0
20130507,22.46,22.54,22.46,22.54,6948,0
20130508,22.532,22.585,22.452,22.496,25410,0
20130509,22.452,22.452,22.318,22.362,65361,0
20130510,22.397,22.425,22.353,22.353,8811,0
20130513,22.353,22.443,22.353,22.434,18704,0
20130514,22.407,22.452,22.327,22.335,34848,0
20130515,22.335,22.496,22.335,22.452,13798,0
20130516,22.487,22.487,22.407,22.415,4555,0
20130517,22.425,22.532,22.425,22.469,1401,0
20130520,22.452,22.514,22.362,22.362,4368,0
20130521,22.362,22.407,22.335,22.389,9769,0
20130522,22.344,22.389,22.335,22.381,4211,0
20130523,22.371,22.434,22.228,22.371,7729,0
20130524,22.371,22.407,22.327,22.327,7943,0
20130528,22.362,22.362,22.273,22.282,4145,0
20130529,22.282,22.327,22.273,22.3,11556,0
20130530,22.318,22.452,22.273,22.407,32609,0
20130531,22.407,22.577,22.282,22.577,19656,0
20130603,22.522,22.54,22.397,22.443,11846,0
20130604,22.397,22.434,22.273,22.335,13046,0
20130605,22.282,22.381,22.256,22.256,13004,0
20130606,22.237,22.264,22.237,22.264,559,0
20130607,22.335,22.335,22.256,22.318,8971,0
20130610,22.273,22.309,21.987,22.309,3359,0
20130611,22.318,22.407,22.175,22.389,7770,0
20130612,22.814,22.814,21.868,22.204,6713,0
20130613,21.986,22.559,21.986,22.458,9675,0
20130614,22.486,22.486,22.486,22.486,4540,0
20130617,22.54,22.768,22.35,22.713,3533,0
20130618,22.713,22.713,22.26,22.378,8495,0
20130619,22.25,22.513,22.241,22.286,3301,0
20130620,22.304,22.486,22.26,22.267,2526,0
20130621,22.395,22.395,22.204,22.204,5008,0
20130624,22.213,22.649,21.805,21.805,4072,0
20130625,21.805,21.895,21.805,21.831,3739,0
20130626,22.041,22.286,21.805,21.805,7243,0
20130627,21.805,22.241,21.805,22.231,6213,0
20130628,22.744,22.809,22.634,22.634,17282,0
20130701,22.432,22.432,22.204,22.204,2661,0
20130702,22.413,22.432,22.204,22.204,2636,0
20130703,22.086,22.168,21.814,22.076,1982,0
20130705,21.968,21.986,21.795,21.805,12438,0
20130708,22.032,22.26,21.623,22.032,3671,0
20130709,22.041,22.041,22.041,22.041,513,0
20130710,22.15,22.213,21.949,21.949,1321,0
20130711,22.35,22.35,21.996,22.069,993,0
20130712,21.959,22.005,21.959,22.005,218,0
20130715,22.187,22.413,22.187,22.187,2697,0
20130716,22.26,22.26,22.076,22.076,3089,0
20130717,22.304,22.304,21.859,21.942,2147,0
20130718,21.942,22.086,21.859,21.968,3263,0
20130719,22.059,22.076,21.986,21.986,3467,0
20130722,22.022,22.086,21.986,21.996,4966,0
20130723,22.013,22.286,21.942,22.286,3690,0
20130724,22.168,22.213,21.805,21.822,12962,0
20130725,22.114,22.114,21.66,21.678,7547,0
20130726,21.714,21.986,21.704,21.805,3385,0
20130729,21.795,21.805,21.751,21.758,1311,0
20130730,21.805,22.076,21.669,22.076,4856,0
20130731,21.868,22.123,21.85,21.85,3077,0
20130801,22.076,22.076,21.577,21.623,1535,0
20130802,21.732,21.814,21.577,21.65,4898,0
20130805,21.469,21.669,21.45,21.469,6230,0
20130806,21.469,21.704,21.469,21.577,3524,0
20130807,21.895,21.895,21.487,21.623,2422,0
20130808,21.758,21.758,21.278,21.278,1414,0
20130809,21.278,21.532,20.896,21.532,4997,0
20130812,21.577,21.932,21.577,21.687,1324,0
20130813,21.45,21.45,21.386,21.395,1046,0
20130814,21.259,21.36,21.259,21.259,7844,0
20130815,21.351,21.351,21.123,21.123,2642,0
20130816,21.169,21.513,21.123,21.513,5463,0
20130819,21.714,21.878,21.351,21.351,5074,0
20130820,21.178,21.66,21.16,21.169,4733,0
20130821,21.242,21.242,21.186,21.186,218,0
20130822,21.123,21.532,21.123,21.259,2829,0
20130823,21.169,21.532,21.169,21.259,1442,0
20130826,21.214,21.669,21.178,21.186,2884,0
20130827,21.123,21.16,21.123,21.141,3016,0
20130828,21.16,21.577,21.16,21.169,2558,0
20130829,21.16,21.351,21.16,21.351,2356,0
20130830,21.617,21.848,21.58,21.784,1469,0
20130904,21.178,21.632,21.178,21.56,8225,0
20130905,21.56,21.56,21.305,21.305,6901,0
20130906,21.322,21.577,21.305,21.351,8374,0
20130909,21.423,21.65,21.141,21.25,13275,0
20130910,21.141,21.513,21.141,21.369,1365,0
20130911,21.635,21.635,21.525,21.525,6602,0
20130912,21.57,21.987,21.534,21.664,4950,0
20130913,21.553,21.553,21.498,21.498,1299,0
20130916,21.709,22.023,21.709,22.014,2900,0
20130917,21.812,21.894,21.553,21.664,11379,0
20130918,21.729,21.894,21.682,21.894,10558,0
20130919,21.709,21.848,21.709,21.709,3631,0
20130920,21.757,21.757,21.479,21.7,3826,0
20130923,21.802,21.839,21.488,21.57,4663,0
20130924,21.57,21.57,21.57,21.57,2002,0
20130925,21.479,21.525,21.275,21.34,9547,0
20130926,21.515,21.654,21.34,21.479,7815,0
20130927,21.479,21.617,21.433,21.433,3680,0
20130930,21.525,22.033,21.525,22.033,1350,0
20131001,21.433,21.941,21.433,21.932,1723,0
20131002,21.709,22.402,21.479,21.737,6496,0
20131003,21.57,21.709,21.525,21.709,2705,0
20131004,21.941,21.941,21.941,21.941,110,0
20131007,21.635,21.7,21.553,21.682,1190,0
20131008,21.709,21.932,21.709,21.932,1527,0
20131009,21.709,21.709,21.46,21.57,10176,0
20131010,21.488,21.589,21.479,21.479,15718,0
20131011,21.479,21.488,21.34,21.479,10041,0
20131014,21.479,21.479,21.385,21.433,650,0
20131015,21.34,21.47,21.34,21.395,1876,0
20131016,21.479,21.498,21.385,21.47,4145,0
20131017,21.515,21.562,21.395,21.525,3465,0
20131018,21.525,21.57,21.433,21.57,5147,0
20131021,21.617,21.877,21.45,21.45,6773,0
20131022,21.959,21.959,21.959,21.959,892,0
20131023,21.802,22.347,21.802,22.347,1147,0
20131024,22.393,22.541,21.719,21.719,2945,0
20131025,21.719,21.894,21.709,21.757,2597,0
20131028,21.757,21.802,21.479,21.802,5504,0
20131029,21.423,21.709,21.423,21.709,2122,0
20131030,21.848,22.071,21.719,21.719,5162,0
20131031,21.395,21.433,21.359,21.433,540,0
20131101,21.709,21.959,21.709,21.959,3031,0
20131104,22.061,22.061,21.534,21.534,215,0
20131105,21.709,21.709,21.433,21.433,1842,0
20131106,21.405,21.525,21.405,21.525,7773,0
20131107,21.599,21.609,21.442,21.525,5887,0
20131108,21.664,21.664,21.385,21.385,5253,0
20131111,21.385,21.479,21.385,21.479,12233,0
20131112,21.395,21.433,21.295,21.433,2706,0
20131113,21.45,21.47,21.368,21.368,13363,0
20131114,21.433,21.433,21.359,21.359,2273,0
20131115,21.368,21.479,21.026,21.248,11235,0
20131118,21.248,21.385,21.248,21.385,11085,0
20131119,21.23,21.248,21.201,21.211,11447,0
20131120,21.211,21.321,21.155,21.321,9824,0
20131121,21.248,21.321,21.248,21.248,5466,0
20131122,21.34,21.553,21.155,21.553,11664,0
20131125,21.525,21.709,21.275,21.525,3894,0
20131126,21.479,21.617,21.395,21.395,9124,0
20131127,21.415,21.996,21.33,21.34,12096,0
20131202,21.34,21.479,21.33,21.33,7092,0
20131203,21.35,21.609,21.33,21.609,3625,0
20131204,21.515,21.515,21.256,21.321,3680,0
20131205,21.34,21.488,21.321,21.321,8228,0
20131206,21.368,21.368,21.321,21.321,3296,0
20131209,21.385,21.617,21.385,21.617,1223,0
20131210,21.433,21.47,21.35,21.433,7045,0
20131211,21.558,21.885,21.558,21.745,6019,0
20131212,21.773,21.829,21.558,21.707,13826,0
20131213,21.68,21.68,21.379,21.605,15003,0
20131216,21.322,21.614,21.322,21.605,9256,0
20131217,21.509,21.539,21.275,21.387,18360,0
20131218,21.387,21.575,21.37,21.407,17864,0
20131219,21.191,21.397,21.191,21.229,15012,0
20131220,21.285,21.285,21.275,21.275,3195,0
20131223,21.304,21.407,21.304,21.322,3885,0
20131224,21.248,21.68,21.107,21.107,10284,0
20131226,21.229,21.351,20.675,21.304,41848,0
20131227,21.153,21.436,21.134,21.134,7032,0
20131230,21.331,21.331,20.731,20.805,24556,0
20131231,20.853,21.031,20.758,21.003,19168,0
20140102,21.322,21.444,21.275,21.275,7495,0
20140103,21.087,21.566,21.087,21.566,2342,0
20140106,21.407,21.426,21.219,21.304,3109,0
20140107,22.253,22.253,21.605,21.951,6546,0
20140108,21.839,21.839,21.144,21.295,14582,0
20140109,21.387,21.624,21.387,21.624,6317,0
20140110,21.839,21.839,21.697,21.697,1403,0
20140113,21.595,21.605,21.304,21.341,4052,0
20140114,21.529,21.605,21.219,21.605,4328,0
20140115,21.285,21.575,21.285,21.575,2970,0
20140116,21.209,21.539,21.2,21.37,3067,0
20140117,21.509,21.529,21.436,21.453,3523,0
20140121,21.632,21.68,21.575,21.67,7160,0
20140122,21.745,21.793,21.566,21.651,4211,0
