Date,Open,High,Low,Close,Volume,OpenInt
20100823,20.335,20.546,20.274,20.492,296604,0
20100824,20.414,20.607,20.369,20.607,168433,0
20100825,20.529,20.554,20.378,20.546,332565,0
20100826,20.563,20.625,20.501,20.581,99706,0
20100827,20.529,20.669,20.431,20.511,100138,0
20100830,20.492,20.607,20.484,20.591,101588,0
20100831,20.591,20.678,20.511,20.678,153557,0
20100901,20.669,20.801,20.634,20.801,130434,0
20100902,20.809,20.871,20.766,20.871,106780,0
20100903,20.871,21.178,20.871,21.135,104796,0
20100907,21.178,21.178,20.951,21.099,131486,0
20100908,21.09,21.311,20.932,21.311,292795,0
20100909,21.302,21.302,21.09,21.258,153783,0
20100910,20.994,20.994,20.739,20.766,160325,0
20100913,20.775,20.906,20.748,20.757,155433,0
20100914,20.757,20.792,20.607,20.66,145828,0
20100915,20.66,20.775,20.625,20.625,128862,0
20100916,20.818,20.818,20.678,20.73,132300,0
20100917,20.748,20.985,20.678,20.678,193033,0
20100920,20.88,20.985,20.809,20.871,182565,0
20100921,20.792,21.345,20.775,20.906,228357,0
20100922,20.782,21.003,20.782,20.871,169662,0
20100923,20.906,20.941,20.836,20.836,154638,0
20100924,20.915,21.09,20.871,21.02,196626,0
20100927,21.02,21.09,21.003,21.064,104864,0
20100928,21.082,21.178,21.012,21.029,155580,0
20100929,21.099,21.109,20.941,20.994,106959,0
20100930,21.003,21.109,20.906,21.109,117644,0
20101001,21.135,21.143,20.924,20.959,117705,0
20101004,20.915,21.064,20.871,20.976,151442,0
20101005,20.924,21.126,20.924,21.109,196347,0
20101006,21.064,21.275,21.055,21.275,97156,0
20101007,21.222,21.266,21.09,21.249,112198,0
20101008,21.222,21.24,21.099,21.109,73718,0
20101011,21.109,21.161,21.09,21.09,53320,0
20101012,21.09,21.187,21.055,21.117,132660,0
20101013,21.213,21.266,21.109,21.187,243494,0
20101014,21.187,21.275,20.669,20.924,263902,0
20101015,21.09,21.09,19.597,20.194,483817,0
20101018,19.948,20.361,19.772,19.984,272684,0
20101019,20.037,20.423,19.763,19.772,248606,0
20101020,19.659,19.763,19.289,19.465,208557,0
20101021,19.483,19.782,19.447,19.483,217707,0
20101022,19.579,19.692,19.536,19.579,179423,0
20101025,19.905,19.905,19.422,19.422,172768,0
20101026,19.422,19.711,19.333,19.684,280076,0
20101027,19.157,19.984,19.157,19.895,705358,0
20101028,20.062,20.299,20.019,20.212,173853,0
20101029,20.283,20.397,20.212,20.255,116433,0
20101101,20.308,20.468,20.299,20.353,79299,0
20101102,20.44,20.475,20.212,20.212,106827,0
20101103,20.274,20.423,20.255,20.406,314976,0
20101104,20.607,20.625,20.388,20.501,150735,0
20101105,20.501,20.598,20.378,20.501,65591,0
20101108,20.468,20.572,20.378,20.511,91801,0
20101109,20.563,20.643,20.431,20.591,70105,0
20101110,20.492,20.739,20.449,20.739,129612,0
20101111,20.678,20.714,20.388,20.414,65216,0
20101112,20.397,20.458,20.255,20.388,261678,0
20101115,20.423,20.431,20.317,20.414,84774,0
20101116,20.265,20.414,20.212,20.397,262917,0
20101117,20.431,20.431,20.115,20.132,88507,0
20101118,20.246,20.335,20.169,20.255,104167,0
20101119,20.185,20.238,20.08,20.107,56849,0
20101122,20.046,20.255,19.825,19.825,199240,0
20101123,19.739,19.782,19.606,19.606,60668,0
20101124,19.729,20,19.545,19.939,61413,0
20101126,20.062,20.16,19.992,20.151,19149,0
20101129,20.107,20.107,19.862,19.895,91117,0
20101130,19.711,20,19.64,19.992,98836,0
20101201,20.053,20.071,19.807,19.948,106863,0
20101202,19.895,20.08,19.886,20.019,35648,0
20101203,20.009,20.028,19.772,19.8,108623,0
20101206,19.8,20.08,19.8,19.852,108361,0
20101207,19.93,20.037,19.852,19.869,95365,0
20101208,19.923,19.957,19.816,19.816,85245,0
20101209,19.843,19.905,19.834,19.852,49623,0
20101210,19.649,19.677,19.474,19.554,91172,0
20101213,19.677,19.677,19.431,19.465,87163,0
20101214,19.465,19.5,19.192,19.192,70091,0
20101215,19.026,19.579,19.026,19.403,103957,0
20101216,19.554,19.554,19.148,19.157,76194,0
20101217,19.105,19.307,19.105,19.114,57503,0
20101220,19.114,19.245,18.991,18.991,84024,0
20101221,18.946,18.973,18.674,18.938,80908,0
20101222,18.894,19.105,18.788,18.982,102620,0
20101223,18.982,19.026,18.718,18.815,94824,0
20101227,18.894,19.422,18.761,19.351,126348,0
20101228,19.096,19.465,19.096,19.456,100294,0
20101229,19.386,19.509,19.271,19.509,87057,0
20101230,19.431,19.509,19.351,19.509,63007,0
20101231,19.492,19.509,19.394,19.509,55302,0
20110103,19.509,19.711,19.422,19.422,71638,0
20110104,19.492,19.834,19.492,19.72,139779,0
20110105,19.772,20.176,19.72,20.169,85335,0
20110106,20.151,20.238,19.957,20.071,67538,0
20110107,19.957,20.203,19.957,20.16,86296,0
20110110,20.009,20.107,19.869,20.046,140833,0
20110111,20.046,20.098,19.8,19.8,64790,0
20110112,19.877,20,19.843,20,51058,0
20110113,19.992,20,19.816,19.877,118568,0
20110114,19.834,19.877,19.772,19.791,62596,0
20110118,19.807,19.93,19.8,19.816,88612,0
20110119,19.807,19.869,19.772,19.8,75067,0
20110120,19.852,19.992,19.825,19.914,59156,0
20110121,19.984,20.212,19.984,20.009,117974,0
20110124,19.939,20.053,19.834,19.834,73968,0
20110125,19.869,20.107,19.825,20.08,117447,0
20110126,19.984,20.326,19.948,20.317,92604,0
20110127,20.265,20.353,20.142,20.203,141489,0
20110128,20.212,20.238,20.098,20.169,85419,0
20110131,20.142,20.299,20.071,20.238,95077,0
20110201,20.238,20.308,20.123,20.123,127484,0
20110202,20.123,20.255,20.115,20.123,150641,0
20110203,20.132,20.222,20.046,20.115,645673,0
20110204,20.176,20.176,20.098,20.132,115004,0
20110207,20.123,20.194,19.807,20.16,96182,0
20110208,20.194,20.212,20.115,20.115,107631,0
20110209,20.132,20.194,20.08,20.132,100866,0
20110210,20.123,20.283,20.08,20.212,61277,0
20110211,20.212,20.246,20.142,20.23,44213,0
20110214,20.169,20.246,20.16,20.203,81121,0
20110215,20.255,20.345,20.151,20.151,154802,0
20110216,20.151,20.246,20.089,20.238,75167,0
20110218,20.246,20.546,20.246,20.449,72860,0
20110222,20.388,20.397,20.098,20.212,107927,0
20110223,20.212,20.265,20.169,20.212,79170,0
20110224,20.176,20.255,20.169,20.212,37165,0
20110225,20.185,20.291,20.185,20.194,57940,0
20110228,20.212,20.378,20.212,20.353,75277,0
20110301,20.431,20.458,20.274,20.274,65744,0
20110302,20.265,20.581,20.265,20.563,101201,0
20110303,20.529,20.73,20.492,20.705,76448,0
20110304,20.678,20.862,20.563,20.836,114667,0
20110307,20.766,20.871,20.705,20.757,55997,0
20110308,20.757,21.038,20.695,20.951,88515,0
20110309,20.985,21.074,20.88,21.074,111480,0
20110310,20.809,20.809,20.431,20.44,93402,0
20110311,20.378,20.397,20.123,20.308,125770,0
20110314,20.308,20.326,20.16,20.194,28871,0
20110315,19.957,20.283,19.905,20.23,84097,0
20110316,20.23,20.431,20.185,20.238,128673,0
20110317,20.378,20.378,20.046,20.098,73467,0
20110318,20.176,20.274,19.869,20.185,106704,0
20110321,20.265,20.361,20.255,20.299,63222,0
20110322,20.274,20.378,20.274,20.326,68202,0
