Date,Open,High,Low,Close,Volume,OpenInt
20100823,21.942,21.942,21.814,21.906,67630,0
20100824,21.932,21.932,21.593,21.657,48804,0
20100825,21.666,21.758,21.391,21.758,47981,0
20100826,21.722,21.896,21.714,21.748,48895,0
20100827,21.676,21.804,21.538,21.804,37439,0
20100830,21.85,21.942,21.758,21.758,60000,0
20100831,21.758,21.822,21.666,21.714,97556,0
20100901,21.714,21.786,21.547,21.622,78528,0
20100902,21.639,21.748,21.63,21.739,33901,0
20100903,21.804,21.859,21.714,21.859,140621,0
20100907,21.869,21.896,21.758,21.869,119844,0
20100908,21.85,21.878,21.804,21.804,140458,0
20100909,21.869,21.914,21.804,21.804,136707,0
20100910,21.896,21.932,21.859,21.888,101530,0
20100913,21.814,21.942,21.767,21.767,54690,0
20100914,21.722,21.84,21.714,21.722,90490,0
20100915,21.777,21.777,21.473,21.501,63613,0
20100916,21.555,21.63,21.447,21.622,57622,0
20100917,21.584,21.758,21.346,21.758,70658,0
20100920,21.666,22.125,21.666,22.116,43158,0
20100921,22.043,22.163,21.831,21.831,165014,0
20100922,21.988,21.988,21.767,21.84,38432,0
20100923,21.804,21.804,21.482,21.666,51034,0
20100924,21.714,21.822,21.622,21.622,49964,0
20100927,21.547,21.63,21.547,21.547,25799,0
20100928,21.612,21.639,21.501,21.501,57582,0
20100929,21.547,21.555,21.492,21.52,34974,0
20100930,21.53,21.53,21.41,21.41,50769,0
20101001,21.438,21.511,21.346,21.346,36097,0
20101004,21.216,21.346,21.08,21.08,39449,0
20101005,21.163,21.172,20.988,21.071,47387,0
20101006,21.042,21.447,20.996,21.08,42581,0
20101007,21.088,21.289,21.052,21.134,77251,0
20101008,21.115,21.372,21.115,21.163,293771,0
20101011,21.254,21.271,21.134,21.144,37350,0
20101012,21.144,21.299,21.115,21.115,77728,0
20101013,21.207,21.245,21.023,21.106,287095,0
20101014,21.115,21.115,20.932,21.033,49988,0
20101015,20.941,21.088,20.666,21.052,79249,0
20101018,20.996,20.996,20.821,20.96,38337,0
20101019,21.042,21.088,20.84,20.941,63997,0
20101020,20.969,21.346,20.849,21.023,81613,0
20101021,21.023,21.235,20.821,20.84,86955,0
20101022,20.922,21.042,20.922,20.979,51092,0
20101025,21.071,21.115,20.812,20.812,51400,0
20101026,20.83,21.216,20.821,21.004,85124,0
20101027,21.096,21.327,21.071,21.18,51390,0
20101028,21.254,21.547,21.254,21.53,34333,0
20101029,21.492,21.574,21.363,21.438,34563,0
20101101,21.555,21.714,21.511,21.685,38119,0
20101102,21.685,21.714,21.574,21.574,43824,0
20101103,21.657,21.758,21.612,21.647,33690,0
20101104,21.666,21.714,21.584,21.666,55394,0
20101105,21.739,21.923,21.547,21.748,58654,0
20101108,21.822,21.822,21.492,21.492,56756,0
20101109,21.666,21.914,21.593,21.814,74872,0
20101110,21.804,22.198,21.804,22.089,280328,0
20101111,22.154,22.172,21.888,21.997,35882,0
20101112,21.979,22.014,21.896,21.942,31702,0
