Date,Open,High,Low,Close,Volume,OpenInt
20100823,14.375,14.375,14.206,14.206,15847,0
20100824,14.206,14.206,14.206,14.206,4257,0
20100825,14.045,14.045,13.877,13.877,236,0
20100826,14.114,14.274,13.969,14.274,827,0
20100830,14.375,14.375,14.375,14.375,120,0
20100831,14.375,14.375,14.375,14.375,4033,0
20100901,14.29,14.29,14.29,14.29,1182,0
20100902,14.375,14.375,14.375,14.375,8986,0
20100903,14.375,14.375,14.375,14.375,19512,0
20100907,14.536,14.536,14.536,14.536,355,0
20100913,14.46,14.46,14.46,14.46,474,0
20100915,14.383,14.46,14.232,14.375,8869,0
20100917,14.587,14.587,14.587,14.587,6741,0
20100920,14.612,14.798,14.612,14.798,6149,0
20100921,14.798,14.798,14.798,14.798,1182,0
20100922,14.578,15.051,14.578,15.051,65399,0
20100923,15.009,15.009,15.009,15.009,474,0
20100924,14.858,14.858,14.485,14.858,1774,0
20100928,14.798,14.882,14.798,14.882,591,0
20100930,14.798,14.924,14.79,14.798,182946,0
20101001,14.924,14.924,14.764,14.764,1182,0
20101004,14.638,14.798,14.603,14.798,355,0
20101005,14.638,14.705,14.366,14.603,1657,0
20101008,14.342,14.51,14.333,14.51,2366,0
20101011,14.545,14.545,14.545,14.545,236,0
20101014,14.451,14.924,14.451,14.924,2424,0
20101015,14.705,14.874,14.366,14.874,1891,0
20101018,15.094,15.094,14.951,14.951,474,0
20101019,15.094,15.136,15.094,15.136,827,0
20101020,15.221,15.221,15.221,15.221,236,0
20101021,15.221,15.221,15.221,15.221,709,0
20101022,15.457,15.457,15.457,15.457,236,0
20101025,15.694,15.932,15.584,15.855,1419,0
20101026,15.644,15.813,15.382,15.813,1396,0
20101027,15.998,15.998,15.998,15.998,236,0
20101028,16.193,16.193,15.737,15.737,709,0
20101029,15.974,15.974,15.712,15.712,474,0
20101101,15.838,15.838,15.602,15.602,31102,0
20101102,15.77,15.77,15.517,15.517,26607,0
20101103,15.433,15.644,15.433,15.644,1419,0
20101109,15.602,15.602,15.212,15.433,4022,0
20101110,15.348,15.433,15,15.433,4849,0
20101112,15.33,15.424,15.33,15.391,6504,0
20101115,15.433,15.433,15.433,15.433,120,0
20101116,15.433,15.433,15.23,15.23,318,0
20101118,15.221,15.221,15.221,15.221,120,0
20101119,14.985,15.179,14.815,15.179,1774,0
20101123,15.221,15.221,15.221,15.221,120,0
20101124,14.958,15.035,14.545,14.545,9224,0
20101126,14.916,14.916,14.916,14.916,236,0
20101129,14.916,14.916,14.916,14.916,120,0
20101130,14.655,14.655,14.655,14.655,120,0
20101201,14.798,14.798,14.798,14.798,236,0
20101203,14.764,14.79,13.395,14.375,3370,0
20101206,14.612,14.612,14.612,14.612,236,0
20101207,14.764,14.764,14.764,14.764,120,0
20101208,14.713,14.713,14.663,14.663,770,0
20101209,14.4,14.4,14.4,14.4,236,0
20101210,14.477,14.477,14.375,14.375,474,0
20101215,14.138,14.274,13.25,14.274,3312,0
20101216,14.375,14.375,14.29,14.29,4613,0
20101217,14.375,14.375,14.375,14.375,1419,0
20101220,14.333,14.333,14.333,14.333,1182,0
20101221,14.502,14.502,14.29,14.29,1751,0
20101222,14.46,14.528,14.206,14.265,1419,0
20101227,14.274,14.333,13.471,13.614,43911,0
20101228,13.572,13.674,13.453,13.656,4022,0
20101229,13.69,13.69,13.674,13.69,5913,0
20101230,13.522,13.58,12.913,13.58,4493,0
20101231,13.707,13.707,13.707,13.707,474,0
20110103,13.724,13.817,13.724,13.817,2956,0
20110104,13.817,13.919,13.817,13.877,7038,0
20110105,13.91,14.012,13.91,14.012,9224,0
20110106,14.029,14.35,14.029,14.35,946,0
20110107,14.35,14.35,14.35,14.35,1891,0
20110111,14.375,14.587,14.375,14.46,1891,0
20110112,14.443,14.46,14.366,14.366,3784,0
20110113,14.366,14.366,13.564,14.29,2838,0
20110114,14.435,14.443,14.435,14.443,1891,0
20110118,14.418,14.418,14.418,14.418,236,0
20110119,14.502,14.502,14.502,14.502,236,0
20110120,14.578,14.578,14.578,14.578,236,0
20110124,14.587,14.908,14.274,14.646,1657,0
20110125,14.215,14.265,13.969,14.265,1537,0
20110126,14.587,14.587,14.587,14.587,120,0
20110127,14.924,14.924,14.924,14.924,120,0
20110128,14.713,14.858,14.587,14.858,2798,0
20110131,15.127,15.127,15.127,15.127,120,0
20110201,15.415,16.953,15.364,15.372,1774,0
20110203,15.703,15.703,15.112,15.491,946,0
20110204,15.154,15.575,14.815,15.575,2011,0
20110207,15.5,15.559,15.5,15.559,1300,0
20110208,15.913,16.067,15.391,15.559,2844,0
20110211,15.897,16.152,15.897,16.152,1360,0
20110214,16.152,16.152,16.152,16.152,887,0
20110215,16.235,16.235,16.152,16.152,946,0
20110216,16.152,16.363,16.109,16.109,1891,0
20110218,16.067,16.067,16.067,16.067,2602,0
20110223,15.77,16.024,15.77,16.024,236,0
20110224,15.729,15.729,15.221,15.602,2128,0
20110228,15.635,15.669,15.635,15.669,236,0
20110303,15.391,15.391,14.679,15.188,23534,0
20110304,15.136,15.188,15.136,15.188,591,0
20110307,15.179,15.179,14.519,15.018,5511,0
20110308,14.721,14.993,14.697,14.993,1300,0
20110309,15.094,15.094,14.756,15.009,8042,0
20110310,15,15,15,15,120,0
20110311,14.993,14.993,14.993,14.993,120,0
20110314,14.705,14.958,14.545,14.958,2956,0
20110315,14.62,14.806,14.375,14.806,1537,0
20110316,14.831,14.831,14.798,14.798,709,0
20110317,15.103,15.103,15.103,15.103,120,0
20110323,15.018,15.103,15.018,15.061,474,0
20110324,15.212,15.212,15.212,15.212,120,0
20110325,15.254,15.254,15.221,15.221,236,0
20110328,14.951,15.061,14.587,14.993,1182,0
20110330,15.33,15.33,15.33,15.33,120,0
20110331,15.602,15.855,14.553,15.188,2956,0
20110401,15.197,15.197,14.603,15.145,1891,0
20110404,14.638,15.254,14.638,15.254,1727,0
20110406,15.254,15.254,15.188,15.188,1182,0
20110407,14.916,14.916,14.172,14.874,4138,0
20110408,14.815,14.815,14.815,14.815,120,0
20110411,14.764,14.764,14.764,14.764,120,0
20110412,14.891,14.891,14.891,14.891,120,0
20110413,14.882,14.882,14.882,14.882,1182,0
20110414,15.221,15.221,15.221,15.221,120,0
20110415,15.136,15.136,14.46,15.136,2678,0
20110418,14.798,15.136,14.629,14.967,1657,0
20110419,14.629,14.798,14.629,14.798,946,0
20110420,14.748,14.748,14.748,14.748,120,0
20110421,14.882,14.882,14.383,14.62,1714,0
20110425,14.603,14.603,14.603,14.603,120,0
20110427,14.587,14.629,14.587,14.629,2305,0
20110428,14.798,14.798,14.798,14.798,120,0
20110429,14.731,14.731,14.731,14.731,120,0
20110502,14.773,14.773,14.773,14.773,120,0
20110503,14.806,14.806,14.798,14.798,2366,0
20110504,15.136,15.221,15.136,15.212,792,0
20110505,14.882,15.221,14.545,15.221,474,0
20110506,15.221,15.221,15.221,15.221,591,0
20110510,15.221,15.475,15.221,15.475,2933,0
20110511,15.306,15.618,9.961,15.127,4766,0
20110512,15.027,15.118,14.435,14.764,2602,0
20110513,14.528,14.798,14.51,14.705,827,0
20110516,14.798,14.798,14.798,14.798,120,0
20110518,14.806,14.806,14.806,14.806,120,0
20110519,14.435,14.764,14.375,14.764,2691,0
20110520,14.375,14.713,14.163,14.713,1065,0
20110525,14.967,14.967,14.587,14.874,591,0
20110526,14.815,14.874,14.815,14.874,236,0
20110527,15,15,15,15,120,0
20110531,15.221,15.221,14.798,15.051,355,0
20110602,15.009,15.009,15.009,15.009,120,0
20110603,15.009,15.009,15.009,15.009,120,0
20110606,15.009,15.009,15.009,15.009,296,0
