Date,Open,High,Low,Close,Volume,OpenInt
20130320,20.3,22.25,19.9,19.98,9985844,0
20130321,19.98,20.17,19.21,19.21,981864,0
20130322,19.42,19.6,17.71,18.45,722174,0
20130325,18.4,20.15,18.4,19.7,674346,0
20130326,19.85,20.1,19.17,20.06,198755,0
20130327,20,20.34,19.56,20.08,158951,0
20130328,20.39,20.4,19.69,19.82,92975,0
20130401,19.81,20.18,19.51,20.1,138140,0
20130402,19.97,19.97,18.86,19.23,208380,0
20130403,19.03,19.09,18.33,19.09,187316,0
20130404,18.99,19.87,18.81,19.38,228004,0
20130405,19.03,19.5,18.63,19.42,68341,0
20130408,19.67,19.87,19.23,19.5,83897,0
20130409,19.37,19.54,19.2,19.27,55187,0
20130410,19.1,19.74,19.1,19.65,172363,0
20130411,19.9,19.9,19.4,19.5,92015,0
20130412,19.21,20.69,19.21,20.54,247961,0
20130415,20.86,21,19.6,19.92,287183,0
20130416,20.12,20.5,19.45,20.03,153133,0
20130417,19.82,20.04,19.75,20.03,178674,0
20130418,20.05,20.7,20.05,20.17,142163,0
20130419,19.98,20.82,19.97,20.49,229783,0
20130422,20.67,20.67,19.75,19.86,70549,0
20130423,20.19,20.24,19.8,19.86,57918,0
20130424,19.97,20,18.89,19.65,155476,0
20130425,19.78,20,19.27,19.74,79115,0
20130426,19.75,19.75,19.2,19.56,51509,0
20130429,19.78,19.95,19.5,19.8,62472,0
20130430,19.89,20.15,19.44,19.78,106391,0
20130501,19.78,19.83,19.25,19.41,43225,0
20130502,19.59,19.85,19.5,19.61,31303,0
20130503,19.51,20.14,19.51,19.89,69046,0
20130506,19.77,19.95,19.57,19.76,57456,0
20130507,19.67,20.2,19.59,19.83,122224,0
20130508,20.2,20.24,18.78,18.93,98370,0
20130509,19.15,19.42,18.92,19.25,116675,0
20130510,19.26,19.39,19.02,19.19,198628,0
20130513,19.28,19.36,19.03,19.14,46490,0
20130514,19.25,19.35,18.21,18.29,200772,0
20130515,18.15,18.25,17.13,17.94,200918,0
20130516,18,18.25,17.8,18.02,87204,0
20130517,18.02,18.5,17.88,18.47,410745,0
20130520,18.56,19.83,18.34,19.54,148476,0
20130521,19.51,20.45,19.16,20.37,217072,0
20130522,20.3,20.6,19.84,20.4,58359,0
20130523,20.23,20.33,19.51,19.74,52428,0
20130524,19.7,20.35,19.48,20.26,55543,0
20130528,20.46,20.46,19.86,19.87,57868,0
20130529,20.05,20.45,19.84,20.24,88133,0
20130530,20.15,20.33,19.68,19.99,84690,0
20130531,19.89,20.32,19.68,20.2,78431,0
20130603,20.28,20.28,19.74,20.25,67225,0
20130604,20.23,20.33,20.07,20.21,78621,0
20130605,20,20.16,19.94,20.15,21136,0
20130606,20.18,20.18,19.88,20.16,33399,0
20130607,20.15,20.33,19.95,20.28,43952,0
20130610,20.3,21.8,20.16,21.72,185195,0
20130611,21.72,21.76,20.52,20.78,70645,0
20130612,20.79,20.81,19.99,20.34,46178,0
20130613,20.25,20.86,19.11,20.86,40948,0
20130614,20.86,20.86,19.78,20.14,40192,0
20130617,20.4,21,20.26,20.82,91744,0
20130618,20.85,21.22,20.46,21.12,91644,0
20130619,21.04,21.75,20.97,21.63,68987,0
20130620,21.45,21.8,21.17,21.67,101279,0
20130621,21.67,21.94,21.48,21.94,209492,0
20130624,21.7,22.26,21.57,21.87,111745,0
20130625,21.95,22.08,21.38,22.04,85806,0
20130626,22.04,22.24,21.78,22.2,57758,0
20130627,22.23,22.8,21.93,22.68,96385,0
20130628,22.7,23.78,22.49,23.36,647137,0
20130701,23.37,23.66,22.77,23.07,101868,0
20130702,23.04,23.16,22.27,22.6,60579,0
20130703,22.48,23.01,22.13,22.99,52791,0
20130705,23.24,23.6,22.92,23.42,65371,0
20130708,23.44,23.84,23,23.67,106564,0
20130709,23.86,23.86,23.24,23.47,133354,0
20130710,23.54,24.69,23.31,24.19,190067,0
20130711,24.18,24.5,23.99,24.49,136230,0
20130712,24.57,24.57,23.89,24.09,46478,0
20130715,24.03,24.64,24.03,24.62,33547,0
20130716,24.62,24.8,24.19,24.52,50397,0
20130717,24.53,24.53,23.27,23.48,139873,0
20130718,23.35,23.48,22.83,22.94,52034,0
20130719,22.66,22.87,22.2,22.74,125672,0
